context: Haru, stop! response:	Final Episode
context: Haru, stop!\Final Episode response:	Goodbye Fishing
context: Haru, stop!\Final Episode\Goodbye Fishing response:	I'll catch him!
context: Haru, stop!\Final Episode\Goodbye Fishing\I'll catch him! response:	I'll catch him, so you won't go...
context: Haru, stop!\Final Episode\Goodbye Fishing\I'll catch him!\I'll catch him, so you won't go... response:	Yuki,
context: Haru, stop!\Final Episode\Goodbye Fishing\I'll catch him!\I'll catch him, so you won't go...\Yuki, response:	goodbye.
context: Haru, stop!\Final Episode\Goodbye Fishing\I'll catch him!\I'll catch him, so you won't go...\Yuki,\goodbye. response:	Haru!
context: Haru, stop!\Final Episode\Goodbye Fishing\I'll catch him!\I'll catch him, so you won't go...\Yuki,\goodbye.\Haru! response:	Thanks, everyone.
context: Final Episode\Goodbye Fishing\I'll catch him!\I'll catch him, so you won't go...\Yuki,\goodbye.\Haru!\Thanks, everyone. response:	You tried so hard for me.
context: Goodbye Fishing\I'll catch him!\I'll catch him, so you won't go...\Yuki,\goodbye.\Haru!\Thanks, everyone.\You tried so hard for me. response:	It made me really happy.
context: I'll catch him!\I'll catch him, so you won't go...\Yuki,\goodbye.\Haru!\Thanks, everyone.\You tried so hard for me.\It made me really happy. response:	Haru, don't go!
context: I'll catch him, so you won't go...\Yuki,\goodbye.\Haru!\Thanks, everyone.\You tried so hard for me.\It made me really happy.\Haru, don't go! response:	It's okay.
context: Yuki,\goodbye.\Haru!\Thanks, everyone.\You tried so hard for me.\It made me really happy.\Haru, don't go!\It's okay. response:	Leave it to me.
context: goodbye.\Haru!\Thanks, everyone.\You tried so hard for me.\It made me really happy.\Haru, don't go!\It's okay.\Leave it to me. response:	I'll lure him far away.
context: Haru!\Thanks, everyone.\You tried so hard for me.\It made me really happy.\Haru, don't go!\It's okay.\Leave it to me.\I'll lure him far away. response:	Lure him away?
context: Thanks, everyone.\You tried so hard for me.\It made me really happy.\Haru, don't go!\It's okay.\Leave it to me.\I'll lure him far away.\Lure him away? response:	What does that mean?
context: You tried so hard for me.\It made me really happy.\Haru, don't go!\It's okay.\Leave it to me.\I'll lure him far away.\Lure him away?\What does that mean? response:	I'm a fish.
context: It made me really happy.\Haru, don't go!\It's okay.\Leave it to me.\I'll lure him far away.\Lure him away?\What does that mean?\I'm a fish. response:	I'll jump into the ocean and lure him to some ocean far, far away.
context: Haru, don't go!\It's okay.\Leave it to me.\I'll lure him far away.\Lure him away?\What does that mean?\I'm a fish.\I'll jump into the ocean and lure him to some ocean far, far away. response:	Then no one will be in danger.
context: It's okay.\Leave it to me.\I'll lure him far away.\Lure him away?\What does that mean?\I'm a fish.\I'll jump into the ocean and lure him to some ocean far, far away.\Then no one will be in danger. response:	I won't let you wither.
context: Leave it to me.\I'll lure him far away.\Lure him away?\What does that mean?\I'm a fish.\I'll jump into the ocean and lure him to some ocean far, far away.\Then no one will be in danger.\I won't let you wither. response:	Don't do it!
context: I'll lure him far away.\Lure him away?\What does that mean?\I'm a fish.\I'll jump into the ocean and lure him to some ocean far, far away.\Then no one will be in danger.\I won't let you wither.\Don't do it! response:	What will you do if you become part of his horde?
context: Lure him away?\What does that mean?\I'm a fish.\I'll jump into the ocean and lure him to some ocean far, far away.\Then no one will be in danger.\I won't let you wither.\Don't do it!\What will you do if you become part of his horde? response:	I won't let you wither.
context: What does that mean?\I'm a fish.\I'll jump into the ocean and lure him to some ocean far, far away.\Then no one will be in danger.\I won't let you wither.\Don't do it!\What will you do if you become part of his horde?\I won't let you wither. response:	But it's the only option left.
