context: Wh-What... What have you done? response:	King! Foolish king!
context: Wh-What... What have you done?\King! Foolish king! response:	You gave your servant a cruel order to slay his queen.
context: Wh-What... What have you done?\King! Foolish king!\You gave your servant a cruel order to slay his queen. response:	How can you bear to let your people see you tremble in rage?
context: Wh-What... What have you done?\King! Foolish king!\You gave your servant a cruel order to slay his queen.\How can you bear to let your people see you tremble in rage? response:	Queen!
context: Wh-What... What have you done?\King! Foolish king!\You gave your servant a cruel order to slay his queen.\How can you bear to let your people see you tremble in rage?\Queen! response:	I cannot ask you,
context: Wh-What... What have you done?\King! Foolish king!\You gave your servant a cruel order to slay his queen.\How can you bear to let your people see you tremble in rage?\Queen!\I cannot ask you, response:	or the knights who lowered their swords out of love for you,
context: Wh-What... What have you done?\King! Foolish king!\You gave your servant a cruel order to slay his queen.\How can you bear to let your people see you tremble in rage?\Queen!\I cannot ask you,\or the knights who lowered their swords out of love for you, response:	to turn against your comrades,
context: Wh-What... What have you done?\King! Foolish king!\You gave your servant a cruel order to slay his queen.\How can you bear to let your people see you tremble in rage?\Queen!\I cannot ask you,\or the knights who lowered their swords out of love for you,\to turn against your comrades, response:	but it is clear to see that your king has been struck by madness!
context: King! Foolish king!\You gave your servant a cruel order to slay his queen.\How can you bear to let your people see you tremble in rage?\Queen!\I cannot ask you,\or the knights who lowered their swords out of love for you,\to turn against your comrades,\but it is clear to see that your king has been struck by madness! response:	I believe that you are the only one who can lead your people now!
context: You gave your servant a cruel order to slay his queen.\How can you bear to let your people see you tremble in rage?\Queen!\I cannot ask you,\or the knights who lowered their swords out of love for you,\to turn against your comrades,\but it is clear to see that your king has been struck by madness!\I believe that you are the only one who can lead your people now! response:	Do you not agree?
context: How can you bear to let your people see you tremble in rage?\Queen!\I cannot ask you,\or the knights who lowered their swords out of love for you,\to turn against your comrades,\but it is clear to see that your king has been struck by madness!\I believe that you are the only one who can lead your people now!\Do you not agree? response:	Queen...
context: Queen!\I cannot ask you,\or the knights who lowered their swords out of love for you,\to turn against your comrades,\but it is clear to see that your king has been struck by madness!\I believe that you are the only one who can lead your people now!\Do you not agree?\Queen... response:	Make your choice.
context: I cannot ask you,\or the knights who lowered their swords out of love for you,\to turn against your comrades,\but it is clear to see that your king has been struck by madness!\I believe that you are the only one who can lead your people now!\Do you not agree?\Queen...\Make your choice. response:	I'm glad to see you standing, my brave, honorable queen!
context: or the knights who lowered their swords out of love for you,\to turn against your comrades,\but it is clear to see that your king has been struck by madness!\I believe that you are the only one who can lead your people now!\Do you not agree?\Queen...\Make your choice.\I'm glad to see you standing, my brave, honorable queen! response:	And you righteous warriors
context: to turn against your comrades,\but it is clear to see that your king has been struck by madness!\I believe that you are the only one who can lead your people now!\Do you not agree?\Queen...\Make your choice.\I'm glad to see you standing, my brave, honorable queen!\And you righteous warriors response:	who overcame the enemy's mind control to obey your queen!
context: but it is clear to see that your king has been struck by madness!\I believe that you are the only one who can lead your people now!\Do you not agree?\Queen...\Make your choice.\I'm glad to see you standing, my brave, honorable queen!\And you righteous warriors\who overcame the enemy's mind control to obey your queen! response:	You are the only ones who can end the oppression of this mad king!
