context: It's another peaceful day, Fi. response:	The Little Prince and the Legendary Hero
context: It's another peaceful day, Fi.\The Little Prince and the Legendary Hero response:	It's another peaceful autumn day in fall.
context: It's another peaceful day, Fi.\The Little Prince and the Legendary Hero\It's another peaceful autumn day in fall. response:	The arranged marriage game
context: It's another peaceful day, Fi.\The Little Prince and the Legendary Hero\It's another peaceful autumn day in fall.\The arranged marriage game response:	Leo-sama held was very popular!
context: It's another peaceful day, Fi.\The Little Prince and the Legendary Hero\It's another peaceful autumn day in fall.\The arranged marriage game\Leo-sama held was very popular! response:	Prince Leaf of the Kingdom of Halver, who showed great
context: It's another peaceful day, Fi.\The Little Prince and the Legendary Hero\It's another peaceful autumn day in fall.\The arranged marriage game\Leo-sama held was very popular!\Prince Leaf of the Kingdom of Halver, who showed great response:	skill in the games, has become very popular
context: It's another peaceful day, Fi.\The Little Prince and the Legendary Hero\It's another peaceful autumn day in fall.\The arranged marriage game\Leo-sama held was very popular!\Prince Leaf of the Kingdom of Halver, who showed great\skill in the games, has become very popular response:	Well? Did you rest well?
context: It's another peaceful day, Fi.\The Little Prince and the Legendary Hero\It's another peaceful autumn day in fall.\The arranged marriage game\Leo-sama held was very popular!\Prince Leaf of the Kingdom of Halver, who showed great\skill in the games, has become very popular\Well? Did you rest well? response:	Yes, thank you.
context: The Little Prince and the Legendary Hero\It's another peaceful autumn day in fall.\The arranged marriage game\Leo-sama held was very popular!\Prince Leaf of the Kingdom of Halver, who showed great\skill in the games, has become very popular\Well? Did you rest well?\Yes, thank you. response:	You came all the way from Halver.
context: It's another peaceful autumn day in fall.\The arranged marriage game\Leo-sama held was very popular!\Prince Leaf of the Kingdom of Halver, who showed great\skill in the games, has become very popular\Well? Did you rest well?\Yes, thank you.\You came all the way from Halver. response:	Before you go home,
context: The arranged marriage game\Leo-sama held was very popular!\Prince Leaf of the Kingdom of Halver, who showed great\skill in the games, has become very popular\Well? Did you rest well?\Yes, thank you.\You came all the way from Halver.\Before you go home, response:	you should have a look at Galette and the rest of the continent.
context: Leo-sama held was very popular!\Prince Leaf of the Kingdom of Halver, who showed great\skill in the games, has become very popular\Well? Did you rest well?\Yes, thank you.\You came all the way from Halver.\Before you go home,\you should have a look at Galette and the rest of the continent. response:	Yes, I hope to learn a lot from it.
context: Prince Leaf of the Kingdom of Halver, who showed great\skill in the games, has become very popular\Well? Did you rest well?\Yes, thank you.\You came all the way from Halver.\Before you go home,\you should have a look at Galette and the rest of the continent.\Yes, I hope to learn a lot from it. response:	I'll meet up with you at night.
context: skill in the games, has become very popular\Well? Did you rest well?\Yes, thank you.\You came all the way from Halver.\Before you go home,\you should have a look at Galette and the rest of the continent.\Yes, I hope to learn a lot from it.\I'll meet up with you at night. response:	See you later.
context: Well? Did you rest well?\Yes, thank you.\You came all the way from Halver.\Before you go home,\you should have a look at Galette and the rest of the continent.\Yes, I hope to learn a lot from it.\I'll meet up with you at night.\See you later. response:	Thank you.
context: Yes, thank you.\You came all the way from Halver.\Before you go home,\you should have a look at Galette and the rest of the continent.\Yes, I hope to learn a lot from it.\I'll meet up with you at night.\See you later.\Thank you. response:	And so...
context: You came all the way from Halver.\Before you go home,\you should have a look at Galette and the rest of the continent.\Yes, I hope to learn a lot from it.\I'll meet up with you at night.\See you later.\Thank you.\And so... response:	I'll be here a little longer.
context: Before you go home,\you should have a look at Galette and the rest of the continent.\Yes, I hope to learn a lot from it.\I'll meet up with you at night.\See you later.\Thank you.\And so...\I'll be here a little longer. response:	Okay!
context: you should have a look at Galette and the rest of the continent.\Yes, I hope to learn a lot from it.\I'll meet up with you at night.\See you later.\Thank you.\And so...\I'll be here a little longer.\Okay! response:	Come by the barracks later.
context: Yes, I hope to learn a lot from it.\I'll meet up with you at night.\See you later.\Thank you.\And so...\I'll be here a little longer.\Okay!\Come by the barracks later. response:	I'm sure our men will be happy to see a strong warrior like you.
context: I'll meet up with you at night.\See you later.\Thank you.\And so...\I'll be here a little longer.\Okay!\Come by the barracks later.\I'm sure our men will be happy to see a strong warrior like you. response:	Okay!
context: See you later.\Thank you.\And so...\I'll be here a little longer.\Okay!\Come by the barracks later.\I'm sure our men will be happy to see a strong warrior like you.\Okay! response:	You're not coming with us, Gaul?
context: Thank you.\And so...\I'll be here a little longer.\Okay!\Come by the barracks later.\I'm sure our men will be happy to see a strong warrior like you.\Okay!\You're not coming with us, Gaul? response:	I've got work to do, so I can't.
context: And so...\I'll be here a little longer.\Okay!\Come by the barracks later.\I'm sure our men will be happy to see a strong warrior like you.\Okay!\You're not coming with us, Gaul?\I've got work to do, so I can't. response:	And you know, even if he's little, he's still a prince.
context: I'll be here a little longer.\Okay!\Come by the barracks later.\I'm sure our men will be happy to see a strong warrior like you.\Okay!\You're not coming with us, Gaul?\I've got work to do, so I can't.\And you know, even if he's little, he's still a prince. response:	Don't be too friendly with him.
context: Okay!\Come by the barracks later.\I'm sure our men will be happy to see a strong warrior like you.\Okay!\You're not coming with us, Gaul?\I've got work to do, so I can't.\And you know, even if he's little, he's still a prince.\Don't be too friendly with him. response:	Oh, yeah.
context: Come by the barracks later.\I'm sure our men will be happy to see a strong warrior like you.\Okay!\You're not coming with us, Gaul?\I've got work to do, so I can't.\And you know, even if he's little, he's still a prince.\Don't be too friendly with him.\Oh, yeah. response:	No, I'm still very young,
context: I'm sure our men will be happy to see a strong warrior like you.\Okay!\You're not coming with us, Gaul?\I've got work to do, so I can't.\And you know, even if he's little, he's still a prince.\Don't be too friendly with him.\Oh, yeah.\No, I'm still very young, response:	and I'm not performing my official duties now,
context: Okay!\You're not coming with us, Gaul?\I've got work to do, so I can't.\And you know, even if he's little, he's still a prince.\Don't be too friendly with him.\Oh, yeah.\No, I'm still very young,\and I'm not performing my official duties now, response:	so feel free to think of me as one of Vert's relatives.
context: You're not coming with us, Gaul?\I've got work to do, so I can't.\And you know, even if he's little, he's still a prince.\Don't be too friendly with him.\Oh, yeah.\No, I'm still very young,\and I'm not performing my official duties now,\so feel free to think of me as one of Vert's relatives. response:	Really?
context: I've got work to do, so I can't.\And you know, even if he's little, he's still a prince.\Don't be too friendly with him.\Oh, yeah.\No, I'm still very young,\and I'm not performing my official duties now,\so feel free to think of me as one of Vert's relatives.\Really? response:	That would be a lot more relaxed.
context: And you know, even if he's little, he's still a prince.\Don't be too friendly with him.\Oh, yeah.\No, I'm still very young,\and I'm not performing my official duties now,\so feel free to think of me as one of Vert's relatives.\Really?\That would be a lot more relaxed. response:	We really are relatives, too.
context: Don't be too friendly with him.\Oh, yeah.\No, I'm still very young,\and I'm not performing my official duties now,\so feel free to think of me as one of Vert's relatives.\Really?\That would be a lot more relaxed.\We really are relatives, too. response:	Jeez...
context: Oh, yeah.\No, I'm still very young,\and I'm not performing my official duties now,\so feel free to think of me as one of Vert's relatives.\Really?\That would be a lot more relaxed.\We really are relatives, too.\Jeez... response:	Just keep an eye on them and make sure things don't get too crazy.
context: No, I'm still very young,\and I'm not performing my official duties now,\so feel free to think of me as one of Vert's relatives.\Really?\That would be a lot more relaxed.\We really are relatives, too.\Jeez...\Just keep an eye on them and make sure things don't get too crazy. response:	Okay, Gaul-sama.
context: and I'm not performing my official duties now,\so feel free to think of me as one of Vert's relatives.\Really?\That would be a lot more relaxed.\We really are relatives, too.\Jeez...\Just keep an eye on them and make sure things don't get too crazy.\Okay, Gaul-sama. response:	And so...
context: so feel free to think of me as one of Vert's relatives.\Really?\That would be a lot more relaxed.\We really are relatives, too.\Jeez...\Just keep an eye on them and make sure things don't get too crazy.\Okay, Gaul-sama.\And so... response:	First we eat!
context: Really?\That would be a lot more relaxed.\We really are relatives, too.\Jeez...\Just keep an eye on them and make sure things don't get too crazy.\Okay, Gaul-sama.\And so...\First we eat! response:	A favorite of Galettian warriors...
context: That would be a lot more relaxed.\We really are relatives, too.\Jeez...\Just keep an eye on them and make sure things don't get too crazy.\Okay, Gaul-sama.\And so...\First we eat!\A favorite of Galettian warriors... response:	Enjoy the lunch menu of the Sea Dragon Tavern!
context: We really are relatives, too.\Jeez...\Just keep an eye on them and make sure things don't get too crazy.\Okay, Gaul-sama.\And so...\First we eat!\A favorite of Galettian warriors...\Enjoy the lunch menu of the Sea Dragon Tavern! response:	It's fresh fish from the sea.
context: Jeez...\Just keep an eye on them and make sure things don't get too crazy.\Okay, Gaul-sama.\And so...\First we eat!\A favorite of Galettian warriors...\Enjoy the lunch menu of the Sea Dragon Tavern!\It's fresh fish from the sea. response:	It's a popular spot for fishermen to go, too.
