context: Ah, I'm sorry. Ow... response:	A-are you all right?
context: Ah, I'm sorry. Ow...\A-are you all right? response:	Uh-huh, I just scraped my knee a little.
context: Ah, I'm sorry. Ow...\A-are you all right?\Uh-huh, I just scraped my knee a little. response:	Okay?
context: Ah, I'm sorry. Ow...\A-are you all right?\Uh-huh, I just scraped my knee a little.\Okay? response:	J-just wait here a bit.
context: Ah, I'm sorry. Ow...\A-are you all right?\Uh-huh, I just scraped my knee a little.\Okay?\J-just wait here a bit. response:	Thank you.
context: Ah, I'm sorry. Ow...\A-are you all right?\Uh-huh, I just scraped my knee a little.\Okay?\J-just wait here a bit.\Thank you. response:	S-sure.
context: Ah, I'm sorry. Ow...\A-are you all right?\Uh-huh, I just scraped my knee a little.\Okay?\J-just wait here a bit.\Thank you.\S-sure. response:	Spring thunder
context: Ah, I'm sorry. Ow...\A-are you all right?\Uh-huh, I just scraped my knee a little.\Okay?\J-just wait here a bit.\Thank you.\S-sure.\Spring thunder response:	Is this for me?
context: A-are you all right?\Uh-huh, I just scraped my knee a little.\Okay?\J-just wait here a bit.\Thank you.\S-sure.\Spring thunder\Is this for me? response:	Yeah.
context: Uh-huh, I just scraped my knee a little.\Okay?\J-just wait here a bit.\Thank you.\S-sure.\Spring thunder\Is this for me?\Yeah. response:	I thought your diet might be unbalanced from eating out too much.
context: Okay?\J-just wait here a bit.\Thank you.\S-sure.\Spring thunder\Is this for me?\Yeah.\I thought your diet might be unbalanced from eating out too much. response:	I see.
context: J-just wait here a bit.\Thank you.\S-sure.\Spring thunder\Is this for me?\Yeah.\I thought your diet might be unbalanced from eating out too much.\I see. response:	Thanks.
context: Thank you.\S-sure.\Spring thunder\Is this for me?\Yeah.\I thought your diet might be unbalanced from eating out too much.\I see.\Thanks. response:	Sure.
context: S-sure.\Spring thunder\Is this for me?\Yeah.\I thought your diet might be unbalanced from eating out too much.\I see.\Thanks.\Sure. response:	I'll...
context: Spring thunder\Is this for me?\Yeah.\I thought your diet might be unbalanced from eating out too much.\I see.\Thanks.\Sure.\I'll... response:	It's fine, just sit down.
context: Is this for me?\Yeah.\I thought your diet might be unbalanced from eating out too much.\I see.\Thanks.\Sure.\I'll...\It's fine, just sit down. response:	Brother...
context: Yeah.\I thought your diet might be unbalanced from eating out too much.\I see.\Thanks.\Sure.\I'll...\It's fine, just sit down.\Brother... response:	Did it bother you?
context: I thought your diet might be unbalanced from eating out too much.\I see.\Thanks.\Sure.\I'll...\It's fine, just sit down.\Brother...\Did it bother you? response:	The letter...
context: I see.\Thanks.\Sure.\I'll...\It's fine, just sit down.\Brother...\Did it bother you?\The letter... response:	That's not it! This is...
context: Thanks.\Sure.\I'll...\It's fine, just sit down.\Brother...\Did it bother you?\The letter...\That's not it! This is... response:	I'm sorry, I broke the promise.
context: Sure.\I'll...\It's fine, just sit down.\Brother...\Did it bother you?\The letter...\That's not it! This is...\I'm sorry, I broke the promise. response:	No, that's not it!
context: I'll...\It's fine, just sit down.\Brother...\Did it bother you?\The letter...\That's not it! This is...\I'm sorry, I broke the promise.\No, that's not it! response:	I won't ever come again.
context: It's fine, just sit down.\Brother...\Did it bother you?\The letter...\That's not it! This is...\I'm sorry, I broke the promise.\No, that's not it!\I won't ever come again. response:	That's not it.
context: Brother...\Did it bother you?\The letter...\That's not it! This is...\I'm sorry, I broke the promise.\No, that's not it!\I won't ever come again.\That's not it. response:	This isn't what you think it is.
context: Did it bother you?\The letter...\That's not it! This is...\I'm sorry, I broke the promise.\No, that's not it!\I won't ever come again.\That's not it.\This isn't what you think it is. response:	So, please stay here.
context: The letter...\That's not it! This is...\I'm sorry, I broke the promise.\No, that's not it!\I won't ever come again.\That's not it.\This isn't what you think it is.\So, please stay here. response:	Brother, my arm hurts.
context: That's not it! This is...\I'm sorry, I broke the promise.\No, that's not it!\I won't ever come again.\That's not it.\This isn't what you think it is.\So, please stay here.\Brother, my arm hurts. response:	S-sorry.
context: I'm sorry, I broke the promise.\No, that's not it!\I won't ever come again.\That's not it.\This isn't what you think it is.\So, please stay here.\Brother, my arm hurts.\S-sorry. response:	I read your letter.
context: No, that's not it!\I won't ever come again.\That's not it.\This isn't what you think it is.\So, please stay here.\Brother, my arm hurts.\S-sorry.\I read your letter. response:	Yeah.
context: I won't ever come again.\That's not it.\This isn't what you think it is.\So, please stay here.\Brother, my arm hurts.\S-sorry.\I read your letter.\Yeah. response:	Try it on.
context: That's not it.\This isn't what you think it is.\So, please stay here.\Brother, my arm hurts.\S-sorry.\I read your letter.\Yeah.\Try it on. response:	Come on, try it on for me.
context: This isn't what you think it is.\So, please stay here.\Brother, my arm hurts.\S-sorry.\I read your letter.\Yeah.\Try it on.\Come on, try it on for me. response:	Futaba.
context: So, please stay here.\Brother, my arm hurts.\S-sorry.\I read your letter.\Yeah.\Try it on.\Come on, try it on for me.\Futaba. response:	Hey Futaba!
context: Brother, my arm hurts.\S-sorry.\I read your letter.\Yeah.\Try it on.\Come on, try it on for me.\Futaba.\Hey Futaba! response:	Why are you so out of it?
context: S-sorry.\I read your letter.\Yeah.\Try it on.\Come on, try it on for me.\Futaba.\Hey Futaba!\Why are you so out of it? response:	You're the one who invited us.
context: I read your letter.\Yeah.\Try it on.\Come on, try it on for me.\Futaba.\Hey Futaba!\Why are you so out of it?\You're the one who invited us. response:	Oh yeah!
context: Yeah.\Try it on.\Come on, try it on for me.\Futaba.\Hey Futaba!\Why are you so out of it?\You're the one who invited us.\Oh yeah! response:	He's so cute!
context: Try it on.\Come on, try it on for me.\Futaba.\Hey Futaba!\Why are you so out of it?\You're the one who invited us.\Oh yeah!\He's so cute! response:	You have bad taste.
context: Come on, try it on for me.\Futaba.\Hey Futaba!\Why are you so out of it?\You're the one who invited us.\Oh yeah!\He's so cute!\You have bad taste. response:	No way...
context: Futaba.\Hey Futaba!\Why are you so out of it?\You're the one who invited us.\Oh yeah!\He's so cute!\You have bad taste.\No way... response:	Damn, he's such a handful.
context: Hey Futaba!\Why are you so out of it?\You're the one who invited us.\Oh yeah!\He's so cute!\You have bad taste.\No way...\Damn, he's such a handful. response:	Why am I the only one who has to work in this dim room?
context: Why are you so out of it?\You're the one who invited us.\Oh yeah!\He's so cute!\You have bad taste.\No way...\Damn, he's such a handful.\Why am I the only one who has to work in this dim room? response:	If only Koshiro-san didn't take the day off.
context: You're the one who invited us.\Oh yeah!\He's so cute!\You have bad taste.\No way...\Damn, he's such a handful.\Why am I the only one who has to work in this dim room?\If only Koshiro-san didn't take the day off. response:	If only he didn't take the day off.
context: Oh yeah!\He's so cute!\You have bad taste.\No way...\Damn, he's such a handful.\Why am I the only one who has to work in this dim room?\If only Koshiro-san didn't take the day off.\If only he didn't take the day off. response:	Th-this is...!
context: He's so cute!\You have bad taste.\No way...\Damn, he's such a handful.\Why am I the only one who has to work in this dim room?\If only Koshiro-san didn't take the day off.\If only he didn't take the day off.\Th-this is...! response:	So close.
context: You have bad taste.\No way...\Damn, he's such a handful.\Why am I the only one who has to work in this dim room?\If only Koshiro-san didn't take the day off.\If only he didn't take the day off.\Th-this is...!\So close. response:	Yes?
context: No way...\Damn, he's such a handful.\Why am I the only one who has to work in this dim room?\If only Koshiro-san didn't take the day off.\If only he didn't take the day off.\Th-this is...!\So close.\Yes? response:	Thank god.
context: Damn, he's such a handful.\Why am I the only one who has to work in this dim room?\If only Koshiro-san didn't take the day off.\If only he didn't take the day off.\Th-this is...!\So close.\Yes?\Thank god. response:	Thanks.
context: Why am I the only one who has to work in this dim room?\If only Koshiro-san didn't take the day off.\If only he didn't take the day off.\Th-this is...!\So close.\Yes?\Thank god.\Thanks. response:	You want something to drink?
context: If only Koshiro-san didn't take the day off.\If only he didn't take the day off.\Th-this is...!\So close.\Yes?\Thank god.\Thanks.\You want something to drink? response:	W-wait a second.
context: If only he didn't take the day off.\Th-this is...!\So close.\Yes?\Thank god.\Thanks.\You want something to drink?\W-wait a second. response:	Ah...
context: Th-this is...!\So close.\Yes?\Thank god.\Thanks.\You want something to drink?\W-wait a second.\Ah... response:	I'll go buy something!
context: So close.\Yes?\Thank god.\Thanks.\You want something to drink?\W-wait a second.\Ah...\I'll go buy something! response:	J-just wait a little bit.
context: Yes?\Thank god.\Thanks.\You want something to drink?\W-wait a second.\Ah...\I'll go buy something!\J-just wait a little bit. response:	Brother?
context: Thank god.\Thanks.\You want something to drink?\W-wait a second.\Ah...\I'll go buy something!\J-just wait a little bit.\Brother? response:	Do you want me to make you something?
context: Thanks.\You want something to drink?\W-wait a second.\Ah...\I'll go buy something!\J-just wait a little bit.\Brother?\Do you want me to make you something? response:	Eh?
context: You want something to drink?\W-wait a second.\Ah...\I'll go buy something!\J-just wait a little bit.\Brother?\Do you want me to make you something?\Eh? response:	For dinner.
context: W-wait a second.\Ah...\I'll go buy something!\J-just wait a little bit.\Brother?\Do you want me to make you something?\Eh?\For dinner. response:	If you keep eating things like this, you'll really get sick.
context: Ah...\I'll go buy something!\J-just wait a little bit.\Brother?\Do you want me to make you something?\Eh?\For dinner.\If you keep eating things like this, you'll really get sick. response:	But...
context: I'll go buy something!\J-just wait a little bit.\Brother?\Do you want me to make you something?\Eh?\For dinner.\If you keep eating things like this, you'll really get sick.\But... response:	Let's go together!
context: J-just wait a little bit.\Brother?\Do you want me to make you something?\Eh?\For dinner.\If you keep eating things like this, you'll really get sick.\But...\Let's go together! response:	I said don't move!
context: Brother?\Do you want me to make you something?\Eh?\For dinner.\If you keep eating things like this, you'll really get sick.\But...\Let's go together!\I said don't move! response:	I'll go buy it, so write it down for me.
context: Do you want me to make you something?\Eh?\For dinner.\If you keep eating things like this, you'll really get sick.\But...\Let's go together!\I said don't move!\I'll go buy it, so write it down for me. response:	What do you want to eat?
context: Eh?\For dinner.\If you keep eating things like this, you'll really get sick.\But...\Let's go together!\I said don't move!\I'll go buy it, so write it down for me.\What do you want to eat? response:	Anything's fine.
context: For dinner.\If you keep eating things like this, you'll really get sick.\But...\Let's go together!\I said don't move!\I'll go buy it, so write it down for me.\What do you want to eat?\Anything's fine. response:	How about seasoned rice?
context: If you keep eating things like this, you'll really get sick.\But...\Let's go together!\I said don't move!\I'll go buy it, so write it down for me.\What do you want to eat?\Anything's fine.\How about seasoned rice? response:	Uh... Yeah, but...
context: But...\Let's go together!\I said don't move!\I'll go buy it, so write it down for me.\What do you want to eat?\Anything's fine.\How about seasoned rice?\Uh... Yeah, but... response:	I don't have a rice cooker...
context: Let's go together!\I said don't move!\I'll go buy it, so write it down for me.\What do you want to eat?\Anything's fine.\How about seasoned rice?\Uh... Yeah, but...\I don't have a rice cooker... response:	Eh? Then you really don't cook at all by yourself?
context: I said don't move!\I'll go buy it, so write it down for me.\What do you want to eat?\Anything's fine.\How about seasoned rice?\Uh... Yeah, but...\I don't have a rice cooker...\Eh? Then you really don't cook at all by yourself? response:	I was thinking of buying one someday.
context: I'll go buy it, so write it down for me.\What do you want to eat?\Anything's fine.\How about seasoned rice?\Uh... Yeah, but...\I don't have a rice cooker...\Eh? Then you really don't cook at all by yourself?\I was thinking of buying one someday. response:	You have a frying pan, right?
context: What do you want to eat?\Anything's fine.\How about seasoned rice?\Uh... Yeah, but...\I don't have a rice cooker...\Eh? Then you really don't cook at all by yourself?\I was thinking of buying one someday.\You have a frying pan, right? response:	Yeah.
context: Anything's fine.\How about seasoned rice?\Uh... Yeah, but...\I don't have a rice cooker...\Eh? Then you really don't cook at all by yourself?\I was thinking of buying one someday.\You have a frying pan, right?\Yeah. response:	Then...
context: How about seasoned rice?\Uh... Yeah, but...\I don't have a rice cooker...\Eh? Then you really don't cook at all by yourself?\I was thinking of buying one someday.\You have a frying pan, right?\Yeah.\Then... response:	What on earth am I doing?
context: Uh... Yeah, but...\I don't have a rice cooker...\Eh? Then you really don't cook at all by yourself?\I was thinking of buying one someday.\You have a frying pan, right?\Yeah.\Then...\What on earth am I doing? response:	Until a moment ago I was so depressed,
context: I don't have a rice cooker...\Eh? Then you really don't cook at all by yourself?\I was thinking of buying one someday.\You have a frying pan, right?\Yeah.\Then...\What on earth am I doing?\Until a moment ago I was so depressed, response:	but now I'm all happy...
