context: Yeah... response:	I think it was a bright, clear day, just like today.
context: Yeah...\I think it was a bright, clear day, just like today. response:	Hey! Bell, come quick!
context: Yeah...\I think it was a bright, clear day, just like today.\Hey! Bell, come quick! response:	They said my grandfather was attacked
context: Yeah...\I think it was a bright, clear day, just like today.\Hey! Bell, come quick!\They said my grandfather was attacked response:	by a monster in the mountains and died.
context: Yeah...\I think it was a bright, clear day, just like today.\Hey! Bell, come quick!\They said my grandfather was attacked\by a monster in the mountains and died. response:	They said he fell into a deep valley where we couldn't go to search for him.
context: Yeah...\I think it was a bright, clear day, just like today.\Hey! Bell, come quick!\They said my grandfather was attacked\by a monster in the mountains and died.\They said he fell into a deep valley where we couldn't go to search for him. response:	I've made my decision, grandfather.
context: Yeah...\I think it was a bright, clear day, just like today.\Hey! Bell, come quick!\They said my grandfather was attacked\by a monster in the mountains and died.\They said he fell into a deep valley where we couldn't go to search for him.\I've made my decision, grandfather. response:	I'm going to become an adventurer.
context: Yeah...\I think it was a bright, clear day, just like today.\Hey! Bell, come quick!\They said my grandfather was attacked\by a monster in the mountains and died.\They said he fell into a deep valley where we couldn't go to search for him.\I've made my decision, grandfather.\I'm going to become an adventurer. response:	But I looked so weak that no familia would accept me.
context: I think it was a bright, clear day, just like today.\Hey! Bell, come quick!\They said my grandfather was attacked\by a monster in the mountains and died.\They said he fell into a deep valley where we couldn't go to search for him.\I've made my decision, grandfather.\I'm going to become an adventurer.\But I looked so weak that no familia would accept me. response:	Get lost, kid!
context: Hey! Bell, come quick!\They said my grandfather was attacked\by a monster in the mountains and died.\They said he fell into a deep valley where we couldn't go to search for him.\I've made my decision, grandfather.\I'm going to become an adventurer.\But I looked so weak that no familia would accept me.\Get lost, kid! response:	We won't feed you!
context: They said my grandfather was attacked\by a monster in the mountains and died.\They said he fell into a deep valley where we couldn't go to search for him.\I've made my decision, grandfather.\I'm going to become an adventurer.\But I looked so weak that no familia would accept me.\Get lost, kid!\We won't feed you! response:	You could do the cleaning, I guess.
context: by a monster in the mountains and died.\They said he fell into a deep valley where we couldn't go to search for him.\I've made my decision, grandfather.\I'm going to become an adventurer.\But I looked so weak that no familia would accept me.\Get lost, kid!\We won't feed you!\You could do the cleaning, I guess. response:	You'd better have your own money.
context: They said he fell into a deep valley where we couldn't go to search for him.\I've made my decision, grandfather.\I'm going to become an adventurer.\But I looked so weak that no familia would accept me.\Get lost, kid!\We won't feed you!\You could do the cleaning, I guess.\You'd better have your own money. response:	Please, let me into your familia!
context: I've made my decision, grandfather.\I'm going to become an adventurer.\But I looked so weak that no familia would accept me.\Get lost, kid!\We won't feed you!\You could do the cleaning, I guess.\You'd better have your own money.\Please, let me into your familia! response:	Come back when you get stronger.
