context: Please use this room. response:	Understood, thank you.
context: Please use this room.\Understood, thank you. response:	She's settling down in a bad spot.
context: Please use this room.\Understood, thank you.\She's settling down in a bad spot. response:	The center of the three children's rooms.
context: Please use this room.\Understood, thank you.\She's settling down in a bad spot.\The center of the three children's rooms. response:	To make it easier for her to watch us...
context: Please use this room.\Understood, thank you.\She's settling down in a bad spot.\The center of the three children's rooms.\To make it easier for her to watch us... response:	I was distracted by the tracking devices that I didn't think we would get another adult.
context: Please use this room.\Understood, thank you.\She's settling down in a bad spot.\The center of the three children's rooms.\To make it easier for her to watch us...\I was distracted by the tracking devices that I didn't think we would get another adult. response:	Actually we should be happy about this.
context: Please use this room.\Understood, thank you.\She's settling down in a bad spot.\The center of the three children's rooms.\To make it easier for her to watch us...\I was distracted by the tracking devices that I didn't think we would get another adult.\Actually we should be happy about this. response:	What? Be happy?
context: Please use this room.\Understood, thank you.\She's settling down in a bad spot.\The center of the three children's rooms.\To make it easier for her to watch us...\I was distracted by the tracking devices that I didn't think we would get another adult.\Actually we should be happy about this.\What? Be happy? response:	Carol and Sister Krone. We have two more sources of information.
context: Understood, thank you.\She's settling down in a bad spot.\The center of the three children's rooms.\To make it easier for her to watch us...\I was distracted by the tracking devices that I didn't think we would get another adult.\Actually we should be happy about this.\What? Be happy?\Carol and Sister Krone. We have two more sources of information. response:	I see.
context: She's settling down in a bad spot.\The center of the three children's rooms.\To make it easier for her to watch us...\I was distracted by the tracking devices that I didn't think we would get another adult.\Actually we should be happy about this.\What? Be happy?\Carol and Sister Krone. We have two more sources of information.\I see. response:	First, where did those two come from?
context: The center of the three children's rooms.\To make it easier for her to watch us...\I was distracted by the tracking devices that I didn't think we would get another adult.\Actually we should be happy about this.\What? Be happy?\Carol and Sister Krone. We have two more sources of information.\I see.\First, where did those two come from? response:	Carol is Conny's replacement.
context: To make it easier for her to watch us...\I was distracted by the tracking devices that I didn't think we would get another adult.\Actually we should be happy about this.\What? Be happy?\Carol and Sister Krone. We have two more sources of information.\I see.\First, where did those two come from?\Carol is Conny's replacement. response:	So they're replenishing the merchandise.
context: I was distracted by the tracking devices that I didn't think we would get another adult.\Actually we should be happy about this.\What? Be happy?\Carol and Sister Krone. We have two more sources of information.\I see.\First, where did those two come from?\Carol is Conny's replacement.\So they're replenishing the merchandise. response:	Yeah, if this place is a farm,
