context: There's no way he would like someone like me. response:	Why are you assuming you've lost?
context: There's no way he would like someone like me.\Why are you assuming you've lost? response:	You've already lost in spirit.
context: There's no way he would like someone like me.\Why are you assuming you've lost?\You've already lost in spirit. response:	It's Ichika I'm up against.
context: There's no way he would like someone like me.\Why are you assuming you've lost?\You've already lost in spirit.\It's Ichika I'm up against. response:	She's cute and social, and she's popular with the guys.
context: There's no way he would like someone like me.\Why are you assuming you've lost?\You've already lost in spirit.\It's Ichika I'm up against.\She's cute and social, and she's popular with the guys. response:	And she has the strength to believe in her own dreams.
context: There's no way he would like someone like me.\Why are you assuming you've lost?\You've already lost in spirit.\It's Ichika I'm up against.\She's cute and social, and she's popular with the guys.\And she has the strength to believe in her own dreams. response:	If I were a guy, I would choose her.
context: There's no way he would like someone like me.\Why are you assuming you've lost?\You've already lost in spirit.\It's Ichika I'm up against.\She's cute and social, and she's popular with the guys.\And she has the strength to believe in her own dreams.\If I were a guy, I would choose her. response:	Besides, there's you, too.
context: There's no way he would like someone like me.\Why are you assuming you've lost?\You've already lost in spirit.\It's Ichika I'm up against.\She's cute and social, and she's popular with the guys.\And she has the strength to believe in her own dreams.\If I were a guy, I would choose her.\Besides, there's you, too. response:	Gee, thanks.
context: Why are you assuming you've lost?\You've already lost in spirit.\It's Ichika I'm up against.\She's cute and social, and she's popular with the guys.\And she has the strength to believe in her own dreams.\If I were a guy, I would choose her.\Besides, there's you, too.\Gee, thanks. response:	Not that I didn't already know that I'm cute.
context: You've already lost in spirit.\It's Ichika I'm up against.\She's cute and social, and she's popular with the guys.\And she has the strength to believe in her own dreams.\If I were a guy, I would choose her.\Besides, there's you, too.\Gee, thanks.\Not that I didn't already know that I'm cute. response:	That just makes him even more messed up for not immediately going out with me.
context: It's Ichika I'm up against.\She's cute and social, and she's popular with the guys.\And she has the strength to believe in her own dreams.\If I were a guy, I would choose her.\Besides, there's you, too.\Gee, thanks.\Not that I didn't already know that I'm cute.\That just makes him even more messed up for not immediately going out with me. response:	How much courage does he think it took me?
context: She's cute and social, and she's popular with the guys.\And she has the strength to believe in her own dreams.\If I were a guy, I would choose her.\Besides, there's you, too.\Gee, thanks.\Not that I didn't already know that I'm cute.\That just makes him even more messed up for not immediately going out with me.\How much courage does he think it took me? response:	You confessed?
context: And she has the strength to believe in her own dreams.\If I were a guy, I would choose her.\Besides, there's you, too.\Gee, thanks.\Not that I didn't already know that I'm cute.\That just makes him even more messed up for not immediately going out with me.\How much courage does he think it took me?\You confessed? response:	You're amazing, Nino.
context: If I were a guy, I would choose her.\Besides, there's you, too.\Gee, thanks.\Not that I didn't already know that I'm cute.\That just makes him even more messed up for not immediately going out with me.\How much courage does he think it took me?\You confessed?\You're amazing, Nino. response:	So you haven't yet, have you?
context: Besides, there's you, too.\Gee, thanks.\Not that I didn't already know that I'm cute.\That just makes him even more messed up for not immediately going out with me.\How much courage does he think it took me?\You confessed?\You're amazing, Nino.\So you haven't yet, have you? response:	He'll never get it through his thick skull unless you tell him.
context: Gee, thanks.\Not that I didn't already know that I'm cute.\That just makes him even more messed up for not immediately going out with me.\How much courage does he think it took me?\You confessed?\You're amazing, Nino.\So you haven't yet, have you?\He'll never get it through his thick skull unless you tell him. response:	You're right.
context: Not that I didn't already know that I'm cute.\That just makes him even more messed up for not immediately going out with me.\How much courage does he think it took me?\You confessed?\You're amazing, Nino.\So you haven't yet, have you?\He'll never get it through his thick skull unless you tell him.\You're right. response:	I said I'd do it if I scored the highest on our exams.
context: That just makes him even more messed up for not immediately going out with me.\How much courage does he think it took me?\You confessed?\You're amazing, Nino.\So you haven't yet, have you?\He'll never get it through his thick skull unless you tell him.\You're right.\I said I'd do it if I scored the highest on our exams. response:	Or if I could bake good bread.
context: How much courage does he think it took me?\You confessed?\You're amazing, Nino.\So you haven't yet, have you?\He'll never get it through his thick skull unless you tell him.\You're right.\I said I'd do it if I scored the highest on our exams.\Or if I could bake good bread. response:	I kept making up excuses to put it off.
context: You confessed?\You're amazing, Nino.\So you haven't yet, have you?\He'll never get it through his thick skull unless you tell him.\You're right.\I said I'd do it if I scored the highest on our exams.\Or if I could bake good bread.\I kept making up excuses to put it off. response:	It's not Ichika's fault or anyone else's.
context: You're amazing, Nino.\So you haven't yet, have you?\He'll never get it through his thick skull unless you tell him.\You're right.\I said I'd do it if I scored the highest on our exams.\Or if I could bake good bread.\I kept making up excuses to put it off.\It's not Ichika's fault or anyone else's. response:	I did this to myself.
context: So you haven't yet, have you?\He'll never get it through his thick skull unless you tell him.\You're right.\I said I'd do it if I scored the highest on our exams.\Or if I could bake good bread.\I kept making up excuses to put it off.\It's not Ichika's fault or anyone else's.\I did this to myself. response:	Okay, then.
context: He'll never get it through his thick skull unless you tell him.\You're right.\I said I'd do it if I scored the highest on our exams.\Or if I could bake good bread.\I kept making up excuses to put it off.\It's not Ichika's fault or anyone else's.\I did this to myself.\Okay, then. response:	Go ahead and stay cooped up like this forever.
context: You're right.\I said I'd do it if I scored the highest on our exams.\Or if I could bake good bread.\I kept making up excuses to put it off.\It's not Ichika's fault or anyone else's.\I did this to myself.\Okay, then.\Go ahead and stay cooped up like this forever. response:	Always moping like that...
context: I said I'd do it if I scored the highest on our exams.\Or if I could bake good bread.\I kept making up excuses to put it off.\It's not Ichika's fault or anyone else's.\I did this to myself.\Okay, then.\Go ahead and stay cooped up like this forever.\Always moping like that... response:	You and I really are on completely different wavelengths.
context: Or if I could bake good bread.\I kept making up excuses to put it off.\It's not Ichika's fault or anyone else's.\I did this to myself.\Okay, then.\Go ahead and stay cooped up like this forever.\Always moping like that...\You and I really are on completely different wavelengths. response:	But still, I thought you were a rival.
context: I kept making up excuses to put it off.\It's not Ichika's fault or anyone else's.\I did this to myself.\Okay, then.\Go ahead and stay cooped up like this forever.\Always moping like that...\You and I really are on completely different wavelengths.\But still, I thought you were a rival. response:	You're no match for me? What?
context: It's not Ichika's fault or anyone else's.\I did this to myself.\Okay, then.\Go ahead and stay cooped up like this forever.\Always moping like that...\You and I really are on completely different wavelengths.\But still, I thought you were a rival.\You're no match for me? What? response:	You said we're rivals in love, didn't you?
context: I did this to myself.\Okay, then.\Go ahead and stay cooped up like this forever.\Always moping like that...\You and I really are on completely different wavelengths.\But still, I thought you were a rival.\You're no match for me? What?\You said we're rivals in love, didn't you? response:	You had no trouble admitting that I'm cute.
context: Okay, then.\Go ahead and stay cooped up like this forever.\Always moping like that...\You and I really are on completely different wavelengths.\But still, I thought you were a rival.\You're no match for me? What?\You said we're rivals in love, didn't you?\You had no trouble admitting that I'm cute. response:	Seriously, think about it carefully.
context: Go ahead and stay cooped up like this forever.\Always moping like that...\You and I really are on completely different wavelengths.\But still, I thought you were a rival.\You're no match for me? What?\You said we're rivals in love, didn't you?\You had no trouble admitting that I'm cute.\Seriously, think about it carefully. response:	We're quintuplets.
context: Always moping like that...\You and I really are on completely different wavelengths.\But still, I thought you were a rival.\You're no match for me? What?\You said we're rivals in love, didn't you?\You had no trouble admitting that I'm cute.\Seriously, think about it carefully.\We're quintuplets. response:	You're obviously cute, too.
context: You and I really are on completely different wavelengths.\But still, I thought you were a rival.\You're no match for me? What?\You said we're rivals in love, didn't you?\You had no trouble admitting that I'm cute.\Seriously, think about it carefully.\We're quintuplets.\You're obviously cute, too. response:	Wait, don't you think this is a bit too short?
context: But still, I thought you were a rival.\You're no match for me? What?\You said we're rivals in love, didn't you?\You had no trouble admitting that I'm cute.\Seriously, think about it carefully.\We're quintuplets.\You're obviously cute, too.\Wait, don't you think this is a bit too short? response:	You're the one who told me to cut it.
context: You're no match for me? What?\You said we're rivals in love, didn't you?\You had no trouble admitting that I'm cute.\Seriously, think about it carefully.\We're quintuplets.\You're obviously cute, too.\Wait, don't you think this is a bit too short?\You're the one who told me to cut it. response:	I know, but I've never cut it this short before.
context: You said we're rivals in love, didn't you?\You had no trouble admitting that I'm cute.\Seriously, think about it carefully.\We're quintuplets.\You're obviously cute, too.\Wait, don't you think this is a bit too short?\You're the one who told me to cut it.\I know, but I've never cut it this short before. response:	Don't worry.
context: You had no trouble admitting that I'm cute.\Seriously, think about it carefully.\We're quintuplets.\You're obviously cute, too.\Wait, don't you think this is a bit too short?\You're the one who told me to cut it.\I know, but I've never cut it this short before.\Don't worry. response:	You look cute.
context: Seriously, think about it carefully.\We're quintuplets.\You're obviously cute, too.\Wait, don't you think this is a bit too short?\You're the one who told me to cut it.\I know, but I've never cut it this short before.\Don't worry.\You look cute. response:	Y-You'd better be right.
context: We're quintuplets.\You're obviously cute, too.\Wait, don't you think this is a bit too short?\You're the one who told me to cut it.\I know, but I've never cut it this short before.\Don't worry.\You look cute.\Y-You'd better be right. response:	Yeah, you're cute.
context: You're obviously cute, too.\Wait, don't you think this is a bit too short?\You're the one who told me to cut it.\I know, but I've never cut it this short before.\Don't worry.\You look cute.\Y-You'd better be right.\Yeah, you're cute. response:	Bye.
context: Wait, don't you think this is a bit too short?\You're the one who told me to cut it.\I know, but I've never cut it this short before.\Don't worry.\You look cute.\Y-You'd better be right.\Yeah, you're cute.\Bye. response:	Nino, I'm sorry.
context: You're the one who told me to cut it.\I know, but I've never cut it this short before.\Don't worry.\You look cute.\Y-You'd better be right.\Yeah, you're cute.\Bye.\Nino, I'm sorry. response:	H-Hey, where are you taking me?
context: I know, but I've never cut it this short before.\Don't worry.\You look cute.\Y-You'd better be right.\Yeah, you're cute.\Bye.\Nino, I'm sorry.\H-Hey, where are you taking me? response:	Just come with me.
