context: Burst into bloom - Red Crown! response:	Surely you don't think that's sufficient to deal with me?
context: Burst into bloom - Red Crown!\Surely you don't think that's sufficient to deal with me? response:	Why don't you show yourself already?
context: Burst into bloom - Red Crown!\Surely you don't think that's sufficient to deal with me?\Why don't you show yourself already? response:	Silas Norman...
context: Burst into bloom - Red Crown!\Surely you don't think that's sufficient to deal with me?\Why don't you show yourself already?\Silas Norman... response:	Unshackled
context: Burst into bloom - Red Crown!\Surely you don't think that's sufficient to deal with me?\Why don't you show yourself already?\Silas Norman...\Unshackled response:	I'm impressed that you realized I was the true perpetrator.
context: Burst into bloom - Red Crown!\Surely you don't think that's sufficient to deal with me?\Why don't you show yourself already?\Silas Norman...\Unshackled\I'm impressed that you realized I was the true perpetrator. response:	Thanks to that slip of the tongue of yours.
context: Burst into bloom - Red Crown!\Surely you don't think that's sufficient to deal with me?\Why don't you show yourself already?\Silas Norman...\Unshackled\I'm impressed that you realized I was the true perpetrator.\Thanks to that slip of the tongue of yours. response:	I'm sure I don't know what you mean.
context: Burst into bloom - Red Crown!\Surely you don't think that's sufficient to deal with me?\Why don't you show yourself already?\Silas Norman...\Unshackled\I'm impressed that you realized I was the true perpetrator.\Thanks to that slip of the tongue of yours.\I'm sure I don't know what you mean. response:	Yesterday, in the Business Area, this is what you said in trying to stop Lester.
context: Surely you don't think that's sufficient to deal with me?\Why don't you show yourself already?\Silas Norman...\Unshackled\I'm impressed that you realized I was the true perpetrator.\Thanks to that slip of the tongue of yours.\I'm sure I don't know what you mean.\Yesterday, in the Business Area, this is what you said in trying to stop Lester. response:	Waiting for a chance to duel... you'd never do anything cowardly like that!
context: Why don't you show yourself already?\Silas Norman...\Unshackled\I'm impressed that you realized I was the true perpetrator.\Thanks to that slip of the tongue of yours.\I'm sure I don't know what you mean.\Yesterday, in the Business Area, this is what you said in trying to stop Lester.\Waiting for a chance to duel... you'd never do anything cowardly like that! response:	So what if I did?
context: Silas Norman...\Unshackled\I'm impressed that you realized I was the true perpetrator.\Thanks to that slip of the tongue of yours.\I'm sure I don't know what you mean.\Yesterday, in the Business Area, this is what you said in trying to stop Lester.\Waiting for a chance to duel... you'd never do anything cowardly like that!\So what if I did? response:	The only thing the media reported was that I'd repulsed my attackers.
context: Unshackled\I'm impressed that you realized I was the true perpetrator.\Thanks to that slip of the tongue of yours.\I'm sure I don't know what you mean.\Yesterday, in the Business Area, this is what you said in trying to stop Lester.\Waiting for a chance to duel... you'd never do anything cowardly like that!\So what if I did?\The only thing the media reported was that I'd repulsed my attackers. response:	There was no report of my having dueled Sasamiya that day.
context: I'm impressed that you realized I was the true perpetrator.\Thanks to that slip of the tongue of yours.\I'm sure I don't know what you mean.\Yesterday, in the Business Area, this is what you said in trying to stop Lester.\Waiting for a chance to duel... you'd never do anything cowardly like that!\So what if I did?\The only thing the media reported was that I'd repulsed my attackers.\There was no report of my having dueled Sasamiya that day. response:	You couldn't have been so sure about that unless you actually saw it happen,
context: Thanks to that slip of the tongue of yours.\I'm sure I don't know what you mean.\Yesterday, in the Business Area, this is what you said in trying to stop Lester.\Waiting for a chance to duel... you'd never do anything cowardly like that!\So what if I did?\The only thing the media reported was that I'd repulsed my attackers.\There was no report of my having dueled Sasamiya that day.\You couldn't have been so sure about that unless you actually saw it happen, response:	or else you'd been told of the situation.
context: I'm sure I don't know what you mean.\Yesterday, in the Business Area, this is what you said in trying to stop Lester.\Waiting for a chance to duel... you'd never do anything cowardly like that!\So what if I did?\The only thing the media reported was that I'd repulsed my attackers.\There was no report of my having dueled Sasamiya that day.\You couldn't have been so sure about that unless you actually saw it happen,\or else you'd been told of the situation. response:	Either way, it could only have been the perpetrator, and those in league with him!
context: Yesterday, in the Business Area, this is what you said in trying to stop Lester.\Waiting for a chance to duel... you'd never do anything cowardly like that!\So what if I did?\The only thing the media reported was that I'd repulsed my attackers.\There was no report of my having dueled Sasamiya that day.\You couldn't have been so sure about that unless you actually saw it happen,\or else you'd been told of the situation.\Either way, it could only have been the perpetrator, and those in league with him! response:	Well, well... How careless of me!
context: Waiting for a chance to duel... you'd never do anything cowardly like that!\So what if I did?\The only thing the media reported was that I'd repulsed my attackers.\There was no report of my having dueled Sasamiya that day.\You couldn't have been so sure about that unless you actually saw it happen,\or else you'd been told of the situation.\Either way, it could only have been the perpetrator, and those in league with him!\Well, well... How careless of me! response:	So in other words, Amagiri deliberately provoked Lester yesterday?
context: So what if I did?\The only thing the media reported was that I'd repulsed my attackers.\There was no report of my having dueled Sasamiya that day.\You couldn't have been so sure about that unless you actually saw it happen,\or else you'd been told of the situation.\Either way, it could only have been the perpetrator, and those in league with him!\Well, well... How careless of me!\So in other words, Amagiri deliberately provoked Lester yesterday? response:	Most likely.
context: The only thing the media reported was that I'd repulsed my attackers.\There was no report of my having dueled Sasamiya that day.\You couldn't have been so sure about that unless you actually saw it happen,\or else you'd been told of the situation.\Either way, it could only have been the perpetrator, and those in league with him!\Well, well... How careless of me!\So in other words, Amagiri deliberately provoked Lester yesterday?\Most likely. response:	He's the kind of guy who can express himself without words.
context: There was no report of my having dueled Sasamiya that day.\You couldn't have been so sure about that unless you actually saw it happen,\or else you'd been told of the situation.\Either way, it could only have been the perpetrator, and those in league with him!\Well, well... How careless of me!\So in other words, Amagiri deliberately provoked Lester yesterday?\Most likely.\He's the kind of guy who can express himself without words. response:	If that's the case, I see that I made the right call in targeting him instead.
context: You couldn't have been so sure about that unless you actually saw it happen,\or else you'd been told of the situation.\Either way, it could only have been the perpetrator, and those in league with him!\Well, well... How careless of me!\So in other words, Amagiri deliberately provoked Lester yesterday?\Most likely.\He's the kind of guy who can express himself without words.\If that's the case, I see that I made the right call in targeting him instead. response:	He's such a hindrance when it comes to targeting you!
context: or else you'd been told of the situation.\Either way, it could only have been the perpetrator, and those in league with him!\Well, well... How careless of me!\So in other words, Amagiri deliberately provoked Lester yesterday?\Most likely.\He's the kind of guy who can express himself without words.\If that's the case, I see that I made the right call in targeting him instead.\He's such a hindrance when it comes to targeting you! response:	Why, you...!
context: Either way, it could only have been the perpetrator, and those in league with him!\Well, well... How careless of me!\So in other words, Amagiri deliberately provoked Lester yesterday?\Most likely.\He's the kind of guy who can express himself without words.\If that's the case, I see that I made the right call in targeting him instead.\He's such a hindrance when it comes to targeting you!\Why, you...! response:	I know, I know!
context: Well, well... How careless of me!\So in other words, Amagiri deliberately provoked Lester yesterday?\Most likely.\He's the kind of guy who can express himself without words.\If that's the case, I see that I made the right call in targeting him instead.\He's such a hindrance when it comes to targeting you!\Why, you...!\I know, I know! response:	You came here just to stop me from doing that very thing, didn't you?
context: So in other words, Amagiri deliberately provoked Lester yesterday?\Most likely.\He's the kind of guy who can express himself without words.\If that's the case, I see that I made the right call in targeting him instead.\He's such a hindrance when it comes to targeting you!\Why, you...!\I know, I know!\You came here just to stop me from doing that very thing, didn't you? response:	In that case, why don't we strike a deal?
context: Most likely.\He's the kind of guy who can express himself without words.\If that's the case, I see that I made the right call in targeting him instead.\He's such a hindrance when it comes to targeting you!\Why, you...!\I know, I know!\You came here just to stop me from doing that very thing, didn't you?\In that case, why don't we strike a deal? response:	My condition is that you withdraw from the Phoenix Festa.
context: He's the kind of guy who can express himself without words.\If that's the case, I see that I made the right call in targeting him instead.\He's such a hindrance when it comes to targeting you!\Why, you...!\I know, I know!\You came here just to stop me from doing that very thing, didn't you?\In that case, why don't we strike a deal?\My condition is that you withdraw from the Phoenix Festa. response:	That's ridiculous.
