context: Who's there?! response:	Gretto,
context: Who's there?!\Gretto, response:	are you worried about your brother?
context: Who's there?!\Gretto,\are you worried about your brother? response:	I'm scared. I'm scared.
context: Who's there?!\Gretto,\are you worried about your brother?\I'm scared. I'm scared. response:	Alchemists, summoning a devil?
context: Who's there?!\Gretto,\are you worried about your brother?\I'm scared. I'm scared.\Alchemists, summoning a devil? response:	Is something like that even allowed?
context: Who's there?!\Gretto,\are you worried about your brother?\I'm scared. I'm scared.\Alchemists, summoning a devil?\Is something like that even allowed? response:	Eternal life, immortal youth...
context: Who's there?!\Gretto,\are you worried about your brother?\I'm scared. I'm scared.\Alchemists, summoning a devil?\Is something like that even allowed?\Eternal life, immortal youth... response:	does mankind really need that sort of thing?
context: Who's there?!\Gretto,\are you worried about your brother?\I'm scared. I'm scared.\Alchemists, summoning a devil?\Is something like that even allowed?\Eternal life, immortal youth...\does mankind really need that sort of thing? response:	I don't know about that.
context: Gretto,\are you worried about your brother?\I'm scared. I'm scared.\Alchemists, summoning a devil?\Is something like that even allowed?\Eternal life, immortal youth...\does mankind really need that sort of thing?\I don't know about that. response:	But if it's a way to come near to the secrets of the grand panacea,
context: are you worried about your brother?\I'm scared. I'm scared.\Alchemists, summoning a devil?\Is something like that even allowed?\Eternal life, immortal youth...\does mankind really need that sort of thing?\I don't know about that.\But if it's a way to come near to the secrets of the grand panacea, response:	then I don't think there's anything we can do about-
context: I'm scared. I'm scared.\Alchemists, summoning a devil?\Is something like that even allowed?\Eternal life, immortal youth...\does mankind really need that sort of thing?\I don't know about that.\But if it's a way to come near to the secrets of the grand panacea,\then I don't think there's anything we can do about- response:	I don't necessarily think that eternal life would be a marvelous thing.
context: Alchemists, summoning a devil?\Is something like that even allowed?\Eternal life, immortal youth...\does mankind really need that sort of thing?\I don't know about that.\But if it's a way to come near to the secrets of the grand panacea,\then I don't think there's anything we can do about-\I don't necessarily think that eternal life would be a marvelous thing. response:	Even with just this limited life, as long as I'm with you, Sylvie...
context: Is something like that even allowed?\Eternal life, immortal youth...\does mankind really need that sort of thing?\I don't know about that.\But if it's a way to come near to the secrets of the grand panacea,\then I don't think there's anything we can do about-\I don't necessarily think that eternal life would be a marvelous thing.\Even with just this limited life, as long as I'm with you, Sylvie... response:	If I am granted eternal life,
context: Eternal life, immortal youth...\does mankind really need that sort of thing?\I don't know about that.\But if it's a way to come near to the secrets of the grand panacea,\then I don't think there's anything we can do about-\I don't necessarily think that eternal life would be a marvelous thing.\Even with just this limited life, as long as I'm with you, Sylvie...\If I am granted eternal life, response:	then I won't be scared, as long as I'm with you.
context: does mankind really need that sort of thing?\I don't know about that.\But if it's a way to come near to the secrets of the grand panacea,\then I don't think there's anything we can do about-\I don't necessarily think that eternal life would be a marvelous thing.\Even with just this limited life, as long as I'm with you, Sylvie...\If I am granted eternal life,\then I won't be scared, as long as I'm with you. response:	Sylvie...
