context: I might be moving to Chiba response:	Kotarou-kun?
context: I might be moving to Chiba\Kotarou-kun? response:	Sorry, you're moving?
context: I might be moving to Chiba\Kotarou-kun?\Sorry, you're moving? response:	Yeah.
context: I might be moving to Chiba\Kotarou-kun?\Sorry, you're moving?\Yeah. response:	Where? When?
context: I might be moving to Chiba\Kotarou-kun?\Sorry, you're moving?\Yeah.\Where? When? response:	I'm looking up schools in Chiba.
context: I might be moving to Chiba\Kotarou-kun?\Sorry, you're moving?\Yeah.\Where? When?\I'm looking up schools in Chiba. response:	Have you heard of Koumei?
context: I might be moving to Chiba\Kotarou-kun?\Sorry, you're moving?\Yeah.\Where? When?\I'm looking up schools in Chiba.\Have you heard of Koumei? response:	Excuse me, um...
context: I might be moving to Chiba\Kotarou-kun?\Sorry, you're moving?\Yeah.\Where? When?\I'm looking up schools in Chiba.\Have you heard of Koumei?\Excuse me, um... response:	Her grades are good.
context: Kotarou-kun?\Sorry, you're moving?\Yeah.\Where? When?\I'm looking up schools in Chiba.\Have you heard of Koumei?\Excuse me, um...\Her grades are good. response:	There shouldn't be a problem.
context: Sorry, you're moving?\Yeah.\Where? When?\I'm looking up schools in Chiba.\Have you heard of Koumei?\Excuse me, um...\Her grades are good.\There shouldn't be a problem. response:	Really? That's a relief.
context: Yeah.\Where? When?\I'm looking up schools in Chiba.\Have you heard of Koumei?\Excuse me, um...\Her grades are good.\There shouldn't be a problem.\Really? That's a relief. response:	It must be difficult on you.
context: Where? When?\I'm looking up schools in Chiba.\Have you heard of Koumei?\Excuse me, um...\Her grades are good.\There shouldn't be a problem.\Really? That's a relief.\It must be difficult on you. response:	I heard it was due to her father's work?
context: I'm looking up schools in Chiba.\Have you heard of Koumei?\Excuse me, um...\Her grades are good.\There shouldn't be a problem.\Really? That's a relief.\It must be difficult on you.\I heard it was due to her father's work? response:	Yes.
context: Have you heard of Koumei?\Excuse me, um...\Her grades are good.\There shouldn't be a problem.\Really? That's a relief.\It must be difficult on you.\I heard it was due to her father's work?\Yes. response:	Koumei Private High School
context: Excuse me, um...\Her grades are good.\There shouldn't be a problem.\Really? That's a relief.\It must be difficult on you.\I heard it was due to her father's work?\Yes.\Koumei Private High School response:	I was worried because it's such a critical time.
context: Her grades are good.\There shouldn't be a problem.\Really? That's a relief.\It must be difficult on you.\I heard it was due to her father's work?\Yes.\Koumei Private High School\I was worried because it's such a critical time. response:	Here's the application form.
context: There shouldn't be a problem.\Really? That's a relief.\It must be difficult on you.\I heard it was due to her father's work?\Yes.\Koumei Private High School\I was worried because it's such a critical time.\Here's the application form. response:	Thank you.
context: Really? That's a relief.\It must be difficult on you.\I heard it was due to her father's work?\Yes.\Koumei Private High School\I was worried because it's such a critical time.\Here's the application form.\Thank you. response:	Factoring
context: It must be difficult on you.\I heard it was due to her father's work?\Yes.\Koumei Private High School\I was worried because it's such a critical time.\Here's the application form.\Thank you.\Factoring response:	Akane-chan!
context: I heard it was due to her father's work?\Yes.\Koumei Private High School\I was worried because it's such a critical time.\Here's the application form.\Thank you.\Factoring\Akane-chan! response:	Your LINE message surprised me.
context: Yes.\Koumei Private High School\I was worried because it's such a critical time.\Here's the application form.\Thank you.\Factoring\Akane-chan!\Your LINE message surprised me. response:	I wanted to talk.
context: Koumei Private High School\I was worried because it's such a critical time.\Here's the application form.\Thank you.\Factoring\Akane-chan!\Your LINE message surprised me.\I wanted to talk. response:	Yeah.
context: I was worried because it's such a critical time.\Here's the application form.\Thank you.\Factoring\Akane-chan!\Your LINE message surprised me.\I wanted to talk.\Yeah. response:	I had my parent-teacher meeting today.
context: Here's the application form.\Thank you.\Factoring\Akane-chan!\Your LINE message surprised me.\I wanted to talk.\Yeah.\I had my parent-teacher meeting today. response:	I'm going to apply to Koumei with a recommendation.
context: Thank you.\Factoring\Akane-chan!\Your LINE message surprised me.\I wanted to talk.\Yeah.\I had my parent-teacher meeting today.\I'm going to apply to Koumei with a recommendation. response:	Sorry.
context: Factoring\Akane-chan!\Your LINE message surprised me.\I wanted to talk.\Yeah.\I had my parent-teacher meeting today.\I'm going to apply to Koumei with a recommendation.\Sorry. response:	Why are you apologizing?
context: Akane-chan!\Your LINE message surprised me.\I wanted to talk.\Yeah.\I had my parent-teacher meeting today.\I'm going to apply to Koumei with a recommendation.\Sorry.\Why are you apologizing? response:	We're going to be far apart.
context: Your LINE message surprised me.\I wanted to talk.\Yeah.\I had my parent-teacher meeting today.\I'm going to apply to Koumei with a recommendation.\Sorry.\Why are you apologizing?\We're going to be far apart. response:	I don't know what to do.
context: I wanted to talk.\Yeah.\I had my parent-teacher meeting today.\I'm going to apply to Koumei with a recommendation.\Sorry.\Why are you apologizing?\We're going to be far apart.\I don't know what to do. response:	It's not your fault.
context: Yeah.\I had my parent-teacher meeting today.\I'm going to apply to Koumei with a recommendation.\Sorry.\Why are you apologizing?\We're going to be far apart.\I don't know what to do.\It's not your fault. response:	We'll be fine, even far apart.
context: I had my parent-teacher meeting today.\I'm going to apply to Koumei with a recommendation.\Sorry.\Why are you apologizing?\We're going to be far apart.\I don't know what to do.\It's not your fault.\We'll be fine, even far apart. response:	Yeah.
context: I'm going to apply to Koumei with a recommendation.\Sorry.\Why are you apologizing?\We're going to be far apart.\I don't know what to do.\It's not your fault.\We'll be fine, even far apart.\Yeah. response:	Thanks.
context: Sorry.\Why are you apologizing?\We're going to be far apart.\I don't know what to do.\It's not your fault.\We'll be fine, even far apart.\Yeah.\Thanks. response:	Maybe I'll go to the same school.
context: Why are you apologizing?\We're going to be far apart.\I don't know what to do.\It's not your fault.\We'll be fine, even far apart.\Yeah.\Thanks.\Maybe I'll go to the same school. response:	Well, not on recommendation. Just general admission.
context: We're going to be far apart.\I don't know what to do.\It's not your fault.\We'll be fine, even far apart.\Yeah.\Thanks.\Maybe I'll go to the same school.\Well, not on recommendation. Just general admission. response:	Really?
context: I don't know what to do.\It's not your fault.\We'll be fine, even far apart.\Yeah.\Thanks.\Maybe I'll go to the same school.\Well, not on recommendation. Just general admission.\Really? response:	It'll be really far, though.
context: It's not your fault.\We'll be fine, even far apart.\Yeah.\Thanks.\Maybe I'll go to the same school.\Well, not on recommendation. Just general admission.\Really?\It'll be really far, though. response:	Apparently it takes over two hours.
context: We'll be fine, even far apart.\Yeah.\Thanks.\Maybe I'll go to the same school.\Well, not on recommendation. Just general admission.\Really?\It'll be really far, though.\Apparently it takes over two hours. response:	Oh, I decided to go to your cram school.
context: Yeah.\Thanks.\Maybe I'll go to the same school.\Well, not on recommendation. Just general admission.\Really?\It'll be really far, though.\Apparently it takes over two hours.\Oh, I decided to go to your cram school. response:	Really? Awesome!
context: Thanks.\Maybe I'll go to the same school.\Well, not on recommendation. Just general admission.\Really?\It'll be really far, though.\Apparently it takes over two hours.\Oh, I decided to go to your cram school.\Really? Awesome! response:	Let's go.
context: Maybe I'll go to the same school.\Well, not on recommendation. Just general admission.\Really?\It'll be really far, though.\Apparently it takes over two hours.\Oh, I decided to go to your cram school.\Really? Awesome!\Let's go. response:	Yeah.
context: Well, not on recommendation. Just general admission.\Really?\It'll be really far, though.\Apparently it takes over two hours.\Oh, I decided to go to your cram school.\Really? Awesome!\Let's go.\Yeah. response:	The Kawagoe Festival is this weekend, huh?
context: Really?\It'll be really far, though.\Apparently it takes over two hours.\Oh, I decided to go to your cram school.\Really? Awesome!\Let's go.\Yeah.\The Kawagoe Festival is this weekend, huh? response:	Yeah.
context: It'll be really far, though.\Apparently it takes over two hours.\Oh, I decided to go to your cram school.\Really? Awesome!\Let's go.\Yeah.\The Kawagoe Festival is this weekend, huh?\Yeah. response:	I'll come watch.
context: Apparently it takes over two hours.\Oh, I decided to go to your cram school.\Really? Awesome!\Let's go.\Yeah.\The Kawagoe Festival is this weekend, huh?\Yeah.\I'll come watch. response:	Okay.
context: Oh, I decided to go to your cram school.\Really? Awesome!\Let's go.\Yeah.\The Kawagoe Festival is this weekend, huh?\Yeah.\I'll come watch.\Okay. response:	Cheers.
context: Really? Awesome!\Let's go.\Yeah.\The Kawagoe Festival is this weekend, huh?\Yeah.\I'll come watch.\Okay.\Cheers. response:	Cheers!
context: Let's go.\Yeah.\The Kawagoe Festival is this weekend, huh?\Yeah.\I'll come watch.\Okay.\Cheers.\Cheers! response:	I saw him earlier.
context: Yeah.\The Kawagoe Festival is this weekend, huh?\Yeah.\I'll come watch.\Okay.\Cheers.\Cheers!\I saw him earlier. response:	Oh, he's here?
context: The Kawagoe Festival is this weekend, huh?\Yeah.\I'll come watch.\Okay.\Cheers.\Cheers!\I saw him earlier.\Oh, he's here? response:	Yeah. Everyone was there.
context: Yeah.\I'll come watch.\Okay.\Cheers.\Cheers!\I saw him earlier.\Oh, he's here?\Yeah. Everyone was there. response:	They're really good friends.
