context: Signs response:	Unread: Thank you for taking care of me
context: Signs\Unread: Thank you for taking care of me response:	Opening Romaji
context: Signs\Unread: Thank you for taking care of me\Opening Romaji response:	Opening English
context: Signs\Unread: Thank you for taking care of me\Opening Romaji\Opening English response:	My sil ky love
context: Signs\Unread: Thank you for taking care of me\Opening Romaji\Opening English\My sil ky love response:	My sil ky love
context: Signs\Unread: Thank you for taking care of me\Opening Romaji\Opening English\My sil ky love\My sil ky love response:	My sil ky love
context: Signs\Unread: Thank you for taking care of me\Opening Romaji\Opening English\My sil ky love\My sil ky love\My sil ky love response:	My sil ky love
context: Signs\Unread: Thank you for taking care of me\Opening Romaji\Opening English\My sil ky love\My sil ky love\My sil ky love\My sil ky love response:	Every hour of the day
context: Unread: Thank you for taking care of me\Opening Romaji\Opening English\My sil ky love\My sil ky love\My sil ky love\My sil ky love\Every hour of the day response:	whenever I think of you
context: Opening Romaji\Opening English\My sil ky love\My sil ky love\My sil ky love\My sil ky love\Every hour of the day\whenever I think of you response:	these impatient feelings
context: Opening English\My sil ky love\My sil ky love\My sil ky love\My sil ky love\Every hour of the day\whenever I think of you\these impatient feelings response:	simply overflow.
context: My sil ky love\My sil ky love\My sil ky love\My sil ky love\Every hour of the day\whenever I think of you\these impatient feelings\simply overflow. response:	Even though it's easy to say I love you
context: My sil ky love\My sil ky love\My sil ky love\Every hour of the day\whenever I think of you\these impatient feelings\simply overflow.\Even though it's easy to say I love you response:	when you stand in front of me
context: My sil ky love\My sil ky love\Every hour of the day\whenever I think of you\these impatient feelings\simply overflow.\Even though it's easy to say I love you\when you stand in front of me response:	my personality stands up and gets in my way.
context: My sil ky love\Every hour of the day\whenever I think of you\these impatient feelings\simply overflow.\Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way. response:	I can usually pull through with my assertiveness
context: Every hour of the day\whenever I think of you\these impatient feelings\simply overflow.\Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness response:	that's just how I am.
context: whenever I think of you\these impatient feelings\simply overflow.\Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am. response:	But no matter how hard I try, I can't break the wall that's between us.
context: these impatient feelings\simply overflow.\Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us. response:	I want you to realise my feelings.
context: simply overflow.\Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings. response:	So I always send a gaze
context: Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze response:	of I really love you your way
context: when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze\of I really love you your way response:	with all of my courage!
context: my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze\of I really love you your way\with all of my courage! response:	My flimsy silky heart.
context: I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze\of I really love you your way\with all of my courage!\My flimsy silky heart. response:	After meeting you, I finally realised
context: that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze\of I really love you your way\with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised response:	that I'm really clumsy when it comes to love.
context: But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze\of I really love you your way\with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love. response:	The scars from love that I'd almost forgotten
context: I want you to realise my feelings.\So I always send a gaze\of I really love you your way\with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten response:	have started to ache all of a sudden.
context: So I always send a gaze\of I really love you your way\with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden. response:	Someday, like how I normally would...
context: of I really love you your way\with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would... response:	I must say I love you, or else I'll become even weaker.
context: with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker. response:	Infirmary
context: My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\Infirmary response:	Confession
context: After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\Infirmary\Confession response:	Ryuu-chan
context: that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\Infirmary\Confession\Ryuu-chan response:	Ryuu-chan
