context: Auntie, are you really going to marry the Crown Prince? response:	I have to marry him sooner or later.
context: Auntie, are you really going to marry the Crown Prince?\I have to marry him sooner or later. response:	There's no harm in choosing earlier.
context: Auntie, are you really going to marry the Crown Prince?\I have to marry him sooner or later.\There's no harm in choosing earlier. response:	Surely not.
context: Auntie, are you really going to marry the Crown Prince?\I have to marry him sooner or later.\There's no harm in choosing earlier.\Surely not. response:	I'm just surprised by your fiery passion with Ye Hua.
context: Auntie, are you really going to marry the Crown Prince?\I have to marry him sooner or later.\There's no harm in choosing earlier.\Surely not.\I'm just surprised by your fiery passion with Ye Hua. response:	You can marry whenever you want.
context: Auntie, are you really going to marry the Crown Prince?\I have to marry him sooner or later.\There's no harm in choosing earlier.\Surely not.\I'm just surprised by your fiery passion with Ye Hua.\You can marry whenever you want. response:	I wouldn't dare voice an opinion.
context: Auntie, are you really going to marry the Crown Prince?\I have to marry him sooner or later.\There's no harm in choosing earlier.\Surely not.\I'm just surprised by your fiery passion with Ye Hua.\You can marry whenever you want.\I wouldn't dare voice an opinion. response:	The marriage between Qing Qiu and the Celestial Tribe is very important.
context: Auntie, are you really going to marry the Crown Prince?\I have to marry him sooner or later.\There's no harm in choosing earlier.\Surely not.\I'm just surprised by your fiery passion with Ye Hua.\You can marry whenever you want.\I wouldn't dare voice an opinion.\The marriage between Qing Qiu and the Celestial Tribe is very important. response:	We can't be the only willing party.
context: I have to marry him sooner or later.\There's no harm in choosing earlier.\Surely not.\I'm just surprised by your fiery passion with Ye Hua.\You can marry whenever you want.\I wouldn't dare voice an opinion.\The marriage between Qing Qiu and the Celestial Tribe is very important.\We can't be the only willing party. response:	The wedding was brought up by Ye Hua's mother first
context: There's no harm in choosing earlier.\Surely not.\I'm just surprised by your fiery passion with Ye Hua.\You can marry whenever you want.\I wouldn't dare voice an opinion.\The marriage between Qing Qiu and the Celestial Tribe is very important.\We can't be the only willing party.\The wedding was brought up by Ye Hua's mother first response:	so I came home to discuss about it.
context: Surely not.\I'm just surprised by your fiery passion with Ye Hua.\You can marry whenever you want.\I wouldn't dare voice an opinion.\The marriage between Qing Qiu and the Celestial Tribe is very important.\We can't be the only willing party.\The wedding was brought up by Ye Hua's mother first\so I came home to discuss about it. response:	Consort Le Xu mentioned it?
context: I'm just surprised by your fiery passion with Ye Hua.\You can marry whenever you want.\I wouldn't dare voice an opinion.\The marriage between Qing Qiu and the Celestial Tribe is very important.\We can't be the only willing party.\The wedding was brought up by Ye Hua's mother first\so I came home to discuss about it.\Consort Le Xu mentioned it? response:	- But... - Second Brother!
context: You can marry whenever you want.\I wouldn't dare voice an opinion.\The marriage between Qing Qiu and the Celestial Tribe is very important.\We can't be the only willing party.\The wedding was brought up by Ye Hua's mother first\so I came home to discuss about it.\Consort Le Xu mentioned it?\- But... - Second Brother! response:	Look at you.
context: I wouldn't dare voice an opinion.\The marriage between Qing Qiu and the Celestial Tribe is very important.\We can't be the only willing party.\The wedding was brought up by Ye Hua's mother first\so I came home to discuss about it.\Consort Le Xu mentioned it?\- But... - Second Brother!\Look at you. response:	They are already engaged anyway.
context: The marriage between Qing Qiu and the Celestial Tribe is very important.\We can't be the only willing party.\The wedding was brought up by Ye Hua's mother first\so I came home to discuss about it.\Consort Le Xu mentioned it?\- But... - Second Brother!\Look at you.\They are already engaged anyway. response:	It's just holding the wedding now.
context: We can't be the only willing party.\The wedding was brought up by Ye Hua's mother first\so I came home to discuss about it.\Consort Le Xu mentioned it?\- But... - Second Brother!\Look at you.\They are already engaged anyway.\It's just holding the wedding now. response:	Why do you have that many worries?
context: The wedding was brought up by Ye Hua's mother first\so I came home to discuss about it.\Consort Le Xu mentioned it?\- But... - Second Brother!\Look at you.\They are already engaged anyway.\It's just holding the wedding now.\Why do you have that many worries? response:	What about Mo Yuan?
context: so I came home to discuss about it.\Consort Le Xu mentioned it?\- But... - Second Brother!\Look at you.\They are already engaged anyway.\It's just holding the wedding now.\Why do you have that many worries?\What about Mo Yuan? response:	Master?
context: Consort Le Xu mentioned it?\- But... - Second Brother!\Look at you.\They are already engaged anyway.\It's just holding the wedding now.\Why do you have that many worries?\What about Mo Yuan?\Master? response:	Once a mentor, a father for life.
context: - But... - Second Brother!\Look at you.\They are already engaged anyway.\It's just holding the wedding now.\Why do you have that many worries?\What about Mo Yuan?\Master?\Once a mentor, a father for life. response:	I do have to inform my mentor about it.
context: Look at you.\They are already engaged anyway.\It's just holding the wedding now.\Why do you have that many worries?\What about Mo Yuan?\Master?\Once a mentor, a father for life.\I do have to inform my mentor about it. response:	However, this marriage was decided by the Heavenly Lord and Father.
context: They are already engaged anyway.\It's just holding the wedding now.\Why do you have that many worries?\What about Mo Yuan?\Master?\Once a mentor, a father for life.\I do have to inform my mentor about it.\However, this marriage was decided by the Heavenly Lord and Father. response:	Master wouldn't object to it.
context: It's just holding the wedding now.\Why do you have that many worries?\What about Mo Yuan?\Master?\Once a mentor, a father for life.\I do have to inform my mentor about it.\However, this marriage was decided by the Heavenly Lord and Father.\Master wouldn't object to it. response:	Moreover, he probably still doesn't know that I'm a girl.
context: Why do you have that many worries?\What about Mo Yuan?\Master?\Once a mentor, a father for life.\I do have to inform my mentor about it.\However, this marriage was decided by the Heavenly Lord and Father.\Master wouldn't object to it.\Moreover, he probably still doesn't know that I'm a girl. response:	Naive... You're too naive.
context: What about Mo Yuan?\Master?\Once a mentor, a father for life.\I do have to inform my mentor about it.\However, this marriage was decided by the Heavenly Lord and Father.\Master wouldn't object to it.\Moreover, he probably still doesn't know that I'm a girl.\Naive... You're too naive. response:	Do you think that High God Mo Yuan couldn't see through Zhe Yan's magic?
context: Master?\Once a mentor, a father for life.\I do have to inform my mentor about it.\However, this marriage was decided by the Heavenly Lord and Father.\Master wouldn't object to it.\Moreover, he probably still doesn't know that I'm a girl.\Naive... You're too naive.\Do you think that High God Mo Yuan couldn't see through Zhe Yan's magic? response:	They are brothers!
context: Once a mentor, a father for life.\I do have to inform my mentor about it.\However, this marriage was decided by the Heavenly Lord and Father.\Master wouldn't object to it.\Moreover, he probably still doesn't know that I'm a girl.\Naive... You're too naive.\Do you think that High God Mo Yuan couldn't see through Zhe Yan's magic?\They are brothers! response:	I've always thought it was Mo Yuan you had on your mind.
context: I do have to inform my mentor about it.\However, this marriage was decided by the Heavenly Lord and Father.\Master wouldn't object to it.\Moreover, he probably still doesn't know that I'm a girl.\Naive... You're too naive.\Do you think that High God Mo Yuan couldn't see through Zhe Yan's magic?\They are brothers!\I've always thought it was Mo Yuan you had on your mind. response:	Second Brother, you mustn't make such a joke.
context: However, this marriage was decided by the Heavenly Lord and Father.\Master wouldn't object to it.\Moreover, he probably still doesn't know that I'm a girl.\Naive... You're too naive.\Do you think that High God Mo Yuan couldn't see through Zhe Yan's magic?\They are brothers!\I've always thought it was Mo Yuan you had on your mind.\Second Brother, you mustn't make such a joke. response:	My mentor saved me from my heavenly trial.
context: Master wouldn't object to it.\Moreover, he probably still doesn't know that I'm a girl.\Naive... You're too naive.\Do you think that High God Mo Yuan couldn't see through Zhe Yan's magic?\They are brothers!\I've always thought it was Mo Yuan you had on your mind.\Second Brother, you mustn't make such a joke.\My mentor saved me from my heavenly trial. response:	He also mentored and educated me.
context: Moreover, he probably still doesn't know that I'm a girl.\Naive... You're too naive.\Do you think that High God Mo Yuan couldn't see through Zhe Yan's magic?\They are brothers!\I've always thought it was Mo Yuan you had on your mind.\Second Brother, you mustn't make such a joke.\My mentor saved me from my heavenly trial.\He also mentored and educated me. response:	He's as close to me as Father is.
context: Naive... You're too naive.\Do you think that High God Mo Yuan couldn't see through Zhe Yan's magic?\They are brothers!\I've always thought it was Mo Yuan you had on your mind.\Second Brother, you mustn't make such a joke.\My mentor saved me from my heavenly trial.\He also mentored and educated me.\He's as close to me as Father is. response:	Even if I had to sacrifice my life for Master one day
