context: Presented by Soul Eater Fan Subs response:	www.souleaterfan.com
context: Presented by Soul Eater Fan Subs\www.souleaterfan.com response:	If the light of connected souls points toward your heart
context: Presented by Soul Eater Fan Subs\www.souleaterfan.com\If the light of connected souls points toward your heart response:	Can you now hear a resonance stronger than words?
context: Presented by Soul Eater Fan Subs\www.souleaterfan.com\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words? response:	Our eyes barely even meet, but our fates are intertwined
context: Presented by Soul Eater Fan Subs\www.souleaterfan.com\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\Our eyes barely even meet, but our fates are intertwined response:	Our destinations are the same,
context: Presented by Soul Eater Fan Subs\www.souleaterfan.com\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\Our eyes barely even meet, but our fates are intertwined\Our destinations are the same, response:	so run through the unbearable night along with me
context: Presented by Soul Eater Fan Subs\www.souleaterfan.com\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\Our eyes barely even meet, but our fates are intertwined\Our destinations are the same,\so run through the unbearable night along with me response:	Even if the radiance that we've chased so far
context: Presented by Soul Eater Fan Subs\www.souleaterfan.com\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\Our eyes barely even meet, but our fates are intertwined\Our destinations are the same,\so run through the unbearable night along with me\Even if the radiance that we've chased so far response:	Continues into bad dreams
context: www.souleaterfan.com\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\Our eyes barely even meet, but our fates are intertwined\Our destinations are the same,\so run through the unbearable night along with me\Even if the radiance that we've chased so far\Continues into bad dreams response:	If the light of connected souls points toward your heart
context: If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\Our eyes barely even meet, but our fates are intertwined\Our destinations are the same,\so run through the unbearable night along with me\Even if the radiance that we've chased so far\Continues into bad dreams\If the light of connected souls points toward your heart response:	Can you now hear a resonance stronger than words?
context: Can you now hear a resonance stronger than words?\Our eyes barely even meet, but our fates are intertwined\Our destinations are the same,\so run through the unbearable night along with me\Even if the radiance that we've chased so far\Continues into bad dreams\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words? response:	It doesn't matter why we met, but the pain we suffered
context: Our eyes barely even meet, but our fates are intertwined\Our destinations are the same,\so run through the unbearable night along with me\Even if the radiance that we've chased so far\Continues into bad dreams\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\It doesn't matter why we met, but the pain we suffered response:	Of when we were entranced
context: Our destinations are the same,\so run through the unbearable night along with me\Even if the radiance that we've chased so far\Continues into bad dreams\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\It doesn't matter why we met, but the pain we suffered\Of when we were entranced response:	and touched each other can now become clear
context: so run through the unbearable night along with me\Even if the radiance that we've chased so far\Continues into bad dreams\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\It doesn't matter why we met, but the pain we suffered\Of when we were entranced\and touched each other can now become clear response:	The NOISE is kicking around the preestablished harmony.
context: Even if the radiance that we've chased so far\Continues into bad dreams\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\It doesn't matter why we met, but the pain we suffered\Of when we were entranced\and touched each other can now become clear\The NOISE is kicking around the preestablished harmony. response:	Flaring up and glaring at the present.
context: Continues into bad dreams\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\It doesn't matter why we met, but the pain we suffered\Of when we were entranced\and touched each other can now become clear\The NOISE is kicking around the preestablished harmony.\Flaring up and glaring at the present. response:	I sneak in.
context: If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\It doesn't matter why we met, but the pain we suffered\Of when we were entranced\and touched each other can now become clear\The NOISE is kicking around the preestablished harmony.\Flaring up and glaring at the present.\I sneak in. response:	That time at the GARAGE I saw a dream about unchangeable HEART.
context: Can you now hear a resonance stronger than words?\It doesn't matter why we met, but the pain we suffered\Of when we were entranced\and touched each other can now become clear\The NOISE is kicking around the preestablished harmony.\Flaring up and glaring at the present.\I sneak in.\That time at the GARAGE I saw a dream about unchangeable HEART. response:	So this day and the same tomorrow gets mixed.
context: It doesn't matter why we met, but the pain we suffered\Of when we were entranced\and touched each other can now become clear\The NOISE is kicking around the preestablished harmony.\Flaring up and glaring at the present.\I sneak in.\That time at the GARAGE I saw a dream about unchangeable HEART.\So this day and the same tomorrow gets mixed. response:	I'm roaring noisily around in sensibility.
context: Of when we were entranced\and touched each other can now become clear\The NOISE is kicking around the preestablished harmony.\Flaring up and glaring at the present.\I sneak in.\That time at the GARAGE I saw a dream about unchangeable HEART.\So this day and the same tomorrow gets mixed.\I'm roaring noisily around in sensibility. response:	My singing heart plays the BEAT.
context: and touched each other can now become clear\The NOISE is kicking around the preestablished harmony.\Flaring up and glaring at the present.\I sneak in.\That time at the GARAGE I saw a dream about unchangeable HEART.\So this day and the same tomorrow gets mixed.\I'm roaring noisily around in sensibility.\My singing heart plays the BEAT. response:	There's definite evidence.
context: The NOISE is kicking around the preestablished harmony.\Flaring up and glaring at the present.\I sneak in.\That time at the GARAGE I saw a dream about unchangeable HEART.\So this day and the same tomorrow gets mixed.\I'm roaring noisily around in sensibility.\My singing heart plays the BEAT.\There's definite evidence. response:	Hold it in your hands.
context: Flaring up and glaring at the present.\I sneak in.\That time at the GARAGE I saw a dream about unchangeable HEART.\So this day and the same tomorrow gets mixed.\I'm roaring noisily around in sensibility.\My singing heart plays the BEAT.\There's definite evidence.\Hold it in your hands. response:	Lose it
context: I sneak in.\That time at the GARAGE I saw a dream about unchangeable HEART.\So this day and the same tomorrow gets mixed.\I'm roaring noisily around in sensibility.\My singing heart plays the BEAT.\There's definite evidence.\Hold it in your hands.\Lose it response:	Hold it in your hands.
context: That time at the GARAGE I saw a dream about unchangeable HEART.\So this day and the same tomorrow gets mixed.\I'm roaring noisily around in sensibility.\My singing heart plays the BEAT.\There's definite evidence.\Hold it in your hands.\Lose it\Hold it in your hands. response:	Lose it
context: So this day and the same tomorrow gets mixed.\I'm roaring noisily around in sensibility.\My singing heart plays the BEAT.\There's definite evidence.\Hold it in your hands.\Lose it\Hold it in your hands.\Lose it response:	In the fading moments.
context: I'm roaring noisily around in sensibility.\My singing heart plays the BEAT.\There's definite evidence.\Hold it in your hands.\Lose it\Hold it in your hands.\Lose it\In the fading moments. response:	Tears have been secretly shed.
context: My singing heart plays the BEAT.\There's definite evidence.\Hold it in your hands.\Lose it\Hold it in your hands.\Lose it\In the fading moments.\Tears have been secretly shed. response:	Everything
context: There's definite evidence.\Hold it in your hands.\Lose it\Hold it in your hands.\Lose it\In the fading moments.\Tears have been secretly shed.\Everything response:	Gets revealed here.
context: Hold it in your hands.\Lose it\Hold it in your hands.\Lose it\In the fading moments.\Tears have been secretly shed.\Everything\Gets revealed here. response:	Everything
context: Lose it\Hold it in your hands.\Lose it\In the fading moments.\Tears have been secretly shed.\Everything\Gets revealed here.\Everything response:	Gets adjusted to the ordinary time.
