context: Want to do this one by one? response:	Want to do this one by one?
context: Want to do this one by one?\Want to do this one by one? response:	Or should we all go at it at once?
context: Want to do this one by one?\Want to do this one by one?\Or should we all go at it at once? response:	Or should we all go at it at once?
context: Want to do this one by one?\Want to do this one by one?\Or should we all go at it at once?\Or should we all go at it at once? response:	Well?
context: Want to do this one by one?\Want to do this one by one?\Or should we all go at it at once?\Or should we all go at it at once?\Well? response:	I don't mind either way.
context: Want to do this one by one?\Want to do this one by one?\Or should we all go at it at once?\Or should we all go at it at once?\Well?\I don't mind either way. response:	An ability to produce illusions.
context: Want to do this one by one?\Want to do this one by one?\Or should we all go at it at once?\Or should we all go at it at once?\Well?\I don't mind either way.\An ability to produce illusions. response:	Kenji-kun broke through the wall and took the president.
context: Want to do this one by one?\Want to do this one by one?\Or should we all go at it at once?\Or should we all go at it at once?\Well?\I don't mind either way.\An ability to produce illusions.\Kenji-kun broke through the wall and took the president. response:	The president and the Agency members already left a long time ago.
context: Want to do this one by one?\Or should we all go at it at once?\Or should we all go at it at once?\Well?\I don't mind either way.\An ability to produce illusions.\Kenji-kun broke through the wall and took the president.\The president and the Agency members already left a long time ago. response:	You sacrificed your life to deceive the ambush and give the others time to escape.
context: Or should we all go at it at once?\Or should we all go at it at once?\Well?\I don't mind either way.\An ability to produce illusions.\Kenji-kun broke through the wall and took the president.\The president and the Agency members already left a long time ago.\You sacrificed your life to deceive the ambush and give the others time to escape. response:	I haven't given up my life.
context: Or should we all go at it at once?\Well?\I don't mind either way.\An ability to produce illusions.\Kenji-kun broke through the wall and took the president.\The president and the Agency members already left a long time ago.\You sacrificed your life to deceive the ambush and give the others time to escape.\I haven't given up my life. response:	I have a message from Rampo-san.
context: Well?\I don't mind either way.\An ability to produce illusions.\Kenji-kun broke through the wall and took the president.\The president and the Agency members already left a long time ago.\You sacrificed your life to deceive the ambush and give the others time to escape.\I haven't given up my life.\I have a message from Rampo-san. response:	Capture the gifted who made the virus?
context: I don't mind either way.\An ability to produce illusions.\Kenji-kun broke through the wall and took the president.\The president and the Agency members already left a long time ago.\You sacrificed your life to deceive the ambush and give the others time to escape.\I haven't given up my life.\I have a message from Rampo-san.\Capture the gifted who made the virus? response:	That's right.
context: An ability to produce illusions.\Kenji-kun broke through the wall and took the president.\The president and the Agency members already left a long time ago.\You sacrificed your life to deceive the ambush and give the others time to escape.\I haven't given up my life.\I have a message from Rampo-san.\Capture the gifted who made the virus?\That's right. response:	If we fought the Port Mafia head-on, people would die.
context: Kenji-kun broke through the wall and took the president.\The president and the Agency members already left a long time ago.\You sacrificed your life to deceive the ambush and give the others time to escape.\I haven't given up my life.\I have a message from Rampo-san.\Capture the gifted who made the virus?\That's right.\If we fought the Port Mafia head-on, people would die. response:	The only way to avoid that is to change the rules.
context: The president and the Agency members already left a long time ago.\You sacrificed your life to deceive the ambush and give the others time to escape.\I haven't given up my life.\I have a message from Rampo-san.\Capture the gifted who made the virus?\That's right.\If we fought the Port Mafia head-on, people would die.\The only way to avoid that is to change the rules. response:	If we find and kill the gifted who created the virus,
