context: So how has living here been? response:	Oh, this is a wonderful House.
context: So how has living here been?\Oh, this is a wonderful House. response:	All the children are smart and well-behaved.
context: So how has living here been?\Oh, this is a wonderful House.\All the children are smart and well-behaved. response:	I see. Lately you've been following instructions and being well-behaved as well.
context: So how has living here been?\Oh, this is a wonderful House.\All the children are smart and well-behaved.\I see. Lately you've been following instructions and being well-behaved as well. response:	Yes.
context: So how has living here been?\Oh, this is a wonderful House.\All the children are smart and well-behaved.\I see. Lately you've been following instructions and being well-behaved as well.\Yes. response:	You try to get along with the children, and play tag with all your strength.
context: So how has living here been?\Oh, this is a wonderful House.\All the children are smart and well-behaved.\I see. Lately you've been following instructions and being well-behaved as well.\Yes.\You try to get along with the children, and play tag with all your strength. response:	I was worried because you were a tomboy, but it looks like you're fine.
context: So how has living here been?\Oh, this is a wonderful House.\All the children are smart and well-behaved.\I see. Lately you've been following instructions and being well-behaved as well.\Yes.\You try to get along with the children, and play tag with all your strength.\I was worried because you were a tomboy, but it looks like you're fine. response:	You are insurance.
context: So how has living here been?\Oh, this is a wonderful House.\All the children are smart and well-behaved.\I see. Lately you've been following instructions and being well-behaved as well.\Yes.\You try to get along with the children, and play tag with all your strength.\I was worried because you were a tomboy, but it looks like you're fine.\You are insurance. response:	Insurance that I called for, just in case, to make sure the products are protected.
context: Oh, this is a wonderful House.\All the children are smart and well-behaved.\I see. Lately you've been following instructions and being well-behaved as well.\Yes.\You try to get along with the children, and play tag with all your strength.\I was worried because you were a tomboy, but it looks like you're fine.\You are insurance.\Insurance that I called for, just in case, to make sure the products are protected. response:	So you don't need to know which one knows the secret,
context: All the children are smart and well-behaved.\I see. Lately you've been following instructions and being well-behaved as well.\Yes.\You try to get along with the children, and play tag with all your strength.\I was worried because you were a tomboy, but it looks like you're fine.\You are insurance.\Insurance that I called for, just in case, to make sure the products are protected.\So you don't need to know which one knows the secret, response:	and just pretend to be obedient, work hard,
context: I see. Lately you've been following instructions and being well-behaved as well.\Yes.\You try to get along with the children, and play tag with all your strength.\I was worried because you were a tomboy, but it looks like you're fine.\You are insurance.\Insurance that I called for, just in case, to make sure the products are protected.\So you don't need to know which one knows the secret,\and just pretend to be obedient, work hard, response:	and laugh that you've grasped some sort of weakness over me.
context: Yes.\You try to get along with the children, and play tag with all your strength.\I was worried because you were a tomboy, but it looks like you're fine.\You are insurance.\Insurance that I called for, just in case, to make sure the products are protected.\So you don't need to know which one knows the secret,\and just pretend to be obedient, work hard,\and laugh that you've grasped some sort of weakness over me. response:	I wouldn't think of...
context: You try to get along with the children, and play tag with all your strength.\I was worried because you were a tomboy, but it looks like you're fine.\You are insurance.\Insurance that I called for, just in case, to make sure the products are protected.\So you don't need to know which one knows the secret,\and just pretend to be obedient, work hard,\and laugh that you've grasped some sort of weakness over me.\I wouldn't think of... response:	You have nothing else to do than be my pawn, right?
context: I was worried because you were a tomboy, but it looks like you're fine.\You are insurance.\Insurance that I called for, just in case, to make sure the products are protected.\So you don't need to know which one knows the secret,\and just pretend to be obedient, work hard,\and laugh that you've grasped some sort of weakness over me.\I wouldn't think of...\You have nothing else to do than be my pawn, right? response:	If you behave...
context: You are insurance.\Insurance that I called for, just in case, to make sure the products are protected.\So you don't need to know which one knows the secret,\and just pretend to be obedient, work hard,\and laugh that you've grasped some sort of weakness over me.\I wouldn't think of...\You have nothing else to do than be my pawn, right?\If you behave... response:	I'll make sure that you become a Mom.
context: Insurance that I called for, just in case, to make sure the products are protected.\So you don't need to know which one knows the secret,\and just pretend to be obedient, work hard,\and laugh that you've grasped some sort of weakness over me.\I wouldn't think of...\You have nothing else to do than be my pawn, right?\If you behave...\I'll make sure that you become a Mom. response:	I promise.
context: So you don't need to know which one knows the secret,\and just pretend to be obedient, work hard,\and laugh that you've grasped some sort of weakness over me.\I wouldn't think of...\You have nothing else to do than be my pawn, right?\If you behave...\I'll make sure that you become a Mom.\I promise. response:	You're a smart girl.
context: and just pretend to be obedient, work hard,\and laugh that you've grasped some sort of weakness over me.\I wouldn't think of...\You have nothing else to do than be my pawn, right?\If you behave...\I'll make sure that you become a Mom.\I promise.\You're a smart girl. response:	Don't make any more mistakes from now on.
context: and laugh that you've grasped some sort of weakness over me.\I wouldn't think of...\You have nothing else to do than be my pawn, right?\If you behave...\I'll make sure that you become a Mom.\I promise.\You're a smart girl.\Don't make any more mistakes from now on. response:	That woman!
context: I wouldn't think of...\You have nothing else to do than be my pawn, right?\If you behave...\I'll make sure that you become a Mom.\I promise.\You're a smart girl.\Don't make any more mistakes from now on.\That woman! response:	Just you watch!
context: You have nothing else to do than be my pawn, right?\If you behave...\I'll make sure that you become a Mom.\I promise.\You're a smart girl.\Don't make any more mistakes from now on.\That woman!\Just you watch! response:	I'll drag you down!
context: If you behave...\I'll make sure that you become a Mom.\I promise.\You're a smart girl.\Don't make any more mistakes from now on.\That woman!\Just you watch!\I'll drag you down! response:	And then...
context: I'll make sure that you become a Mom.\I promise.\You're a smart girl.\Don't make any more mistakes from now on.\That woman!\Just you watch!\I'll drag you down!\And then... response:	I will be Mom.
context: I promise.\You're a smart girl.\Don't make any more mistakes from now on.\That woman!\Just you watch!\I'll drag you down!\And then...\I will be Mom. response:	Emma.
context: You're a smart girl.\Don't make any more mistakes from now on.\That woman!\Just you watch!\I'll drag you down!\And then...\I will be Mom.\Emma. response:	Starting today, let's play tag in teams.
context: Don't make any more mistakes from now on.\That woman!\Just you watch!\I'll drag you down!\And then...\I will be Mom.\Emma.\Starting today, let's play tag in teams. response:	In teams?
context: That woman!\Just you watch!\I'll drag you down!\And then...\I will be Mom.\Emma.\Starting today, let's play tag in teams.\In teams? response:	At this rate, most of them would die if they escaped individually.
context: Just you watch!\I'll drag you down!\And then...\I will be Mom.\Emma.\Starting today, let's play tag in teams.\In teams?\At this rate, most of them would die if they escaped individually. response:	Hey, Ray.
context: I'll drag you down!\And then...\I will be Mom.\Emma.\Starting today, let's play tag in teams.\In teams?\At this rate, most of them would die if they escaped individually.\Hey, Ray. response:	But everyone's movements aren't bad.
context: And then...\I will be Mom.\Emma.\Starting today, let's play tag in teams.\In teams?\At this rate, most of them would die if they escaped individually.\Hey, Ray.\But everyone's movements aren't bad. response:	So we shouldn't break them up individually.
context: I will be Mom.\Emma.\Starting today, let's play tag in teams.\In teams?\At this rate, most of them would die if they escaped individually.\Hey, Ray.\But everyone's movements aren't bad.\So we shouldn't break them up individually. response:	We'll make formations and run away in teams.
context: Emma.\Starting today, let's play tag in teams.\In teams?\At this rate, most of them would die if they escaped individually.\Hey, Ray.\But everyone's movements aren't bad.\So we shouldn't break them up individually.\We'll make formations and run away in teams. response:	We'll play tag in a way that's similar to what the real escape would be like.
context: Starting today, let's play tag in teams.\In teams?\At this rate, most of them would die if they escaped individually.\Hey, Ray.\But everyone's movements aren't bad.\So we shouldn't break them up individually.\We'll make formations and run away in teams.\We'll play tag in a way that's similar to what the real escape would be like. response:	The real escape.
context: In teams?\At this rate, most of them would die if they escaped individually.\Hey, Ray.\But everyone's movements aren't bad.\So we shouldn't break them up individually.\We'll make formations and run away in teams.\We'll play tag in a way that's similar to what the real escape would be like.\The real escape. response:	And I have another idea.
context: At this rate, most of them would die if they escaped individually.\Hey, Ray.\But everyone's movements aren't bad.\So we shouldn't break them up individually.\We'll make formations and run away in teams.\We'll play tag in a way that's similar to what the real escape would be like.\The real escape.\And I have another idea. response:	Let's tell Don and Gilda.
context: Hey, Ray.\But everyone's movements aren't bad.\So we shouldn't break them up individually.\We'll make formations and run away in teams.\We'll play tag in a way that's similar to what the real escape would be like.\The real escape.\And I have another idea.\Let's tell Don and Gilda. response:	We'll explain the situation and have them lead the teams.
context: But everyone's movements aren't bad.\So we shouldn't break them up individually.\We'll make formations and run away in teams.\We'll play tag in a way that's similar to what the real escape would be like.\The real escape.\And I have another idea.\Let's tell Don and Gilda.\We'll explain the situation and have them lead the teams. response:	What if they're Mom's informant?
context: So we shouldn't break them up individually.\We'll make formations and run away in teams.\We'll play tag in a way that's similar to what the real escape would be like.\The real escape.\And I have another idea.\Let's tell Don and Gilda.\We'll explain the situation and have them lead the teams.\What if they're Mom's informant? response:	No worries. Finding out who the informant is, and also winning them over.
context: We'll make formations and run away in teams.\We'll play tag in a way that's similar to what the real escape would be like.\The real escape.\And I have another idea.\Let's tell Don and Gilda.\We'll explain the situation and have them lead the teams.\What if they're Mom's informant?\No worries. Finding out who the informant is, and also winning them over. response:	I can do them simultaneously.
context: We'll play tag in a way that's similar to what the real escape would be like.\The real escape.\And I have another idea.\Let's tell Don and Gilda.\We'll explain the situation and have them lead the teams.\What if they're Mom's informant?\No worries. Finding out who the informant is, and also winning them over.\I can do them simultaneously. response:	And I've already made arrangements.
context: The real escape.\And I have another idea.\Let's tell Don and Gilda.\We'll explain the situation and have them lead the teams.\What if they're Mom's informant?\No worries. Finding out who the informant is, and also winning them over.\I can do them simultaneously.\And I've already made arrangements. response:	Emma.
context: And I have another idea.\Let's tell Don and Gilda.\We'll explain the situation and have them lead the teams.\What if they're Mom's informant?\No worries. Finding out who the informant is, and also winning them over.\I can do them simultaneously.\And I've already made arrangements.\Emma. response:	For now, I'll tell you 100 types of formation patterns, so memorize them.
context: Let's tell Don and Gilda.\We'll explain the situation and have them lead the teams.\What if they're Mom's informant?\No worries. Finding out who the informant is, and also winning them over.\I can do them simultaneously.\And I've already made arrangements.\Emma.\For now, I'll tell you 100 types of formation patterns, so memorize them. response:	You mean by ear?
context: We'll explain the situation and have them lead the teams.\What if they're Mom's informant?\No worries. Finding out who the informant is, and also winning them over.\I can do them simultaneously.\And I've already made arrangements.\Emma.\For now, I'll tell you 100 types of formation patterns, so memorize them.\You mean by ear? response:	You can't do it?
context: What if they're Mom's informant?\No worries. Finding out who the informant is, and also winning them over.\I can do them simultaneously.\And I've already made arrangements.\Emma.\For now, I'll tell you 100 types of formation patterns, so memorize them.\You mean by ear?\You can't do it? response:	Easy peasy!
context: No worries. Finding out who the informant is, and also winning them over.\I can do them simultaneously.\And I've already made arrangements.\Emma.\For now, I'll tell you 100 types of formation patterns, so memorize them.\You mean by ear?\You can't do it?\Easy peasy! response:	- I won't get caught this time! - Good luck.
context: I can do them simultaneously.\And I've already made arrangements.\Emma.\For now, I'll tell you 100 types of formation patterns, so memorize them.\You mean by ear?\You can't do it?\Easy peasy!\- I won't get caught this time! - Good luck. response:	Okay, try not to get caught for 10 minutes.
context: And I've already made arrangements.\Emma.\For now, I'll tell you 100 types of formation patterns, so memorize them.\You mean by ear?\You can't do it?\Easy peasy!\- I won't get caught this time! - Good luck.\Okay, try not to get caught for 10 minutes. response:	Start.
context: Emma.\For now, I'll tell you 100 types of formation patterns, so memorize them.\You mean by ear?\You can't do it?\Easy peasy!\- I won't get caught this time! - Good luck.\Okay, try not to get caught for 10 minutes.\Start. response:	Everyone, follow me!
context: For now, I'll tell you 100 types of formation patterns, so memorize them.\You mean by ear?\You can't do it?\Easy peasy!\- I won't get caught this time! - Good luck.\Okay, try not to get caught for 10 minutes.\Start.\Everyone, follow me! response:	Let's succeed and surprise Ray!
context: You mean by ear?\You can't do it?\Easy peasy!\- I won't get caught this time! - Good luck.\Okay, try not to get caught for 10 minutes.\Start.\Everyone, follow me!\Let's succeed and surprise Ray! response:	Let's do this!
context: You can't do it?\Easy peasy!\- I won't get caught this time! - Good luck.\Okay, try not to get caught for 10 minutes.\Start.\Everyone, follow me!\Let's succeed and surprise Ray!\Let's do this! response:	That was fun!
context: Easy peasy!\- I won't get caught this time! - Good luck.\Okay, try not to get caught for 10 minutes.\Start.\Everyone, follow me!\Let's succeed and surprise Ray!\Let's do this!\That was fun! response:	Phil, you were good at running away.
context: - I won't get caught this time! - Good luck.\Okay, try not to get caught for 10 minutes.\Start.\Everyone, follow me!\Let's succeed and surprise Ray!\Let's do this!\That was fun!\Phil, you were good at running away. response:	This is really fun!
context: Okay, try not to get caught for 10 minutes.\Start.\Everyone, follow me!\Let's succeed and surprise Ray!\Let's do this!\That was fun!\Phil, you were good at running away.\This is really fun! response:	I want to be leader for the next one!
context: Start.\Everyone, follow me!\Let's succeed and surprise Ray!\Let's do this!\That was fun!\Phil, you were good at running away.\This is really fun!\I want to be leader for the next one! response:	But let's take a break for a little bit.
context: Everyone, follow me!\Let's succeed and surprise Ray!\Let's do this!\That was fun!\Phil, you were good at running away.\This is really fun!\I want to be leader for the next one!\But let's take a break for a little bit. response:	It looks like playing tag in teams is going to work!
context: Let's succeed and surprise Ray!\Let's do this!\That was fun!\Phil, you were good at running away.\This is really fun!\I want to be leader for the next one!\But let's take a break for a little bit.\It looks like playing tag in teams is going to work! response:	What was Phil's score again?
context: Let's do this!\That was fun!\Phil, you were good at running away.\This is really fun!\I want to be leader for the next one!\But let's take a break for a little bit.\It looks like playing tag in teams is going to work!\What was Phil's score again? response:	Let's see.
context: That was fun!\Phil, you were good at running away.\This is really fun!\I want to be leader for the next one!\But let's take a break for a little bit.\It looks like playing tag in teams is going to work!\What was Phil's score again?\Let's see. response:	He's averaging about 203 lately.
