context: Huh? response:	Doesn't it seem more crowded than usual?
context: Huh?\Doesn't it seem more crowded than usual? response:	Apparently, a local festival called the Sasahata Tanabata starts today.
context: Huh?\Doesn't it seem more crowded than usual?\Apparently, a local festival called the Sasahata Tanabata starts today. response:	Now, then.
context: Huh?\Doesn't it seem more crowded than usual?\Apparently, a local festival called the Sasahata Tanabata starts today.\Now, then. response:	It's all well and good that we got to Hatagaya,
context: Huh?\Doesn't it seem more crowded than usual?\Apparently, a local festival called the Sasahata Tanabata starts today.\Now, then.\It's all well and good that we got to Hatagaya, response:	but it looks like there aren't many customers at our all-important MgRonald's.
context: Huh?\Doesn't it seem more crowded than usual?\Apparently, a local festival called the Sasahata Tanabata starts today.\Now, then.\It's all well and good that we got to Hatagaya,\but it looks like there aren't many customers at our all-important MgRonald's. response:	This can't be good for them.
context: Huh?\Doesn't it seem more crowded than usual?\Apparently, a local festival called the Sasahata Tanabata starts today.\Now, then.\It's all well and good that we got to Hatagaya,\but it looks like there aren't many customers at our all-important MgRonald's.\This can't be good for them. response:	Bad place for a lovers' quarrel.
context: Huh?\Doesn't it seem more crowded than usual?\Apparently, a local festival called the Sasahata Tanabata starts today.\Now, then.\It's all well and good that we got to Hatagaya,\but it looks like there aren't many customers at our all-important MgRonald's.\This can't be good for them.\Bad place for a lovers' quarrel. response:	If the place isn't crowded, it could get really ugly if things go wrong.
context: Doesn't it seem more crowded than usual?\Apparently, a local festival called the Sasahata Tanabata starts today.\Now, then.\It's all well and good that we got to Hatagaya,\but it looks like there aren't many customers at our all-important MgRonald's.\This can't be good for them.\Bad place for a lovers' quarrel.\If the place isn't crowded, it could get really ugly if things go wrong. response:	Also, what if the man's in the right?
context: Apparently, a local festival called the Sasahata Tanabata starts today.\Now, then.\It's all well and good that we got to Hatagaya,\but it looks like there aren't many customers at our all-important MgRonald's.\This can't be good for them.\Bad place for a lovers' quarrel.\If the place isn't crowded, it could get really ugly if things go wrong.\Also, what if the man's in the right? response:	We could end up ruining things for him at work when it wasn't even his fault.
context: Now, then.\It's all well and good that we got to Hatagaya,\but it looks like there aren't many customers at our all-important MgRonald's.\This can't be good for them.\Bad place for a lovers' quarrel.\If the place isn't crowded, it could get really ugly if things go wrong.\Also, what if the man's in the right?\We could end up ruining things for him at work when it wasn't even his fault. response:	And...
context: It's all well and good that we got to Hatagaya,\but it looks like there aren't many customers at our all-important MgRonald's.\This can't be good for them.\Bad place for a lovers' quarrel.\If the place isn't crowded, it could get really ugly if things go wrong.\Also, what if the man's in the right?\We could end up ruining things for him at work when it wasn't even his fault.\And... response:	Fortunately, there's a Sentucky right in front of us.
context: but it looks like there aren't many customers at our all-important MgRonald's.\This can't be good for them.\Bad place for a lovers' quarrel.\If the place isn't crowded, it could get really ugly if things go wrong.\Also, what if the man's in the right?\We could end up ruining things for him at work when it wasn't even his fault.\And...\Fortunately, there's a Sentucky right in front of us. response:	Let's have a strategy meeting there first!
context: This can't be good for them.\Bad place for a lovers' quarrel.\If the place isn't crowded, it could get really ugly if things go wrong.\Also, what if the man's in the right?\We could end up ruining things for him at work when it wasn't even his fault.\And...\Fortunately, there's a Sentucky right in front of us.\Let's have a strategy meeting there first! response:	Rika's definitely enjoying all this.
context: Bad place for a lovers' quarrel.\If the place isn't crowded, it could get really ugly if things go wrong.\Also, what if the man's in the right?\We could end up ruining things for him at work when it wasn't even his fault.\And...\Fortunately, there's a Sentucky right in front of us.\Let's have a strategy meeting there first!\Rika's definitely enjoying all this. response:	Get out of your cage
context: If the place isn't crowded, it could get really ugly if things go wrong.\Also, what if the man's in the right?\We could end up ruining things for him at work when it wasn't even his fault.\And...\Fortunately, there's a Sentucky right in front of us.\Let's have a strategy meeting there first!\Rika's definitely enjoying all this.\Get out of your cage response:	Fly toward the sky
context: Also, what if the man's in the right?\We could end up ruining things for him at work when it wasn't even his fault.\And...\Fortunately, there's a Sentucky right in front of us.\Let's have a strategy meeting there first!\Rika's definitely enjoying all this.\Get out of your cage\Fly toward the sky response:	Fly toward the sky
context: We could end up ruining things for him at work when it wasn't even his fault.\And...\Fortunately, there's a Sentucky right in front of us.\Let's have a strategy meeting there first!\Rika's definitely enjoying all this.\Get out of your cage\Fly toward the sky\Fly toward the sky response:	It all starts right here, right now
context: And...\Fortunately, there's a Sentucky right in front of us.\Let's have a strategy meeting there first!\Rika's definitely enjoying all this.\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now response:	Let's picture what we can do
context: Fortunately, there's a Sentucky right in front of us.\Let's have a strategy meeting there first!\Rika's definitely enjoying all this.\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do response:	Let's picture what we can do
context: Let's have a strategy meeting there first!\Rika's definitely enjoying all this.\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do response:	Let's picture what we can do
