context: Listen, Miach! response:	Bell-kun... Bell-kun...
context: Listen, Miach!\Bell-kun... Bell-kun... response:	Damn it! Who is that girl anyway?
context: Listen, Miach!\Bell-kun... Bell-kun...\Damn it! Who is that girl anyway? response:	Bell-kun is mine!
context: Listen, Miach!\Bell-kun... Bell-kun...\Damn it! Who is that girl anyway?\Bell-kun is mine! response:	Now, now, Hestia.
context: Listen, Miach!\Bell-kun... Bell-kun...\Damn it! Who is that girl anyway?\Bell-kun is mine!\Now, now, Hestia. response:	Bell doesn't belong to anybody.
context: Listen, Miach!\Bell-kun... Bell-kun...\Damn it! Who is that girl anyway?\Bell-kun is mine!\Now, now, Hestia.\Bell doesn't belong to anybody. response:	I know that!
context: Listen, Miach!\Bell-kun... Bell-kun...\Damn it! Who is that girl anyway?\Bell-kun is mine!\Now, now, Hestia.\Bell doesn't belong to anybody.\I know that! response:	I just said it to say it!
context: Listen, Miach!\Bell-kun... Bell-kun...\Damn it! Who is that girl anyway?\Bell-kun is mine!\Now, now, Hestia.\Bell doesn't belong to anybody.\I know that!\I just said it to say it! response:	No, I wanted to say it!
context: Bell-kun... Bell-kun...\Damn it! Who is that girl anyway?\Bell-kun is mine!\Now, now, Hestia.\Bell doesn't belong to anybody.\I know that!\I just said it to say it!\No, I wanted to say it! response:	Bell-kun...
context: Damn it! Who is that girl anyway?\Bell-kun is mine!\Now, now, Hestia.\Bell doesn't belong to anybody.\I know that!\I just said it to say it!\No, I wanted to say it!\Bell-kun... response:	Please, don't leave me alone!
context: Bell-kun is mine!\Now, now, Hestia.\Bell doesn't belong to anybody.\I know that!\I just said it to say it!\No, I wanted to say it!\Bell-kun...\Please, don't leave me alone! response:	Now, now, you're being loud.
context: Now, now, Hestia.\Bell doesn't belong to anybody.\I know that!\I just said it to say it!\No, I wanted to say it!\Bell-kun...\Please, don't leave me alone!\Now, now, you're being loud. response:	I love you, Bell-kun!
context: Bell doesn't belong to anybody.\I know that!\I just said it to say it!\No, I wanted to say it!\Bell-kun...\Please, don't leave me alone!\Now, now, you're being loud.\I love you, Bell-kun! response:	Is It Wrong to Try to Pick Up Girls in a Dungeon?
context: I know that!\I just said it to say it!\No, I wanted to say it!\Bell-kun...\Please, don't leave me alone!\Now, now, you're being loud.\I love you, Bell-kun!\Is It Wrong to Try to Pick Up Girls in a Dungeon? response:	Grimoire Magic Book
context: I just said it to say it!\No, I wanted to say it!\Bell-kun...\Please, don't leave me alone!\Now, now, you're being loud.\I love you, Bell-kun!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Grimoire Magic Book response:	Are you okay, Goddess?
context: No, I wanted to say it!\Bell-kun...\Please, don't leave me alone!\Now, now, you're being loud.\I love you, Bell-kun!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Grimoire Magic Book\Are you okay, Goddess? response:	G-Goddess? Is something wrong?
context: Bell-kun...\Please, don't leave me alone!\Now, now, you're being loud.\I love you, Bell-kun!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Grimoire Magic Book\Are you okay, Goddess?\G-Goddess? Is something wrong? response:	Nothing's wrong.
context: Please, don't leave me alone!\Now, now, you're being loud.\I love you, Bell-kun!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Grimoire Magic Book\Are you okay, Goddess?\G-Goddess? Is something wrong?\Nothing's wrong. response:	What's with you, Bell-kun? You cheater!
context: Now, now, you're being loud.\I love you, Bell-kun!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Grimoire Magic Book\Are you okay, Goddess?\G-Goddess? Is something wrong?\Nothing's wrong.\What's with you, Bell-kun? You cheater! response:	Um, Goddess...
context: I love you, Bell-kun!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Grimoire Magic Book\Are you okay, Goddess?\G-Goddess? Is something wrong?\Nothing's wrong.\What's with you, Bell-kun? You cheater!\Um, Goddess... response:	This may not be the time,
context: Is It Wrong to Try to Pick Up Girls in a Dungeon?\Grimoire Magic Book\Are you okay, Goddess?\G-Goddess? Is something wrong?\Nothing's wrong.\What's with you, Bell-kun? You cheater!\Um, Goddess...\This may not be the time, response:	but when's your next day off work?
context: Grimoire Magic Book\Are you okay, Goddess?\G-Goddess? Is something wrong?\Nothing's wrong.\What's with you, Bell-kun? You cheater!\Um, Goddess...\This may not be the time,\but when's your next day off work? response:	Day off?
context: Are you okay, Goddess?\G-Goddess? Is something wrong?\Nothing's wrong.\What's with you, Bell-kun? You cheater!\Um, Goddess...\This may not be the time,\but when's your next day off work?\Day off? response:	Why?
context: G-Goddess? Is something wrong?\Nothing's wrong.\What's with you, Bell-kun? You cheater!\Um, Goddess...\This may not be the time,\but when's your next day off work?\Day off?\Why? response:	I've started to make a lot of money in the dungeon lately,
context: Nothing's wrong.\What's with you, Bell-kun? You cheater!\Um, Goddess...\This may not be the time,\but when's your next day off work?\Day off?\Why?\I've started to make a lot of money in the dungeon lately, response:	and I wanted to repay you for everything you've done for me.
context: What's with you, Bell-kun? You cheater!\Um, Goddess...\This may not be the time,\but when's your next day off work?\Day off?\Why?\I've started to make a lot of money in the dungeon lately,\and I wanted to repay you for everything you've done for me. response:	So, um...
context: Um, Goddess...\This may not be the time,\but when's your next day off work?\Day off?\Why?\I've started to make a lot of money in the dungeon lately,\and I wanted to repay you for everything you've done for me.\So, um... response:	Would you like to go get a nice dinner or something?
context: This may not be the time,\but when's your next day off work?\Day off?\Why?\I've started to make a lot of money in the dungeon lately,\and I wanted to repay you for everything you've done for me.\So, um...\Would you like to go get a nice dinner or something? response:	A date?
context: but when's your next day off work?\Day off?\Why?\I've started to make a lot of money in the dungeon lately,\and I wanted to repay you for everything you've done for me.\So, um...\Would you like to go get a nice dinner or something?\A date? response:	Let's go today!
context: Day off?\Why?\I've started to make a lot of money in the dungeon lately,\and I wanted to repay you for everything you've done for me.\So, um...\Would you like to go get a nice dinner or something?\A date?\Let's go today! response:	Huh?
context: Why?\I've started to make a lot of money in the dungeon lately,\and I wanted to repay you for everything you've done for me.\So, um...\Would you like to go get a nice dinner or something?\A date?\Let's go today!\Huh? response:	I want to go today!
context: I've started to make a lot of money in the dungeon lately,\and I wanted to repay you for everything you've done for me.\So, um...\Would you like to go get a nice dinner or something?\A date?\Let's go today!\Huh?\I want to go today! response:	But...
context: and I wanted to repay you for everything you've done for me.\So, um...\Would you like to go get a nice dinner or something?\A date?\Let's go today!\Huh?\I want to go today!\But... response:	We're going today!
context: So, um...\Would you like to go get a nice dinner or something?\A date?\Let's go today!\Huh?\I want to go today!\But...\We're going today! response:	But aren't you feeling...
context: Would you like to go get a nice dinner or something?\A date?\Let's go today!\Huh?\I want to go today!\But...\We're going today!\But aren't you feeling... response:	I'm all better!
context: A date?\Let's go today!\Huh?\I want to go today!\But...\We're going today!\But aren't you feeling...\I'm all better! response:	Sniff, sniff...
context: Let's go today!\Huh?\I want to go today!\But...\We're going today!\But aren't you feeling...\I'm all better!\Sniff, sniff... response:	Bell-kun, I'll see you at six o' clock this evening on Southwest Main, at Amour Square!
context: Huh?\I want to go today!\But...\We're going today!\But aren't you feeling...\I'm all better!\Sniff, sniff...\Bell-kun, I'll see you at six o' clock this evening on Southwest Main, at Amour Square! response:	A date with Bell-kun!
context: I want to go today!\But...\We're going today!\But aren't you feeling...\I'm all better!\Sniff, sniff...\Bell-kun, I'll see you at six o' clock this evening on Southwest Main, at Amour Square!\A date with Bell-kun! response:	A date with Bell-kun!
context: But...\We're going today!\But aren't you feeling...\I'm all better!\Sniff, sniff...\Bell-kun, I'll see you at six o' clock this evening on Southwest Main, at Amour Square!\A date with Bell-kun!\A date with Bell-kun! response:	Oh, Hestia?
context: We're going today!\But aren't you feeling...\I'm all better!\Sniff, sniff...\Bell-kun, I'll see you at six o' clock this evening on Southwest Main, at Amour Square!\A date with Bell-kun!\A date with Bell-kun!\Oh, Hestia? response:	Hey, Demeter!
context: But aren't you feeling...\I'm all better!\Sniff, sniff...\Bell-kun, I'll see you at six o' clock this evening on Southwest Main, at Amour Square!\A date with Bell-kun!\A date with Bell-kun!\Oh, Hestia?\Hey, Demeter! response:	It's been a while!
context: I'm all better!\Sniff, sniff...\Bell-kun, I'll see you at six o' clock this evening on Southwest Main, at Amour Square!\A date with Bell-kun!\A date with Bell-kun!\Oh, Hestia?\Hey, Demeter!\It's been a while! response:	They're as big as ever, I see.
context: Sniff, sniff...\Bell-kun, I'll see you at six o' clock this evening on Southwest Main, at Amour Square!\A date with Bell-kun!\A date with Bell-kun!\Oh, Hestia?\Hey, Demeter!\It's been a while!\They're as big as ever, I see. response:	Yours are pretty big, too, aren't they?
context: Bell-kun, I'll see you at six o' clock this evening on Southwest Main, at Amour Square!\A date with Bell-kun!\A date with Bell-kun!\Oh, Hestia?\Hey, Demeter!\It's been a while!\They're as big as ever, I see.\Yours are pretty big, too, aren't they? response:	I'm surprised, though.
context: A date with Bell-kun!\A date with Bell-kun!\Oh, Hestia?\Hey, Demeter!\It's been a while!\They're as big as ever, I see.\Yours are pretty big, too, aren't they?\I'm surprised, though. response:	Isn't this the first time you've visited the Divine Bathhouse?
context: A date with Bell-kun!\Oh, Hestia?\Hey, Demeter!\It's been a while!\They're as big as ever, I see.\Yours are pretty big, too, aren't they?\I'm surprised, though.\Isn't this the first time you've visited the Divine Bathhouse? response:	Actually, I'm meeting someone after this.
context: Oh, Hestia?\Hey, Demeter!\It's been a while!\They're as big as ever, I see.\Yours are pretty big, too, aren't they?\I'm surprised, though.\Isn't this the first time you've visited the Divine Bathhouse?\Actually, I'm meeting someone after this. response:	I want to go all-out for it.
context: Hey, Demeter!\It's been a while!\They're as big as ever, I see.\Yours are pretty big, too, aren't they?\I'm surprised, though.\Isn't this the first time you've visited the Divine Bathhouse?\Actually, I'm meeting someone after this.\I want to go all-out for it. response:	Could it be...?! Are you meeting a gentleman?
context: It's been a while!\They're as big as ever, I see.\Yours are pretty big, too, aren't they?\I'm surprised, though.\Isn't this the first time you've visited the Divine Bathhouse?\Actually, I'm meeting someone after this.\I want to go all-out for it.\Could it be...?! Are you meeting a gentleman? response:	What if I am?
context: They're as big as ever, I see.\Yours are pretty big, too, aren't they?\I'm surprised, though.\Isn't this the first time you've visited the Divine Bathhouse?\Actually, I'm meeting someone after this.\I want to go all-out for it.\Could it be...?! Are you meeting a gentleman?\What if I am? response:	Oh my, oh my!
context: Yours are pretty big, too, aren't they?\I'm surprised, though.\Isn't this the first time you've visited the Divine Bathhouse?\Actually, I'm meeting someone after this.\I want to go all-out for it.\Could it be...?! Are you meeting a gentleman?\What if I am?\Oh my, oh my! response:	Hestia, of all people?
context: I'm surprised, though.\Isn't this the first time you've visited the Divine Bathhouse?\Actually, I'm meeting someone after this.\I want to go all-out for it.\Could it be...?! Are you meeting a gentleman?\What if I am?\Oh my, oh my!\Hestia, of all people? response:	Listen, everyone!
context: Isn't this the first time you've visited the Divine Bathhouse?\Actually, I'm meeting someone after this.\I want to go all-out for it.\Could it be...?! Are you meeting a gentleman?\What if I am?\Oh my, oh my!\Hestia, of all people?\Listen, everyone! response:	Hestia's got a man!
context: Actually, I'm meeting someone after this.\I want to go all-out for it.\Could it be...?! Are you meeting a gentleman?\What if I am?\Oh my, oh my!\Hestia, of all people?\Listen, everyone!\Hestia's got a man! response:	Hestia, who was always so totally hopeless in heaven?
context: I want to go all-out for it.\Could it be...?! Are you meeting a gentleman?\What if I am?\Oh my, oh my!\Hestia, of all people?\Listen, everyone!\Hestia's got a man!\Hestia, who was always so totally hopeless in heaven? response:	Loli Big-Boobs? That Hestia?
context: Could it be...?! Are you meeting a gentleman?\What if I am?\Oh my, oh my!\Hestia, of all people?\Listen, everyone!\Hestia's got a man!\Hestia, who was always so totally hopeless in heaven?\Loli Big-Boobs? That Hestia? response:	Who is it?
context: What if I am?\Oh my, oh my!\Hestia, of all people?\Listen, everyone!\Hestia's got a man!\Hestia, who was always so totally hopeless in heaven?\Loli Big-Boobs? That Hestia?\Who is it? response:	Tell us!
context: Oh my, oh my!\Hestia, of all people?\Listen, everyone!\Hestia's got a man!\Hestia, who was always so totally hopeless in heaven?\Loli Big-Boobs? That Hestia?\Who is it?\Tell us! response:	He's a child from my familia.
context: Hestia, of all people?\Listen, everyone!\Hestia's got a man!\Hestia, who was always so totally hopeless in heaven?\Loli Big-Boobs? That Hestia?\Who is it?\Tell us!\He's a child from my familia. response:	A human.
context: Listen, everyone!\Hestia's got a man!\Hestia, who was always so totally hopeless in heaven?\Loli Big-Boobs? That Hestia?\Who is it?\Tell us!\He's a child from my familia.\A human. response:	Jeez, you guys are annoying!
context: Hestia's got a man!\Hestia, who was always so totally hopeless in heaven?\Loli Big-Boobs? That Hestia?\Who is it?\Tell us!\He's a child from my familia.\A human.\Jeez, you guys are annoying! response:	I have to go.
context: Hestia, who was always so totally hopeless in heaven?\Loli Big-Boobs? That Hestia?\Who is it?\Tell us!\He's a child from my familia.\A human.\Jeez, you guys are annoying!\I have to go. response:	Hey, Hestia.
context: Loli Big-Boobs? That Hestia?\Who is it?\Tell us!\He's a child from my familia.\A human.\Jeez, you guys are annoying!\I have to go.\Hey, Hestia. response:	What do you like about him?
context: Who is it?\Tell us!\He's a child from my familia.\A human.\Jeez, you guys are annoying!\I have to go.\Hey, Hestia.\What do you like about him? response:	Everything!
context: Tell us!\He's a child from my familia.\A human.\Jeez, you guys are annoying!\I have to go.\Hey, Hestia.\What do you like about him?\Everything! response:	Bell-kun!
context: He's a child from my familia.\A human.\Jeez, you guys are annoying!\I have to go.\Hey, Hestia.\What do you like about him?\Everything!\Bell-kun! response:	I'm sorry, Bell-kun.
context: A human.\Jeez, you guys are annoying!\I have to go.\Hey, Hestia.\What do you like about him?\Everything!\Bell-kun!\I'm sorry, Bell-kun. response:	Did I keep you waiting?
context: Jeez, you guys are annoying!\I have to go.\Hey, Hestia.\What do you like about him?\Everything!\Bell-kun!\I'm sorry, Bell-kun.\Did I keep you waiting? response:	Not at all!
context: I have to go.\Hey, Hestia.\What do you like about him?\Everything!\Bell-kun!\I'm sorry, Bell-kun.\Did I keep you waiting?\Not at all! response:	I just got here!
context: Hey, Hestia.\What do you like about him?\Everything!\Bell-kun!\I'm sorry, Bell-kun.\Did I keep you waiting?\Not at all!\I just got here! response:	Oh! Is that Hestia's new man I heard about?
context: What do you like about him?\Everything!\Bell-kun!\I'm sorry, Bell-kun.\Did I keep you waiting?\Not at all!\I just got here!\Oh! Is that Hestia's new man I heard about? response:	Goddess!
context: Everything!\Bell-kun!\I'm sorry, Bell-kun.\Did I keep you waiting?\Not at all!\I just got here!\Oh! Is that Hestia's new man I heard about?\Goddess! response:	He's so cute!
context: Bell-kun!\I'm sorry, Bell-kun.\Did I keep you waiting?\Not at all!\I just got here!\Oh! Is that Hestia's new man I heard about?\Goddess!\He's so cute! response:	Gotcha!
context: I'm sorry, Bell-kun.\Did I keep you waiting?\Not at all!\I just got here!\Oh! Is that Hestia's new man I heard about?\Goddess!\He's so cute!\Gotcha! response:	Me, too!
context: Did I keep you waiting?\Not at all!\I just got here!\Oh! Is that Hestia's new man I heard about?\Goddess!\He's so cute!\Gotcha!\Me, too! response:	Wh-Wh-Wh-What
context: Not at all!\I just got here!\Oh! Is that Hestia's new man I heard about?\Goddess!\He's so cute!\Gotcha!\Me, too!\Wh-Wh-Wh-What response:	Sorry, Hestia.
context: I just got here!\Oh! Is that Hestia's new man I heard about?\Goddess!\He's so cute!\Gotcha!\Me, too!\Wh-Wh-Wh-What\Sorry, Hestia. response:	We were curious so we followed along.
context: Oh! Is that Hestia's new man I heard about?\Goddess!\He's so cute!\Gotcha!\Me, too!\Wh-Wh-Wh-What\Sorry, Hestia.\We were curious so we followed along. response:	Please let me go.
context: Goddess!\He's so cute!\Gotcha!\Me, too!\Wh-Wh-Wh-What\Sorry, Hestia.\We were curious so we followed along.\Please let me go. response:	Oh my, so cute!
context: He's so cute!\Gotcha!\Me, too!\Wh-Wh-Wh-What\Sorry, Hestia.\We were curious so we followed along.\Please let me go.\Oh my, so cute! response:	Bell-kun!
context: Gotcha!\Me, too!\Wh-Wh-Wh-What\Sorry, Hestia.\We were curious so we followed along.\Please let me go.\Oh my, so cute!\Bell-kun! response:	Hestia's running away!
context: Me, too!\Wh-Wh-Wh-What\Sorry, Hestia.\We were curious so we followed along.\Please let me go.\Oh my, so cute!\Bell-kun!\Hestia's running away! response:	W-We finally escaped, huh, Goddess?
context: Wh-Wh-Wh-What\Sorry, Hestia.\We were curious so we followed along.\Please let me go.\Oh my, so cute!\Bell-kun!\Hestia's running away!\W-We finally escaped, huh, Goddess? response:	This is the problem with deities!
context: Sorry, Hestia.\We were curious so we followed along.\Please let me go.\Oh my, so cute!\Bell-kun!\Hestia's running away!\W-We finally escaped, huh, Goddess?\This is the problem with deities! response:	They're a pack of fun-starved hyenas!
context: We were curious so we followed along.\Please let me go.\Oh my, so cute!\Bell-kun!\Hestia's running away!\W-We finally escaped, huh, Goddess?\This is the problem with deities!\They're a pack of fun-starved hyenas! response:	Thanks to them, it's already so late.
context: Please let me go.\Oh my, so cute!\Bell-kun!\Hestia's running away!\W-We finally escaped, huh, Goddess?\This is the problem with deities!\They're a pack of fun-starved hyenas!\Thanks to them, it's already so late. response:	And my date with you...
context: Oh my, so cute!\Bell-kun!\Hestia's running away!\W-We finally escaped, huh, Goddess?\This is the problem with deities!\They're a pack of fun-starved hyenas!\Thanks to them, it's already so late.\And my date with you... response:	But it was kind of fun.
context: Bell-kun!\Hestia's running away!\W-We finally escaped, huh, Goddess?\This is the problem with deities!\They're a pack of fun-starved hyenas!\Thanks to them, it's already so late.\And my date with you...\But it was kind of fun. response:	And there.
context: Hestia's running away!\W-We finally escaped, huh, Goddess?\This is the problem with deities!\They're a pack of fun-starved hyenas!\Thanks to them, it's already so late.\And my date with you...\But it was kind of fun.\And there. response:	Take a look, Goddess.
context: W-We finally escaped, huh, Goddess?\This is the problem with deities!\They're a pack of fun-starved hyenas!\Thanks to them, it's already so late.\And my date with you...\But it was kind of fun.\And there.\Take a look, Goddess. response:	Aren't they pretty?
context: This is the problem with deities!\They're a pack of fun-starved hyenas!\Thanks to them, it's already so late.\And my date with you...\But it was kind of fun.\And there.\Take a look, Goddess.\Aren't they pretty? response:	Yeah.
context: They're a pack of fun-starved hyenas!\Thanks to them, it's already so late.\And my date with you...\But it was kind of fun.\And there.\Take a look, Goddess.\Aren't they pretty?\Yeah. response:	Goddess, let's come back here sometime.
context: Thanks to them, it's already so late.\And my date with you...\But it was kind of fun.\And there.\Take a look, Goddess.\Aren't they pretty?\Yeah.\Goddess, let's come back here sometime. response:	Next time, I'll actually buy you dinner.
context: And my date with you...\But it was kind of fun.\And there.\Take a look, Goddess.\Aren't they pretty?\Yeah.\Goddess, let's come back here sometime.\Next time, I'll actually buy you dinner. response:	I'll be looking forward to it, Bell-kun.
context: But it was kind of fun.\And there.\Take a look, Goddess.\Aren't they pretty?\Yeah.\Goddess, let's come back here sometime.\Next time, I'll actually buy you dinner.\I'll be looking forward to it, Bell-kun. response:	There.
context: And there.\Take a look, Goddess.\Aren't they pretty?\Yeah.\Goddess, let's come back here sometime.\Next time, I'll actually buy you dinner.\I'll be looking forward to it, Bell-kun.\There. response:	Better than usual, huh?
context: Take a look, Goddess.\Aren't they pretty?\Yeah.\Goddess, let's come back here sometime.\Next time, I'll actually buy you dinner.\I'll be looking forward to it, Bell-kun.\There.\Better than usual, huh? response:	But that's still not nearly enough, is it, Arde?
context: Aren't they pretty?\Yeah.\Goddess, let's come back here sometime.\Next time, I'll actually buy you dinner.\I'll be looking forward to it, Bell-kun.\There.\Better than usual, huh?\But that's still not nearly enough, is it, Arde? response:	Who's responsible for the fact that a
context: Yeah.\Goddess, let's come back here sometime.\Next time, I'll actually buy you dinner.\I'll be looking forward to it, Bell-kun.\There.\Better than usual, huh?\But that's still not nearly enough, is it, Arde?\Who's responsible for the fact that a response:	useless supporter like you can be part of the Soma Familia with us?
context: Goddess, let's come back here sometime.\Next time, I'll actually buy you dinner.\I'll be looking forward to it, Bell-kun.\There.\Better than usual, huh?\But that's still not nearly enough, is it, Arde?\Who's responsible for the fact that a\useless supporter like you can be part of the Soma Familia with us? response:	It's thanks to you adventurers.
context: Next time, I'll actually buy you dinner.\I'll be looking forward to it, Bell-kun.\There.\Better than usual, huh?\But that's still not nearly enough, is it, Arde?\Who's responsible for the fact that a\useless supporter like you can be part of the Soma Familia with us?\It's thanks to you adventurers. response:	If you know that, then go work until you drop dead!
context: I'll be looking forward to it, Bell-kun.\There.\Better than usual, huh?\But that's still not nearly enough, is it, Arde?\Who's responsible for the fact that a\useless supporter like you can be part of the Soma Familia with us?\It's thanks to you adventurers.\If you know that, then go work until you drop dead! response:	Did you see how she fell?
context: There.\Better than usual, huh?\But that's still not nearly enough, is it, Arde?\Who's responsible for the fact that a\useless supporter like you can be part of the Soma Familia with us?\It's thanks to you adventurers.\If you know that, then go work until you drop dead!\Did you see how she fell? response:	We need you to keep making that money for us.
context: Better than usual, huh?\But that's still not nearly enough, is it, Arde?\Who's responsible for the fact that a\useless supporter like you can be part of the Soma Familia with us?\It's thanks to you adventurers.\If you know that, then go work until you drop dead!\Did you see how she fell?\We need you to keep making that money for us. response:	Thanks to you adventurers? .
context: But that's still not nearly enough, is it, Arde?\Who's responsible for the fact that a\useless supporter like you can be part of the Soma Familia with us?\It's thanks to you adventurers.\If you know that, then go work until you drop dead!\Did you see how she fell?\We need you to keep making that money for us.\Thanks to you adventurers? . response:	Well, it doesn't matter.
context: Who's responsible for the fact that a\useless supporter like you can be part of the Soma Familia with us?\It's thanks to you adventurers.\If you know that, then go work until you drop dead!\Did you see how she fell?\We need you to keep making that money for us.\Thanks to you adventurers? .\Well, it doesn't matter. response:	I only owe a little more.
context: useless supporter like you can be part of the Soma Familia with us?\It's thanks to you adventurers.\If you know that, then go work until you drop dead!\Did you see how she fell?\We need you to keep making that money for us.\Thanks to you adventurers? .\Well, it doesn't matter.\I only owe a little more. response:	I'll get my hands on that knife...
context: It's thanks to you adventurers.\If you know that, then go work until you drop dead!\Did you see how she fell?\We need you to keep making that money for us.\Thanks to you adventurers? .\Well, it doesn't matter.\I only owe a little more.\I'll get my hands on that knife... response:	It's all thanks to you, Lili.
context: If you know that, then go work until you drop dead!\Did you see how she fell?\We need you to keep making that money for us.\Thanks to you adventurers? .\Well, it doesn't matter.\I only owe a little more.\I'll get my hands on that knife...\It's all thanks to you, Lili. response:	Really...
context: Did you see how she fell?\We need you to keep making that money for us.\Thanks to you adventurers? .\Well, it doesn't matter.\I only owe a little more.\I'll get my hands on that knife...\It's all thanks to you, Lili.\Really... response:	He's weird.
context: We need you to keep making that money for us.\Thanks to you adventurers? .\Well, it doesn't matter.\I only owe a little more.\I'll get my hands on that knife...\It's all thanks to you, Lili.\Really...\He's weird. response:	Hey, did you hear, Eina?
context: Thanks to you adventurers? .\Well, it doesn't matter.\I only owe a little more.\I'll get my hands on that knife...\It's all thanks to you, Lili.\Really...\He's weird.\Hey, did you hear, Eina? response:	Another Soma Familia adventurer got in a fight with the money exchange.
context: Well, it doesn't matter.\I only owe a little more.\I'll get my hands on that knife...\It's all thanks to you, Lili.\Really...\He's weird.\Hey, did you hear, Eina?\Another Soma Familia adventurer got in a fight with the money exchange. response:	I see.
context: I only owe a little more.\I'll get my hands on that knife...\It's all thanks to you, Lili.\Really...\He's weird.\Hey, did you hear, Eina?\Another Soma Familia adventurer got in a fight with the money exchange.\I see. response:	Why are they always so desperate?
context: I'll get my hands on that knife...\It's all thanks to you, Lili.\Really...\He's weird.\Hey, did you hear, Eina?\Another Soma Familia adventurer got in a fight with the money exchange.\I see.\Why are they always so desperate? response:	I don't know.
context: It's all thanks to you, Lili.\Really...\He's weird.\Hey, did you hear, Eina?\Another Soma Familia adventurer got in a fight with the money exchange.\I see.\Why are they always so desperate?\I don't know. response:	They sell plenty of drinks, so I can't imagine they're hard up for money...
