context: It's not a dream. response:	It's not a joke.
context: It's not a dream.\It's not a joke. response:	Comprehensive Summer Training Documents
context: It's not a dream.\It's not a joke.\Comprehensive Summer Training Documents response:	It's not a misunderstanding.
context: It's not a dream.\It's not a joke.\Comprehensive Summer Training Documents\It's not a misunderstanding. response:	That's what goes through my mind, every day, after I confirm it.
context: It's not a dream.\It's not a joke.\Comprehensive Summer Training Documents\It's not a misunderstanding.\That's what goes through my mind, every day, after I confirm it. response:	At school, at home, at my job,
context: It's not a dream.\It's not a joke.\Comprehensive Summer Training Documents\It's not a misunderstanding.\That's what goes through my mind, every day, after I confirm it.\At school, at home, at my job, response:	Ray of Hope For Civilian Antarctic Expedition? Shichishin-ya to Sign Contract to Sponsor Challenge For Antarctic?
context: It's not a dream.\It's not a joke.\Comprehensive Summer Training Documents\It's not a misunderstanding.\That's what goes through my mind, every day, after I confirm it.\At school, at home, at my job,\Ray of Hope For Civilian Antarctic Expedition? Shichishin-ya to Sign Contract to Sponsor Challenge For Antarctic? response:	We got some tickets for this, so if you're interested, come see management.
context: It's not a dream.\It's not a joke.\Comprehensive Summer Training Documents\It's not a misunderstanding.\That's what goes through my mind, every day, after I confirm it.\At school, at home, at my job,\Ray of Hope For Civilian Antarctic Expedition? Shichishin-ya to Sign Contract to Sponsor Challenge For Antarctic?\We got some tickets for this, so if you're interested, come see management. response:	I say it over and over again.
context: It's not a joke.\Comprehensive Summer Training Documents\It's not a misunderstanding.\That's what goes through my mind, every day, after I confirm it.\At school, at home, at my job,\Ray of Hope For Civilian Antarctic Expedition? Shichishin-ya to Sign Contract to Sponsor Challenge For Antarctic?\We got some tickets for this, so if you're interested, come see management.\I say it over and over again. response:	We're going to Antarctica!
context: Comprehensive Summer Training Documents\It's not a misunderstanding.\That's what goes through my mind, every day, after I confirm it.\At school, at home, at my job,\Ray of Hope For Civilian Antarctic Expedition? Shichishin-ya to Sign Contract to Sponsor Challenge For Antarctic?\We got some tickets for this, so if you're interested, come see management.\I say it over and over again.\We're going to Antarctica! response:	She actually said Antarctica!
context: It's not a misunderstanding.\That's what goes through my mind, every day, after I confirm it.\At school, at home, at my job,\Ray of Hope For Civilian Antarctic Expedition? Shichishin-ya to Sign Contract to Sponsor Challenge For Antarctic?\We got some tickets for this, so if you're interested, come see management.\I say it over and over again.\We're going to Antarctica!\She actually said Antarctica! response:	You don't care?
context: That's what goes through my mind, every day, after I confirm it.\At school, at home, at my job,\Ray of Hope For Civilian Antarctic Expedition? Shichishin-ya to Sign Contract to Sponsor Challenge For Antarctic?\We got some tickets for this, so if you're interested, come see management.\I say it over and over again.\We're going to Antarctica!\She actually said Antarctica!\You don't care? response:	No.
context: At school, at home, at my job,\Ray of Hope For Civilian Antarctic Expedition? Shichishin-ya to Sign Contract to Sponsor Challenge For Antarctic?\We got some tickets for this, so if you're interested, come see management.\I say it over and over again.\We're going to Antarctica!\She actually said Antarctica!\You don't care?\No. response:	It's not as if they'd believe me right now anyway.
context: Ray of Hope For Civilian Antarctic Expedition? Shichishin-ya to Sign Contract to Sponsor Challenge For Antarctic?\We got some tickets for this, so if you're interested, come see management.\I say it over and over again.\We're going to Antarctica!\She actually said Antarctica!\You don't care?\No.\It's not as if they'd believe me right now anyway. response:	I'll say it after I've really gone,
