context: Is that... response:	It looks like a princess or something to me.
context: Is that...\It looks like a princess or something to me. response:	Cecil!
context: Is that...\It looks like a princess or something to me.\Cecil! response:	Th-The body...
context: Is that...\It looks like a princess or something to me.\Cecil!\Th-The body... response:	Chapman...
context: Is that...\It looks like a princess or something to me.\Cecil!\Th-The body...\Chapman... response:	Did I get her?
context: Is that...\It looks like a princess or something to me.\Cecil!\Th-The body...\Chapman...\Did I get her? response:	Damn you...
context: Is that...\It looks like a princess or something to me.\Cecil!\Th-The body...\Chapman...\Did I get her?\Damn you... response:	Tilarna!
context: Is that...\It looks like a princess or something to me.\Cecil!\Th-The body...\Chapman...\Did I get her?\Damn you...\Tilarna! response:	Get back, Kei!
context: It looks like a princess or something to me.\Cecil!\Th-The body...\Chapman...\Did I get her?\Damn you...\Tilarna!\Get back, Kei! response:	Shit!
context: Cecil!\Th-The body...\Chapman...\Did I get her?\Damn you...\Tilarna!\Get back, Kei!\Shit! response:	What the hell was that thing?
context: Th-The body...\Chapman...\Did I get her?\Damn you...\Tilarna!\Get back, Kei!\Shit!\What the hell was that thing? response:	A lauden neiven. In your language, a vampire.
context: Chapman...\Did I get her?\Damn you...\Tilarna!\Get back, Kei!\Shit!\What the hell was that thing?\A lauden neiven. In your language, a vampire. response:	A vampire? I thought she was some kind of weird pervert.
context: Did I get her?\Damn you...\Tilarna!\Get back, Kei!\Shit!\What the hell was that thing?\A lauden neiven. In your language, a vampire.\A vampire? I thought she was some kind of weird pervert. response:	So that shriveled-up corpse turned into a hot naked chick and attacked somebody?
context: Damn you...\Tilarna!\Get back, Kei!\Shit!\What the hell was that thing?\A lauden neiven. In your language, a vampire.\A vampire? I thought she was some kind of weird pervert.\So that shriveled-up corpse turned into a hot naked chick and attacked somebody? response:	Not a chance. Did she just plump up like instant ramen?
context: Tilarna!\Get back, Kei!\Shit!\What the hell was that thing?\A lauden neiven. In your language, a vampire.\A vampire? I thought she was some kind of weird pervert.\So that shriveled-up corpse turned into a hot naked chick and attacked somebody?\Not a chance. Did she just plump up like instant ramen? response:	It wasn't a body.
