context: Hakone Ekiden Memories response:	Spun along with the runner's sash
context: Hakone Ekiden Memories\Spun along with the runner's sash response:	Spun along with the runner's sash are numerous dramas.
context: Hakone Ekiden Memories\Spun along with the runner's sash\Spun along with the runner's sash are numerous dramas. response:	Numerous dramas
context: Hakone Ekiden Memories\Spun along with the runner's sash\Spun along with the runner's sash are numerous dramas.\Numerous dramas response:	Dead heats between aces.
context: Hakone Ekiden Memories\Spun along with the runner's sash\Spun along with the runner's sash are numerous dramas.\Numerous dramas\Dead heats between aces. response:	Dead heats between aces.
context: Hakone Ekiden Memories\Spun along with the runner's sash\Spun along with the runner's sash are numerous dramas.\Numerous dramas\Dead heats between aces.\Dead heats between aces. response:	This is the moment a new legend was born during the second section.
context: Hakone Ekiden Memories\Spun along with the runner's sash\Spun along with the runner's sash are numerous dramas.\Numerous dramas\Dead heats between aces.\Dead heats between aces.\This is the moment a new legend was born during the second section. response:	As temperatures rose during the fourth section, there was an accident.
context: Hakone Ekiden Memories\Spun along with the runner's sash\Spun along with the runner's sash are numerous dramas.\Numerous dramas\Dead heats between aces.\Dead heats between aces.\This is the moment a new legend was born during the second section.\As temperatures rose during the fourth section, there was an accident. response:	A coach's words saved a runner.
context: Spun along with the runner's sash\Spun along with the runner's sash are numerous dramas.\Numerous dramas\Dead heats between aces.\Dead heats between aces.\This is the moment a new legend was born during the second section.\As temperatures rose during the fourth section, there was an accident.\A coach's words saved a runner. response:	On the steep slopes of Mt. Hakone...
context: Spun along with the runner's sash are numerous dramas.\Numerous dramas\Dead heats between aces.\Dead heats between aces.\This is the moment a new legend was born during the second section.\As temperatures rose during the fourth section, there was an accident.\A coach's words saved a runner.\On the steep slopes of Mt. Hakone... response:	It's well-edited.
context: Numerous dramas\Dead heats between aces.\Dead heats between aces.\This is the moment a new legend was born during the second section.\As temperatures rose during the fourth section, there was an accident.\A coach's words saved a runner.\On the steep slopes of Mt. Hakone...\It's well-edited. response:	My heart naturally begins to leap.
context: Dead heats between aces.\Dead heats between aces.\This is the moment a new legend was born during the second section.\As temperatures rose during the fourth section, there was an accident.\A coach's words saved a runner.\On the steep slopes of Mt. Hakone...\It's well-edited.\My heart naturally begins to leap. response:	On January 2nd and 3rd of next year, we'll be there this time.
context: Dead heats between aces.\This is the moment a new legend was born during the second section.\As temperatures rose during the fourth section, there was an accident.\A coach's words saved a runner.\On the steep slopes of Mt. Hakone...\It's well-edited.\My heart naturally begins to leap.\On January 2nd and 3rd of next year, we'll be there this time. response:	Each of us will stand on his own starting line and wait for the sash.
context: This is the moment a new legend was born during the second section.\As temperatures rose during the fourth section, there was an accident.\A coach's words saved a runner.\On the steep slopes of Mt. Hakone...\It's well-edited.\My heart naturally begins to leap.\On January 2nd and 3rd of next year, we'll be there this time.\Each of us will stand on his own starting line and wait for the sash. response:	We'll receive it and pass it on to the next man.
context: As temperatures rose during the fourth section, there was an accident.\A coach's words saved a runner.\On the steep slopes of Mt. Hakone...\It's well-edited.\My heart naturally begins to leap.\On January 2nd and 3rd of next year, we'll be there this time.\Each of us will stand on his own starting line and wait for the sash.\We'll receive it and pass it on to the next man. response:	Passing it on again and again, we'll eventually meet again at Otemachi.
context: A coach's words saved a runner.\On the steep slopes of Mt. Hakone...\It's well-edited.\My heart naturally begins to leap.\On January 2nd and 3rd of next year, we'll be there this time.\Each of us will stand on his own starting line and wait for the sash.\We'll receive it and pass it on to the next man.\Passing it on again and again, we'll eventually meet again at Otemachi. response:	It will be the Kansei University Long Distance Track Team's first major accomplishment.
context: On the steep slopes of Mt. Hakone...\It's well-edited.\My heart naturally begins to leap.\On January 2nd and 3rd of next year, we'll be there this time.\Each of us will stand on his own starting line and wait for the sash.\We'll receive it and pass it on to the next man.\Passing it on again and again, we'll eventually meet again at Otemachi.\It will be the Kansei University Long Distance Track Team's first major accomplishment. response:	No, it will be the first time in recent history
context: It's well-edited.\My heart naturally begins to leap.\On January 2nd and 3rd of next year, we'll be there this time.\Each of us will stand on his own starting line and wait for the sash.\We'll receive it and pass it on to the next man.\Passing it on again and again, we'll eventually meet again at Otemachi.\It will be the Kansei University Long Distance Track Team's first major accomplishment.\No, it will be the first time in recent history response:	that a team makes it to the Ekiden on their first try.
context: My heart naturally begins to leap.\On January 2nd and 3rd of next year, we'll be there this time.\Each of us will stand on his own starting line and wait for the sash.\We'll receive it and pass it on to the next man.\Passing it on again and again, we'll eventually meet again at Otemachi.\It will be the Kansei University Long Distance Track Team's first major accomplishment.\No, it will be the first time in recent history\that a team makes it to the Ekiden on their first try. response:	That's all.
context: On January 2nd and 3rd of next year, we'll be there this time.\Each of us will stand on his own starting line and wait for the sash.\We'll receive it and pass it on to the next man.\Passing it on again and again, we'll eventually meet again at Otemachi.\It will be the Kansei University Long Distance Track Team's first major accomplishment.\No, it will be the first time in recent history\that a team makes it to the Ekiden on their first try.\That's all. response:	Do you guys feel a little closer now...
context: Each of us will stand on his own starting line and wait for the sash.\We'll receive it and pass it on to the next man.\Passing it on again and again, we'll eventually meet again at Otemachi.\It will be the Kansei University Long Distance Track Team's first major accomplishment.\No, it will be the first time in recent history\that a team makes it to the Ekiden on their first try.\That's all.\Do you guys feel a little closer now... response:	Volume
context: We'll receive it and pass it on to the next man.\Passing it on again and again, we'll eventually meet again at Otemachi.\It will be the Kansei University Long Distance Track Team's first major accomplishment.\No, it will be the first time in recent history\that a team makes it to the Ekiden on their first try.\That's all.\Do you guys feel a little closer now...\Volume response:	Hakone Ekiden Memories
