context: You're such a slowpoke, Rita. response:	Alright, everyone, stay where you are and listen.
context: You're such a slowpoke, Rita.\Alright, everyone, stay where you are and listen. response:	We have some new workers joining us here at the laundry mill today.
context: You're such a slowpoke, Rita.\Alright, everyone, stay where you are and listen.\We have some new workers joining us here at the laundry mill today. response:	Now, ladies, if you'd introduce yourselves...
context: You're such a slowpoke, Rita.\Alright, everyone, stay where you are and listen.\We have some new workers joining us here at the laundry mill today.\Now, ladies, if you'd introduce yourselves... response:	I'm Bea...
context: You're such a slowpoke, Rita.\Alright, everyone, stay where you are and listen.\We have some new workers joining us here at the laundry mill today.\Now, ladies, if you'd introduce yourselves...\I'm Bea... response:	Becky!
context: You're such a slowpoke, Rita.\Alright, everyone, stay where you are and listen.\We have some new workers joining us here at the laundry mill today.\Now, ladies, if you'd introduce yourselves...\I'm Bea...\Becky! response:	Dorothea.
context: You're such a slowpoke, Rita.\Alright, everyone, stay where you are and listen.\We have some new workers joining us here at the laundry mill today.\Now, ladies, if you'd introduce yourselves...\I'm Bea...\Becky!\Dorothea. response:	I'm Chieko.
context: You're such a slowpoke, Rita.\Alright, everyone, stay where you are and listen.\We have some new workers joining us here at the laundry mill today.\Now, ladies, if you'd introduce yourselves...\I'm Bea...\Becky!\Dorothea.\I'm Chieko. response:	My name is Priscilla.
context: Alright, everyone, stay where you are and listen.\We have some new workers joining us here at the laundry mill today.\Now, ladies, if you'd introduce yourselves...\I'm Bea...\Becky!\Dorothea.\I'm Chieko.\My name is Priscilla. response:	Quit staring at me, would ya?!
context: We have some new workers joining us here at the laundry mill today.\Now, ladies, if you'd introduce yourselves...\I'm Bea...\Becky!\Dorothea.\I'm Chieko.\My name is Priscilla.\Quit staring at me, would ya?! response:	It's Alice.
context: Now, ladies, if you'd introduce yourselves...\I'm Bea...\Becky!\Dorothea.\I'm Chieko.\My name is Priscilla.\Quit staring at me, would ya?!\It's Alice. response:	Anyone disrespects me...
context: I'm Bea...\Becky!\Dorothea.\I'm Chieko.\My name is Priscilla.\Quit staring at me, would ya?!\It's Alice.\Anyone disrespects me... response:	And I knock'em to Kingdom Come!
context: Becky!\Dorothea.\I'm Chieko.\My name is Priscilla.\Quit staring at me, would ya?!\It's Alice.\Anyone disrespects me...\And I knock'em to Kingdom Come! response:	Hey!
context: Dorothea.\I'm Chieko.\My name is Priscilla.\Quit staring at me, would ya?!\It's Alice.\Anyone disrespects me...\And I knock'em to Kingdom Come!\Hey! response:	What kind of a cover is that?
context: I'm Chieko.\My name is Priscilla.\Quit staring at me, would ya?!\It's Alice.\Anyone disrespects me...\And I knock'em to Kingdom Come!\Hey!\What kind of a cover is that? response:	I'm a former delinquent who decided to turn over a new leaf when her mother fell ill,
context: My name is Priscilla.\Quit staring at me, would ya?!\It's Alice.\Anyone disrespects me...\And I knock'em to Kingdom Come!\Hey!\What kind of a cover is that?\I'm a former delinquent who decided to turn over a new leaf when her mother fell ill, response:	So I went to work, but I can't hide my bad attitude.
context: Quit staring at me, would ya?!\It's Alice.\Anyone disrespects me...\And I knock'em to Kingdom Come!\Hey!\What kind of a cover is that?\I'm a former delinquent who decided to turn over a new leaf when her mother fell ill,\So I went to work, but I can't hide my bad attitude. response:	That's an elaborate backstory.
context: It's Alice.\Anyone disrespects me...\And I knock'em to Kingdom Come!\Hey!\What kind of a cover is that?\I'm a former delinquent who decided to turn over a new leaf when her mother fell ill,\So I went to work, but I can't hide my bad attitude.\That's an elaborate backstory. response:	It's the optimal cover for this mission.
context: Anyone disrespects me...\And I knock'em to Kingdom Come!\Hey!\What kind of a cover is that?\I'm a former delinquent who decided to turn over a new leaf when her mother fell ill,\So I went to work, but I can't hide my bad attitude.\That's an elaborate backstory.\It's the optimal cover for this mission. response:	Right. The mission.
context: And I knock'em to Kingdom Come!\Hey!\What kind of a cover is that?\I'm a former delinquent who decided to turn over a new leaf when her mother fell ill,\So I went to work, but I can't hide my bad attitude.\That's an elaborate backstory.\It's the optimal cover for this mission.\Right. The mission. response:	Poison Gas Jack.
context: Hey!\What kind of a cover is that?\I'm a former delinquent who decided to turn over a new leaf when her mother fell ill,\So I went to work, but I can't hide my bad attitude.\That's an elaborate backstory.\It's the optimal cover for this mission.\Right. The mission.\Poison Gas Jack. response:	An elusive phantom killer who's been making a name for himself in the tabloids.
context: What kind of a cover is that?\I'm a former delinquent who decided to turn over a new leaf when her mother fell ill,\So I went to work, but I can't hide my bad attitude.\That's an elaborate backstory.\It's the optimal cover for this mission.\Right. The mission.\Poison Gas Jack.\An elusive phantom killer who's been making a name for himself in the tabloids. response:	He's been assassinating important people who've shown support for the Commonwealth.
context: I'm a former delinquent who decided to turn over a new leaf when her mother fell ill,\So I went to work, but I can't hide my bad attitude.\That's an elaborate backstory.\It's the optimal cover for this mission.\Right. The mission.\Poison Gas Jack.\An elusive phantom killer who's been making a name for himself in the tabloids.\He's been assassinating important people who've shown support for the Commonwealth. response:	But we haven't identified any backers. We believe he's working alone.
context: So I went to work, but I can't hide my bad attitude.\That's an elaborate backstory.\It's the optimal cover for this mission.\Right. The mission.\Poison Gas Jack.\An elusive phantom killer who's been making a name for himself in the tabloids.\He's been assassinating important people who've shown support for the Commonwealth.\But we haven't identified any backers. We believe he's working alone. response:	Then we have but to exterminate him.
context: That's an elaborate backstory.\It's the optimal cover for this mission.\Right. The mission.\Poison Gas Jack.\An elusive phantom killer who's been making a name for himself in the tabloids.\He's been assassinating important people who've shown support for the Commonwealth.\But we haven't identified any backers. We believe he's working alone.\Then we have but to exterminate him. response:	I will handle it.
context: It's the optimal cover for this mission.\Right. The mission.\Poison Gas Jack.\An elusive phantom killer who's been making a name for himself in the tabloids.\He's been assassinating important people who've shown support for the Commonwealth.\But we haven't identified any backers. We believe he's working alone.\Then we have but to exterminate him.\I will handle it. response:	A man who uses poison gas will be an easy opponent.
context: Right. The mission.\Poison Gas Jack.\An elusive phantom killer who's been making a name for himself in the tabloids.\He's been assassinating important people who've shown support for the Commonwealth.\But we haven't identified any backers. We believe he's working alone.\Then we have but to exterminate him.\I will handle it.\A man who uses poison gas will be an easy opponent. response:	We'll have to find him first.
context: Poison Gas Jack.\An elusive phantom killer who's been making a name for himself in the tabloids.\He's been assassinating important people who've shown support for the Commonwealth.\But we haven't identified any backers. We believe he's working alone.\Then we have but to exterminate him.\I will handle it.\A man who uses poison gas will be an easy opponent.\We'll have to find him first. response:	I wonder what he's trying to accomplish.
context: An elusive phantom killer who's been making a name for himself in the tabloids.\He's been assassinating important people who've shown support for the Commonwealth.\But we haven't identified any backers. We believe he's working alone.\Then we have but to exterminate him.\I will handle it.\A man who uses poison gas will be an easy opponent.\We'll have to find him first.\I wonder what he's trying to accomplish. response:	Look at this.
context: He's been assassinating important people who've shown support for the Commonwealth.\But we haven't identified any backers. We believe he's working alone.\Then we have but to exterminate him.\I will handle it.\A man who uses poison gas will be an easy opponent.\We'll have to find him first.\I wonder what he's trying to accomplish.\Look at this. response:	This is nerve gas, isn't it?
context: But we haven't identified any backers. We believe he's working alone.\Then we have but to exterminate him.\I will handle it.\A man who uses poison gas will be an easy opponent.\We'll have to find him first.\I wonder what he's trying to accomplish.\Look at this.\This is nerve gas, isn't it? response:	I thought production of nerve gas was banned by the Geneva Convention.
context: Then we have but to exterminate him.\I will handle it.\A man who uses poison gas will be an easy opponent.\We'll have to find him first.\I wonder what he's trying to accomplish.\Look at this.\This is nerve gas, isn't it?\I thought production of nerve gas was banned by the Geneva Convention. response:	Precisely.
context: I will handle it.\A man who uses poison gas will be an easy opponent.\We'll have to find him first.\I wonder what he's trying to accomplish.\Look at this.\This is nerve gas, isn't it?\I thought production of nerve gas was banned by the Geneva Convention.\Precisely. response:	So where did he get his illegal poison?
context: A man who uses poison gas will be an easy opponent.\We'll have to find him first.\I wonder what he's trying to accomplish.\Look at this.\This is nerve gas, isn't it?\I thought production of nerve gas was banned by the Geneva Convention.\Precisely.\So where did he get his illegal poison? response:	Getting the ingredients would be difficult, too.
context: We'll have to find him first.\I wonder what he's trying to accomplish.\Look at this.\This is nerve gas, isn't it?\I thought production of nerve gas was banned by the Geneva Convention.\Precisely.\So where did he get his illegal poison?\Getting the ingredients would be difficult, too. response:	Which means he's in the Army?
context: I wonder what he's trying to accomplish.\Look at this.\This is nerve gas, isn't it?\I thought production of nerve gas was banned by the Geneva Convention.\Precisely.\So where did he get his illegal poison?\Getting the ingredients would be difficult, too.\Which means he's in the Army? response:	Control had the same idea.
context: Look at this.\This is nerve gas, isn't it?\I thought production of nerve gas was banned by the Geneva Convention.\Precisely.\So where did he get his illegal poison?\Getting the ingredients would be difficult, too.\Which means he's in the Army?\Control had the same idea. response:	Gas produced before the Convention is lying unused in military storehouses.
context: This is nerve gas, isn't it?\I thought production of nerve gas was banned by the Geneva Convention.\Precisely.\So where did he get his illegal poison?\Getting the ingredients would be difficult, too.\Which means he's in the Army?\Control had the same idea.\Gas produced before the Convention is lying unused in military storehouses. response:	You mean inside the London Wall?
context: I thought production of nerve gas was banned by the Geneva Convention.\Precisely.\So where did he get his illegal poison?\Getting the ingredients would be difficult, too.\Which means he's in the Army?\Control had the same idea.\Gas produced before the Convention is lying unused in military storehouses.\You mean inside the London Wall? response:	Yes.
context: Precisely.\So where did he get his illegal poison?\Getting the ingredients would be difficult, too.\Which means he's in the Army?\Control had the same idea.\Gas produced before the Convention is lying unused in military storehouses.\You mean inside the London Wall?\Yes. response:	The storehouses were built before the second round of construction,
