context: That was loud. response:	Haru, are you okay?
context: That was loud.\Haru, are you okay? response:	My late grandma used to say
context: That was loud.\Haru, are you okay?\My late grandma used to say response:	that you sneeze when someone else is talking about you.
context: That was loud.\Haru, are you okay?\My late grandma used to say\that you sneeze when someone else is talking about you. response:	Here.
context: That was loud.\Haru, are you okay?\My late grandma used to say\that you sneeze when someone else is talking about you.\Here. response:	It must be Rin-chan!
context: That was loud.\Haru, are you okay?\My late grandma used to say\that you sneeze when someone else is talking about you.\Here.\It must be Rin-chan! response:	No, I'm pretty sure he's just sick.
context: That was loud.\Haru, are you okay?\My late grandma used to say\that you sneeze when someone else is talking about you.\Here.\It must be Rin-chan!\No, I'm pretty sure he's just sick. response:	It's because you were swimming in the pool in April.
context: That was loud.\Haru, are you okay?\My late grandma used to say\that you sneeze when someone else is talking about you.\Here.\It must be Rin-chan!\No, I'm pretty sure he's just sick.\It's because you were swimming in the pool in April. response:	I'm not a baby that gets sick from swimmi
context: Haru, are you okay?\My late grandma used to say\that you sneeze when someone else is talking about you.\Here.\It must be Rin-chan!\No, I'm pretty sure he's just sick.\It's because you were swimming in the pool in April.\I'm not a baby that gets sick from swimmi response:	It's too early for swimming in outdoor pools.
context: My late grandma used to say\that you sneeze when someone else is talking about you.\Here.\It must be Rin-chan!\No, I'm pretty sure he's just sick.\It's because you were swimming in the pool in April.\I'm not a baby that gets sick from swimmi\It's too early for swimming in outdoor pools. response:	We'll just have to work out until it's warmer.
context: that you sneeze when someone else is talking about you.\Here.\It must be Rin-chan!\No, I'm pretty sure he's just sick.\It's because you were swimming in the pool in April.\I'm not a baby that gets sick from swimmi\It's too early for swimming in outdoor pools.\We'll just have to work out until it's warmer. response:	Oh, I heard from Gou-chan
context: Here.\It must be Rin-chan!\No, I'm pretty sure he's just sick.\It's because you were swimming in the pool in April.\I'm not a baby that gets sick from swimmi\It's too early for swimming in outdoor pools.\We'll just have to work out until it's warmer.\Oh, I heard from Gou-chan response:	that Rin-chan joined the Samezuka swim team.
context: It must be Rin-chan!\No, I'm pretty sure he's just sick.\It's because you were swimming in the pool in April.\I'm not a baby that gets sick from swimmi\It's too early for swimming in outdoor pools.\We'll just have to work out until it's warmer.\Oh, I heard from Gou-chan\that Rin-chan joined the Samezuka swim team. response:	Huh?
context: No, I'm pretty sure he's just sick.\It's because you were swimming in the pool in April.\I'm not a baby that gets sick from swimmi\It's too early for swimming in outdoor pools.\We'll just have to work out until it's warmer.\Oh, I heard from Gou-chan\that Rin-chan joined the Samezuka swim team.\Huh? response:	Is something wrong, Mako-chan?
context: It's because you were swimming in the pool in April.\I'm not a baby that gets sick from swimmi\It's too early for swimming in outdoor pools.\We'll just have to work out until it's warmer.\Oh, I heard from Gou-chan\that Rin-chan joined the Samezuka swim team.\Huh?\Is something wrong, Mako-chan? response:	No, it's nothing.
context: I'm not a baby that gets sick from swimmi\It's too early for swimming in outdoor pools.\We'll just have to work out until it's warmer.\Oh, I heard from Gou-chan\that Rin-chan joined the Samezuka swim team.\Huh?\Is something wrong, Mako-chan?\No, it's nothing. response:	But this means we might run into him in a tournament.
context: It's too early for swimming in outdoor pools.\We'll just have to work out until it's warmer.\Oh, I heard from Gou-chan\that Rin-chan joined the Samezuka swim team.\Huh?\Is something wrong, Mako-chan?\No, it's nothing.\But this means we might run into him in a tournament. response:	Yep, we should enter tournaments!
context: We'll just have to work out until it's warmer.\Oh, I heard from Gou-chan\that Rin-chan joined the Samezuka swim team.\Huh?\Is something wrong, Mako-chan?\No, it's nothing.\But this means we might run into him in a tournament.\Yep, we should enter tournaments! response:	Then we can do relays again.
context: Oh, I heard from Gou-chan\that Rin-chan joined the Samezuka swim team.\Huh?\Is something wrong, Mako-chan?\No, it's nothing.\But this means we might run into him in a tournament.\Yep, we should enter tournaments!\Then we can do relays again. response:	I only swim freestyle.
context: that Rin-chan joined the Samezuka swim team.\Huh?\Is something wrong, Mako-chan?\No, it's nothing.\But this means we might run into him in a tournament.\Yep, we should enter tournaments!\Then we can do relays again.\I only swim freestyle. response:	Does that mean you can't swim relays?
context: Huh?\Is something wrong, Mako-chan?\No, it's nothing.\But this means we might run into him in a tournament.\Yep, we should enter tournaments!\Then we can do relays again.\I only swim freestyle.\Does that mean you can't swim relays? response:	Don't say that!
context: Is something wrong, Mako-chan?\No, it's nothing.\But this means we might run into him in a tournament.\Yep, we should enter tournaments!\Then we can do relays again.\I only swim freestyle.\Does that mean you can't swim relays?\Don't say that! response:	Come on...
context: No, it's nothing.\But this means we might run into him in a tournament.\Yep, we should enter tournaments!\Then we can do relays again.\I only swim freestyle.\Does that mean you can't swim relays?\Don't say that!\Come on... response:	Besides, we can't swim a relay with three people.
context: But this means we might run into him in a tournament.\Yep, we should enter tournaments!\Then we can do relays again.\I only swim freestyle.\Does that mean you can't swim relays?\Don't say that!\Come on...\Besides, we can't swim a relay with three people. response:	That's true.
context: Yep, we should enter tournaments!\Then we can do relays again.\I only swim freestyle.\Does that mean you can't swim relays?\Don't say that!\Come on...\Besides, we can't swim a relay with three people.\That's true. response:	Which means...
context: Then we can do relays again.\I only swim freestyle.\Does that mean you can't swim relays?\Don't say that!\Come on...\Besides, we can't swim a relay with three people.\That's true.\Which means... response:	We have to find one more member?!
context: I only swim freestyle.\Does that mean you can't swim relays?\Don't say that!\Come on...\Besides, we can't swim a relay with three people.\That's true.\Which means...\We have to find one more member?! response:	Theoretical Dolphin Kick!
context: Does that mean you can't swim relays?\Don't say that!\Come on...\Besides, we can't swim a relay with three people.\That's true.\Which means...\We have to find one more member?!\Theoretical Dolphin Kick! response:	We need one more member.
context: Don't say that!\Come on...\Besides, we can't swim a relay with three people.\That's true.\Which means...\We have to find one more member?!\Theoretical Dolphin Kick!\We need one more member. response:	But it'll be hard to find one now.
context: Come on...\Besides, we can't swim a relay with three people.\That's true.\Which means...\We have to find one more member?!\Theoretical Dolphin Kick!\We need one more member.\But it'll be hard to find one now. response:	I was turned down by everyone I asked last time.
context: Besides, we can't swim a relay with three people.\That's true.\Which means...\We have to find one more member?!\Theoretical Dolphin Kick!\We need one more member.\But it'll be hard to find one now.\I was turned down by everyone I asked last time. response:	Physical Training
context: That's true.\Which means...\We have to find one more member?!\Theoretical Dolphin Kick!\We need one more member.\But it'll be hard to find one now.\I was turned down by everyone I asked last time.\Physical Training response:	Ryugazaki-kun?
context: Which means...\We have to find one more member?!\Theoretical Dolphin Kick!\We need one more member.\But it'll be hard to find one now.\I was turned down by everyone I asked last time.\Physical Training\Ryugazaki-kun? response:	You go to school by train?
context: We have to find one more member?!\Theoretical Dolphin Kick!\We need one more member.\But it'll be hard to find one now.\I was turned down by everyone I asked last time.\Physical Training\Ryugazaki-kun?\You go to school by train? response:	Yes.
context: Theoretical Dolphin Kick!\We need one more member.\But it'll be hard to find one now.\I was turned down by everyone I asked last time.\Physical Training\Ryugazaki-kun?\You go to school by train?\Yes. response:	Oh, by the way...
context: We need one more member.\But it'll be hard to find one now.\I was turned down by everyone I asked last time.\Physical Training\Ryugazaki-kun?\You go to school by train?\Yes.\Oh, by the way... response:	I wanted to ask you a favor, as a classmate...
context: But it'll be hard to find one now.\I was turned down by everyone I asked last time.\Physical Training\Ryugazaki-kun?\You go to school by train?\Yes.\Oh, by the way...\I wanted to ask you a favor, as a classmate... response:	I won't join the swim club.
context: I was turned down by everyone I asked last time.\Physical Training\Ryugazaki-kun?\You go to school by train?\Yes.\Oh, by the way...\I wanted to ask you a favor, as a classmate...\I won't join the swim club. response:	Huh? How did you know before I said anything?
context: Physical Training\Ryugazaki-kun?\You go to school by train?\Yes.\Oh, by the way...\I wanted to ask you a favor, as a classmate...\I won't join the swim club.\Huh? How did you know before I said anything? response:	It was easy enough to guess.
context: Ryugazaki-kun?\You go to school by train?\Yes.\Oh, by the way...\I wanted to ask you a favor, as a classmate...\I won't join the swim club.\Huh? How did you know before I said anything?\It was easy enough to guess. response:	Huh?
context: You go to school by train?\Yes.\Oh, by the way...\I wanted to ask you a favor, as a classmate...\I won't join the swim club.\Huh? How did you know before I said anything?\It was easy enough to guess.\Huh? response:	Considering the recruiting posters in your bag,
context: Yes.\Oh, by the way...\I wanted to ask you a favor, as a classmate...\I won't join the swim club.\Huh? How did you know before I said anything?\It was easy enough to guess.\Huh?\Considering the recruiting posters in your bag, response:	and those swimsuit Iwatobi-chan straps you probably plan to give to new recruits.
