context: It's turned into a slum. response:	But it looks like there are still people in the apartments.
context: It's turned into a slum.\But it looks like there are still people in the apartments. response:	I wonder if you live in an apartment, too?
context: It's turned into a slum.\But it looks like there are still people in the apartments.\I wonder if you live in an apartment, too? response:	Who knows? The address looks like a freestanding house... Yeah, as if!
context: It's turned into a slum.\But it looks like there are still people in the apartments.\I wonder if you live in an apartment, too?\Who knows? The address looks like a freestanding house... Yeah, as if! response:	Episode 3: On the night of the Late Show
context: It's turned into a slum.\But it looks like there are still people in the apartments.\I wonder if you live in an apartment, too?\Who knows? The address looks like a freestanding house... Yeah, as if!\Episode 3: On the night of the Late Show response:	It's over there.
context: It's turned into a slum.\But it looks like there are still people in the apartments.\I wonder if you live in an apartment, too?\Who knows? The address looks like a freestanding house... Yeah, as if!\Episode 3: On the night of the Late Show\It's over there. response:	Ground zero of the blast is that way, so your place should be fine.
context: It's turned into a slum.\But it looks like there are still people in the apartments.\I wonder if you live in an apartment, too?\Who knows? The address looks like a freestanding house... Yeah, as if!\Episode 3: On the night of the Late Show\It's over there.\Ground zero of the blast is that way, so your place should be fine. response:	Yeah...
context: It's turned into a slum.\But it looks like there are still people in the apartments.\I wonder if you live in an apartment, too?\Who knows? The address looks like a freestanding house... Yeah, as if!\Episode 3: On the night of the Late Show\It's over there.\Ground zero of the blast is that way, so your place should be fine.\Yeah... response:	But you know, those buildings don't look like people live in them...
context: But it looks like there are still people in the apartments.\I wonder if you live in an apartment, too?\Who knows? The address looks like a freestanding house... Yeah, as if!\Episode 3: On the night of the Late Show\It's over there.\Ground zero of the blast is that way, so your place should be fine.\Yeah...\But you know, those buildings don't look like people live in them... response:	Let's at least go check it out.
context: I wonder if you live in an apartment, too?\Who knows? The address looks like a freestanding house... Yeah, as if!\Episode 3: On the night of the Late Show\It's over there.\Ground zero of the blast is that way, so your place should be fine.\Yeah...\But you know, those buildings don't look like people live in them...\Let's at least go check it out. response:	This is it.
context: Who knows? The address looks like a freestanding house... Yeah, as if!\Episode 3: On the night of the Late Show\It's over there.\Ground zero of the blast is that way, so your place should be fine.\Yeah...\But you know, those buildings don't look like people live in them...\Let's at least go check it out.\This is it. response:	You're... sure you've got the right place, right?
context: Episode 3: On the night of the Late Show\It's over there.\Ground zero of the blast is that way, so your place should be fine.\Yeah...\But you know, those buildings don't look like people live in them...\Let's at least go check it out.\This is it.\You're... sure you've got the right place, right? response:	It's the right address.
context: It's over there.\Ground zero of the blast is that way, so your place should be fine.\Yeah...\But you know, those buildings don't look like people live in them...\Let's at least go check it out.\This is it.\You're... sure you've got the right place, right?\It's the right address. response:	It opened.
context: Ground zero of the blast is that way, so your place should be fine.\Yeah...\But you know, those buildings don't look like people live in them...\Let's at least go check it out.\This is it.\You're... sure you've got the right place, right?\It's the right address.\It opened. response:	There should be a power source somewhere.
context: Yeah...\But you know, those buildings don't look like people live in them...\Let's at least go check it out.\This is it.\You're... sure you've got the right place, right?\It's the right address.\It opened.\There should be a power source somewhere. response:	But would a person normally live in a place like this?
context: But you know, those buildings don't look like people live in them...\Let's at least go check it out.\This is it.\You're... sure you've got the right place, right?\It's the right address.\It opened.\There should be a power source somewhere.\But would a person normally live in a place like this? response:	Tell me about it...
context: Let's at least go check it out.\This is it.\You're... sure you've got the right place, right?\It's the right address.\It opened.\There should be a power source somewhere.\But would a person normally live in a place like this?\Tell me about it... response:	Doesn't it remind you of anything?
context: This is it.\You're... sure you've got the right place, right?\It's the right address.\It opened.\There should be a power source somewhere.\But would a person normally live in a place like this?\Tell me about it...\Doesn't it remind you of anything? response:	You found the key without thinking about it...
context: You're... sure you've got the right place, right?\It's the right address.\It opened.\There should be a power source somewhere.\But would a person normally live in a place like this?\Tell me about it...\Doesn't it remind you of anything?\You found the key without thinking about it... response:	Mmm, I've got a sort of feel for it, but...
context: It's the right address.\It opened.\There should be a power source somewhere.\But would a person normally live in a place like this?\Tell me about it...\Doesn't it remind you of anything?\You found the key without thinking about it...\Mmm, I've got a sort of feel for it, but... response:	Takizawa!
context: It opened.\There should be a power source somewhere.\But would a person normally live in a place like this?\Tell me about it...\Doesn't it remind you of anything?\You found the key without thinking about it...\Mmm, I've got a sort of feel for it, but...\Takizawa! response:	What?
context: There should be a power source somewhere.\But would a person normally live in a place like this?\Tell me about it...\Doesn't it remind you of anything?\You found the key without thinking about it...\Mmm, I've got a sort of feel for it, but...\Takizawa!\What? response:	That scared me.
context: But would a person normally live in a place like this?\Tell me about it...\Doesn't it remind you of anything?\You found the key without thinking about it...\Mmm, I've got a sort of feel for it, but...\Takizawa!\What?\That scared me. response:	What are you doing here, little guy?
