context: This baby came very strangely. response:	In just a few days, it's ready for birth.
context: This baby came very strangely.\In just a few days, it's ready for birth. response:	Perhaps it's because this baby was exposed to the divine energy
context: This baby came very strangely.\In just a few days, it's ready for birth.\Perhaps it's because this baby was exposed to the divine energy response:	of Kunlun Mountain, and has the blessings of the golden lotus.
context: This baby came very strangely.\In just a few days, it's ready for birth.\Perhaps it's because this baby was exposed to the divine energy\of Kunlun Mountain, and has the blessings of the golden lotus. response:	That's right.
context: This baby came very strangely.\In just a few days, it's ready for birth.\Perhaps it's because this baby was exposed to the divine energy\of Kunlun Mountain, and has the blessings of the golden lotus.\That's right. response:	Mo Yuan isn't an ordinary immortal.
context: This baby came very strangely.\In just a few days, it's ready for birth.\Perhaps it's because this baby was exposed to the divine energy\of Kunlun Mountain, and has the blessings of the golden lotus.\That's right.\Mo Yuan isn't an ordinary immortal. response:	He is the son of the Heavenly Father, and one of his only descendants.
context: This baby came very strangely.\In just a few days, it's ready for birth.\Perhaps it's because this baby was exposed to the divine energy\of Kunlun Mountain, and has the blessings of the golden lotus.\That's right.\Mo Yuan isn't an ordinary immortal.\He is the son of the Heavenly Father, and one of his only descendants. response:	To have the blessings of the golden lotus that he was nurturing
context: This baby came very strangely.\In just a few days, it's ready for birth.\Perhaps it's because this baby was exposed to the divine energy\of Kunlun Mountain, and has the blessings of the golden lotus.\That's right.\Mo Yuan isn't an ordinary immortal.\He is the son of the Heavenly Father, and one of his only descendants.\To have the blessings of the golden lotus that he was nurturing response:	this baby must be out of the ordinary.
context: In just a few days, it's ready for birth.\Perhaps it's because this baby was exposed to the divine energy\of Kunlun Mountain, and has the blessings of the golden lotus.\That's right.\Mo Yuan isn't an ordinary immortal.\He is the son of the Heavenly Father, and one of his only descendants.\To have the blessings of the golden lotus that he was nurturing\this baby must be out of the ordinary. response:	Her Highness has been in labor for seven days.
context: Perhaps it's because this baby was exposed to the divine energy\of Kunlun Mountain, and has the blessings of the golden lotus.\That's right.\Mo Yuan isn't an ordinary immortal.\He is the son of the Heavenly Father, and one of his only descendants.\To have the blessings of the golden lotus that he was nurturing\this baby must be out of the ordinary.\Her Highness has been in labor for seven days. response:	I'm really scared.
context: of Kunlun Mountain, and has the blessings of the golden lotus.\That's right.\Mo Yuan isn't an ordinary immortal.\He is the son of the Heavenly Father, and one of his only descendants.\To have the blessings of the golden lotus that he was nurturing\this baby must be out of the ordinary.\Her Highness has been in labor for seven days.\I'm really scared. response:	Don't be scared, okay?
context: That's right.\Mo Yuan isn't an ordinary immortal.\He is the son of the Heavenly Father, and one of his only descendants.\To have the blessings of the golden lotus that he was nurturing\this baby must be out of the ordinary.\Her Highness has been in labor for seven days.\I'm really scared.\Don't be scared, okay? response:	Heavenly Lord, Your Highness, it's a prince.
context: Mo Yuan isn't an ordinary immortal.\He is the son of the Heavenly Father, and one of his only descendants.\To have the blessings of the golden lotus that he was nurturing\this baby must be out of the ordinary.\Her Highness has been in labor for seven days.\I'm really scared.\Don't be scared, okay?\Heavenly Lord, Your Highness, it's a prince. response:	It's a prince!
context: He is the son of the Heavenly Father, and one of his only descendants.\To have the blessings of the golden lotus that he was nurturing\this baby must be out of the ordinary.\Her Highness has been in labor for seven days.\I'm really scared.\Don't be scared, okay?\Heavenly Lord, Your Highness, it's a prince.\It's a prince! response:	Congratulations, Heavenly Lord. Congratulations, Your Highness.
context: To have the blessings of the golden lotus that he was nurturing\this baby must be out of the ordinary.\Her Highness has been in labor for seven days.\I'm really scared.\Don't be scared, okay?\Heavenly Lord, Your Highness, it's a prince.\It's a prince!\Congratulations, Heavenly Lord. Congratulations, Your Highness. response:	Is this an auspicious sign?
context: this baby must be out of the ordinary.\Her Highness has been in labor for seven days.\I'm really scared.\Don't be scared, okay?\Heavenly Lord, Your Highness, it's a prince.\It's a prince!\Congratulations, Heavenly Lord. Congratulations, Your Highness.\Is this an auspicious sign? response:	Heavenly Lord.
context: Her Highness has been in labor for seven days.\I'm really scared.\Don't be scared, okay?\Heavenly Lord, Your Highness, it's a prince.\It's a prince!\Congratulations, Heavenly Lord. Congratulations, Your Highness.\Is this an auspicious sign?\Heavenly Lord. response:	Father, this was a sight from when Mo Yuan was born.
context: I'm really scared.\Don't be scared, okay?\Heavenly Lord, Your Highness, it's a prince.\It's a prince!\Congratulations, Heavenly Lord. Congratulations, Your Highness.\Is this an auspicious sign?\Heavenly Lord.\Father, this was a sight from when Mo Yuan was born. response:	How amazing.
context: Don't be scared, okay?\Heavenly Lord, Your Highness, it's a prince.\It's a prince!\Congratulations, Heavenly Lord. Congratulations, Your Highness.\Is this an auspicious sign?\Heavenly Lord.\Father, this was a sight from when Mo Yuan was born.\How amazing. response:	The Celestial Tribe finally has another heir to the throne.
context: Heavenly Lord, Your Highness, it's a prince.\It's a prince!\Congratulations, Heavenly Lord. Congratulations, Your Highness.\Is this an auspicious sign?\Heavenly Lord.\Father, this was a sight from when Mo Yuan was born.\How amazing.\The Celestial Tribe finally has another heir to the throne. response:	I will give him a name today.
context: It's a prince!\Congratulations, Heavenly Lord. Congratulations, Your Highness.\Is this an auspicious sign?\Heavenly Lord.\Father, this was a sight from when Mo Yuan was born.\How amazing.\The Celestial Tribe finally has another heir to the throne.\I will give him a name today. response:	Ye Hua.
context: Congratulations, Heavenly Lord. Congratulations, Your Highness.\Is this an auspicious sign?\Heavenly Lord.\Father, this was a sight from when Mo Yuan was born.\How amazing.\The Celestial Tribe finally has another heir to the throne.\I will give him a name today.\Ye Hua. response:	Congratulations, Heavenly Lord, on another heir to the throne.
context: Is this an auspicious sign?\Heavenly Lord.\Father, this was a sight from when Mo Yuan was born.\How amazing.\The Celestial Tribe finally has another heir to the throne.\I will give him a name today.\Ye Hua.\Congratulations, Heavenly Lord, on another heir to the throne. response:	Su Jin, he is 20,000 years younger than you.
context: Heavenly Lord.\Father, this was a sight from when Mo Yuan was born.\How amazing.\The Celestial Tribe finally has another heir to the throne.\I will give him a name today.\Ye Hua.\Congratulations, Heavenly Lord, on another heir to the throne.\Su Jin, he is 20,000 years younger than you. response:	You have to take good care of him, okay?
context: Father, this was a sight from when Mo Yuan was born.\How amazing.\The Celestial Tribe finally has another heir to the throne.\I will give him a name today.\Ye Hua.\Congratulations, Heavenly Lord, on another heir to the throne.\Su Jin, he is 20,000 years younger than you.\You have to take good care of him, okay? response:	Yes, Consort Le Xu.
context: How amazing.\The Celestial Tribe finally has another heir to the throne.\I will give him a name today.\Ye Hua.\Congratulations, Heavenly Lord, on another heir to the throne.\Su Jin, he is 20,000 years younger than you.\You have to take good care of him, okay?\Yes, Consort Le Xu. response:	Good girl.
context: The Celestial Tribe finally has another heir to the throne.\I will give him a name today.\Ye Hua.\Congratulations, Heavenly Lord, on another heir to the throne.\Su Jin, he is 20,000 years younger than you.\You have to take good care of him, okay?\Yes, Consort Le Xu.\Good girl. response:	Where's that snake spirit?
context: I will give him a name today.\Ye Hua.\Congratulations, Heavenly Lord, on another heir to the throne.\Su Jin, he is 20,000 years younger than you.\You have to take good care of him, okay?\Yes, Consort Le Xu.\Good girl.\Where's that snake spirit? response:	How dare she trespass into Zhe Yan's Ten-mile Peach Tree Woods?
context: Ye Hua.\Congratulations, Heavenly Lord, on another heir to the throne.\Su Jin, he is 20,000 years younger than you.\You have to take good care of him, okay?\Yes, Consort Le Xu.\Good girl.\Where's that snake spirit?\How dare she trespass into Zhe Yan's Ten-mile Peach Tree Woods? response:	I came to see Bai Zhen.
context: Congratulations, Heavenly Lord, on another heir to the throne.\Su Jin, he is 20,000 years younger than you.\You have to take good care of him, okay?\Yes, Consort Le Xu.\Good girl.\Where's that snake spirit?\How dare she trespass into Zhe Yan's Ten-mile Peach Tree Woods?\I came to see Bai Zhen. response:	See me?
context: Su Jin, he is 20,000 years younger than you.\You have to take good care of him, okay?\Yes, Consort Le Xu.\Good girl.\Where's that snake spirit?\How dare she trespass into Zhe Yan's Ten-mile Peach Tree Woods?\I came to see Bai Zhen.\See me? response:	Zhe Yan, why would someone come here to find me?
context: You have to take good care of him, okay?\Yes, Consort Le Xu.\Good girl.\Where's that snake spirit?\How dare she trespass into Zhe Yan's Ten-mile Peach Tree Woods?\I came to see Bai Zhen.\See me?\Zhe Yan, why would someone come here to find me? response:	I think everyone in the realms knows
context: Yes, Consort Le Xu.\Good girl.\Where's that snake spirit?\How dare she trespass into Zhe Yan's Ten-mile Peach Tree Woods?\I came to see Bai Zhen.\See me?\Zhe Yan, why would someone come here to find me?\I think everyone in the realms knows response:	that they don't need to go to your manor in the north to find you.
context: Good girl.\Where's that snake spirit?\How dare she trespass into Zhe Yan's Ten-mile Peach Tree Woods?\I came to see Bai Zhen.\See me?\Zhe Yan, why would someone come here to find me?\I think everyone in the realms knows\that they don't need to go to your manor in the north to find you. response:	They just need to come to my Peach Tree Woods.
context: Where's that snake spirit?\How dare she trespass into Zhe Yan's Ten-mile Peach Tree Woods?\I came to see Bai Zhen.\See me?\Zhe Yan, why would someone come here to find me?\I think everyone in the realms knows\that they don't need to go to your manor in the north to find you.\They just need to come to my Peach Tree Woods. response:	Isn't that the jade bottle that Fifth Sister often uses to drink?
context: How dare she trespass into Zhe Yan's Ten-mile Peach Tree Woods?\I came to see Bai Zhen.\See me?\Zhe Yan, why would someone come here to find me?\I think everyone in the realms knows\that they don't need to go to your manor in the north to find you.\They just need to come to my Peach Tree Woods.\Isn't that the jade bottle that Fifth Sister often uses to drink? response:	That's the jade bottle that Mo Yuan took from here.
context: I came to see Bai Zhen.\See me?\Zhe Yan, why would someone come here to find me?\I think everyone in the realms knows\that they don't need to go to your manor in the north to find you.\They just need to come to my Peach Tree Woods.\Isn't that the jade bottle that Fifth Sister often uses to drink?\That's the jade bottle that Mo Yuan took from here. response:	Where did you get this? Kunlun Mountain?
context: See me?\Zhe Yan, why would someone come here to find me?\I think everyone in the realms knows\that they don't need to go to your manor in the north to find you.\They just need to come to my Peach Tree Woods.\Isn't that the jade bottle that Fifth Sister often uses to drink?\That's the jade bottle that Mo Yuan took from here.\Where did you get this? Kunlun Mountain? response:	You're stealing from us? I'll beat you to death.
context: Zhe Yan, why would someone come here to find me?\I think everyone in the realms knows\that they don't need to go to your manor in the north to find you.\They just need to come to my Peach Tree Woods.\Isn't that the jade bottle that Fifth Sister often uses to drink?\That's the jade bottle that Mo Yuan took from here.\Where did you get this? Kunlun Mountain?\You're stealing from us? I'll beat you to death. response:	Stop!
context: I think everyone in the realms knows\that they don't need to go to your manor in the north to find you.\They just need to come to my Peach Tree Woods.\Isn't that the jade bottle that Fifth Sister often uses to drink?\That's the jade bottle that Mo Yuan took from here.\Where did you get this? Kunlun Mountain?\You're stealing from us? I'll beat you to death.\Stop! response:	That... she's from Kunlun Mountain.
context: that they don't need to go to your manor in the north to find you.\They just need to come to my Peach Tree Woods.\Isn't that the jade bottle that Fifth Sister often uses to drink?\That's the jade bottle that Mo Yuan took from here.\Where did you get this? Kunlun Mountain?\You're stealing from us? I'll beat you to death.\Stop!\That... she's from Kunlun Mountain. response:	Kunlun Mountain!
context: They just need to come to my Peach Tree Woods.\Isn't that the jade bottle that Fifth Sister often uses to drink?\That's the jade bottle that Mo Yuan took from here.\Where did you get this? Kunlun Mountain?\You're stealing from us? I'll beat you to death.\Stop!\That... she's from Kunlun Mountain.\Kunlun Mountain! response:	Run!
context: Isn't that the jade bottle that Fifth Sister often uses to drink?\That's the jade bottle that Mo Yuan took from here.\Where did you get this? Kunlun Mountain?\You're stealing from us? I'll beat you to death.\Stop!\That... she's from Kunlun Mountain.\Kunlun Mountain!\Run! response:	Don't you know to retaliate when they hit you?
context: That's the jade bottle that Mo Yuan took from here.\Where did you get this? Kunlun Mountain?\You're stealing from us? I'll beat you to death.\Stop!\That... she's from Kunlun Mountain.\Kunlun Mountain!\Run!\Don't you know to retaliate when they hit you? response:	If I retaliate, they beat me even more.
context: Where did you get this? Kunlun Mountain?\You're stealing from us? I'll beat you to death.\Stop!\That... she's from Kunlun Mountain.\Kunlun Mountain!\Run!\Don't you know to retaliate when they hit you?\If I retaliate, they beat me even more. response:	So you'd just let them beat you to death?
