context: Yes, I'm on my way. response:	Yes, it'll be fine.
context: Yes, I'm on my way.\Yes, it'll be fine. response:	Right, later.
context: Yes, I'm on my way.\Yes, it'll be fine.\Right, later. response:	Congratulations on your marriage!
context: Yes, I'm on my way.\Yes, it'll be fine.\Right, later.\Congratulations on your marriage! response:	Let me through! I said, let me through!
context: Yes, I'm on my way.\Yes, it'll be fine.\Right, later.\Congratulations on your marriage!\Let me through! I said, let me through! response:	Jeez!
context: Yes, I'm on my way.\Yes, it'll be fine.\Right, later.\Congratulations on your marriage!\Let me through! I said, let me through!\Jeez! response:	Why do I have to deliver the students' congratulatory speech?
context: Yes, I'm on my way.\Yes, it'll be fine.\Right, later.\Congratulations on your marriage!\Let me through! I said, let me through!\Jeez!\Why do I have to deliver the students' congratulatory speech? response:	I never thought I'd have the pleasure of seeing you off the battlefield.
context: Yes, I'm on my way.\Yes, it'll be fine.\Right, later.\Congratulations on your marriage!\Let me through! I said, let me through!\Jeez!\Why do I have to deliver the students' congratulatory speech?\I never thought I'd have the pleasure of seeing you off the battlefield. response:	And here I thought nothing could ever surprise me again, but these are chaotic times.
context: Yes, it'll be fine.\Right, later.\Congratulations on your marriage!\Let me through! I said, let me through!\Jeez!\Why do I have to deliver the students' congratulatory speech?\I never thought I'd have the pleasure of seeing you off the battlefield.\And here I thought nothing could ever surprise me again, but these are chaotic times. response:	The groom Sir Alexis Deux, and bride Marrine Kreische.
context: Right, later.\Congratulations on your marriage!\Let me through! I said, let me through!\Jeez!\Why do I have to deliver the students' congratulatory speech?\I never thought I'd have the pleasure of seeing you off the battlefield.\And here I thought nothing could ever surprise me again, but these are chaotic times.\The groom Sir Alexis Deux, and bride Marrine Kreische. response:	Entering!
context: Congratulations on your marriage!\Let me through! I said, let me through!\Jeez!\Why do I have to deliver the students' congratulatory speech?\I never thought I'd have the pleasure of seeing you off the battlefield.\And here I thought nothing could ever surprise me again, but these are chaotic times.\The groom Sir Alexis Deux, and bride Marrine Kreische.\Entering! response:	The union between these youths symbolizes the end of the longstanding war
context: Let me through! I said, let me through!\Jeez!\Why do I have to deliver the students' congratulatory speech?\I never thought I'd have the pleasure of seeing you off the battlefield.\And here I thought nothing could ever surprise me again, but these are chaotic times.\The groom Sir Alexis Deux, and bride Marrine Kreische.\Entering!\The union between these youths symbolizes the end of the longstanding war response:	between the Alliance and the Federation.
context: Jeez!\Why do I have to deliver the students' congratulatory speech?\I never thought I'd have the pleasure of seeing you off the battlefield.\And here I thought nothing could ever surprise me again, but these are chaotic times.\The groom Sir Alexis Deux, and bride Marrine Kreische.\Entering!\The union between these youths symbolizes the end of the longstanding war\between the Alliance and the Federation. response:	The unification of our family Crests
context: Why do I have to deliver the students' congratulatory speech?\I never thought I'd have the pleasure of seeing you off the battlefield.\And here I thought nothing could ever surprise me again, but these are chaotic times.\The groom Sir Alexis Deux, and bride Marrine Kreische.\Entering!\The union between these youths symbolizes the end of the longstanding war\between the Alliance and the Federation.\The unification of our family Crests response:	will result in the creation of the Grancrest, the Emperor's Holy Seal.
context: I never thought I'd have the pleasure of seeing you off the battlefield.\And here I thought nothing could ever surprise me again, but these are chaotic times.\The groom Sir Alexis Deux, and bride Marrine Kreische.\Entering!\The union between these youths symbolizes the end of the longstanding war\between the Alliance and the Federation.\The unification of our family Crests\will result in the creation of the Grancrest, the Emperor's Holy Seal. response:	And after being ravaged by endless chaos, Atlatan will know peace at last.
context: And here I thought nothing could ever surprise me again, but these are chaotic times.\The groom Sir Alexis Deux, and bride Marrine Kreische.\Entering!\The union between these youths symbolizes the end of the longstanding war\between the Alliance and the Federation.\The unification of our family Crests\will result in the creation of the Grancrest, the Emperor's Holy Seal.\And after being ravaged by endless chaos, Atlatan will know peace at last. response:	No way... Chaos Convergence?
context: The groom Sir Alexis Deux, and bride Marrine Kreische.\Entering!\The union between these youths symbolizes the end of the longstanding war\between the Alliance and the Federation.\The unification of our family Crests\will result in the creation of the Grancrest, the Emperor's Holy Seal.\And after being ravaged by endless chaos, Atlatan will know peace at last.\No way... Chaos Convergence? response:	You're in danger. Please step back!
context: Entering!\The union between these youths symbolizes the end of the longstanding war\between the Alliance and the Federation.\The unification of our family Crests\will result in the creation of the Grancrest, the Emperor's Holy Seal.\And after being ravaged by endless chaos, Atlatan will know peace at last.\No way... Chaos Convergence?\You're in danger. Please step back! response:	- Who are you? - What's going on?
context: The union between these youths symbolizes the end of the longstanding war\between the Alliance and the Federation.\The unification of our family Crests\will result in the creation of the Grancrest, the Emperor's Holy Seal.\And after being ravaged by endless chaos, Atlatan will know peace at last.\No way... Chaos Convergence?\You're in danger. Please step back!\- Who are you? - What's going on? response:	I'll explain later.
context: between the Alliance and the Federation.\The unification of our family Crests\will result in the creation of the Grancrest, the Emperor's Holy Seal.\And after being ravaged by endless chaos, Atlatan will know peace at last.\No way... Chaos Convergence?\You're in danger. Please step back!\- Who are you? - What's going on?\I'll explain later. response:	Stop right there.
context: The unification of our family Crests\will result in the creation of the Grancrest, the Emperor's Holy Seal.\And after being ravaged by endless chaos, Atlatan will know peace at last.\No way... Chaos Convergence?\You're in danger. Please step back!\- Who are you? - What's going on?\I'll explain later.\Stop right there. response:	Let me go! I must disperse the Chaos!
context: will result in the creation of the Grancrest, the Emperor's Holy Seal.\And after being ravaged by endless chaos, Atlatan will know peace at last.\No way... Chaos Convergence?\You're in danger. Please step back!\- Who are you? - What's going on?\I'll explain later.\Stop right there.\Let me go! I must disperse the Chaos! response:	N-No good...
context: And after being ravaged by endless chaos, Atlatan will know peace at last.\No way... Chaos Convergence?\You're in danger. Please step back!\- Who are you? - What's going on?\I'll explain later.\Stop right there.\Let me go! I must disperse the Chaos!\N-No good... response:	What is that demon?
context: No way... Chaos Convergence?\You're in danger. Please step back!\- Who are you? - What's going on?\I'll explain later.\Stop right there.\Let me go! I must disperse the Chaos!\N-No good...\What is that demon? response:	The Demon Lord of Diabolos.
context: You're in danger. Please step back!\- Who are you? - What's going on?\I'll explain later.\Stop right there.\Let me go! I must disperse the Chaos!\N-No good...\What is that demon?\The Demon Lord of Diabolos. response:	I must help the archdukes!
context: - Who are you? - What's going on?\I'll explain later.\Stop right there.\Let me go! I must disperse the Chaos!\N-No good...\What is that demon?\The Demon Lord of Diabolos.\I must help the archdukes! response:	It's too late.
context: I'll explain later.\Stop right there.\Let me go! I must disperse the Chaos!\N-No good...\What is that demon?\The Demon Lord of Diabolos.\I must help the archdukes!\It's too late. response:	The Demon Lord has raised a dimensional barrier.
context: Stop right there.\Let me go! I must disperse the Chaos!\N-No good...\What is that demon?\The Demon Lord of Diabolos.\I must help the archdukes!\It's too late.\The Demon Lord has raised a dimensional barrier. response:	Erupt!
context: Let me go! I must disperse the Chaos!\N-No good...\What is that demon?\The Demon Lord of Diabolos.\I must help the archdukes!\It's too late.\The Demon Lord has raised a dimensional barrier.\Erupt! response:	Why has the Demon Lord appeared?
context: N-No good...\What is that demon?\The Demon Lord of Diabolos.\I must help the archdukes!\It's too late.\The Demon Lord has raised a dimensional barrier.\Erupt!\Why has the Demon Lord appeared? response:	Can nothing be done?
context: What is that demon?\The Demon Lord of Diabolos.\I must help the archdukes!\It's too late.\The Demon Lord has raised a dimensional barrier.\Erupt!\Why has the Demon Lord appeared?\Can nothing be done? response:	Bow down before my Crest!
context: The Demon Lord of Diabolos.\I must help the archdukes!\It's too late.\The Demon Lord has raised a dimensional barrier.\Erupt!\Why has the Demon Lord appeared?\Can nothing be done?\Bow down before my Crest! response:	That's Archduke Kreische's Crest!
context: I must help the archdukes!\It's too late.\The Demon Lord has raised a dimensional barrier.\Erupt!\Why has the Demon Lord appeared?\Can nothing be done?\Bow down before my Crest!\That's Archduke Kreische's Crest! response:	Such a massive, complex glow!
context: It's too late.\The Demon Lord has raised a dimensional barrier.\Erupt!\Why has the Demon Lord appeared?\Can nothing be done?\Bow down before my Crest!\That's Archduke Kreische's Crest!\Such a massive, complex glow! response:	I will assist you!
context: The Demon Lord has raised a dimensional barrier.\Erupt!\Why has the Demon Lord appeared?\Can nothing be done?\Bow down before my Crest!\That's Archduke Kreische's Crest!\Such a massive, complex glow!\I will assist you! response:	Could that be...
context: Erupt!\Why has the Demon Lord appeared?\Can nothing be done?\Bow down before my Crest!\That's Archduke Kreische's Crest!\Such a massive, complex glow!\I will assist you!\Could that be... response:	The Emperor's Holy Seal, the Grancrest?
context: Why has the Demon Lord appeared?\Can nothing be done?\Bow down before my Crest!\That's Archduke Kreische's Crest!\Such a massive, complex glow!\I will assist you!\Could that be...\The Emperor's Holy Seal, the Grancrest? response:	That should be enough to...
context: Can nothing be done?\Bow down before my Crest!\That's Archduke Kreische's Crest!\Such a massive, complex glow!\I will assist you!\Could that be...\The Emperor's Holy Seal, the Grancrest?\That should be enough to... response:	Father!
context: Bow down before my Crest!\That's Archduke Kreische's Crest!\Such a massive, complex glow!\I will assist you!\Could that be...\The Emperor's Holy Seal, the Grancrest?\That should be enough to...\Father! response:	That was the Grand Hall Tragedy.
context: That's Archduke Kreische's Crest!\Such a massive, complex glow!\I will assist you!\Could that be...\The Emperor's Holy Seal, the Grancrest?\That should be enough to...\Father!\That was the Grand Hall Tragedy. response:	In the magical city of Aram, on the Atlatan Continent,
context: Such a massive, complex glow!\I will assist you!\Could that be...\The Emperor's Holy Seal, the Grancrest?\That should be enough to...\Father!\That was the Grand Hall Tragedy.\In the magical city of Aram, on the Atlatan Continent, response:	split in two by the Factory Federation and the Fantasy Alliance,
context: I will assist you!\Could that be...\The Emperor's Holy Seal, the Grancrest?\That should be enough to...\Father!\That was the Grand Hall Tragedy.\In the magical city of Aram, on the Atlatan Continent,\split in two by the Factory Federation and the Fantasy Alliance, response:	the union of the two archdukes families was broken by this incident.
context: Could that be...\The Emperor's Holy Seal, the Grancrest?\That should be enough to...\Father!\That was the Grand Hall Tragedy.\In the magical city of Aram, on the Atlatan Continent,\split in two by the Factory Federation and the Fantasy Alliance,\the union of the two archdukes families was broken by this incident. response:	The dream for peace was shattered,
context: The Emperor's Holy Seal, the Grancrest?\That should be enough to...\Father!\That was the Grand Hall Tragedy.\In the magical city of Aram, on the Atlatan Continent,\split in two by the Factory Federation and the Fantasy Alliance,\the union of the two archdukes families was broken by this incident.\The dream for peace was shattered, response:	and the flames of war rose once again across the entire continent.
context: That should be enough to...\Father!\That was the Grand Hall Tragedy.\In the magical city of Aram, on the Atlatan Continent,\split in two by the Factory Federation and the Fantasy Alliance,\the union of the two archdukes families was broken by this incident.\The dream for peace was shattered,\and the flames of war rose once again across the entire continent. response:	Don't you think it's about time you stopped sulking, Lady Siluca?
context: Father!\That was the Grand Hall Tragedy.\In the magical city of Aram, on the Atlatan Continent,\split in two by the Factory Federation and the Fantasy Alliance,\the union of the two archdukes families was broken by this incident.\The dream for peace was shattered,\and the flames of war rose once again across the entire continent.\Don't you think it's about time you stopped sulking, Lady Siluca? response:	No way.
context: That was the Grand Hall Tragedy.\In the magical city of Aram, on the Atlatan Continent,\split in two by the Factory Federation and the Fantasy Alliance,\the union of the two archdukes families was broken by this incident.\The dream for peace was shattered,\and the flames of war rose once again across the entire continent.\Don't you think it's about time you stopped sulking, Lady Siluca?\No way. response:	Why do I have to serve some lewd count?
context: In the magical city of Aram, on the Atlatan Continent,\split in two by the Factory Federation and the Fantasy Alliance,\the union of the two archdukes families was broken by this incident.\The dream for peace was shattered,\and the flames of war rose once again across the entire continent.\Don't you think it's about time you stopped sulking, Lady Siluca?\No way.\Why do I have to serve some lewd count? response:	He'll only sign contracts with female students from the magic university.
context: split in two by the Factory Federation and the Fantasy Alliance,\the union of the two archdukes families was broken by this incident.\The dream for peace was shattered,\and the flames of war rose once again across the entire continent.\Don't you think it's about time you stopped sulking, Lady Siluca?\No way.\Why do I have to serve some lewd count?\He'll only sign contracts with female students from the magic university. response:	Plus he picks them based on their looks!
context: the union of the two archdukes families was broken by this incident.\The dream for peace was shattered,\and the flames of war rose once again across the entire continent.\Don't you think it's about time you stopped sulking, Lady Siluca?\No way.\Why do I have to serve some lewd count?\He'll only sign contracts with female students from the magic university.\Plus he picks them based on their looks! response:	And don't get me started on this heinous uniform!
context: The dream for peace was shattered,\and the flames of war rose once again across the entire continent.\Don't you think it's about time you stopped sulking, Lady Siluca?\No way.\Why do I have to serve some lewd count?\He'll only sign contracts with female students from the magic university.\Plus he picks them based on their looks!\And don't get me started on this heinous uniform! response:	I know he's a big shot Alliance noble, but really!
context: and the flames of war rose once again across the entire continent.\Don't you think it's about time you stopped sulking, Lady Siluca?\No way.\Why do I have to serve some lewd count?\He'll only sign contracts with female students from the magic university.\Plus he picks them based on their looks!\And don't get me started on this heinous uniform!\I know he's a big shot Alliance noble, but really! response:	I've half a mind to void this contract and go back to Aram!
context: Don't you think it's about time you stopped sulking, Lady Siluca?\No way.\Why do I have to serve some lewd count?\He'll only sign contracts with female students from the magic university.\Plus he picks them based on their looks!\And don't get me started on this heinous uniform!\I know he's a big shot Alliance noble, but really!\I've half a mind to void this contract and go back to Aram! response:	But contracts between mage and master are absolute.
context: No way.\Why do I have to serve some lewd count?\He'll only sign contracts with female students from the magic university.\Plus he picks them based on their looks!\And don't get me started on this heinous uniform!\I know he's a big shot Alliance noble, but really!\I've half a mind to void this contract and go back to Aram!\But contracts between mage and master are absolute. response:	Don't remind me.
context: Why do I have to serve some lewd count?\He'll only sign contracts with female students from the magic university.\Plus he picks them based on their looks!\And don't get me started on this heinous uniform!\I know he's a big shot Alliance noble, but really!\I've half a mind to void this contract and go back to Aram!\But contracts between mage and master are absolute.\Don't remind me. response:	So that town was destroyed by the Chaos as well?
context: He'll only sign contracts with female students from the magic university.\Plus he picks them based on their looks!\And don't get me started on this heinous uniform!\I know he's a big shot Alliance noble, but really!\I've half a mind to void this contract and go back to Aram!\But contracts between mage and master are absolute.\Don't remind me.\So that town was destroyed by the Chaos as well? response:	That's on their negligent Lord.
context: Plus he picks them based on their looks!\And don't get me started on this heinous uniform!\I know he's a big shot Alliance noble, but really!\I've half a mind to void this contract and go back to Aram!\But contracts between mage and master are absolute.\Don't remind me.\So that town was destroyed by the Chaos as well?\That's on their negligent Lord. response:	Still, you're an oddball, aren't you Irvin?
context: And don't get me started on this heinous uniform!\I know he's a big shot Alliance noble, but really!\I've half a mind to void this contract and go back to Aram!\But contracts between mage and master are absolute.\Don't remind me.\So that town was destroyed by the Chaos as well?\That's on their negligent Lord.\Still, you're an oddball, aren't you Irvin? response:	Being the Kreische family's chamberlain,
context: I know he's a big shot Alliance noble, but really!\I've half a mind to void this contract and go back to Aram!\But contracts between mage and master are absolute.\Don't remind me.\So that town was destroyed by the Chaos as well?\That's on their negligent Lord.\Still, you're an oddball, aren't you Irvin?\Being the Kreische family's chamberlain, response:	I didn't think you'd leave your post to serve a fledgling mage like me.
context: I've half a mind to void this contract and go back to Aram!\But contracts between mage and master are absolute.\Don't remind me.\So that town was destroyed by the Chaos as well?\That's on their negligent Lord.\Still, you're an oddball, aren't you Irvin?\Being the Kreische family's chamberlain,\I didn't think you'd leave your post to serve a fledgling mage like me. response:	If I hadn't stopped you, Lady Siluca, I might've saved my master.
context: But contracts between mage and master are absolute.\Don't remind me.\So that town was destroyed by the Chaos as well?\That's on their negligent Lord.\Still, you're an oddball, aren't you Irvin?\Being the Kreische family's chamberlain,\I didn't think you'd leave your post to serve a fledgling mage like me.\If I hadn't stopped you, Lady Siluca, I might've saved my master. response:	I left my post with the Kreische family to atone for that.
context: Don't remind me.\So that town was destroyed by the Chaos as well?\That's on their negligent Lord.\Still, you're an oddball, aren't you Irvin?\Being the Kreische family's chamberlain,\I didn't think you'd leave your post to serve a fledgling mage like me.\If I hadn't stopped you, Lady Siluca, I might've saved my master.\I left my post with the Kreische family to atone for that. response:	Lady Siluca.
context: So that town was destroyed by the Chaos as well?\That's on their negligent Lord.\Still, you're an oddball, aren't you Irvin?\Being the Kreische family's chamberlain,\I didn't think you'd leave your post to serve a fledgling mage like me.\If I hadn't stopped you, Lady Siluca, I might've saved my master.\I left my post with the Kreische family to atone for that.\Lady Siluca. response:	You on the carriage, halt!
