context: This is... Earth?! response:	It's hovering!
context: This is... Earth?!\It's hovering! response:	The situation's level of danger has climbed by 255.
context: This is... Earth?!\It's hovering!\The situation's level of danger has climbed by 255. response:	I propose a preemptive attack.
context: This is... Earth?!\It's hovering!\The situation's level of danger has climbed by 255.\I propose a preemptive attack. response:	Wait, Chamber.
context: This is... Earth?!\It's hovering!\The situation's level of danger has climbed by 255.\I propose a preemptive attack.\Wait, Chamber. response:	Tell them in words they can understand that we mean them no harm.
context: This is... Earth?!\It's hovering!\The situation's level of danger has climbed by 255.\I propose a preemptive attack.\Wait, Chamber.\Tell them in words they can understand that we mean them no harm. response:	Do not attack.
context: This is... Earth?!\It's hovering!\The situation's level of danger has climbed by 255.\I propose a preemptive attack.\Wait, Chamber.\Tell them in words they can understand that we mean them no harm.\Do not attack. response:	I-It talked!
context: This is... Earth?!\It's hovering!\The situation's level of danger has climbed by 255.\I propose a preemptive attack.\Wait, Chamber.\Tell them in words they can understand that we mean them no harm.\Do not attack.\I-It talked! response:	We deny hostility.
context: It's hovering!\The situation's level of danger has climbed by 255.\I propose a preemptive attack.\Wait, Chamber.\Tell them in words they can understand that we mean them no harm.\Do not attack.\I-It talked!\We deny hostility. response:	Is there another one of'em inside?
context: The situation's level of danger has climbed by 255.\I propose a preemptive attack.\Wait, Chamber.\Tell them in words they can understand that we mean them no harm.\Do not attack.\I-It talked!\We deny hostility.\Is there another one of'em inside? response:	We wish you to lower your weapons.
context: I propose a preemptive attack.\Wait, Chamber.\Tell them in words they can understand that we mean them no harm.\Do not attack.\I-It talked!\We deny hostility.\Is there another one of'em inside?\We wish you to lower your weapons. response:	I am Ridget, the Fleet Commander's Aide.
context: Wait, Chamber.\Tell them in words they can understand that we mean them no harm.\Do not attack.\I-It talked!\We deny hostility.\Is there another one of'em inside?\We wish you to lower your weapons.\I am Ridget, the Fleet Commander's Aide. response:	Who are you?
context: Tell them in words they can understand that we mean them no harm.\Do not attack.\I-It talked!\We deny hostility.\Is there another one of'em inside?\We wish you to lower your weapons.\I am Ridget, the Fleet Commander's Aide.\Who are you? response:	She's asking for your name and affiliation.
context: Do not attack.\I-It talked!\We deny hostility.\Is there another one of'em inside?\We wish you to lower your weapons.\I am Ridget, the Fleet Commander's Aide.\Who are you?\She's asking for your name and affiliation. response:	Understood.
context: I-It talked!\We deny hostility.\Is there another one of'em inside?\We wish you to lower your weapons.\I am Ridget, the Fleet Commander's Aide.\Who are you?\She's asking for your name and affiliation.\Understood. response:	I am Ensign Ledo, pilot of the anti-Hideauze annihilation weapon, Chamber.
context: We deny hostility.\Is there another one of'em inside?\We wish you to lower your weapons.\I am Ridget, the Fleet Commander's Aide.\Who are you?\She's asking for your name and affiliation.\Understood.\I am Ensign Ledo, pilot of the anti-Hideauze annihilation weapon, Chamber. response:	Ledo...
