context: Did you wake up after finding something tasty to eat? response:	I was dreaming of Yoitsu.
context: Did you wake up after finding something tasty to eat?\I was dreaming of Yoitsu. response:	My hometown.
context: Did you wake up after finding something tasty to eat?\I was dreaming of Yoitsu.\My hometown. response:	Can I tell you how I truly feel?
context: Did you wake up after finding something tasty to eat?\I was dreaming of Yoitsu.\My hometown.\Can I tell you how I truly feel? response:	Sure.
context: Did you wake up after finding something tasty to eat?\I was dreaming of Yoitsu.\My hometown.\Can I tell you how I truly feel?\Sure. response:	I'm hungry.
context: Did you wake up after finding something tasty to eat?\I was dreaming of Yoitsu.\My hometown.\Can I tell you how I truly feel?\Sure.\I'm hungry. response:	Wolf and the Sudden Crack
context: Did you wake up after finding something tasty to eat?\I was dreaming of Yoitsu.\My hometown.\Can I tell you how I truly feel?\Sure.\I'm hungry.\Wolf and the Sudden Crack response:	What is it?
context: Did you wake up after finding something tasty to eat?\I was dreaming of Yoitsu.\My hometown.\Can I tell you how I truly feel?\Sure.\I'm hungry.\Wolf and the Sudden Crack\What is it? response:	Hurry up and put it back under the blanket.
context: I was dreaming of Yoitsu.\My hometown.\Can I tell you how I truly feel?\Sure.\I'm hungry.\Wolf and the Sudden Crack\What is it?\Hurry up and put it back under the blanket. response:	Don't treat my tail like a hand warmer.
context: My hometown.\Can I tell you how I truly feel?\Sure.\I'm hungry.\Wolf and the Sudden Crack\What is it?\Hurry up and put it back under the blanket.\Don't treat my tail like a hand warmer. response:	With fur as fine as that, I couldn't match it even if I had a pile of top-grade pelts.
context: Can I tell you how I truly feel?\Sure.\I'm hungry.\Wolf and the Sudden Crack\What is it?\Hurry up and put it back under the blanket.\Don't treat my tail like a hand warmer.\With fur as fine as that, I couldn't match it even if I had a pile of top-grade pelts. response:	Ah, that's right.
context: Sure.\I'm hungry.\Wolf and the Sudden Crack\What is it?\Hurry up and put it back under the blanket.\Don't treat my tail like a hand warmer.\With fur as fine as that, I couldn't match it even if I had a pile of top-grade pelts.\Ah, that's right. response:	I'll give you a present in return.
context: I'm hungry.\Wolf and the Sudden Crack\What is it?\Hurry up and put it back under the blanket.\Don't treat my tail like a hand warmer.\With fur as fine as that, I couldn't match it even if I had a pile of top-grade pelts.\Ah, that's right.\I'll give you a present in return. response:	Our next stop, Kumerson, is owned by the Furoania nobles, and there are a lot of heathens.
context: Wolf and the Sudden Crack\What is it?\Hurry up and put it back under the blanket.\Don't treat my tail like a hand warmer.\With fur as fine as that, I couldn't match it even if I had a pile of top-grade pelts.\Ah, that's right.\I'll give you a present in return.\Our next stop, Kumerson, is owned by the Furoania nobles, and there are a lot of heathens. response:	Religious symbols are banned.
context: What is it?\Hurry up and put it back under the blanket.\Don't treat my tail like a hand warmer.\With fur as fine as that, I couldn't match it even if I had a pile of top-grade pelts.\Ah, that's right.\I'll give you a present in return.\Our next stop, Kumerson, is owned by the Furoania nobles, and there are a lot of heathens.\Religious symbols are banned. response:	It's an unspoken rule that even nuns and monks follow.
context: Hurry up and put it back under the blanket.\Don't treat my tail like a hand warmer.\With fur as fine as that, I couldn't match it even if I had a pile of top-grade pelts.\Ah, that's right.\I'll give you a present in return.\Our next stop, Kumerson, is owned by the Furoania nobles, and there are a lot of heathens.\Religious symbols are banned.\It's an unspoken rule that even nuns and monks follow. response:	Everything works out well.
context: Don't treat my tail like a hand warmer.\With fur as fine as that, I couldn't match it even if I had a pile of top-grade pelts.\Ah, that's right.\I'll give you a present in return.\Our next stop, Kumerson, is owned by the Furoania nobles, and there are a lot of heathens.\Religious symbols are banned.\It's an unspoken rule that even nuns and monks follow.\Everything works out well. response:	What?
context: With fur as fine as that, I couldn't match it even if I had a pile of top-grade pelts.\Ah, that's right.\I'll give you a present in return.\Our next stop, Kumerson, is owned by the Furoania nobles, and there are a lot of heathens.\Religious symbols are banned.\It's an unspoken rule that even nuns and monks follow.\Everything works out well.\What? response:	You really though I had a present for you?
context: Ah, that's right.\I'll give you a present in return.\Our next stop, Kumerson, is owned by the Furoania nobles, and there are a lot of heathens.\Religious symbols are banned.\It's an unspoken rule that even nuns and monks follow.\Everything works out well.\What?\You really though I had a present for you? response:	Don't underestimate my ears!
context: I'll give you a present in return.\Our next stop, Kumerson, is owned by the Furoania nobles, and there are a lot of heathens.\Religious symbols are banned.\It's an unspoken rule that even nuns and monks follow.\Everything works out well.\What?\You really though I had a present for you?\Don't underestimate my ears! response:	I was expecting more of a surprise.
context: Our next stop, Kumerson, is owned by the Furoania nobles, and there are a lot of heathens.\Religious symbols are banned.\It's an unspoken rule that even nuns and monks follow.\Everything works out well.\What?\You really though I had a present for you?\Don't underestimate my ears!\I was expecting more of a surprise. response:	Hey, hey!
context: Religious symbols are banned.\It's an unspoken rule that even nuns and monks follow.\Everything works out well.\What?\You really though I had a present for you?\Don't underestimate my ears!\I was expecting more of a surprise.\Hey, hey! response:	This is payback!
context: It's an unspoken rule that even nuns and monks follow.\Everything works out well.\What?\You really though I had a present for you?\Don't underestimate my ears!\I was expecting more of a surprise.\Hey, hey!\This is payback! response:	Stop that!
context: Everything works out well.\What?\You really though I had a present for you?\Don't underestimate my ears!\I was expecting more of a surprise.\Hey, hey!\This is payback!\Stop that! response:	I won't.
context: What?\You really though I had a present for you?\Don't underestimate my ears!\I was expecting more of a surprise.\Hey, hey!\This is payback!\Stop that!\I won't. response:	Are we still not at Kumerson?
context: You really though I had a present for you?\Don't underestimate my ears!\I was expecting more of a surprise.\Hey, hey!\This is payback!\Stop that!\I won't.\Are we still not at Kumerson? response:	We'll arrive today, right?
context: Don't underestimate my ears!\I was expecting more of a surprise.\Hey, hey!\This is payback!\Stop that!\I won't.\Are we still not at Kumerson?\We'll arrive today, right? response:	Yeah, not long now.
context: I was expecting more of a surprise.\Hey, hey!\This is payback!\Stop that!\I won't.\Are we still not at Kumerson?\We'll arrive today, right?\Yeah, not long now. response:	Not long, right!
context: Hey, hey!\This is payback!\Stop that!\I won't.\Are we still not at Kumerson?\We'll arrive today, right?\Yeah, not long now.\Not long, right! response:	So the next meal I'll be freed from hard bitter rye wheat bread and gruel made from it!
context: This is payback!\Stop that!\I won't.\Are we still not at Kumerson?\We'll arrive today, right?\Yeah, not long now.\Not long, right!\So the next meal I'll be freed from hard bitter rye wheat bread and gruel made from it! response:	Yep.
context: Stop that!\I won't.\Are we still not at Kumerson?\We'll arrive today, right?\Yeah, not long now.\Not long, right!\So the next meal I'll be freed from hard bitter rye wheat bread and gruel made from it!\Yep. response:	And on top of that Kumerson is in the middle of a big town-wide festival.
context: I won't.\Are we still not at Kumerson?\We'll arrive today, right?\Yeah, not long now.\Not long, right!\So the next meal I'll be freed from hard bitter rye wheat bread and gruel made from it!\Yep.\And on top of that Kumerson is in the middle of a big town-wide festival. response:	I'm sure there will be all sorts of food, so look forward to it.
context: Are we still not at Kumerson?\We'll arrive today, right?\Yeah, not long now.\Not long, right!\So the next meal I'll be freed from hard bitter rye wheat bread and gruel made from it!\Yep.\And on top of that Kumerson is in the middle of a big town-wide festival.\I'm sure there will be all sorts of food, so look forward to it. response:	I see, but...
context: We'll arrive today, right?\Yeah, not long now.\Not long, right!\So the next meal I'll be freed from hard bitter rye wheat bread and gruel made from it!\Yep.\And on top of that Kumerson is in the middle of a big town-wide festival.\I'm sure there will be all sorts of food, so look forward to it.\I see, but... response:	Will your pocket be okay?
context: Yeah, not long now.\Not long, right!\So the next meal I'll be freed from hard bitter rye wheat bread and gruel made from it!\Yep.\And on top of that Kumerson is in the middle of a big town-wide festival.\I'm sure there will be all sorts of food, so look forward to it.\I see, but...\Will your pocket be okay? response:	There's enough to buy you food.
context: Not long, right!\So the next meal I'll be freed from hard bitter rye wheat bread and gruel made from it!\Yep.\And on top of that Kumerson is in the middle of a big town-wide festival.\I'm sure there will be all sorts of food, so look forward to it.\I see, but...\Will your pocket be okay?\There's enough to buy you food. response:	But won't the inn be shabby because of that?
context: So the next meal I'll be freed from hard bitter rye wheat bread and gruel made from it!\Yep.\And on top of that Kumerson is in the middle of a big town-wide festival.\I'm sure there will be all sorts of food, so look forward to it.\I see, but...\Will your pocket be okay?\There's enough to buy you food.\But won't the inn be shabby because of that? response:	I intend to stay somewhere decent.
context: Yep.\And on top of that Kumerson is in the middle of a big town-wide festival.\I'm sure there will be all sorts of food, so look forward to it.\I see, but...\Will your pocket be okay?\There's enough to buy you food.\But won't the inn be shabby because of that?\I intend to stay somewhere decent. response:	As long as you aren't going to insist we each have our own fireplace or something.
context: And on top of that Kumerson is in the middle of a big town-wide festival.\I'm sure there will be all sorts of food, so look forward to it.\I see, but...\Will your pocket be okay?\There's enough to buy you food.\But won't the inn be shabby because of that?\I intend to stay somewhere decent.\As long as you aren't going to insist we each have our own fireplace or something. response:	I don't plan to be that picky.
context: I'm sure there will be all sorts of food, so look forward to it.\I see, but...\Will your pocket be okay?\There's enough to buy you food.\But won't the inn be shabby because of that?\I intend to stay somewhere decent.\As long as you aren't going to insist we each have our own fireplace or something.\I don't plan to be that picky. response:	But I don't want you to use buying food as an excuse.
context: I see, but...\Will your pocket be okay?\There's enough to buy you food.\But won't the inn be shabby because of that?\I intend to stay somewhere decent.\As long as you aren't going to insist we each have our own fireplace or something.\I don't plan to be that picky.\But I don't want you to use buying food as an excuse. response:	Excuse?
context: Will your pocket be okay?\There's enough to buy you food.\But won't the inn be shabby because of that?\I intend to stay somewhere decent.\As long as you aren't going to insist we each have our own fireplace or something.\I don't plan to be that picky.\But I don't want you to use buying food as an excuse.\Excuse? response:	We don't have enough money so we have to share one bed or something.
context: There's enough to buy you food.\But won't the inn be shabby because of that?\I intend to stay somewhere decent.\As long as you aren't going to insist we each have our own fireplace or something.\I don't plan to be that picky.\But I don't want you to use buying food as an excuse.\Excuse?\We don't have enough money so we have to share one bed or something. response:	I don't want to hear that from someone who snores so noisily.
context: But won't the inn be shabby because of that?\I intend to stay somewhere decent.\As long as you aren't going to insist we each have our own fireplace or something.\I don't plan to be that picky.\But I don't want you to use buying food as an excuse.\Excuse?\We don't have enough money so we have to share one bed or something.\I don't want to hear that from someone who snores so noisily. response:	I don't snore!
context: I intend to stay somewhere decent.\As long as you aren't going to insist we each have our own fireplace or something.\I don't plan to be that picky.\But I don't want you to use buying food as an excuse.\Excuse?\We don't have enough money so we have to share one bed or something.\I don't want to hear that from someone who snores so noisily.\I don't snore! response:	Besides, you're not even my type.
context: As long as you aren't going to insist we each have our own fireplace or something.\I don't plan to be that picky.\But I don't want you to use buying food as an excuse.\Excuse?\We don't have enough money so we have to share one bed or something.\I don't want to hear that from someone who snores so noisily.\I don't snore!\Besides, you're not even my type. response:	Your ears can tell I'm not lying, right?
context: I don't plan to be that picky.\But I don't want you to use buying food as an excuse.\Excuse?\We don't have enough money so we have to share one bed or something.\I don't want to hear that from someone who snores so noisily.\I don't snore!\Besides, you're not even my type.\Your ears can tell I'm not lying, right? response:	Basically
