context: Onii-chan's grinning a lot lately. response:	It's probably a girl.
context: Onii-chan's grinning a lot lately.\It's probably a girl. response:	Trap
context: Onii-chan's grinning a lot lately.\It's probably a girl.\Trap response:	Onii-chan, you can use the bath now.
context: Onii-chan's grinning a lot lately.\It's probably a girl.\Trap\Onii-chan, you can use the bath now. response:	Mom says to hurry up.
context: Onii-chan's grinning a lot lately.\It's probably a girl.\Trap\Onii-chan, you can use the bath now.\Mom says to hurry up. response:	O-Okay.
context: Onii-chan's grinning a lot lately.\It's probably a girl.\Trap\Onii-chan, you can use the bath now.\Mom says to hurry up.\O-Okay. response:	Now, then...
context: Onii-chan's grinning a lot lately.\It's probably a girl.\Trap\Onii-chan, you can use the bath now.\Mom says to hurry up.\O-Okay.\Now, then... response:	Enter Passcode
context: Onii-chan's grinning a lot lately.\It's probably a girl.\Trap\Onii-chan, you can use the bath now.\Mom says to hurry up.\O-Okay.\Now, then...\Enter Passcode response:	The password...
context: It's probably a girl.\Trap\Onii-chan, you can use the bath now.\Mom says to hurry up.\O-Okay.\Now, then...\Enter Passcode\The password... response:	It's still his entrance exam ID?
context: Trap\Onii-chan, you can use the bath now.\Mom says to hurry up.\O-Okay.\Now, then...\Enter Passcode\The password...\It's still his entrance exam ID? response:	Tap tap
context: Onii-chan, you can use the bath now.\Mom says to hurry up.\O-Okay.\Now, then...\Enter Passcode\The password...\It's still his entrance exam ID?\Tap tap response:	So careless.
context: Mom says to hurry up.\O-Okay.\Now, then...\Enter Passcode\The password...\It's still his entrance exam ID?\Tap tap\So careless. response:	Minagawa Yuki.
context: O-Okay.\Now, then...\Enter Passcode\The password...\It's still his entrance exam ID?\Tap tap\So careless.\Minagawa Yuki. response:	I think I should take a bath, too (*-*) Hey! You had a dirty thought just now, didn't you? (_) Just kidding. See you.
context: Now, then...\Enter Passcode\The password...\It's still his entrance exam ID?\Tap tap\So careless.\Minagawa Yuki.\I think I should take a bath, too (*-*) Hey! You had a dirty thought just now, didn't you? (_) Just kidding. See you. response:	I knew it.
context: Enter Passcode\The password...\It's still his entrance exam ID?\Tap tap\So careless.\Minagawa Yuki.\I think I should take a bath, too (*-*) Hey! You had a dirty thought just now, didn't you? (_) Just kidding. See you.\I knew it. response:	Evil wench, seducing my brother...
context: The password...\It's still his entrance exam ID?\Tap tap\So careless.\Minagawa Yuki.\I think I should take a bath, too (*-*) Hey! You had a dirty thought just now, didn't you? (_) Just kidding. See you.\I knew it.\Evil wench, seducing my brother... response:	I'll make you suffer!
context: It's still his entrance exam ID?\Tap tap\So careless.\Minagawa Yuki.\I think I should take a bath, too (*-*) Hey! You had a dirty thought just now, didn't you? (_) Just kidding. See you.\I knew it.\Evil wench, seducing my brother...\I'll make you suffer! response:	Roar
context: Tap tap\So careless.\Minagawa Yuki.\I think I should take a bath, too (*-*) Hey! You had a dirty thought just now, didn't you? (_) Just kidding. See you.\I knew it.\Evil wench, seducing my brother...\I'll make you suffer!\Roar response:	Ding dong
context: So careless.\Minagawa Yuki.\I think I should take a bath, too (*-*) Hey! You had a dirty thought just now, didn't you? (_) Just kidding. See you.\I knew it.\Evil wench, seducing my brother...\I'll make you suffer!\Roar\Ding dong response:	Sorry, can you stop talking to me now? I'm trying to study.
context: Minagawa Yuki.\I think I should take a bath, too (*-*) Hey! You had a dirty thought just now, didn't you? (_) Just kidding. See you.\I knew it.\Evil wench, seducing my brother...\I'll make you suffer!\Roar\Ding dong\Sorry, can you stop talking to me now? I'm trying to study. response:	It's Hotaru-chan!
context: I think I should take a bath, too (*-*) Hey! You had a dirty thought just now, didn't you? (_) Just kidding. See you.\I knew it.\Evil wench, seducing my brother...\I'll make you suffer!\Roar\Ding dong\Sorry, can you stop talking to me now? I'm trying to study.\It's Hotaru-chan! response:	Huh? Why? Did I do something?
context: I knew it.\Evil wench, seducing my brother...\I'll make you suffer!\Roar\Ding dong\Sorry, can you stop talking to me now? I'm trying to study.\It's Hotaru-chan!\Huh? Why? Did I do something? response:	Is it because of that?
context: Evil wench, seducing my brother...\I'll make you suffer!\Roar\Ding dong\Sorry, can you stop talking to me now? I'm trying to study.\It's Hotaru-chan!\Huh? Why? Did I do something?\Is it because of that? response:	That?
context: I'll make you suffer!\Roar\Ding dong\Sorry, can you stop talking to me now? I'm trying to study.\It's Hotaru-chan!\Huh? Why? Did I do something?\Is it because of that?\That? response:	Did she do something to piss him off?
context: Roar\Ding dong\Sorry, can you stop talking to me now? I'm trying to study.\It's Hotaru-chan!\Huh? Why? Did I do something?\Is it because of that?\That?\Did she do something to piss him off? response:	Yeah, she would.
context: Ding dong\Sorry, can you stop talking to me now? I'm trying to study.\It's Hotaru-chan!\Huh? Why? Did I do something?\Is it because of that?\That?\Did she do something to piss him off?\Yeah, she would. response:	That's right.
context: Sorry, can you stop talking to me now? I'm trying to study.\It's Hotaru-chan!\Huh? Why? Did I do something?\Is it because of that?\That?\Did she do something to piss him off?\Yeah, she would.\That's right. response:	But that was only because you wanted it...
context: It's Hotaru-chan!\Huh? Why? Did I do something?\Is it because of that?\That?\Did she do something to piss him off?\Yeah, she would.\That's right.\But that was only because you wanted it... response:	Wanted it? Wanted what?
context: Huh? Why? Did I do something?\Is it because of that?\That?\Did she do something to piss him off?\Yeah, she would.\That's right.\But that was only because you wanted it...\Wanted it? Wanted what? response:	Did he need her notes or something?
context: Is it because of that?\That?\Did she do something to piss him off?\Yeah, she would.\That's right.\But that was only because you wanted it...\Wanted it? Wanted what?\Did he need her notes or something? response:	I don't get it.
context: That?\Did she do something to piss him off?\Yeah, she would.\That's right.\But that was only because you wanted it...\Wanted it? Wanted what?\Did he need her notes or something?\I don't get it. response:	Let's just be mad.
context: Did she do something to piss him off?\Yeah, she would.\That's right.\But that was only because you wanted it...\Wanted it? Wanted what?\Did he need her notes or something?\I don't get it.\Let's just be mad. response:	I don't care. Forget about it.
context: Yeah, she would.\That's right.\But that was only because you wanted it...\Wanted it? Wanted what?\Did he need her notes or something?\I don't get it.\Let's just be mad.\I don't care. Forget about it. response:	You're awful! It was my first time!
context: That's right.\But that was only because you wanted it...\Wanted it? Wanted what?\Did he need her notes or something?\I don't get it.\Let's just be mad.\I don't care. Forget about it.\You're awful! It was my first time! response:	First time?
context: But that was only because you wanted it...\Wanted it? Wanted what?\Did he need her notes or something?\I don't get it.\Let's just be mad.\I don't care. Forget about it.\You're awful! It was my first time!\First time? response:	Doing what?
context: Wanted it? Wanted what?\Did he need her notes or something?\I don't get it.\Let's just be mad.\I don't care. Forget about it.\You're awful! It was my first time!\First time?\Doing what? response:	Something that was the first time for her and that Onii-chan wanted?
context: Did he need her notes or something?\I don't get it.\Let's just be mad.\I don't care. Forget about it.\You're awful! It was my first time!\First time?\Doing what?\Something that was the first time for her and that Onii-chan wanted? response:	Oh! I think I know!
context: I don't get it.\Let's just be mad.\I don't care. Forget about it.\You're awful! It was my first time!\First time?\Doing what?\Something that was the first time for her and that Onii-chan wanted?\Oh! I think I know! response:	Yeah, I did, but who doesn't go on dates?
context: Let's just be mad.\I don't care. Forget about it.\You're awful! It was my first time!\First time?\Doing what?\Something that was the first time for her and that Onii-chan wanted?\Oh! I think I know!\Yeah, I did, but who doesn't go on dates? response:	Besides, it was my first time going on a date, too.
context: I don't care. Forget about it.\You're awful! It was my first time!\First time?\Doing what?\Something that was the first time for her and that Onii-chan wanted?\Oh! I think I know!\Yeah, I did, but who doesn't go on dates?\Besides, it was my first time going on a date, too. response:	I knew it!
context: You're awful! It was my first time!\First time?\Doing what?\Something that was the first time for her and that Onii-chan wanted?\Oh! I think I know!\Yeah, I did, but who doesn't go on dates?\Besides, it was my first time going on a date, too.\I knew it! response:	She doesn't get it!
context: First time?\Doing what?\Something that was the first time for her and that Onii-chan wanted?\Oh! I think I know!\Yeah, I did, but who doesn't go on dates?\Besides, it was my first time going on a date, too.\I knew it!\She doesn't get it! response:	What? So our date didn't mean anything?
context: Doing what?\Something that was the first time for her and that Onii-chan wanted?\Oh! I think I know!\Yeah, I did, but who doesn't go on dates?\Besides, it was my first time going on a date, too.\I knew it!\She doesn't get it!\What? So our date didn't mean anything? response:	See, I knew it!
context: Something that was the first time for her and that Onii-chan wanted?\Oh! I think I know!\Yeah, I did, but who doesn't go on dates?\Besides, it was my first time going on a date, too.\I knew it!\She doesn't get it!\What? So our date didn't mean anything?\See, I knew it! response:	No wonder he was home late the other day.
context: Oh! I think I know!\Yeah, I did, but who doesn't go on dates?\Besides, it was my first time going on a date, too.\I knew it!\She doesn't get it!\What? So our date didn't mean anything?\See, I knew it!\No wonder he was home late the other day. response:	He was with her!
context: Yeah, I did, but who doesn't go on dates?\Besides, it was my first time going on a date, too.\I knew it!\She doesn't get it!\What? So our date didn't mean anything?\See, I knew it!\No wonder he was home late the other day.\He was with her! response:	That's right.
context: Besides, it was my first time going on a date, too.\I knew it!\She doesn't get it!\What? So our date didn't mean anything?\See, I knew it!\No wonder he was home late the other day.\He was with her!\That's right. response:	So, sleeping with me meant nothing, too?
context: I knew it!\She doesn't get it!\What? So our date didn't mean anything?\See, I knew it!\No wonder he was home late the other day.\He was with her!\That's right.\So, sleeping with me meant nothing, too? response:	Sleep?
context: She doesn't get it!\What? So our date didn't mean anything?\See, I knew it!\No wonder he was home late the other day.\He was with her!\That's right.\So, sleeping with me meant nothing, too?\Sleep? response:	Did they take a nap together or something?
context: What? So our date didn't mean anything?\See, I knew it!\No wonder he was home late the other day.\He was with her!\That's right.\So, sleeping with me meant nothing, too?\Sleep?\Did they take a nap together or something? response:	Napping on a date? Seriously?
context: See, I knew it!\No wonder he was home late the other day.\He was with her!\That's right.\So, sleeping with me meant nothing, too?\Sleep?\Did they take a nap together or something?\Napping on a date? Seriously? response:	Onii-chan's so weird.
context: No wonder he was home late the other day.\He was with her!\That's right.\So, sleeping with me meant nothing, too?\Sleep?\Did they take a nap together or something?\Napping on a date? Seriously?\Onii-chan's so weird. response:	All we did was sleep.
context: He was with her!\That's right.\So, sleeping with me meant nothing, too?\Sleep?\Did they take a nap together or something?\Napping on a date? Seriously?\Onii-chan's so weird.\All we did was sleep. response:	Then what about the baby in my belly?
context: That's right.\So, sleeping with me meant nothing, too?\Sleep?\Did they take a nap together or something?\Napping on a date? Seriously?\Onii-chan's so weird.\All we did was sleep.\Then what about the baby in my belly? response:	Plop
context: So, sleeping with me meant nothing, too?\Sleep?\Did they take a nap together or something?\Napping on a date? Seriously?\Onii-chan's so weird.\All we did was sleep.\Then what about the baby in my belly?\Plop response:	That's what she meant?!
context: Sleep?\Did they take a nap together or something?\Napping on a date? Seriously?\Onii-chan's so weird.\All we did was sleep.\Then what about the baby in my belly?\Plop\That's what she meant?! response:	B-B-But you need to do it to make babies.
context: Did they take a nap together or something?\Napping on a date? Seriously?\Onii-chan's so weird.\All we did was sleep.\Then what about the baby in my belly?\Plop\That's what she meant?!\B-B-But you need to do it to make babies. response:	There's no way Onii-chan would...
context: Napping on a date? Seriously?\Onii-chan's so weird.\All we did was sleep.\Then what about the baby in my belly?\Plop\That's what she meant?!\B-B-But you need to do it to make babies.\There's no way Onii-chan would... response:	Is it really my child?
context: Onii-chan's so weird.\All we did was sleep.\Then what about the baby in my belly?\Plop\That's what she meant?!\B-B-But you need to do it to make babies.\There's no way Onii-chan would...\Is it really my child? response:	Do you have evidence?
context: All we did was sleep.\Then what about the baby in my belly?\Plop\That's what she meant?!\B-B-But you need to do it to make babies.\There's no way Onii-chan would...\Is it really my child?\Do you have evidence? response:	I haven't slept with anyone but you.
context: Then what about the baby in my belly?\Plop\That's what she meant?!\B-B-But you need to do it to make babies.\There's no way Onii-chan would...\Is it really my child?\Do you have evidence?\I haven't slept with anyone but you. response:	This can't be true!
context: Plop\That's what she meant?!\B-B-But you need to do it to make babies.\There's no way Onii-chan would...\Is it really my child?\Do you have evidence?\I haven't slept with anyone but you.\This can't be true! response:	He's only in high school!
context: That's what she meant?!\B-B-But you need to do it to make babies.\There's no way Onii-chan would...\Is it really my child?\Do you have evidence?\I haven't slept with anyone but you.\This can't be true!\He's only in high school! response:	Huh?
context: B-B-But you need to do it to make babies.\There's no way Onii-chan would...\Is it really my child?\Do you have evidence?\I haven't slept with anyone but you.\This can't be true!\He's only in high school!\Huh? response:	Hotaru?
context: There's no way Onii-chan would...\Is it really my child?\Do you have evidence?\I haven't slept with anyone but you.\This can't be true!\He's only in high school!\Huh?\Hotaru? response:	What are you doing in my room?
context: Is it really my child?\Do you have evidence?\I haven't slept with anyone but you.\This can't be true!\He's only in high school!\Huh?\Hotaru?\What are you doing in my room? response:	Mom!
context: Do you have evidence?\I haven't slept with anyone but you.\This can't be true!\He's only in high school!\Huh?\Hotaru?\What are you doing in my room?\Mom! response:	Hotaru?
context: I haven't slept with anyone but you.\This can't be true!\He's only in high school!\Huh?\Hotaru?\What are you doing in my room?\Mom!\Hotaru? response:	What's going on?
context: This can't be true!\He's only in high school!\Huh?\Hotaru?\What are you doing in my room?\Mom!\Hotaru?\What's going on? response:	Onii-chan made a baby!
context: He's only in high school!\Huh?\Hotaru?\What are you doing in my room?\Mom!\Hotaru?\What's going on?\Onii-chan made a baby! response:	Hotaru?!
context: Huh?\Hotaru?\What are you doing in my room?\Mom!\Hotaru?\What's going on?\Onii-chan made a baby!\Hotaru?! response:	The End
context: Hotaru?\What are you doing in my room?\Mom!\Hotaru?\What's going on?\Onii-chan made a baby!\Hotaru?!\The End response:	I'm going out with a girl in my class.
context: What are you doing in my room?\Mom!\Hotaru?\What's going on?\Onii-chan made a baby!\Hotaru?!\The End\I'm going out with a girl in my class. response:	After a while, you start wanting to take care of her.
context: Mom!\Hotaru?\What's going on?\Onii-chan made a baby!\Hotaru?!\The End\I'm going out with a girl in my class.\After a while, you start wanting to take care of her. response:	But I don't know what to do.
context: Hotaru?\What's going on?\Onii-chan made a baby!\Hotaru?!\The End\I'm going out with a girl in my class.\After a while, you start wanting to take care of her.\But I don't know what to do. response:	Tell Me
context: What's going on?\Onii-chan made a baby!\Hotaru?!\The End\I'm going out with a girl in my class.\After a while, you start wanting to take care of her.\But I don't know what to do.\Tell Me response:	Kamine, do you enjoy being with me?
context: Onii-chan made a baby!\Hotaru?!\The End\I'm going out with a girl in my class.\After a while, you start wanting to take care of her.\But I don't know what to do.\Tell Me\Kamine, do you enjoy being with me? response:	Huh?
context: Hotaru?!\The End\I'm going out with a girl in my class.\After a while, you start wanting to take care of her.\But I don't know what to do.\Tell Me\Kamine, do you enjoy being with me?\Huh? response:	Yeah, I do.
context: The End\I'm going out with a girl in my class.\After a while, you start wanting to take care of her.\But I don't know what to do.\Tell Me\Kamine, do you enjoy being with me?\Huh?\Yeah, I do. response:	I'm really not good at this kind of thing.
context: I'm going out with a girl in my class.\After a while, you start wanting to take care of her.\But I don't know what to do.\Tell Me\Kamine, do you enjoy being with me?\Huh?\Yeah, I do.\I'm really not good at this kind of thing. response:	Let me know if you ever have a problem with me.
context: After a while, you start wanting to take care of her.\But I don't know what to do.\Tell Me\Kamine, do you enjoy being with me?\Huh?\Yeah, I do.\I'm really not good at this kind of thing.\Let me know if you ever have a problem with me. response:	Can I tell you something, then?
context: But I don't know what to do.\Tell Me\Kamine, do you enjoy being with me?\Huh?\Yeah, I do.\I'm really not good at this kind of thing.\Let me know if you ever have a problem with me.\Can I tell you something, then? response:	You have a problem?
context: Tell Me\Kamine, do you enjoy being with me?\Huh?\Yeah, I do.\I'm really not good at this kind of thing.\Let me know if you ever have a problem with me.\Can I tell you something, then?\You have a problem? response:	Oh, no, it's not a big deal.
context: Kamine, do you enjoy being with me?\Huh?\Yeah, I do.\I'm really not good at this kind of thing.\Let me know if you ever have a problem with me.\Can I tell you something, then?\You have a problem?\Oh, no, it's not a big deal. response:	I think I understand what you're feeling,
context: Huh?\Yeah, I do.\I'm really not good at this kind of thing.\Let me know if you ever have a problem with me.\Can I tell you something, then?\You have a problem?\Oh, no, it's not a big deal.\I think I understand what you're feeling, response:	but I want you to tell me straight.
context: Yeah, I do.\I'm really not good at this kind of thing.\Let me know if you ever have a problem with me.\Can I tell you something, then?\You have a problem?\Oh, no, it's not a big deal.\I think I understand what you're feeling,\but I want you to tell me straight. response:	That you love me.
context: I'm really not good at this kind of thing.\Let me know if you ever have a problem with me.\Can I tell you something, then?\You have a problem?\Oh, no, it's not a big deal.\I think I understand what you're feeling,\but I want you to tell me straight.\That you love me. response:	S-Sorry.
context: Let me know if you ever have a problem with me.\Can I tell you something, then?\You have a problem?\Oh, no, it's not a big deal.\I think I understand what you're feeling,\but I want you to tell me straight.\That you love me.\S-Sorry. response:	This stuff is a pain in the butt, right?
context: Can I tell you something, then?\You have a problem?\Oh, no, it's not a big deal.\I think I understand what you're feeling,\but I want you to tell me straight.\That you love me.\S-Sorry.\This stuff is a pain in the butt, right? response:	No, it's not a big deal.
context: You have a problem?\Oh, no, it's not a big deal.\I think I understand what you're feeling,\but I want you to tell me straight.\That you love me.\S-Sorry.\This stuff is a pain in the butt, right?\No, it's not a big deal. response:	But why bother?
context: Oh, no, it's not a big deal.\I think I understand what you're feeling,\but I want you to tell me straight.\That you love me.\S-Sorry.\This stuff is a pain in the butt, right?\No, it's not a big deal.\But why bother? response:	I feel stupid about it, too,
context: I think I understand what you're feeling,\but I want you to tell me straight.\That you love me.\S-Sorry.\This stuff is a pain in the butt, right?\No, it's not a big deal.\But why bother?\I feel stupid about it, too, response:	but I want you to say it.
context: but I want you to tell me straight.\That you love me.\S-Sorry.\This stuff is a pain in the butt, right?\No, it's not a big deal.\But why bother?\I feel stupid about it, too,\but I want you to say it. response:	All right, Kamine.
context: That you love me.\S-Sorry.\This stuff is a pain in the butt, right?\No, it's not a big deal.\But why bother?\I feel stupid about it, too,\but I want you to say it.\All right, Kamine. response:	Sorry.
context: S-Sorry.\This stuff is a pain in the butt, right?\No, it's not a big deal.\But why bother?\I feel stupid about it, too,\but I want you to say it.\All right, Kamine.\Sorry. response:	It's true, I don't think I've really spoken my mind until now.
context: This stuff is a pain in the butt, right?\No, it's not a big deal.\But why bother?\I feel stupid about it, too,\but I want you to say it.\All right, Kamine.\Sorry.\It's true, I don't think I've really spoken my mind until now. response:	I'll be careful from now on.
context: No, it's not a big deal.\But why bother?\I feel stupid about it, too,\but I want you to say it.\All right, Kamine.\Sorry.\It's true, I don't think I've really spoken my mind until now.\I'll be careful from now on. response:	No, I don't mean from now on, but...
context: But why bother?\I feel stupid about it, too,\but I want you to say it.\All right, Kamine.\Sorry.\It's true, I don't think I've really spoken my mind until now.\I'll be careful from now on.\No, I don't mean from now on, but... response:	Am I making a mistake?
context: I feel stupid about it, too,\but I want you to say it.\All right, Kamine.\Sorry.\It's true, I don't think I've really spoken my mind until now.\I'll be careful from now on.\No, I don't mean from now on, but...\Am I making a mistake? response:	Um, now would be good.
