context: Mizusawa High School from Tokyo! response:	Congratulations.
context: Mizusawa High School from Tokyo!\Congratulations. response:	Champions 1st: Fujisaki High School 2nd: Fujisaki High School 3rd: Fujisaki High School 4th: Fujisaki High School 5th: Fujisaki High School
context: Mizusawa High School from Tokyo!\Congratulations.\Champions 1st: Fujisaki High School 2nd: Fujisaki High School 3rd: Fujisaki High School 4th: Fujisaki High School 5th: Fujisaki High School response:	Chihaya-chan.
context: Mizusawa High School from Tokyo!\Congratulations.\Champions 1st: Fujisaki High School 2nd: Fujisaki High School 3rd: Fujisaki High School 4th: Fujisaki High School 5th: Fujisaki High School\Chihaya-chan. response:	Go on
context: Mizusawa High School from Tokyo!\Congratulations.\Champions 1st: Fujisaki High School 2nd: Fujisaki High School 3rd: Fujisaki High School 4th: Fujisaki High School 5th: Fujisaki High School\Chihaya-chan.\Go on response:	It's heavy. Be careful.
context: Mizusawa High School from Tokyo!\Congratulations.\Champions 1st: Fujisaki High School 2nd: Fujisaki High School 3rd: Fujisaki High School 4th: Fujisaki High School 5th: Fujisaki High School\Chihaya-chan.\Go on\It's heavy. Be careful. response:	My goal is
context: Mizusawa High School from Tokyo!\Congratulations.\Champions 1st: Fujisaki High School 2nd: Fujisaki High School 3rd: Fujisaki High School 4th: Fujisaki High School 5th: Fujisaki High School\Chihaya-chan.\Go on\It's heavy. Be careful.\My goal is response:	to win the team High School Championship...
context: Mizusawa High School from Tokyo!\Congratulations.\Champions 1st: Fujisaki High School 2nd: Fujisaki High School 3rd: Fujisaki High School 4th: Fujisaki High School 5th: Fujisaki High School\Chihaya-chan.\Go on\It's heavy. Be careful.\My goal is\to win the team High School Championship... response:	We finally have new members...
context: Congratulations.\Champions 1st: Fujisaki High School 2nd: Fujisaki High School 3rd: Fujisaki High School 4th: Fujisaki High School 5th: Fujisaki High School\Chihaya-chan.\Go on\It's heavy. Be careful.\My goal is\to win the team High School Championship...\We finally have new members... response:	Two of them stayed.
context: Champions 1st: Fujisaki High School 2nd: Fujisaki High School 3rd: Fujisaki High School 4th: Fujisaki High School 5th: Fujisaki High School\Chihaya-chan.\Go on\It's heavy. Be careful.\My goal is\to win the team High School Championship...\We finally have new members...\Two of them stayed. response:	Compared to becoming Queen, becoming the strongest woman in Japan,
context: Chihaya-chan.\Go on\It's heavy. Be careful.\My goal is\to win the team High School Championship...\We finally have new members...\Two of them stayed.\Compared to becoming Queen, becoming the strongest woman in Japan, response:	it's much harder for us to become best in Japan together!
context: Go on\It's heavy. Be careful.\My goal is\to win the team High School Championship...\We finally have new members...\Two of them stayed.\Compared to becoming Queen, becoming the strongest woman in Japan,\it's much harder for us to become best in Japan together! response:	Like a boatsman adrift...
context: It's heavy. Be careful.\My goal is\to win the team High School Championship...\We finally have new members...\Two of them stayed.\Compared to becoming Queen, becoming the strongest woman in Japan,\it's much harder for us to become best in Japan together!\Like a boatsman adrift... response:	Chihaya Furu
context: My goal is\to win the team High School Championship...\We finally have new members...\Two of them stayed.\Compared to becoming Queen, becoming the strongest woman in Japan,\it's much harder for us to become best in Japan together!\Like a boatsman adrift...\Chihaya Furu response:	Episode 20
context: to win the team High School Championship...\We finally have new members...\Two of them stayed.\Compared to becoming Queen, becoming the strongest woman in Japan,\it's much harder for us to become best in Japan together!\Like a boatsman adrift...\Chihaya Furu\Episode 20 response:	The fall paddy shacks
context: We finally have new members...\Two of them stayed.\Compared to becoming Queen, becoming the strongest woman in Japan,\it's much harder for us to become best in Japan together!\Like a boatsman adrift...\Chihaya Furu\Episode 20\The fall paddy shacks response:	Everybody have everything?
context: Two of them stayed.\Compared to becoming Queen, becoming the strongest woman in Japan,\it's much harder for us to become best in Japan together!\Like a boatsman adrift...\Chihaya Furu\Episode 20\The fall paddy shacks\Everybody have everything? response:	We're good.
context: Compared to becoming Queen, becoming the strongest woman in Japan,\it's much harder for us to become best in Japan together!\Like a boatsman adrift...\Chihaya Furu\Episode 20\The fall paddy shacks\Everybody have everything?\We're good. response:	I'll have the trophy and other awards sent back to the school,
context: it's much harder for us to become best in Japan together!\Like a boatsman adrift...\Chihaya Furu\Episode 20\The fall paddy shacks\Everybody have everything?\We're good.\I'll have the trophy and other awards sent back to the school, response:	so place everything here.
