context: You were late today, Ebata. response:	I apologize.
context: You were late today, Ebata.\I apologize. response:	It's fine. But I must ask...
context: You were late today, Ebata.\I apologize.\It's fine. But I must ask... response:	Why are you dressed that way?
context: You were late today, Ebata.\I apologize.\It's fine. But I must ask...\Why are you dressed that way? response:	Whatever makes you happy.
context: You were late today, Ebata.\I apologize.\It's fine. But I must ask...\Why are you dressed that way?\Whatever makes you happy. response:	Yes, all five are working hard.
context: You were late today, Ebata.\I apologize.\It's fine. But I must ask...\Why are you dressed that way?\Whatever makes you happy.\Yes, all five are working hard. response:	I see.
context: You were late today, Ebata.\I apologize.\It's fine. But I must ask...\Why are you dressed that way?\Whatever makes you happy.\Yes, all five are working hard.\I see. response:	Then I expect good things from their finals.
context: You were late today, Ebata.\I apologize.\It's fine. But I must ask...\Why are you dressed that way?\Whatever makes you happy.\Yes, all five are working hard.\I see.\Then I expect good things from their finals. response:	May I say something?
context: I apologize.\It's fine. But I must ask...\Why are you dressed that way?\Whatever makes you happy.\Yes, all five are working hard.\I see.\Then I expect good things from their finals.\May I say something? response:	I have a bit of a selfish request.
context: It's fine. But I must ask...\Why are you dressed that way?\Whatever makes you happy.\Yes, all five are working hard.\I see.\Then I expect good things from their finals.\May I say something?\I have a bit of a selfish request. response:	What is it?
context: Why are you dressed that way?\Whatever makes you happy.\Yes, all five are working hard.\I see.\Then I expect good things from their finals.\May I say something?\I have a bit of a selfish request.\What is it? response:	I'd like to quit tutoring as of today.
context: Whatever makes you happy.\Yes, all five are working hard.\I see.\Then I expect good things from their finals.\May I say something?\I have a bit of a selfish request.\What is it?\I'd like to quit tutoring as of today. response:	Are you aware that Nino and Itsuki got in a fight and ran away from home?
context: Yes, all five are working hard.\I see.\Then I expect good things from their finals.\May I say something?\I have a bit of a selfish request.\What is it?\I'd like to quit tutoring as of today.\Are you aware that Nino and Itsuki got in a fight and ran away from home? response:	I never heard about this.
context: I see.\Then I expect good things from their finals.\May I say something?\I have a bit of a selfish request.\What is it?\I'd like to quit tutoring as of today.\Are you aware that Nino and Itsuki got in a fight and ran away from home?\I never heard about this. response:	Have they resolved their issues?
context: Then I expect good things from their finals.\May I say something?\I have a bit of a selfish request.\What is it?\I'd like to quit tutoring as of today.\Are you aware that Nino and Itsuki got in a fight and ran away from home?\I never heard about this.\Have they resolved their issues? response:	Yes.
context: May I say something?\I have a bit of a selfish request.\What is it?\I'd like to quit tutoring as of today.\Are you aware that Nino and Itsuki got in a fight and ran away from home?\I never heard about this.\Have they resolved their issues?\Yes. response:	Great.
context: I have a bit of a selfish request.\What is it?\I'd like to quit tutoring as of today.\Are you aware that Nino and Itsuki got in a fight and ran away from home?\I never heard about this.\Have they resolved their issues?\Yes.\Great. response:	Goodbye.
context: What is it?\I'd like to quit tutoring as of today.\Are you aware that Nino and Itsuki got in a fight and ran away from home?\I never heard about this.\Have they resolved their issues?\Yes.\Great.\Goodbye. response:	Is that it?
context: I'd like to quit tutoring as of today.\Are you aware that Nino and Itsuki got in a fight and ran away from home?\I never heard about this.\Have they resolved their issues?\Yes.\Great.\Goodbye.\Is that it? response:	Aren't you curious about why they got in a fight?
context: Are you aware that Nino and Itsuki got in a fight and ran away from home?\I never heard about this.\Have they resolved their issues?\Yes.\Great.\Goodbye.\Is that it?\Aren't you curious about why they got in a fight? response:	Don't you care to know what they're thinking or what's bothering them?
context: I never heard about this.\Have they resolved their issues?\Yes.\Great.\Goodbye.\Is that it?\Aren't you curious about why they got in a fight?\Don't you care to know what they're thinking or what's bothering them? response:	Oh, sorry, I shouldn't talk like that to my employer.
context: Have they resolved their issues?\Yes.\Great.\Goodbye.\Is that it?\Aren't you curious about why they got in a fight?\Don't you care to know what they're thinking or what's bothering them?\Oh, sorry, I shouldn't talk like that to my employer. response:	Oh, wait, I'm quitting.
context: Yes.\Great.\Goodbye.\Is that it?\Aren't you curious about why they got in a fight?\Don't you care to know what they're thinking or what's bothering them?\Oh, sorry, I shouldn't talk like that to my employer.\Oh, wait, I'm quitting. response:	Why don't you try acting like a father like once?!
context: Great.\Goodbye.\Is that it?\Aren't you curious about why they got in a fight?\Don't you care to know what they're thinking or what's bothering them?\Oh, sorry, I shouldn't talk like that to my employer.\Oh, wait, I'm quitting.\Why don't you try acting like a father like once?! response:	Asshole!
context: Goodbye.\Is that it?\Aren't you curious about why they got in a fight?\Don't you care to know what they're thinking or what's bothering them?\Oh, sorry, I shouldn't talk like that to my employer.\Oh, wait, I'm quitting.\Why don't you try acting like a father like once?!\Asshole! response:	Uesugi-kun... You've gone and done it now.
context: Is that it?\Aren't you curious about why they got in a fight?\Don't you care to know what they're thinking or what's bothering them?\Oh, sorry, I shouldn't talk like that to my employer.\Oh, wait, I'm quitting.\Why don't you try acting like a father like once?!\Asshole!\Uesugi-kun... You've gone and done it now. response:	But...
context: Aren't you curious about why they got in a fight?\Don't you care to know what they're thinking or what's bothering them?\Oh, sorry, I shouldn't talk like that to my employer.\Oh, wait, I'm quitting.\Why don't you try acting like a father like once?!\Asshole!\Uesugi-kun... You've gone and done it now.\But... response:	I won't give my daughters to a man like you.
context: Don't you care to know what they're thinking or what's bothering them?\Oh, sorry, I shouldn't talk like that to my employer.\Oh, wait, I'm quitting.\Why don't you try acting like a father like once?!\Asshole!\Uesugi-kun... You've gone and done it now.\But...\I won't give my daughters to a man like you. response:	Good Work Today
context: Oh, sorry, I shouldn't talk like that to my employer.\Oh, wait, I'm quitting.\Why don't you try acting like a father like once?!\Asshole!\Uesugi-kun... You've gone and done it now.\But...\I won't give my daughters to a man like you.\Good Work Today response:	Happy New Year
context: Oh, wait, I'm quitting.\Why don't you try acting like a father like once?!\Asshole!\Uesugi-kun... You've gone and done it now.\But...\I won't give my daughters to a man like you.\Good Work Today\Happy New Year response:	New Year's Allowance
context: Why don't you try acting like a father like once?!\Asshole!\Uesugi-kun... You've gone and done it now.\But...\I won't give my daughters to a man like you.\Good Work Today\Happy New Year\New Year's Allowance response:	Thank you, Grandpa!
context: Asshole!\Uesugi-kun... You've gone and done it now.\But...\I won't give my daughters to a man like you.\Good Work Today\Happy New Year\New Year's Allowance\Thank you, Grandpa! response:	I'd always gotten allowances until last year.
context: Uesugi-kun... You've gone and done it now.\But...\I won't give my daughters to a man like you.\Good Work Today\Happy New Year\New Year's Allowance\Thank you, Grandpa!\I'd always gotten allowances until last year. response:	I should have stayed home to study.
context: But...\I won't give my daughters to a man like you.\Good Work Today\Happy New Year\New Year's Allowance\Thank you, Grandpa!\I'd always gotten allowances until last year.\I should have stayed home to study. response:	Good fortune!
context: I won't give my daughters to a man like you.\Good Work Today\Happy New Year\New Year's Allowance\Thank you, Grandpa!\I'd always gotten allowances until last year.\I should have stayed home to study.\Good fortune! response:	Yay!
context: Good Work Today\Happy New Year\New Year's Allowance\Thank you, Grandpa!\I'd always gotten allowances until last year.\I should have stayed home to study.\Good fortune!\Yay! response:	What about you, Onii-chan?
context: Happy New Year\New Year's Allowance\Thank you, Grandpa!\I'd always gotten allowances until last year.\I should have stayed home to study.\Good fortune!\Yay!\What about you, Onii-chan? response:	I don't need my fortune told to know how my year's going to be.
context: New Year's Allowance\Thank you, Grandpa!\I'd always gotten allowances until last year.\I should have stayed home to study.\Good fortune!\Yay!\What about you, Onii-chan?\I don't need my fortune told to know how my year's going to be. response:	Ever since I met those girls, I've always had...
context: Thank you, Grandpa!\I'd always gotten allowances until last year.\I should have stayed home to study.\Good fortune!\Yay!\What about you, Onii-chan?\I don't need my fortune told to know how my year's going to be.\Ever since I met those girls, I've always had... response:	Worst Luck
context: I'd always gotten allowances until last year.\I should have stayed home to study.\Good fortune!\Yay!\What about you, Onii-chan?\I don't need my fortune told to know how my year's going to be.\Ever since I met those girls, I've always had...\Worst Luck response:	the worst luck.
context: I should have stayed home to study.\Good fortune!\Yay!\What about you, Onii-chan?\I don't need my fortune told to know how my year's going to be.\Ever since I met those girls, I've always had...\Worst Luck\the worst luck. response:	Uesugi-san and Raiha-chan!
context: Good fortune!\Yay!\What about you, Onii-chan?\I don't need my fortune told to know how my year's going to be.\Ever since I met those girls, I've always had...\Worst Luck\the worst luck.\Uesugi-san and Raiha-chan! response:	Why are you always around?
context: Yay!\What about you, Onii-chan?\I don't need my fortune told to know how my year's going to be.\Ever since I met those girls, I've always had...\Worst Luck\the worst luck.\Uesugi-san and Raiha-chan!\Why are you always around? response:	Why don't you stop by our place?
context: What about you, Onii-chan?\I don't need my fortune told to know how my year's going to be.\Ever since I met those girls, I've always had...\Worst Luck\the worst luck.\Uesugi-san and Raiha-chan!\Why are you always around?\Why don't you stop by our place? response:	Nah, we'll pass.
context: I don't need my fortune told to know how my year's going to be.\Ever since I met those girls, I've always had...\Worst Luck\the worst luck.\Uesugi-san and Raiha-chan!\Why are you always around?\Why don't you stop by our place?\Nah, we'll pass. response:	I'll go!
context: Ever since I met those girls, I've always had...\Worst Luck\the worst luck.\Uesugi-san and Raiha-chan!\Why are you always around?\Why don't you stop by our place?\Nah, we'll pass.\I'll go! response:	Nakano
context: Worst Luck\the worst luck.\Uesugi-san and Raiha-chan!\Why are you always around?\Why don't you stop by our place?\Nah, we'll pass.\I'll go!\Nakano response:	I love you, too.
