context: Rations, four. response:	Medical supplies, one.
context: Rations, four.\Medical supplies, one. response:	Medications, one.
context: Rations, four.\Medical supplies, one.\Medications, one. response:	Maintenance, one.
context: Rations, four.\Medical supplies, one.\Medications, one.\Maintenance, one. response:	Bring the containers with the bras down to my place, please.
context: Rations, four.\Medical supplies, one.\Medications, one.\Maintenance, one.\Bring the containers with the bras down to my place, please. response:	Receipt confirmed.
context: Rations, four.\Medical supplies, one.\Medications, one.\Maintenance, one.\Bring the containers with the bras down to my place, please.\Receipt confirmed. response:	Good work.
context: Rations, four.\Medical supplies, one.\Medications, one.\Maintenance, one.\Bring the containers with the bras down to my place, please.\Receipt confirmed.\Good work. response:	See you again soon.
context: Rations, four.\Medical supplies, one.\Medications, one.\Maintenance, one.\Bring the containers with the bras down to my place, please.\Receipt confirmed.\Good work.\See you again soon. response:	All units, prepare!
context: Medical supplies, one.\Medications, one.\Maintenance, one.\Bring the containers with the bras down to my place, please.\Receipt confirmed.\Good work.\See you again soon.\All units, prepare! response:	Hurry up, or we won't make it back in time for dinner.
context: Medications, one.\Maintenance, one.\Bring the containers with the bras down to my place, please.\Receipt confirmed.\Good work.\See you again soon.\All units, prepare!\Hurry up, or we won't make it back in time for dinner. response:	Yes, ma'am.
context: Maintenance, one.\Bring the containers with the bras down to my place, please.\Receipt confirmed.\Good work.\See you again soon.\All units, prepare!\Hurry up, or we won't make it back in time for dinner.\Yes, ma'am. response:	Ange, sup.
context: Bring the containers with the bras down to my place, please.\Receipt confirmed.\Good work.\See you again soon.\All units, prepare!\Hurry up, or we won't make it back in time for dinner.\Yes, ma'am.\Ange, sup. response:	You were awesome out there again.
context: Receipt confirmed.\Good work.\See you again soon.\All units, prepare!\Hurry up, or we won't make it back in time for dinner.\Yes, ma'am.\Ange, sup.\You were awesome out there again. response:	Dammit, she keeps making all the money.
context: Good work.\See you again soon.\All units, prepare!\Hurry up, or we won't make it back in time for dinner.\Yes, ma'am.\Ange, sup.\You were awesome out there again.\Dammit, she keeps making all the money. response:	Why did she come back?
context: See you again soon.\All units, prepare!\Hurry up, or we won't make it back in time for dinner.\Yes, ma'am.\Ange, sup.\You were awesome out there again.\Dammit, she keeps making all the money.\Why did she come back? response:	Who's the cockroach again?
context: All units, prepare!\Hurry up, or we won't make it back in time for dinner.\Yes, ma'am.\Ange, sup.\You were awesome out there again.\Dammit, she keeps making all the money.\Why did she come back?\Who's the cockroach again? response:	I'll bust a screw hole in her head.
context: Hurry up, or we won't make it back in time for dinner.\Yes, ma'am.\Ange, sup.\You were awesome out there again.\Dammit, she keeps making all the money.\Why did she come back?\Who's the cockroach again?\I'll bust a screw hole in her head. response:	Don't, you'll get in trouble from command.
