context: Ridget... response:	Yes, Fleet Commander...
context: Ridget...\Yes, Fleet Commander... response:	Take this.
context: Ridget...\Yes, Fleet Commander...\Take this. response:	This is...
context: Ridget...\Yes, Fleet Commander...\Take this.\This is... response:	Take care... of the fleet...
context: Ridget...\Yes, Fleet Commander...\Take this.\This is...\Take care... of the fleet... response:	Fleet Commander Fairlock! Gargantia needs you!
context: Ridget...\Yes, Fleet Commander...\Take this.\This is...\Take care... of the fleet...\Fleet Commander Fairlock! Gargantia needs you! response:	I'm sure you'll do fine.
context: Ridget...\Yes, Fleet Commander...\Take this.\This is...\Take care... of the fleet...\Fleet Commander Fairlock! Gargantia needs you!\I'm sure you'll do fine. response:	I can't...
context: Ridget...\Yes, Fleet Commander...\Take this.\This is...\Take care... of the fleet...\Fleet Commander Fairlock! Gargantia needs you!\I'm sure you'll do fine.\I can't... response:	You've made me proud...
context: Yes, Fleet Commander...\Take this.\This is...\Take care... of the fleet...\Fleet Commander Fairlock! Gargantia needs you!\I'm sure you'll do fine.\I can't...\You've made me proud... response:	When I see your father... I can hold my head high and give a glowing report.
context: Take this.\This is...\Take care... of the fleet...\Fleet Commander Fairlock! Gargantia needs you!\I'm sure you'll do fine.\I can't...\You've made me proud...\When I see your father... I can hold my head high and give a glowing report. response:	Fleet Commander!
context: This is...\Take care... of the fleet...\Fleet Commander Fairlock! Gargantia needs you!\I'm sure you'll do fine.\I can't...\You've made me proud...\When I see your father... I can hold my head high and give a glowing report.\Fleet Commander! response:	No...
context: Take care... of the fleet...\Fleet Commander Fairlock! Gargantia needs you!\I'm sure you'll do fine.\I can't...\You've made me proud...\When I see your father... I can hold my head high and give a glowing report.\Fleet Commander!\No... response:	Fleet Commander...
context: Fleet Commander Fairlock! Gargantia needs you!\I'm sure you'll do fine.\I can't...\You've made me proud...\When I see your father... I can hold my head high and give a glowing report.\Fleet Commander!\No...\Fleet Commander... response:	Confirming: Earth's coordinates.
context: I'm sure you'll do fine.\I can't...\You've made me proud...\When I see your father... I can hold my head high and give a glowing report.\Fleet Commander!\No...\Fleet Commander...\Confirming: Earth's coordinates. response:	Confirming: Galactic Alliance standard coordinates from current position.
