context: *Episode 2 seating change response:	*Take me
context: *Episode 2 seating change\*Take me response:	It's true that I was attracted by his kindness,
context: *Episode 2 seating change\*Take me\It's true that I was attracted by his kindness, response:	his coolness, his honesty, his outgoingness.
context: *Episode 2 seating change\*Take me\It's true that I was attracted by his kindness,\his coolness, his honesty, his outgoingness. response:	That's...
context: *Episode 2 seating change\*Take me\It's true that I was attracted by his kindness,\his coolness, his honesty, his outgoingness.\That's... response:	no mistake.
context: *Episode 2 seating change\*Take me\It's true that I was attracted by his kindness,\his coolness, his honesty, his outgoingness.\That's...\no mistake. response:	I can expect to see you over the summer, right?
context: *Episode 2 seating change\*Take me\It's true that I was attracted by his kindness,\his coolness, his honesty, his outgoingness.\That's...\no mistake.\I can expect to see you over the summer, right? response:	My name is Kuronuma Sawako.
context: *Episode 2 seating change\*Take me\It's true that I was attracted by his kindness,\his coolness, his honesty, his outgoingness.\That's...\no mistake.\I can expect to see you over the summer, right?\My name is Kuronuma Sawako. response:	I hope someone nice will adopt you.
context: *Take me\It's true that I was attracted by his kindness,\his coolness, his honesty, his outgoingness.\That's...\no mistake.\I can expect to see you over the summer, right?\My name is Kuronuma Sawako.\I hope someone nice will adopt you. response:	My nickname is Sadako.
context: It's true that I was attracted by his kindness,\his coolness, his honesty, his outgoingness.\That's...\no mistake.\I can expect to see you over the summer, right?\My name is Kuronuma Sawako.\I hope someone nice will adopt you.\My nickname is Sadako. response:	Like Sadako from Ringu.
context: his coolness, his honesty, his outgoingness.\That's...\no mistake.\I can expect to see you over the summer, right?\My name is Kuronuma Sawako.\I hope someone nice will adopt you.\My nickname is Sadako.\Like Sadako from Ringu. response:	My favorite phrase is, Do one good deed a day.”
context: That's...\no mistake.\I can expect to see you over the summer, right?\My name is Kuronuma Sawako.\I hope someone nice will adopt you.\My nickname is Sadako.\Like Sadako from Ringu.\My favorite phrase is, Do one good deed a day.” response:	Did you hear?
context: no mistake.\I can expect to see you over the summer, right?\My name is Kuronuma Sawako.\I hope someone nice will adopt you.\My nickname is Sadako.\Like Sadako from Ringu.\My favorite phrase is, Do one good deed a day.”\Did you hear? response:	Sadako from Class B...
context: I can expect to see you over the summer, right?\My name is Kuronuma Sawako.\I hope someone nice will adopt you.\My nickname is Sadako.\Like Sadako from Ringu.\My favorite phrase is, Do one good deed a day.”\Did you hear?\Sadako from Class B... response:	That girl who has a psychic aura or whatever?
context: My name is Kuronuma Sawako.\I hope someone nice will adopt you.\My nickname is Sadako.\Like Sadako from Ringu.\My favorite phrase is, Do one good deed a day.”\Did you hear?\Sadako from Class B...\That girl who has a psychic aura or whatever? response:	Yeah.
context: I hope someone nice will adopt you.\My nickname is Sadako.\Like Sadako from Ringu.\My favorite phrase is, Do one good deed a day.”\Did you hear?\Sadako from Class B...\That girl who has a psychic aura or whatever?\Yeah. response:	Before the summer break, she made a public announcement that she got rejected.
context: My nickname is Sadako.\Like Sadako from Ringu.\My favorite phrase is, Do one good deed a day.”\Did you hear?\Sadako from Class B...\That girl who has a psychic aura or whatever?\Yeah.\Before the summer break, she made a public announcement that she got rejected. response:	Seriously?
context: Like Sadako from Ringu.\My favorite phrase is, Do one good deed a day.”\Did you hear?\Sadako from Class B...\That girl who has a psychic aura or whatever?\Yeah.\Before the summer break, she made a public announcement that she got rejected.\Seriously? response:	By who?
context: My favorite phrase is, Do one good deed a day.”\Did you hear?\Sadako from Class B...\That girl who has a psychic aura or whatever?\Yeah.\Before the summer break, she made a public announcement that she got rejected.\Seriously?\By who? response:	Ka-ze-ha-ya.
