context: Okay, for today's homeroom period, response:	Let's talk about
context: Okay, for today's homeroom period,\Let's talk about response:	this year's Literary Fest.
context: Okay, for today's homeroom period,\Let's talk about\this year's Literary Fest. response:	I wonder what we're going to do this year.
context: Okay, for today's homeroom period,\Let's talk about\this year's Literary Fest.\I wonder what we're going to do this year. response:	I am looking forward to it, you know?
context: Okay, for today's homeroom period,\Let's talk about\this year's Literary Fest.\I wonder what we're going to do this year.\I am looking forward to it, you know? response:	So Japanese schools have Literary Fest too.
context: Okay, for today's homeroom period,\Let's talk about\this year's Literary Fest.\I wonder what we're going to do this year.\I am looking forward to it, you know?\So Japanese schools have Literary Fest too. response:	Every class and club
context: Okay, for today's homeroom period,\Let's talk about\this year's Literary Fest.\I wonder what we're going to do this year.\I am looking forward to it, you know?\So Japanese schools have Literary Fest too.\Every class and club response:	does something different.
context: Okay, for today's homeroom period,\Let's talk about\this year's Literary Fest.\I wonder what we're going to do this year.\I am looking forward to it, you know?\So Japanese schools have Literary Fest too.\Every class and club\does something different. response:	Last year, we did an ensemble.
context: Let's talk about\this year's Literary Fest.\I wonder what we're going to do this year.\I am looking forward to it, you know?\So Japanese schools have Literary Fest too.\Every class and club\does something different.\Last year, we did an ensemble. response:	We all voted yesterday,
context: this year's Literary Fest.\I wonder what we're going to do this year.\I am looking forward to it, you know?\So Japanese schools have Literary Fest too.\Every class and club\does something different.\Last year, we did an ensemble.\We all voted yesterday, response:	and the result for Class 5-2 is a play.
context: I wonder what we're going to do this year.\I am looking forward to it, you know?\So Japanese schools have Literary Fest too.\Every class and club\does something different.\Last year, we did an ensemble.\We all voted yesterday,\and the result for Class 5-2 is a play. response:	It's a play!
context: I am looking forward to it, you know?\So Japanese schools have Literary Fest too.\Every class and club\does something different.\Last year, we did an ensemble.\We all voted yesterday,\and the result for Class 5-2 is a play.\It's a play! response:	It's a play!
context: So Japanese schools have Literary Fest too.\Every class and club\does something different.\Last year, we did an ensemble.\We all voted yesterday,\and the result for Class 5-2 is a play.\It's a play!\It's a play! response:	I wonder what the story is going to be.
context: Every class and club\does something different.\Last year, we did an ensemble.\We all voted yesterday,\and the result for Class 5-2 is a play.\It's a play!\It's a play!\I wonder what the story is going to be. response:	Class 6-1 is also doing a play,
context: does something different.\Last year, we did an ensemble.\We all voted yesterday,\and the result for Class 5-2 is a play.\It's a play!\It's a play!\I wonder what the story is going to be.\Class 6-1 is also doing a play, response:	But they will be doing
context: Last year, we did an ensemble.\We all voted yesterday,\and the result for Class 5-2 is a play.\It's a play!\It's a play!\I wonder what the story is going to be.\Class 6-1 is also doing a play,\But they will be doing response:	an ancient Japanese story,
context: We all voted yesterday,\and the result for Class 5-2 is a play.\It's a play!\It's a play!\I wonder what the story is going to be.\Class 6-1 is also doing a play,\But they will be doing\an ancient Japanese story, response:	So I thought,
context: and the result for Class 5-2 is a play.\It's a play!\It's a play!\I wonder what the story is going to be.\Class 6-1 is also doing a play,\But they will be doing\an ancient Japanese story,\So I thought, response:	how about let's do a western play?
context: It's a play!\It's a play!\I wonder what the story is going to be.\Class 6-1 is also doing a play,\But they will be doing\an ancient Japanese story,\So I thought,\how about let's do a western play? response:	What do you think?
context: It's a play!\I wonder what the story is going to be.\Class 6-1 is also doing a play,\But they will be doing\an ancient Japanese story,\So I thought,\how about let's do a western play?\What do you think? response:	The dream that the card showed me'
context: I wonder what the story is going to be.\Class 6-1 is also doing a play,\But they will be doing\an ancient Japanese story,\So I thought,\how about let's do a western play?\What do you think?\The dream that the card showed me' response:	That was Mizuki-sensei after all.
context: Class 6-1 is also doing a play,\But they will be doing\an ancient Japanese story,\So I thought,\how about let's do a western play?\What do you think?\The dream that the card showed me'\That was Mizuki-sensei after all. response:	Besides, Kero said
context: But they will be doing\an ancient Japanese story,\So I thought,\how about let's do a western play?\What do you think?\The dream that the card showed me'\That was Mizuki-sensei after all.\Besides, Kero said response:	what Dream showed was a prophetic dream.
context: an ancient Japanese story,\So I thought,\how about let's do a western play?\What do you think?\The dream that the card showed me'\That was Mizuki-sensei after all.\Besides, Kero said\what Dream showed was a prophetic dream. response:	Does it mean
context: So I thought,\how about let's do a western play?\What do you think?\The dream that the card showed me'\That was Mizuki-sensei after all.\Besides, Kero said\what Dream showed was a prophetic dream.\Does it mean response:	something like what's in the dream will happen some day?
context: how about let's do a western play?\What do you think?\The dream that the card showed me'\That was Mizuki-sensei after all.\Besides, Kero said\what Dream showed was a prophetic dream.\Does it mean\something like what's in the dream will happen some day? response:	But
context: What do you think?\The dream that the card showed me'\That was Mizuki-sensei after all.\Besides, Kero said\what Dream showed was a prophetic dream.\Does it mean\something like what's in the dream will happen some day?\But response:	whenever I'm looking at Mizuki-sensei'
context: The dream that the card showed me'\That was Mizuki-sensei after all.\Besides, Kero said\what Dream showed was a prophetic dream.\Does it mean\something like what's in the dream will happen some day?\But\whenever I'm looking at Mizuki-sensei' response:	I always feel so schweeet!
context: That was Mizuki-sensei after all.\Besides, Kero said\what Dream showed was a prophetic dream.\Does it mean\something like what's in the dream will happen some day?\But\whenever I'm looking at Mizuki-sensei'\I always feel so schweeet! response:	So, the title of the play
context: Besides, Kero said\what Dream showed was a prophetic dream.\Does it mean\something like what's in the dream will happen some day?\But\whenever I'm looking at Mizuki-sensei'\I always feel so schweeet!\So, the title of the play response:	you have all been waiting for'
context: what Dream showed was a prophetic dream.\Does it mean\something like what's in the dream will happen some day?\But\whenever I'm looking at Mizuki-sensei'\I always feel so schweeet!\So, the title of the play\you have all been waiting for' response:	SLEEPING BEAUTY
context: Does it mean\something like what's in the dream will happen some day?\But\whenever I'm looking at Mizuki-sensei'\I always feel so schweeet!\So, the title of the play\you have all been waiting for'\SLEEPING BEAUTY response:	Then we will decide who play the role.
context: something like what's in the dream will happen some day?\But\whenever I'm looking at Mizuki-sensei'\I always feel so schweeet!\So, the title of the play\you have all been waiting for'\SLEEPING BEAUTY\Then we will decide who play the role. response:	In order to let everyone
context: But\whenever I'm looking at Mizuki-sensei'\I always feel so schweeet!\So, the title of the play\you have all been waiting for'\SLEEPING BEAUTY\Then we will decide who play the role.\In order to let everyone response:	have a fair chance to play any role,
context: whenever I'm looking at Mizuki-sensei'\I always feel so schweeet!\So, the title of the play\you have all been waiting for'\SLEEPING BEAUTY\Then we will decide who play the role.\In order to let everyone\have a fair chance to play any role, response:	We will use the method of amidakuji.
context: I always feel so schweeet!\So, the title of the play\you have all been waiting for'\SLEEPING BEAUTY\Then we will decide who play the role.\In order to let everyone\have a fair chance to play any role,\We will use the method of amidakuji. response:	Now then come up here
context: So, the title of the play\you have all been waiting for'\SLEEPING BEAUTY\Then we will decide who play the role.\In order to let everyone\have a fair chance to play any role,\We will use the method of amidakuji.\Now then come up here response:	in the order of your class number.
context: you have all been waiting for'\SLEEPING BEAUTY\Then we will decide who play the role.\In order to let everyone\have a fair chance to play any role,\We will use the method of amidakuji.\Now then come up here\in the order of your class number. response:	Yes!
context: SLEEPING BEAUTY\Then we will decide who play the role.\In order to let everyone\have a fair chance to play any role,\We will use the method of amidakuji.\Now then come up here\in the order of your class number.\Yes! response:	I wonder what role I'm getting'
context: Then we will decide who play the role.\In order to let everyone\have a fair chance to play any role,\We will use the method of amidakuji.\Now then come up here\in the order of your class number.\Yes!\I wonder what role I'm getting' response:	Whatever role you are playing,
context: In order to let everyone\have a fair chance to play any role,\We will use the method of amidakuji.\Now then come up here\in the order of your class number.\Yes!\I wonder what role I'm getting'\Whatever role you are playing, response:	I will make the costume for you for sure!
context: have a fair chance to play any role,\We will use the method of amidakuji.\Now then come up here\in the order of your class number.\Yes!\I wonder what role I'm getting'\Whatever role you are playing,\I will make the costume for you for sure! response:	To' Tomoyo-chan'
context: We will use the method of amidakuji.\Now then come up here\in the order of your class number.\Yes!\I wonder what role I'm getting'\Whatever role you are playing,\I will make the costume for you for sure!\To' Tomoyo-chan' response:	You don't need to be so alert like that.
context: Now then come up here\in the order of your class number.\Yes!\I wonder what role I'm getting'\Whatever role you are playing,\I will make the costume for you for sure!\To' Tomoyo-chan'\You don't need to be so alert like that. response:	It will be very soon.
context: in the order of your class number.\Yes!\I wonder what role I'm getting'\Whatever role you are playing,\I will make the costume for you for sure!\To' Tomoyo-chan'\You don't need to be so alert like that.\It will be very soon. response:	Let's get back to our seats.
context: Yes!\I wonder what role I'm getting'\Whatever role you are playing,\I will make the costume for you for sure!\To' Tomoyo-chan'\You don't need to be so alert like that.\It will be very soon.\Let's get back to our seats. response:	Shao Lan?
context: I wonder what role I'm getting'\Whatever role you are playing,\I will make the costume for you for sure!\To' Tomoyo-chan'\You don't need to be so alert like that.\It will be very soon.\Let's get back to our seats.\Shao Lan? response:	What's wrong?
context: Whatever role you are playing,\I will make the costume for you for sure!\To' Tomoyo-chan'\You don't need to be so alert like that.\It will be very soon.\Let's get back to our seats.\Shao Lan?\What's wrong? response:	Mizuki-sensei said,
context: I will make the costume for you for sure!\To' Tomoyo-chan'\You don't need to be so alert like that.\It will be very soon.\Let's get back to our seats.\Shao Lan?\What's wrong?\Mizuki-sensei said, response:	'It will be very soon.'
context: To' Tomoyo-chan'\You don't need to be so alert like that.\It will be very soon.\Let's get back to our seats.\Shao Lan?\What's wrong?\Mizuki-sensei said,\'It will be very soon.' response:	What will be?
context: You don't need to be so alert like that.\It will be very soon.\Let's get back to our seats.\Shao Lan?\What's wrong?\Mizuki-sensei said,\'It will be very soon.'\What will be? response:	I don't know.
context: It will be very soon.\Let's get back to our seats.\Shao Lan?\What's wrong?\Mizuki-sensei said,\'It will be very soon.'\What will be?\I don't know. response:	But she does have something in her mind after all.
context: Let's get back to our seats.\Shao Lan?\What's wrong?\Mizuki-sensei said,\'It will be very soon.'\What will be?\I don't know.\But she does have something in her mind after all. response:	Okay, let's reveal the results!
context: Shao Lan?\What's wrong?\Mizuki-sensei said,\'It will be very soon.'\What will be?\I don't know.\But she does have something in her mind after all.\Okay, let's reveal the results! response:	Sleeping Beauty is the story
context: What's wrong?\Mizuki-sensei said,\'It will be very soon.'\What will be?\I don't know.\But she does have something in her mind after all.\Okay, let's reveal the results!\Sleeping Beauty is the story response:	of a sleeping princess' who was woken up
context: Mizuki-sensei said,\'It will be very soon.'\What will be?\I don't know.\But she does have something in her mind after all.\Okay, let's reveal the results!\Sleeping Beauty is the story\of a sleeping princess' who was woken up response:	by the kiss of a prince, right?
context: 'It will be very soon.'\What will be?\I don't know.\But she does have something in her mind after all.\Okay, let's reveal the results!\Sleeping Beauty is the story\of a sleeping princess' who was woken up\by the kiss of a prince, right? response:	That is correct.
context: What will be?\I don't know.\But she does have something in her mind after all.\Okay, let's reveal the results!\Sleeping Beauty is the story\of a sleeping princess' who was woken up\by the kiss of a prince, right?\That is correct. response:	Then if I get to play the Princess,
context: I don't know.\But she does have something in her mind after all.\Okay, let's reveal the results!\Sleeping Beauty is the story\of a sleeping princess' who was woken up\by the kiss of a prince, right?\That is correct.\Then if I get to play the Princess, response:	and Shao Lang gets to play the Prince'
context: But she does have something in her mind after all.\Okay, let's reveal the results!\Sleeping Beauty is the story\of a sleeping princess' who was woken up\by the kiss of a prince, right?\That is correct.\Then if I get to play the Princess,\and Shao Lang gets to play the Prince' response:	Oh, what a beautiful Princess!
context: Okay, let's reveal the results!\Sleeping Beauty is the story\of a sleeping princess' who was woken up\by the kiss of a prince, right?\That is correct.\Then if I get to play the Princess,\and Shao Lang gets to play the Prince'\Oh, what a beautiful Princess! response:	I will wake her with my kiss'
context: Sleeping Beauty is the story\of a sleeping princess' who was woken up\by the kiss of a prince, right?\That is correct.\Then if I get to play the Princess,\and Shao Lang gets to play the Prince'\Oh, what a beautiful Princess!\I will wake her with my kiss' response:	Oh my!
context: of a sleeping princess' who was woken up\by the kiss of a prince, right?\That is correct.\Then if I get to play the Princess,\and Shao Lang gets to play the Prince'\Oh, what a beautiful Princess!\I will wake her with my kiss'\Oh my! response:	I don't wanna be the Prince.
context: by the kiss of a prince, right?\That is correct.\Then if I get to play the Princess,\and Shao Lang gets to play the Prince'\Oh, what a beautiful Princess!\I will wake her with my kiss'\Oh my!\I don't wanna be the Prince. response:	Let's see'
context: That is correct.\Then if I get to play the Princess,\and Shao Lang gets to play the Prince'\Oh, what a beautiful Princess!\I will wake her with my kiss'\Oh my!\I don't wanna be the Prince.\Let's see' response:	The Princess and the Prince are'
context: Then if I get to play the Princess,\and Shao Lang gets to play the Prince'\Oh, what a beautiful Princess!\I will wake her with my kiss'\Oh my!\I don't wanna be the Prince.\Let's see'\The Princess and the Prince are' response:	You're playing the Prince?
context: and Shao Lang gets to play the Prince'\Oh, what a beautiful Princess!\I will wake her with my kiss'\Oh my!\I don't wanna be the Prince.\Let's see'\The Princess and the Prince are'\You're playing the Prince? response:	I am sure you will play a very cute prince!
context: Oh, what a beautiful Princess!\I will wake her with my kiss'\Oh my!\I don't wanna be the Prince.\Let's see'\The Princess and the Prince are'\You're playing the Prince?\I am sure you will play a very cute prince! response:	I will ask the teachers
context: I will wake her with my kiss'\Oh my!\I don't wanna be the Prince.\Let's see'\The Princess and the Prince are'\You're playing the Prince?\I am sure you will play a very cute prince!\I will ask the teachers response:	to let me make your costume!
context: Oh my!\I don't wanna be the Prince.\Let's see'\The Princess and the Prince are'\You're playing the Prince?\I am sure you will play a very cute prince!\I will ask the teachers\to let me make your costume! response:	I am really looking forward to this!
context: I don't wanna be the Prince.\Let's see'\The Princess and the Prince are'\You're playing the Prince?\I am sure you will play a very cute prince!\I will ask the teachers\to let me make your costume!\I am really looking forward to this! response:	The play is the Sleeping Beauty, right?
context: Let's see'\The Princess and the Prince are'\You're playing the Prince?\I am sure you will play a very cute prince!\I will ask the teachers\to let me make your costume!\I am really looking forward to this!\The play is the Sleeping Beauty, right? response:	Then the main character is the Princess.
context: The Princess and the Prince are'\You're playing the Prince?\I am sure you will play a very cute prince!\I will ask the teachers\to let me make your costume!\I am really looking forward to this!\The play is the Sleeping Beauty, right?\Then the main character is the Princess. response:	Who is it?
context: You're playing the Prince?\I am sure you will play a very cute prince!\I will ask the teachers\to let me make your costume!\I am really looking forward to this!\The play is the Sleeping Beauty, right?\Then the main character is the Princess.\Who is it? response:	Li-kun'
context: I am sure you will play a very cute prince!\I will ask the teachers\to let me make your costume!\I am really looking forward to this!\The play is the Sleeping Beauty, right?\Then the main character is the Princess.\Who is it?\Li-kun' response:	What's up with that?!
context: I will ask the teachers\to let me make your costume!\I am really looking forward to this!\The play is the Sleeping Beauty, right?\Then the main character is the Princess.\Who is it?\Li-kun'\What's up with that?! response:	But it's all decided by amidakuji.
context: to let me make your costume!\I am really looking forward to this!\The play is the Sleeping Beauty, right?\Then the main character is the Princess.\Who is it?\Li-kun'\What's up with that?!\But it's all decided by amidakuji. response:	I will work hard on Li-kun's costume too!
context: I am really looking forward to this!\The play is the Sleeping Beauty, right?\Then the main character is the Princess.\Who is it?\Li-kun'\What's up with that?!\But it's all decided by amidakuji.\I will work hard on Li-kun's costume too! response:	Because he is Sakura-chan's co-star!
context: The play is the Sleeping Beauty, right?\Then the main character is the Princess.\Who is it?\Li-kun'\What's up with that?!\But it's all decided by amidakuji.\I will work hard on Li-kun's costume too!\Because he is Sakura-chan's co-star! response:	But now a girl plays a boy's role
context: Then the main character is the Princess.\Who is it?\Li-kun'\What's up with that?!\But it's all decided by amidakuji.\I will work hard on Li-kun's costume too!\Because he is Sakura-chan's co-star!\But now a girl plays a boy's role response:	and vice versa.
context: Who is it?\Li-kun'\What's up with that?!\But it's all decided by amidakuji.\I will work hard on Li-kun's costume too!\Because he is Sakura-chan's co-star!\But now a girl plays a boy's role\and vice versa. response:	Mizuki-sensei said everyone
context: Li-kun'\What's up with that?!\But it's all decided by amidakuji.\I will work hard on Li-kun's costume too!\Because he is Sakura-chan's co-star!\But now a girl plays a boy's role\and vice versa.\Mizuki-sensei said everyone response:	has a fair chance to play any role'
context: What's up with that?!\But it's all decided by amidakuji.\I will work hard on Li-kun's costume too!\Because he is Sakura-chan's co-star!\But now a girl plays a boy's role\and vice versa.\Mizuki-sensei said everyone\has a fair chance to play any role' response:	Mizuki-sensei?
context: But it's all decided by amidakuji.\I will work hard on Li-kun's costume too!\Because he is Sakura-chan's co-star!\But now a girl plays a boy's role\and vice versa.\Mizuki-sensei said everyone\has a fair chance to play any role'\Mizuki-sensei? response:	She appeared in what Dream showed you, didn't she?
context: I will work hard on Li-kun's costume too!\Because he is Sakura-chan's co-star!\But now a girl plays a boy's role\and vice versa.\Mizuki-sensei said everyone\has a fair chance to play any role'\Mizuki-sensei?\She appeared in what Dream showed you, didn't she? response:	Even that brat's alert around her.
context: Because he is Sakura-chan's co-star!\But now a girl plays a boy's role\and vice versa.\Mizuki-sensei said everyone\has a fair chance to play any role'\Mizuki-sensei?\She appeared in what Dream showed you, didn't she?\Even that brat's alert around her. response:	Who is she?
context: But now a girl plays a boy's role\and vice versa.\Mizuki-sensei said everyone\has a fair chance to play any role'\Mizuki-sensei?\She appeared in what Dream showed you, didn't she?\Even that brat's alert around her.\Who is she? response:	I'm sure I could sense power in her.
context: and vice versa.\Mizuki-sensei said everyone\has a fair chance to play any role'\Mizuki-sensei?\She appeared in what Dream showed you, didn't she?\Even that brat's alert around her.\Who is she?\I'm sure I could sense power in her. response:	She has something real
context: Mizuki-sensei said everyone\has a fair chance to play any role'\Mizuki-sensei?\She appeared in what Dream showed you, didn't she?\Even that brat's alert around her.\Who is she?\I'm sure I could sense power in her.\She has something real response:	powerful with her.
context: has a fair chance to play any role'\Mizuki-sensei?\She appeared in what Dream showed you, didn't she?\Even that brat's alert around her.\Who is she?\I'm sure I could sense power in her.\She has something real\powerful with her. response:	And so'
context: Mizuki-sensei?\She appeared in what Dream showed you, didn't she?\Even that brat's alert around her.\Who is she?\I'm sure I could sense power in her.\She has something real\powerful with her.\And so' response:	I'm going to the Literary Fest too.
context: She appeared in what Dream showed you, didn't she?\Even that brat's alert around her.\Who is she?\I'm sure I could sense power in her.\She has something real\powerful with her.\And so'\I'm going to the Literary Fest too. response:	What's that all about?!
context: Even that brat's alert around her.\Who is she?\I'm sure I could sense power in her.\She has something real\powerful with her.\And so'\I'm going to the Literary Fest too.\What's that all about?! response:	I'm going to check out that Mizuki-sensei
context: Who is she?\I'm sure I could sense power in her.\She has something real\powerful with her.\And so'\I'm going to the Literary Fest too.\What's that all about?!\I'm going to check out that Mizuki-sensei response:	and watch you in action!
context: I'm sure I could sense power in her.\She has something real\powerful with her.\And so'\I'm going to the Literary Fest too.\What's that all about?!\I'm going to check out that Mizuki-sensei\and watch you in action! response:	Kero-chan! You just wanna go to the fest, don't you?
context: She has something real\powerful with her.\And so'\I'm going to the Literary Fest too.\What's that all about?!\I'm going to check out that Mizuki-sensei\and watch you in action!\Kero-chan! You just wanna go to the fest, don't you? response:	That is so true!
context: powerful with her.\And so'\I'm going to the Literary Fest too.\What's that all about?!\I'm going to check out that Mizuki-sensei\and watch you in action!\Kero-chan! You just wanna go to the fest, don't you?\That is so true! response:	So it is.
context: And so'\I'm going to the Literary Fest too.\What's that all about?!\I'm going to check out that Mizuki-sensei\and watch you in action!\Kero-chan! You just wanna go to the fest, don't you?\That is so true!\So it is. response:	'I have this sword and courage in me!'
context: I'm going to the Literary Fest too.\What's that all about?!\I'm going to check out that Mizuki-sensei\and watch you in action!\Kero-chan! You just wanna go to the fest, don't you?\That is so true!\So it is.\'I have this sword and courage in me!' response:	'I promise'
context: What's that all about?!\I'm going to check out that Mizuki-sensei\and watch you in action!\Kero-chan! You just wanna go to the fest, don't you?\That is so true!\So it is.\'I have this sword and courage in me!'\'I promise' response:	'I will break the curse for the Princess!'
context: I'm going to check out that Mizuki-sensei\and watch you in action!\Kero-chan! You just wanna go to the fest, don't you?\That is so true!\So it is.\'I have this sword and courage in me!'\'I promise'\'I will break the curse for the Princess!' response:	This is so hard!
context: and watch you in action!\Kero-chan! You just wanna go to the fest, don't you?\That is so true!\So it is.\'I have this sword and courage in me!'\'I promise'\'I will break the curse for the Princess!'\This is so hard! response:	I wonder if I can do this right'
