context: Don't try to remember. response:	He doesn't
context: Don't try to remember.\He doesn't response:	think anything of me.
context: Don't try to remember.\He doesn't\think anything of me. response:	So I'm not going to see him anymore.
context: Don't try to remember.\He doesn't\think anything of me.\So I'm not going to see him anymore. response:	You're back, Nino-kun.
context: Don't try to remember.\He doesn't\think anything of me.\So I'm not going to see him anymore.\You're back, Nino-kun. response:	Dad.
context: Don't try to remember.\He doesn't\think anything of me.\So I'm not going to see him anymore.\You're back, Nino-kun.\Dad. response:	I told you to stop calling me that. It creeps me out.
context: Don't try to remember.\He doesn't\think anything of me.\So I'm not going to see him anymore.\You're back, Nino-kun.\Dad.\I told you to stop calling me that. It creeps me out. response:	Sorry about that, Nino.
context: Don't try to remember.\He doesn't\think anything of me.\So I'm not going to see him anymore.\You're back, Nino-kun.\Dad.\I told you to stop calling me that. It creeps me out.\Sorry about that, Nino. response:	I just received word that you all passed the exams.
context: He doesn't\think anything of me.\So I'm not going to see him anymore.\You're back, Nino-kun.\Dad.\I told you to stop calling me that. It creeps me out.\Sorry about that, Nino.\I just received word that you all passed the exams. response:	The six of you managed to pull it off.
context: think anything of me.\So I'm not going to see him anymore.\You're back, Nino-kun.\Dad.\I told you to stop calling me that. It creeps me out.\Sorry about that, Nino.\I just received word that you all passed the exams.\The six of you managed to pull it off. response:	Congratulations.
context: So I'm not going to see him anymore.\You're back, Nino-kun.\Dad.\I told you to stop calling me that. It creeps me out.\Sorry about that, Nino.\I just received word that you all passed the exams.\The six of you managed to pull it off.\Congratulations. response:	Th-Thanks.
context: You're back, Nino-kun.\Dad.\I told you to stop calling me that. It creeps me out.\Sorry about that, Nino.\I just received word that you all passed the exams.\The six of you managed to pull it off.\Congratulations.\Th-Thanks. response:	It seems I have no choice but to approve of Uesugi-kun.
context: Dad.\I told you to stop calling me that. It creeps me out.\Sorry about that, Nino.\I just received word that you all passed the exams.\The six of you managed to pull it off.\Congratulations.\Th-Thanks.\It seems I have no choice but to approve of Uesugi-kun. response:	So from tomorrow on, he can come here to...
context: I told you to stop calling me that. It creeps me out.\Sorry about that, Nino.\I just received word that you all passed the exams.\The six of you managed to pull it off.\Congratulations.\Th-Thanks.\It seems I have no choice but to approve of Uesugi-kun.\So from tomorrow on, he can come here to... response:	I'm not going to see him anymore.
context: Sorry about that, Nino.\I just received word that you all passed the exams.\The six of you managed to pull it off.\Congratulations.\Th-Thanks.\It seems I have no choice but to approve of Uesugi-kun.\So from tomorrow on, he can come here to...\I'm not going to see him anymore. response:	Also, we've decided to stay at our new place for a while longer.
context: I just received word that you all passed the exams.\The six of you managed to pull it off.\Congratulations.\Th-Thanks.\It seems I have no choice but to approve of Uesugi-kun.\So from tomorrow on, he can come here to...\I'm not going to see him anymore.\Also, we've decided to stay at our new place for a while longer. response:	What did you say?
context: The six of you managed to pull it off.\Congratulations.\Th-Thanks.\It seems I have no choice but to approve of Uesugi-kun.\So from tomorrow on, he can come here to...\I'm not going to see him anymore.\Also, we've decided to stay at our new place for a while longer.\What did you say? response:	We're not going to make Ichika do all the work, of course.
context: Congratulations.\Th-Thanks.\It seems I have no choice but to approve of Uesugi-kun.\So from tomorrow on, he can come here to...\I'm not going to see him anymore.\Also, we've decided to stay at our new place for a while longer.\What did you say?\We're not going to make Ichika do all the work, of course. response:	I'm going to get a job, too.
context: Th-Thanks.\It seems I have no choice but to approve of Uesugi-kun.\So from tomorrow on, he can come here to...\I'm not going to see him anymore.\Also, we've decided to stay at our new place for a while longer.\What did you say?\We're not going to make Ichika do all the work, of course.\I'm going to get a job, too. response:	I'm not going to pretend we've become independent or anything.
context: It seems I have no choice but to approve of Uesugi-kun.\So from tomorrow on, he can come here to...\I'm not going to see him anymore.\Also, we've decided to stay at our new place for a while longer.\What did you say?\We're not going to make Ichika do all the work, of course.\I'm going to get a job, too.\I'm not going to pretend we've become independent or anything. response:	I know we're not doing the right thing, either.
context: So from tomorrow on, he can come here to...\I'm not going to see him anymore.\Also, we've decided to stay at our new place for a while longer.\What did you say?\We're not going to make Ichika do all the work, of course.\I'm going to get a job, too.\I'm not going to pretend we've become independent or anything.\I know we're not doing the right thing, either. response:	But I have a feeling that living like that will change us.
context: I'm not going to see him anymore.\Also, we've decided to stay at our new place for a while longer.\What did you say?\We're not going to make Ichika do all the work, of course.\I'm going to get a job, too.\I'm not going to pretend we've become independent or anything.\I know we're not doing the right thing, either.\But I have a feeling that living like that will change us. response:	I feel like we've made some progress.
context: Also, we've decided to stay at our new place for a while longer.\What did you say?\We're not going to make Ichika do all the work, of course.\I'm going to get a job, too.\I'm not going to pretend we've become independent or anything.\I know we're not doing the right thing, either.\But I have a feeling that living like that will change us.\I feel like we've made some progress. response:	I fail to understand.
context: What did you say?\We're not going to make Ichika do all the work, of course.\I'm going to get a job, too.\I'm not going to pretend we've become independent or anything.\I know we're not doing the right thing, either.\But I have a feeling that living like that will change us.\I feel like we've made some progress.\I fail to understand. response:	Abstract ideas like progress couldn't be less convincing.
