context: Nao? response:	Good morning, Yuki.
context: Nao?\Good morning, Yuki. response:	Clydesdale Platoon has returned from Mazuurek Landing Castle recon mission.
context: Nao?\Good morning, Yuki.\Clydesdale Platoon has returned from Mazuurek Landing Castle recon mission. response:	Roger that. Open well dock.
context: Nao?\Good morning, Yuki.\Clydesdale Platoon has returned from Mazuurek Landing Castle recon mission.\Roger that. Open well dock. response:	Okay, all units have returned to base.
context: Nao?\Good morning, Yuki.\Clydesdale Platoon has returned from Mazuurek Landing Castle recon mission.\Roger that. Open well dock.\Okay, all units have returned to base. response:	Warrant Officer Kaizuka.
context: Nao?\Good morning, Yuki.\Clydesdale Platoon has returned from Mazuurek Landing Castle recon mission.\Roger that. Open well dock.\Okay, all units have returned to base.\Warrant Officer Kaizuka. response:	Yes?
context: Nao?\Good morning, Yuki.\Clydesdale Platoon has returned from Mazuurek Landing Castle recon mission.\Roger that. Open well dock.\Okay, all units have returned to base.\Warrant Officer Kaizuka.\Yes? response:	Come to the captain's quarters later. You've been requested.
context: Nao?\Good morning, Yuki.\Clydesdale Platoon has returned from Mazuurek Landing Castle recon mission.\Roger that. Open well dock.\Okay, all units have returned to base.\Warrant Officer Kaizuka.\Yes?\Come to the captain's quarters later. You've been requested. response:	Me?
context: Good morning, Yuki.\Clydesdale Platoon has returned from Mazuurek Landing Castle recon mission.\Roger that. Open well dock.\Okay, all units have returned to base.\Warrant Officer Kaizuka.\Yes?\Come to the captain's quarters later. You've been requested.\Me? response:	Yes, it has to do with the Deucalion.
context: Clydesdale Platoon has returned from Mazuurek Landing Castle recon mission.\Roger that. Open well dock.\Okay, all units have returned to base.\Warrant Officer Kaizuka.\Yes?\Come to the captain's quarters later. You've been requested.\Me?\Yes, it has to do with the Deucalion. response:	It's on its way back, apparently. To Earth.
context: Roger that. Open well dock.\Okay, all units have returned to base.\Warrant Officer Kaizuka.\Yes?\Come to the captain's quarters later. You've been requested.\Me?\Yes, it has to do with the Deucalion.\It's on its way back, apparently. To Earth. response:	Port Aden has been chosen as our return point.
context: Okay, all units have returned to base.\Warrant Officer Kaizuka.\Yes?\Come to the captain's quarters later. You've been requested.\Me?\Yes, it has to do with the Deucalion.\It's on its way back, apparently. To Earth.\Port Aden has been chosen as our return point. response:	Calculate our reentry time and report.
