context: And finally, I'll sprinkle on some herbs... response:	Yes, come in!
context: And finally, I'll sprinkle on some herbs...\Yes, come in! response:	Good morning, Shirayuki!
context: And finally, I'll sprinkle on some herbs...\Yes, come in!\Good morning, Shirayuki! response:	Here, I brought it over freshly baked.
context: And finally, I'll sprinkle on some herbs...\Yes, come in!\Good morning, Shirayuki!\Here, I brought it over freshly baked. response:	Oh, that looks delicious!
context: And finally, I'll sprinkle on some herbs...\Yes, come in!\Good morning, Shirayuki!\Here, I brought it over freshly baked.\Oh, that looks delicious! response:	I'll put it here.
context: And finally, I'll sprinkle on some herbs...\Yes, come in!\Good morning, Shirayuki!\Here, I brought it over freshly baked.\Oh, that looks delicious!\I'll put it here. response:	Mine is done, too.
context: And finally, I'll sprinkle on some herbs...\Yes, come in!\Good morning, Shirayuki!\Here, I brought it over freshly baked.\Oh, that looks delicious!\I'll put it here.\Mine is done, too. response:	Oh, that smells good! I'm sure I'll feel great after eating it!
context: And finally, I'll sprinkle on some herbs...\Yes, come in!\Good morning, Shirayuki!\Here, I brought it over freshly baked.\Oh, that looks delicious!\I'll put it here.\Mine is done, too.\Oh, that smells good! I'm sure I'll feel great after eating it! response:	Your skin will be smoother, too!
context: Yes, come in!\Good morning, Shirayuki!\Here, I brought it over freshly baked.\Oh, that looks delicious!\I'll put it here.\Mine is done, too.\Oh, that smells good! I'm sure I'll feel great after eating it!\Your skin will be smoother, too! response:	That'd be nice!
context: Good morning, Shirayuki!\Here, I brought it over freshly baked.\Oh, that looks delicious!\I'll put it here.\Mine is done, too.\Oh, that smells good! I'm sure I'll feel great after eating it!\Your skin will be smoother, too!\That'd be nice! response:	Are you getting used to living in Clarines?
context: Here, I brought it over freshly baked.\Oh, that looks delicious!\I'll put it here.\Mine is done, too.\Oh, that smells good! I'm sure I'll feel great after eating it!\Your skin will be smoother, too!\That'd be nice!\Are you getting used to living in Clarines? response:	Yes. I thought I'd start looking for a job today.
context: Oh, that looks delicious!\I'll put it here.\Mine is done, too.\Oh, that smells good! I'm sure I'll feel great after eating it!\Your skin will be smoother, too!\That'd be nice!\Are you getting used to living in Clarines?\Yes. I thought I'd start looking for a job today. response:	That's a good attitude.
context: I'll put it here.\Mine is done, too.\Oh, that smells good! I'm sure I'll feel great after eating it!\Your skin will be smoother, too!\That'd be nice!\Are you getting used to living in Clarines?\Yes. I thought I'd start looking for a job today.\That's a good attitude. response:	Those who don't work don't eat, right?
context: Mine is done, too.\Oh, that smells good! I'm sure I'll feel great after eating it!\Your skin will be smoother, too!\That'd be nice!\Are you getting used to living in Clarines?\Yes. I thought I'd start looking for a job today.\That's a good attitude.\Those who don't work don't eat, right? response:	Right!
context: Oh, that smells good! I'm sure I'll feel great after eating it!\Your skin will be smoother, too!\That'd be nice!\Are you getting used to living in Clarines?\Yes. I thought I'd start looking for a job today.\That's a good attitude.\Those who don't work don't eat, right?\Right! response:	Well, have a good day!
context: Your skin will be smoother, too!\That'd be nice!\Are you getting used to living in Clarines?\Yes. I thought I'd start looking for a job today.\That's a good attitude.\Those who don't work don't eat, right?\Right!\Well, have a good day! response:	Thank you!
context: That'd be nice!\Are you getting used to living in Clarines?\Yes. I thought I'd start looking for a job today.\That's a good attitude.\Those who don't work don't eat, right?\Right!\Well, have a good day!\Thank you! response:	This is the capital of the kingdom of Clarines, Wistal.
context: Are you getting used to living in Clarines?\Yes. I thought I'd start looking for a job today.\That's a good attitude.\Those who don't work don't eat, right?\Right!\Well, have a good day!\Thank you!\This is the capital of the kingdom of Clarines, Wistal. response:	Because of my unusual red hair,
context: Yes. I thought I'd start looking for a job today.\That's a good attitude.\Those who don't work don't eat, right?\Right!\Well, have a good day!\Thank you!\This is the capital of the kingdom of Clarines, Wistal.\Because of my unusual red hair, response:	the prince of Tanbarun wanted to force me to be his concubine,
context: That's a good attitude.\Those who don't work don't eat, right?\Right!\Well, have a good day!\Thank you!\This is the capital of the kingdom of Clarines, Wistal.\Because of my unusual red hair,\the prince of Tanbarun wanted to force me to be his concubine, response:	so I left the country where I was born and raised
context: Those who don't work don't eat, right?\Right!\Well, have a good day!\Thank you!\This is the capital of the kingdom of Clarines, Wistal.\Because of my unusual red hair,\the prince of Tanbarun wanted to force me to be his concubine,\so I left the country where I was born and raised response:	to start a new life by myself in this neighboring kingdom.
context: Right!\Well, have a good day!\Thank you!\This is the capital of the kingdom of Clarines, Wistal.\Because of my unusual red hair,\the prince of Tanbarun wanted to force me to be his concubine,\so I left the country where I was born and raised\to start a new life by myself in this neighboring kingdom. response:	I was about to go along with the flow of fate,
context: Well, have a good day!\Thank you!\This is the capital of the kingdom of Clarines, Wistal.\Because of my unusual red hair,\the prince of Tanbarun wanted to force me to be his concubine,\so I left the country where I was born and raised\to start a new life by myself in this neighboring kingdom.\I was about to go along with the flow of fate, response:	but Zen, the second prince of Clarines, lent me his strength.
context: Thank you!\This is the capital of the kingdom of Clarines, Wistal.\Because of my unusual red hair,\the prince of Tanbarun wanted to force me to be his concubine,\so I left the country where I was born and raised\to start a new life by myself in this neighboring kingdom.\I was about to go along with the flow of fate,\but Zen, the second prince of Clarines, lent me his strength. response:	This is the country I've settled in...
context: This is the capital of the kingdom of Clarines, Wistal.\Because of my unusual red hair,\the prince of Tanbarun wanted to force me to be his concubine,\so I left the country where I was born and raised\to start a new life by myself in this neighboring kingdom.\I was about to go along with the flow of fate,\but Zen, the second prince of Clarines, lent me his strength.\This is the country I've settled in... response:	The town I've settled in...
context: Because of my unusual red hair,\the prince of Tanbarun wanted to force me to be his concubine,\so I left the country where I was born and raised\to start a new life by myself in this neighboring kingdom.\I was about to go along with the flow of fate,\but Zen, the second prince of Clarines, lent me his strength.\This is the country I've settled in...\The town I've settled in... response:	The road I've settled on.
context: the prince of Tanbarun wanted to force me to be his concubine,\so I left the country where I was born and raised\to start a new life by myself in this neighboring kingdom.\I was about to go along with the flow of fate,\but Zen, the second prince of Clarines, lent me his strength.\This is the country I've settled in...\The town I've settled in...\The road I've settled on. response:	Episode 2: Following the Sound of Your Heart
context: so I left the country where I was born and raised\to start a new life by myself in this neighboring kingdom.\I was about to go along with the flow of fate,\but Zen, the second prince of Clarines, lent me his strength.\This is the country I've settled in...\The town I've settled in...\The road I've settled on.\Episode 2: Following the Sound of Your Heart response:	Gardener... painter... carriage repair factory worker...
context: to start a new life by myself in this neighboring kingdom.\I was about to go along with the flow of fate,\but Zen, the second prince of Clarines, lent me his strength.\This is the country I've settled in...\The town I've settled in...\The road I've settled on.\Episode 2: Following the Sound of Your Heart\Gardener... painter... carriage repair factory worker... response:	I don't see it...
context: I was about to go along with the flow of fate,\but Zen, the second prince of Clarines, lent me his strength.\This is the country I've settled in...\The town I've settled in...\The road I've settled on.\Episode 2: Following the Sound of Your Heart\Gardener... painter... carriage repair factory worker...\I don't see it... response:	For now...
context: but Zen, the second prince of Clarines, lent me his strength.\This is the country I've settled in...\The town I've settled in...\The road I've settled on.\Episode 2: Following the Sound of Your Heart\Gardener... painter... carriage repair factory worker...\I don't see it...\For now... response:	Herbalist?
context: This is the country I've settled in...\The town I've settled in...\The road I've settled on.\Episode 2: Following the Sound of Your Heart\Gardener... painter... carriage repair factory worker...\I don't see it...\For now...\Herbalist? response:	Yes, I'd like to work as an herbalist.
context: The town I've settled in...\The road I've settled on.\Episode 2: Following the Sound of Your Heart\Gardener... painter... carriage repair factory worker...\I don't see it...\For now...\Herbalist?\Yes, I'd like to work as an herbalist. response:	Hmm...
context: The road I've settled on.\Episode 2: Following the Sound of Your Heart\Gardener... painter... carriage repair factory worker...\I don't see it...\For now...\Herbalist?\Yes, I'd like to work as an herbalist.\Hmm... response:	Unfortunately, we don't need anyone right now.
context: Episode 2: Following the Sound of Your Heart\Gardener... painter... carriage repair factory worker...\I don't see it...\For now...\Herbalist?\Yes, I'd like to work as an herbalist.\Hmm...\Unfortunately, we don't need anyone right now. response:	However... you, huh?
context: Gardener... painter... carriage repair factory worker...\I don't see it...\For now...\Herbalist?\Yes, I'd like to work as an herbalist.\Hmm...\Unfortunately, we don't need anyone right now.\However... you, huh? response:	You can't judge based on looks.
context: I don't see it...\For now...\Herbalist?\Yes, I'd like to work as an herbalist.\Hmm...\Unfortunately, we don't need anyone right now.\However... you, huh?\You can't judge based on looks. response:	What would you do if your regular customer heard you?
context: For now...\Herbalist?\Yes, I'd like to work as an herbalist.\Hmm...\Unfortunately, we don't need anyone right now.\However... you, huh?\You can't judge based on looks.\What would you do if your regular customer heard you? response:	I know, I know.
context: Herbalist?\Yes, I'd like to work as an herbalist.\Hmm...\Unfortunately, we don't need anyone right now.\However... you, huh?\You can't judge based on looks.\What would you do if your regular customer heard you?\I know, I know. response:	Sorry'bout that.
context: Yes, I'd like to work as an herbalist.\Hmm...\Unfortunately, we don't need anyone right now.\However... you, huh?\You can't judge based on looks.\What would you do if your regular customer heard you?\I know, I know.\Sorry'bout that. response:	They have so many rare medicinal herbs that I can't get a hold of back home.
context: Hmm...\Unfortunately, we don't need anyone right now.\However... you, huh?\You can't judge based on looks.\What would you do if your regular customer heard you?\I know, I know.\Sorry'bout that.\They have so many rare medicinal herbs that I can't get a hold of back home. response:	Not only that, but they also have types that I've never seen before.
context: Unfortunately, we don't need anyone right now.\However... you, huh?\You can't judge based on looks.\What would you do if your regular customer heard you?\I know, I know.\Sorry'bout that.\They have so many rare medicinal herbs that I can't get a hold of back home.\Not only that, but they also have types that I've never seen before. response:	Thank you for waiting.
context: However... you, huh?\You can't judge based on looks.\What would you do if your regular customer heard you?\I know, I know.\Sorry'bout that.\They have so many rare medicinal herbs that I can't get a hold of back home.\Not only that, but they also have types that I've never seen before.\Thank you for waiting. response:	Is this what you were looking for?
context: You can't judge based on looks.\What would you do if your regular customer heard you?\I know, I know.\Sorry'bout that.\They have so many rare medicinal herbs that I can't get a hold of back home.\Not only that, but they also have types that I've never seen before.\Thank you for waiting.\Is this what you were looking for? response:	Is he your regular customer?
context: What would you do if your regular customer heard you?\I know, I know.\Sorry'bout that.\They have so many rare medicinal herbs that I can't get a hold of back home.\Not only that, but they also have types that I've never seen before.\Thank you for waiting.\Is this what you were looking for?\Is he your regular customer? response:	Yes, he's still young, but he's a respectable court herbalist.
context: I know, I know.\Sorry'bout that.\They have so many rare medicinal herbs that I can't get a hold of back home.\Not only that, but they also have types that I've never seen before.\Thank you for waiting.\Is this what you were looking for?\Is he your regular customer?\Yes, he's still young, but he's a respectable court herbalist. response:	Huh? Court...?
context: Sorry'bout that.\They have so many rare medicinal herbs that I can't get a hold of back home.\Not only that, but they also have types that I've never seen before.\Thank you for waiting.\Is this what you were looking for?\Is he your regular customer?\Yes, he's still young, but he's a respectable court herbalist.\Huh? Court...? response:	That's right, herbalist.
context: They have so many rare medicinal herbs that I can't get a hold of back home.\Not only that, but they also have types that I've never seen before.\Thank you for waiting.\Is this what you were looking for?\Is he your regular customer?\Yes, he's still young, but he's a respectable court herbalist.\Huh? Court...?\That's right, herbalist. response:	I'm sure you already know this,
context: Not only that, but they also have types that I've never seen before.\Thank you for waiting.\Is this what you were looking for?\Is he your regular customer?\Yes, he's still young, but he's a respectable court herbalist.\Huh? Court...?\That's right, herbalist.\I'm sure you already know this, response:	but only the most knowledgeable and skillful herbalists can become court herbalists.
context: Thank you for waiting.\Is this what you were looking for?\Is he your regular customer?\Yes, he's still young, but he's a respectable court herbalist.\Huh? Court...?\That's right, herbalist.\I'm sure you already know this,\but only the most knowledgeable and skillful herbalists can become court herbalists. response:	Clarines is a country with deep pockets that will support any talented persons.
context: Is this what you were looking for?\Is he your regular customer?\Yes, he's still young, but he's a respectable court herbalist.\Huh? Court...?\That's right, herbalist.\I'm sure you already know this,\but only the most knowledgeable and skillful herbalists can become court herbalists.\Clarines is a country with deep pockets that will support any talented persons. response:	That's amazing. Clarines is very advanced in the study of medicines.
context: Is he your regular customer?\Yes, he's still young, but he's a respectable court herbalist.\Huh? Court...?\That's right, herbalist.\I'm sure you already know this,\but only the most knowledgeable and skillful herbalists can become court herbalists.\Clarines is a country with deep pockets that will support any talented persons.\That's amazing. Clarines is very advanced in the study of medicines. response:	Here's information on becoming a court herbalist.
context: Yes, he's still young, but he's a respectable court herbalist.\Huh? Court...?\That's right, herbalist.\I'm sure you already know this,\but only the most knowledgeable and skillful herbalists can become court herbalists.\Clarines is a country with deep pockets that will support any talented persons.\That's amazing. Clarines is very advanced in the study of medicines.\Here's information on becoming a court herbalist. response:	If you pass the test that's held once a year,
context: Huh? Court...?\That's right, herbalist.\I'm sure you already know this,\but only the most knowledgeable and skillful herbalists can become court herbalists.\Clarines is a country with deep pockets that will support any talented persons.\That's amazing. Clarines is very advanced in the study of medicines.\Here's information on becoming a court herbalist.\If you pass the test that's held once a year, response:	you'll be able to work in Wistal Castle as an apprentice.
context: That's right, herbalist.\I'm sure you already know this,\but only the most knowledgeable and skillful herbalists can become court herbalists.\Clarines is a country with deep pockets that will support any talented persons.\That's amazing. Clarines is very advanced in the study of medicines.\Here's information on becoming a court herbalist.\If you pass the test that's held once a year,\you'll be able to work in Wistal Castle as an apprentice. response:	Oh, thanks for coming!
context: I'm sure you already know this,\but only the most knowledgeable and skillful herbalists can become court herbalists.\Clarines is a country with deep pockets that will support any talented persons.\That's amazing. Clarines is very advanced in the study of medicines.\Here's information on becoming a court herbalist.\If you pass the test that's held once a year,\you'll be able to work in Wistal Castle as an apprentice.\Oh, thanks for coming! response:	If you're an herbalist, why don't you try taking the test?
context: but only the most knowledgeable and skillful herbalists can become court herbalists.\Clarines is a country with deep pockets that will support any talented persons.\That's amazing. Clarines is very advanced in the study of medicines.\Here's information on becoming a court herbalist.\If you pass the test that's held once a year,\you'll be able to work in Wistal Castle as an apprentice.\Oh, thanks for coming!\If you're an herbalist, why don't you try taking the test? response:	Well, it is pretty difficult, though.
context: Clarines is a country with deep pockets that will support any talented persons.\That's amazing. Clarines is very advanced in the study of medicines.\Here's information on becoming a court herbalist.\If you pass the test that's held once a year,\you'll be able to work in Wistal Castle as an apprentice.\Oh, thanks for coming!\If you're an herbalist, why don't you try taking the test?\Well, it is pretty difficult, though. response:	Stop!
context: That's amazing. Clarines is very advanced in the study of medicines.\Here's information on becoming a court herbalist.\If you pass the test that's held once a year,\you'll be able to work in Wistal Castle as an apprentice.\Oh, thanks for coming!\If you're an herbalist, why don't you try taking the test?\Well, it is pretty difficult, though.\Stop! response:	Excuse me, I'm here to see Kiki or Mitsuhide from the royal guards...
context: Here's information on becoming a court herbalist.\If you pass the test that's held once a year,\you'll be able to work in Wistal Castle as an apprentice.\Oh, thanks for coming!\If you're an herbalist, why don't you try taking the test?\Well, it is pretty difficult, though.\Stop!\Excuse me, I'm here to see Kiki or Mitsuhide from the royal guards... response:	C-Could you be...?
context: If you pass the test that's held once a year,\you'll be able to work in Wistal Castle as an apprentice.\Oh, thanks for coming!\If you're an herbalist, why don't you try taking the test?\Well, it is pretty difficult, though.\Stop!\Excuse me, I'm here to see Kiki or Mitsuhide from the royal guards...\C-Could you be...? response:	My apologies. We have been informed that you are a guest of Prince Zen's.
context: you'll be able to work in Wistal Castle as an apprentice.\Oh, thanks for coming!\If you're an herbalist, why don't you try taking the test?\Well, it is pretty difficult, though.\Stop!\Excuse me, I'm here to see Kiki or Mitsuhide from the royal guards...\C-Could you be...?\My apologies. We have been informed that you are a guest of Prince Zen's. response:	Shirayuki!
context: Oh, thanks for coming!\If you're an herbalist, why don't you try taking the test?\Well, it is pretty difficult, though.\Stop!\Excuse me, I'm here to see Kiki or Mitsuhide from the royal guards...\C-Could you be...?\My apologies. We have been informed that you are a guest of Prince Zen's.\Shirayuki! response:	P-Prince Zen!
context: If you're an herbalist, why don't you try taking the test?\Well, it is pretty difficult, though.\Stop!\Excuse me, I'm here to see Kiki or Mitsuhide from the royal guards...\C-Could you be...?\My apologies. We have been informed that you are a guest of Prince Zen's.\Shirayuki!\P-Prince Zen! response:	U-Um... What are you doing, Zen?
context: Well, it is pretty difficult, though.\Stop!\Excuse me, I'm here to see Kiki or Mitsuhide from the royal guards...\C-Could you be...?\My apologies. We have been informed that you are a guest of Prince Zen's.\Shirayuki!\P-Prince Zen!\U-Um... What are you doing, Zen? response:	Just getting a little exercise.
context: Stop!\Excuse me, I'm here to see Kiki or Mitsuhide from the royal guards...\C-Could you be...?\My apologies. We have been informed that you are a guest of Prince Zen's.\Shirayuki!\P-Prince Zen!\U-Um... What are you doing, Zen?\Just getting a little exercise. response:	Can't have my body getting soft with all that deskwork I've been doing.
context: Excuse me, I'm here to see Kiki or Mitsuhide from the royal guards...\C-Could you be...?\My apologies. We have been informed that you are a guest of Prince Zen's.\Shirayuki!\P-Prince Zen!\U-Um... What are you doing, Zen?\Just getting a little exercise.\Can't have my body getting soft with all that deskwork I've been doing. response:	In other words, you snuck out when you were supposed to be doing deskwork?
context: C-Could you be...?\My apologies. We have been informed that you are a guest of Prince Zen's.\Shirayuki!\P-Prince Zen!\U-Um... What are you doing, Zen?\Just getting a little exercise.\Can't have my body getting soft with all that deskwork I've been doing.\In other words, you snuck out when you were supposed to be doing deskwork? response:	Yeah, well.
context: My apologies. We have been informed that you are a guest of Prince Zen's.\Shirayuki!\P-Prince Zen!\U-Um... What are you doing, Zen?\Just getting a little exercise.\Can't have my body getting soft with all that deskwork I've been doing.\In other words, you snuck out when you were supposed to be doing deskwork?\Yeah, well. response:	I hadn't seen your face in a while, either.
context: Shirayuki!\P-Prince Zen!\U-Um... What are you doing, Zen?\Just getting a little exercise.\Can't have my body getting soft with all that deskwork I've been doing.\In other words, you snuck out when you were supposed to be doing deskwork?\Yeah, well.\I hadn't seen your face in a while, either. response:	I could finally see you, Shirayuki.
context: P-Prince Zen!\U-Um... What are you doing, Zen?\Just getting a little exercise.\Can't have my body getting soft with all that deskwork I've been doing.\In other words, you snuck out when you were supposed to be doing deskwork?\Yeah, well.\I hadn't seen your face in a while, either.\I could finally see you, Shirayuki. response:	Prince Zen! Where are you?
context: U-Um... What are you doing, Zen?\Just getting a little exercise.\Can't have my body getting soft with all that deskwork I've been doing.\In other words, you snuck out when you were supposed to be doing deskwork?\Yeah, well.\I hadn't seen your face in a while, either.\I could finally see you, Shirayuki.\Prince Zen! Where are you? response:	You must've come here for a reason, right, Shirayuki?
context: Just getting a little exercise.\Can't have my body getting soft with all that deskwork I've been doing.\In other words, you snuck out when you were supposed to be doing deskwork?\Yeah, well.\I hadn't seen your face in a while, either.\I could finally see you, Shirayuki.\Prince Zen! Where are you?\You must've come here for a reason, right, Shirayuki? response:	Uh, yeah. You told me to tell you when I was going outside of town, right?
context: Can't have my body getting soft with all that deskwork I've been doing.\In other words, you snuck out when you were supposed to be doing deskwork?\Yeah, well.\I hadn't seen your face in a while, either.\I could finally see you, Shirayuki.\Prince Zen! Where are you?\You must've come here for a reason, right, Shirayuki?\Uh, yeah. You told me to tell you when I was going outside of town, right? response:	That's why-
