context: Ladies and gentlemen, good evening. response:	Death is nothing but a release, my friend once muttered to me.
context: Ladies and gentlemen, good evening.\Death is nothing but a release, my friend once muttered to me. response:	If death is a release, what is it that you wish to give to them?
context: Ladies and gentlemen, good evening.\Death is nothing but a release, my friend once muttered to me.\If death is a release, what is it that you wish to give to them? response:	My friend answered me succinctly.
context: Ladies and gentlemen, good evening.\Death is nothing but a release, my friend once muttered to me.\If death is a release, what is it that you wish to give to them?\My friend answered me succinctly. response:	I will give them eternal suffering and remorse.
context: Ladies and gentlemen, good evening.\Death is nothing but a release, my friend once muttered to me.\If death is a release, what is it that you wish to give to them?\My friend answered me succinctly.\I will give them eternal suffering and remorse. response:	Count, I'm done with running away.
context: Ladies and gentlemen, good evening.\Death is nothing but a release, my friend once muttered to me.\If death is a release, what is it that you wish to give to them?\My friend answered me succinctly.\I will give them eternal suffering and remorse.\Count, I'm done with running away. response:	I want to know the truth.
context: Ladies and gentlemen, good evening.\Death is nothing but a release, my friend once muttered to me.\If death is a release, what is it that you wish to give to them?\My friend answered me succinctly.\I will give them eternal suffering and remorse.\Count, I'm done with running away.\I want to know the truth. response:	Act 22: Counterattack
context: Ladies and gentlemen, good evening.\Death is nothing but a release, my friend once muttered to me.\If death is a release, what is it that you wish to give to them?\My friend answered me succinctly.\I will give them eternal suffering and remorse.\Count, I'm done with running away.\I want to know the truth.\Act 22: Counterattack response:	General... Are you certain that we are doing the right thing?
context: Death is nothing but a release, my friend once muttered to me.\If death is a release, what is it that you wish to give to them?\My friend answered me succinctly.\I will give them eternal suffering and remorse.\Count, I'm done with running away.\I want to know the truth.\Act 22: Counterattack\General... Are you certain that we are doing the right thing? response:	You must be afraid.
context: If death is a release, what is it that you wish to give to them?\My friend answered me succinctly.\I will give them eternal suffering and remorse.\Count, I'm done with running away.\I want to know the truth.\Act 22: Counterattack\General... Are you certain that we are doing the right thing?\You must be afraid. response:	There has never been such a thing as the truth!
context: My friend answered me succinctly.\I will give them eternal suffering and remorse.\Count, I'm done with running away.\I want to know the truth.\Act 22: Counterattack\General... Are you certain that we are doing the right thing?\You must be afraid.\There has never been such a thing as the truth! response:	The truth is something that you yourself create based on your own convictions.
context: I will give them eternal suffering and remorse.\Count, I'm done with running away.\I want to know the truth.\Act 22: Counterattack\General... Are you certain that we are doing the right thing?\You must be afraid.\There has never been such a thing as the truth!\The truth is something that you yourself create based on your own convictions. response:	Even if it means setting aside our conscience...
context: Count, I'm done with running away.\I want to know the truth.\Act 22: Counterattack\General... Are you certain that we are doing the right thing?\You must be afraid.\There has never been such a thing as the truth!\The truth is something that you yourself create based on your own convictions.\Even if it means setting aside our conscience... response:	People don't look at their conscience.
context: I want to know the truth.\Act 22: Counterattack\General... Are you certain that we are doing the right thing?\You must be afraid.\There has never been such a thing as the truth!\The truth is something that you yourself create based on your own convictions.\Even if it means setting aside our conscience...\People don't look at their conscience. response:	What they see is the truth that is standing there before them!
context: Act 22: Counterattack\General... Are you certain that we are doing the right thing?\You must be afraid.\There has never been such a thing as the truth!\The truth is something that you yourself create based on your own convictions.\Even if it means setting aside our conscience...\People don't look at their conscience.\What they see is the truth that is standing there before them! response:	It was the day before he... The day before Franz died.
context: General... Are you certain that we are doing the right thing?\You must be afraid.\There has never been such a thing as the truth!\The truth is something that you yourself create based on your own convictions.\Even if it means setting aside our conscience...\People don't look at their conscience.\What they see is the truth that is standing there before them!\It was the day before he... The day before Franz died. response:	That day, I walked all the way here after you confessed your plans to me,
context: You must be afraid.\There has never been such a thing as the truth!\The truth is something that you yourself create based on your own convictions.\Even if it means setting aside our conscience...\People don't look at their conscience.\What they see is the truth that is standing there before them!\It was the day before he... The day before Franz died.\That day, I walked all the way here after you confessed your plans to me, response:	I can still clearly remember how my tears wouldn't stop flowing...
context: There has never been such a thing as the truth!\The truth is something that you yourself create based on your own convictions.\Even if it means setting aside our conscience...\People don't look at their conscience.\What they see is the truth that is standing there before them!\It was the day before he... The day before Franz died.\That day, I walked all the way here after you confessed your plans to me,\I can still clearly remember how my tears wouldn't stop flowing... response:	Franz... Franz gave some parting words to me.
context: The truth is something that you yourself create based on your own convictions.\Even if it means setting aside our conscience...\People don't look at their conscience.\What they see is the truth that is standing there before them!\It was the day before he... The day before Franz died.\That day, I walked all the way here after you confessed your plans to me,\I can still clearly remember how my tears wouldn't stop flowing...\Franz... Franz gave some parting words to me. response:	He said to never hate anyone.
context: Even if it means setting aside our conscience...\People don't look at their conscience.\What they see is the truth that is standing there before them!\It was the day before he... The day before Franz died.\That day, I walked all the way here after you confessed your plans to me,\I can still clearly remember how my tears wouldn't stop flowing...\Franz... Franz gave some parting words to me.\He said to never hate anyone. response:	He said that feelings of love and feelings of hate...
context: People don't look at their conscience.\What they see is the truth that is standing there before them!\It was the day before he... The day before Franz died.\That day, I walked all the way here after you confessed your plans to me,\I can still clearly remember how my tears wouldn't stop flowing...\Franz... Franz gave some parting words to me.\He said to never hate anyone.\He said that feelings of love and feelings of hate... response:	Count, please tell me! Tell me everything!
context: What they see is the truth that is standing there before them!\It was the day before he... The day before Franz died.\That day, I walked all the way here after you confessed your plans to me,\I can still clearly remember how my tears wouldn't stop flowing...\Franz... Franz gave some parting words to me.\He said to never hate anyone.\He said that feelings of love and feelings of hate...\Count, please tell me! Tell me everything! response:	Congratulations!
context: It was the day before he... The day before Franz died.\That day, I walked all the way here after you confessed your plans to me,\I can still clearly remember how my tears wouldn't stop flowing...\Franz... Franz gave some parting words to me.\He said to never hate anyone.\He said that feelings of love and feelings of hate...\Count, please tell me! Tell me everything!\Congratulations! response:	A toast to Edmond's last night of bachelorhood!
context: That day, I walked all the way here after you confessed your plans to me,\I can still clearly remember how my tears wouldn't stop flowing...\Franz... Franz gave some parting words to me.\He said to never hate anyone.\He said that feelings of love and feelings of hate...\Count, please tell me! Tell me everything!\Congratulations!\A toast to Edmond's last night of bachelorhood! response:	Is Edmond Dantes in there?!
context: I can still clearly remember how my tears wouldn't stop flowing...\Franz... Franz gave some parting words to me.\He said to never hate anyone.\He said that feelings of love and feelings of hate...\Count, please tell me! Tell me everything!\Congratulations!\A toast to Edmond's last night of bachelorhood!\Is Edmond Dantes in there?! response:	Madame.
context: Franz... Franz gave some parting words to me.\He said to never hate anyone.\He said that feelings of love and feelings of hate...\Count, please tell me! Tell me everything!\Congratulations!\A toast to Edmond's last night of bachelorhood!\Is Edmond Dantes in there?!\Madame. response:	We're here on General Morcerf's orders to collect you.
context: He said to never hate anyone.\He said that feelings of love and feelings of hate...\Count, please tell me! Tell me everything!\Congratulations!\A toast to Edmond's last night of bachelorhood!\Is Edmond Dantes in there?!\Madame.\We're here on General Morcerf's orders to collect you. response:	The General will soon be entering Paris. He will form an interim government,
context: He said that feelings of love and feelings of hate...\Count, please tell me! Tell me everything!\Congratulations!\A toast to Edmond's last night of bachelorhood!\Is Edmond Dantes in there?!\Madame.\We're here on General Morcerf's orders to collect you.\The General will soon be entering Paris. He will form an interim government, response:	Take me with you. Take me to see him.
