context: She should have gone this way. response:	Let's look over there.
context: She should have gone this way.\Let's look over there. response:	It seems they've left.
context: She should have gone this way.\Let's look over there.\It seems they've left. response:	What did you do?
context: She should have gone this way.\Let's look over there.\It seems they've left.\What did you do? response:	Yeah,
context: She should have gone this way.\Let's look over there.\It seems they've left.\What did you do?\Yeah, response:	and why do you
context: She should have gone this way.\Let's look over there.\It seems they've left.\What did you do?\Yeah,\and why do you response:	think I did something?
context: She should have gone this way.\Let's look over there.\It seems they've left.\What did you do?\Yeah,\and why do you\think I did something? response:	Serikyan!
context: She should have gone this way.\Let's look over there.\It seems they've left.\What did you do?\Yeah,\and why do you\think I did something?\Serikyan! response:	Hey, don't say that so loud.
context: Let's look over there.\It seems they've left.\What did you do?\Yeah,\and why do you\think I did something?\Serikyan!\Hey, don't say that so loud. response:	You know her, Nanami?
context: It seems they've left.\What did you do?\Yeah,\and why do you\think I did something?\Serikyan!\Hey, don't say that so loud.\You know her, Nanami? response:	You don't know Serikyan?
context: What did you do?\Yeah,\and why do you\think I did something?\Serikyan!\Hey, don't say that so loud.\You know her, Nanami?\You don't know Serikyan? response:	She's an idol on the national stage...
context: Yeah,\and why do you\think I did something?\Serikyan!\Hey, don't say that so loud.\You know her, Nanami?\You don't know Serikyan?\She's an idol on the national stage... response:	Ginyuuin Serika!
context: and why do you\think I did something?\Serikyan!\Hey, don't say that so loud.\You know her, Nanami?\You don't know Serikyan?\She's an idol on the national stage...\Ginyuuin Serika! response:	Huh?
context: think I did something?\Serikyan!\Hey, don't say that so loud.\You know her, Nanami?\You don't know Serikyan?\She's an idol on the national stage...\Ginyuuin Serika!\Huh? response:	Ginyuuin...
context: Serikyan!\Hey, don't say that so loud.\You know her, Nanami?\You don't know Serikyan?\She's an idol on the national stage...\Ginyuuin Serika!\Huh?\Ginyuuin... response:	If Her Flag Breaks
context: Hey, don't say that so loud.\You know her, Nanami?\You don't know Serikyan?\She's an idol on the national stage...\Ginyuuin Serika!\Huh?\Ginyuuin...\If Her Flag Breaks response:	Flag 11
context: You know her, Nanami?\You don't know Serikyan?\She's an idol on the national stage...\Ginyuuin Serika!\Huh?\Ginyuuin...\If Her Flag Breaks\Flag 11 response:	We Don't all Have to Dance. I can Dance by Myself
context: You don't know Serikyan?\She's an idol on the national stage...\Ginyuuin Serika!\Huh?\Ginyuuin...\If Her Flag Breaks\Flag 11\We Don't all Have to Dance. I can Dance by Myself response:	She's sold more than 10,000,000 CDs!
context: She's an idol on the national stage...\Ginyuuin Serika!\Huh?\Ginyuuin...\If Her Flag Breaks\Flag 11\We Don't all Have to Dance. I can Dance by Myself\She's sold more than 10,000,000 CDs! response:	Her photos make magazines sell five times better!
context: Ginyuuin Serika!\Huh?\Ginyuuin...\If Her Flag Breaks\Flag 11\We Don't all Have to Dance. I can Dance by Myself\She's sold more than 10,000,000 CDs!\Her photos make magazines sell five times better! response:	She's constantly on tons of different TV programs.
context: Huh?\Ginyuuin...\If Her Flag Breaks\Flag 11\We Don't all Have to Dance. I can Dance by Myself\She's sold more than 10,000,000 CDs!\Her photos make magazines sell five times better!\She's constantly on tons of different TV programs. response:	In just the last six months she's climbed to the top of the rankings.
context: Ginyuuin...\If Her Flag Breaks\Flag 11\We Don't all Have to Dance. I can Dance by Myself\She's sold more than 10,000,000 CDs!\Her photos make magazines sell five times better!\She's constantly on tons of different TV programs.\In just the last six months she's climbed to the top of the rankings. response:	She's easily the most famous idol right now.
context: If Her Flag Breaks\Flag 11\We Don't all Have to Dance. I can Dance by Myself\She's sold more than 10,000,000 CDs!\Her photos make magazines sell five times better!\She's constantly on tons of different TV programs.\In just the last six months she's climbed to the top of the rankings.\She's easily the most famous idol right now. response:	Her name: Serikyan!
context: Flag 11\We Don't all Have to Dance. I can Dance by Myself\She's sold more than 10,000,000 CDs!\Her photos make magazines sell five times better!\She's constantly on tons of different TV programs.\In just the last six months she's climbed to the top of the rankings.\She's easily the most famous idol right now.\Her name: Serikyan! response:	Sorry, I've never heard of her.
context: We Don't all Have to Dance. I can Dance by Myself\She's sold more than 10,000,000 CDs!\Her photos make magazines sell five times better!\She's constantly on tons of different TV programs.\In just the last six months she's climbed to the top of the rankings.\She's easily the most famous idol right now.\Her name: Serikyan!\Sorry, I've never heard of her. response:	Are you stupid?
context: She's sold more than 10,000,000 CDs!\Her photos make magazines sell five times better!\She's constantly on tons of different TV programs.\In just the last six months she's climbed to the top of the rankings.\She's easily the most famous idol right now.\Her name: Serikyan!\Sorry, I've never heard of her.\Are you stupid? response:	You've never heard of Serikyan?!
context: Her photos make magazines sell five times better!\She's constantly on tons of different TV programs.\In just the last six months she's climbed to the top of the rankings.\She's easily the most famous idol right now.\Her name: Serikyan!\Sorry, I've never heard of her.\Are you stupid?\You've never heard of Serikyan?! response:	Do you come from another world where they don't have TVs?
context: She's constantly on tons of different TV programs.\In just the last six months she's climbed to the top of the rankings.\She's easily the most famous idol right now.\Her name: Serikyan!\Sorry, I've never heard of her.\Are you stupid?\You've never heard of Serikyan?!\Do you come from another world where they don't have TVs? response:	Do you live with the elves? Are you an elf?!
context: In just the last six months she's climbed to the top of the rankings.\She's easily the most famous idol right now.\Her name: Serikyan!\Sorry, I've never heard of her.\Are you stupid?\You've never heard of Serikyan?!\Do you come from another world where they don't have TVs?\Do you live with the elves? Are you an elf?! response:	I guess I need to work on my popularity.
context: She's easily the most famous idol right now.\Her name: Serikyan!\Sorry, I've never heard of her.\Are you stupid?\You've never heard of Serikyan?!\Do you come from another world where they don't have TVs?\Do you live with the elves? Are you an elf?!\I guess I need to work on my popularity. response:	No, it's fine, Serikyan.
context: Her name: Serikyan!\Sorry, I've never heard of her.\Are you stupid?\You've never heard of Serikyan?!\Do you come from another world where they don't have TVs?\Do you live with the elves? Are you an elf?!\I guess I need to work on my popularity.\No, it's fine, Serikyan. response:	This guy's an elf and doesn't know anything.
context: Sorry, I've never heard of her.\Are you stupid?\You've never heard of Serikyan?!\Do you come from another world where they don't have TVs?\Do you live with the elves? Are you an elf?!\I guess I need to work on my popularity.\No, it's fine, Serikyan.\This guy's an elf and doesn't know anything. response:	Wait...
context: Are you stupid?\You've never heard of Serikyan?!\Do you come from another world where they don't have TVs?\Do you live with the elves? Are you an elf?!\I guess I need to work on my popularity.\No, it's fine, Serikyan.\This guy's an elf and doesn't know anything.\Wait... response:	Thanks for letting me borrow your uniform, Nanami-chin.
context: You've never heard of Serikyan?!\Do you come from another world where they don't have TVs?\Do you live with the elves? Are you an elf?!\I guess I need to work on my popularity.\No, it's fine, Serikyan.\This guy's an elf and doesn't know anything.\Wait...\Thanks for letting me borrow your uniform, Nanami-chin. response:	The uniforms are really cute.
context: Do you come from another world where they don't have TVs?\Do you live with the elves? Are you an elf?!\I guess I need to work on my popularity.\No, it's fine, Serikyan.\This guy's an elf and doesn't know anything.\Wait...\Thanks for letting me borrow your uniform, Nanami-chin.\The uniforms are really cute. response:	Serikyan in a school uniform is so great.
context: Do you live with the elves? Are you an elf?!\I guess I need to work on my popularity.\No, it's fine, Serikyan.\This guy's an elf and doesn't know anything.\Wait...\Thanks for letting me borrow your uniform, Nanami-chin.\The uniforms are really cute.\Serikyan in a school uniform is so great. response:	Yes, if you use that uniform to disguise yourself,
context: I guess I need to work on my popularity.\No, it's fine, Serikyan.\This guy's an elf and doesn't know anything.\Wait...\Thanks for letting me borrow your uniform, Nanami-chin.\The uniforms are really cute.\Serikyan in a school uniform is so great.\Yes, if you use that uniform to disguise yourself, response:	it should be more difficult for people to recognize you.
context: No, it's fine, Serikyan.\This guy's an elf and doesn't know anything.\Wait...\Thanks for letting me borrow your uniform, Nanami-chin.\The uniforms are really cute.\Serikyan in a school uniform is so great.\Yes, if you use that uniform to disguise yourself,\it should be more difficult for people to recognize you. response:	You know what you're doing, Nanami-chin!
context: This guy's an elf and doesn't know anything.\Wait...\Thanks for letting me borrow your uniform, Nanami-chin.\The uniforms are really cute.\Serikyan in a school uniform is so great.\Yes, if you use that uniform to disguise yourself,\it should be more difficult for people to recognize you.\You know what you're doing, Nanami-chin! response:	I'll give you a hug.
context: Wait...\Thanks for letting me borrow your uniform, Nanami-chin.\The uniforms are really cute.\Serikyan in a school uniform is so great.\Yes, if you use that uniform to disguise yourself,\it should be more difficult for people to recognize you.\You know what you're doing, Nanami-chin!\I'll give you a hug. response:	I've never seen this side of Nanami.
context: Thanks for letting me borrow your uniform, Nanami-chin.\The uniforms are really cute.\Serikyan in a school uniform is so great.\Yes, if you use that uniform to disguise yourself,\it should be more difficult for people to recognize you.\You know what you're doing, Nanami-chin!\I'll give you a hug.\I've never seen this side of Nanami. response:	I never would have thought you'd be so into idols.
context: The uniforms are really cute.\Serikyan in a school uniform is so great.\Yes, if you use that uniform to disguise yourself,\it should be more difficult for people to recognize you.\You know what you're doing, Nanami-chin!\I'll give you a hug.\I've never seen this side of Nanami.\I never would have thought you'd be so into idols. response:	I don't like idols.
context: Serikyan in a school uniform is so great.\Yes, if you use that uniform to disguise yourself,\it should be more difficult for people to recognize you.\You know what you're doing, Nanami-chin!\I'll give you a hug.\I've never seen this side of Nanami.\I never would have thought you'd be so into idols.\I don't like idols. response:	I like Serikyan!
context: Yes, if you use that uniform to disguise yourself,\it should be more difficult for people to recognize you.\You know what you're doing, Nanami-chin!\I'll give you a hug.\I've never seen this side of Nanami.\I never would have thought you'd be so into idols.\I don't like idols.\I like Serikyan! response:	So why is this Serikyan here anyway?
context: it should be more difficult for people to recognize you.\You know what you're doing, Nanami-chin!\I'll give you a hug.\I've never seen this side of Nanami.\I never would have thought you'd be so into idols.\I don't like idols.\I like Serikyan!\So why is this Serikyan here anyway? response:	You don't know anything, do you?
context: You know what you're doing, Nanami-chin!\I'll give you a hug.\I've never seen this side of Nanami.\I never would have thought you'd be so into idols.\I don't like idols.\I like Serikyan!\So why is this Serikyan here anyway?\You don't know anything, do you? response:	On the last day of the School Fair,
context: I'll give you a hug.\I've never seen this side of Nanami.\I never would have thought you'd be so into idols.\I don't like idols.\I like Serikyan!\So why is this Serikyan here anyway?\You don't know anything, do you?\On the last day of the School Fair, response:	there's a special Serikyan concert.
context: I've never seen this side of Nanami.\I never would have thought you'd be so into idols.\I don't like idols.\I like Serikyan!\So why is this Serikyan here anyway?\You don't know anything, do you?\On the last day of the School Fair,\there's a special Serikyan concert. response:	That's obviously why she's here.
context: I never would have thought you'd be so into idols.\I don't like idols.\I like Serikyan!\So why is this Serikyan here anyway?\You don't know anything, do you?\On the last day of the School Fair,\there's a special Serikyan concert.\That's obviously why she's here. response:	Wait...
context: I don't like idols.\I like Serikyan!\So why is this Serikyan here anyway?\You don't know anything, do you?\On the last day of the School Fair,\there's a special Serikyan concert.\That's obviously why she's here.\Wait... response:	Today isn't the last day.
context: I like Serikyan!\So why is this Serikyan here anyway?\You don't know anything, do you?\On the last day of the School Fair,\there's a special Serikyan concert.\That's obviously why she's here.\Wait...\Today isn't the last day. response:	Well, I wanted to take a look at the stage and such,
context: So why is this Serikyan here anyway?\You don't know anything, do you?\On the last day of the School Fair,\there's a special Serikyan concert.\That's obviously why she's here.\Wait...\Today isn't the last day.\Well, I wanted to take a look at the stage and such, response:	and you know, have some fun at the fair, maybe.
context: You don't know anything, do you?\On the last day of the School Fair,\there's a special Serikyan concert.\That's obviously why she's here.\Wait...\Today isn't the last day.\Well, I wanted to take a look at the stage and such,\and you know, have some fun at the fair, maybe. response:	Well, then, we'll just have to show you around the fair, then!
context: On the last day of the School Fair,\there's a special Serikyan concert.\That's obviously why she's here.\Wait...\Today isn't the last day.\Well, I wanted to take a look at the stage and such,\and you know, have some fun at the fair, maybe.\Well, then, we'll just have to show you around the fair, then! response:	Thank you, Nanami-chin!
context: there's a special Serikyan concert.\That's obviously why she's here.\Wait...\Today isn't the last day.\Well, I wanted to take a look at the stage and such,\and you know, have some fun at the fair, maybe.\Well, then, we'll just have to show you around the fair, then!\Thank you, Nanami-chin! response:	But aren't you on a date with your boyfriend?
context: That's obviously why she's here.\Wait...\Today isn't the last day.\Well, I wanted to take a look at the stage and such,\and you know, have some fun at the fair, maybe.\Well, then, we'll just have to show you around the fair, then!\Thank you, Nanami-chin!\But aren't you on a date with your boyfriend? response:	H-He's not my boyfriend.
context: Wait...\Today isn't the last day.\Well, I wanted to take a look at the stage and such,\and you know, have some fun at the fair, maybe.\Well, then, we'll just have to show you around the fair, then!\Thank you, Nanami-chin!\But aren't you on a date with your boyfriend?\H-He's not my boyfriend. response:	You're far more important to me
context: Today isn't the last day.\Well, I wanted to take a look at the stage and such,\and you know, have some fun at the fair, maybe.\Well, then, we'll just have to show you around the fair, then!\Thank you, Nanami-chin!\But aren't you on a date with your boyfriend?\H-He's not my boyfriend.\You're far more important to me response:	than this dark elf over here.
context: Well, I wanted to take a look at the stage and such,\and you know, have some fun at the fair, maybe.\Well, then, we'll just have to show you around the fair, then!\Thank you, Nanami-chin!\But aren't you on a date with your boyfriend?\H-He's not my boyfriend.\You're far more important to me\than this dark elf over here. response:	Now, let's go.
context: and you know, have some fun at the fair, maybe.\Well, then, we'll just have to show you around the fair, then!\Thank you, Nanami-chin!\But aren't you on a date with your boyfriend?\H-He's not my boyfriend.\You're far more important to me\than this dark elf over here.\Now, let's go. response:	Sure!
context: Well, then, we'll just have to show you around the fair, then!\Thank you, Nanami-chin!\But aren't you on a date with your boyfriend?\H-He's not my boyfriend.\You're far more important to me\than this dark elf over here.\Now, let's go.\Sure! response:	The bard from the fairy tale...
context: Thank you, Nanami-chin!\But aren't you on a date with your boyfriend?\H-He's not my boyfriend.\You're far more important to me\than this dark elf over here.\Now, let's go.\Sure!\The bard from the fairy tale... response:	I imagine that's her...
context: But aren't you on a date with your boyfriend?\H-He's not my boyfriend.\You're far more important to me\than this dark elf over here.\Now, let's go.\Sure!\The bard from the fairy tale...\I imagine that's her... response:	No use in worrying about it.
context: H-He's not my boyfriend.\You're far more important to me\than this dark elf over here.\Now, let's go.\Sure!\The bard from the fairy tale...\I imagine that's her...\No use in worrying about it. response:	I decided that I would have fun while I can.
context: You're far more important to me\than this dark elf over here.\Now, let's go.\Sure!\The bard from the fairy tale...\I imagine that's her...\No use in worrying about it.\I decided that I would have fun while I can. response:	What are you doing?
context: than this dark elf over here.\Now, let's go.\Sure!\The bard from the fairy tale...\I imagine that's her...\No use in worrying about it.\I decided that I would have fun while I can.\What are you doing? response:	Hurry up.
context: Now, let's go.\Sure!\The bard from the fairy tale...\I imagine that's her...\No use in worrying about it.\I decided that I would have fun while I can.\What are you doing?\Hurry up. response:	R-Right.
context: Sure!\The bard from the fairy tale...\I imagine that's her...\No use in worrying about it.\I decided that I would have fun while I can.\What are you doing?\Hurry up.\R-Right. response:	President!
context: The bard from the fairy tale...\I imagine that's her...\No use in worrying about it.\I decided that I would have fun while I can.\What are you doing?\Hurry up.\R-Right.\President! response:	I can't believe you.
context: I imagine that's her...\No use in worrying about it.\I decided that I would have fun while I can.\What are you doing?\Hurry up.\R-Right.\President!\I can't believe you. response:	How many girls are you leading on?
context: No use in worrying about it.\I decided that I would have fun while I can.\What are you doing?\Hurry up.\R-Right.\President!\I can't believe you.\How many girls are you leading on? response:	I'm not really...
context: I decided that I would have fun while I can.\What are you doing?\Hurry up.\R-Right.\President!\I can't believe you.\How many girls are you leading on?\I'm not really... response:	You were supposed to be on a date at the school fair with Nanami-chin,
context: What are you doing?\Hurry up.\R-Right.\President!\I can't believe you.\How many girls are you leading on?\I'm not really...\You were supposed to be on a date at the school fair with Nanami-chin, response:	but now you're flirting with other girls instead.
context: Hurry up.\R-Right.\President!\I can't believe you.\How many girls are you leading on?\I'm not really...\You were supposed to be on a date at the school fair with Nanami-chin,\but now you're flirting with other girls instead. response:	I feel bad for Nanami-chin!
context: R-Right.\President!\I can't believe you.\How many girls are you leading on?\I'm not really...\You were supposed to be on a date at the school fair with Nanami-chin,\but now you're flirting with other girls instead.\I feel bad for Nanami-chin! response:	It wasn't a date. It was more like I forced him,
context: President!\I can't believe you.\How many girls are you leading on?\I'm not really...\You were supposed to be on a date at the school fair with Nanami-chin,\but now you're flirting with other girls instead.\I feel bad for Nanami-chin!\It wasn't a date. It was more like I forced him, response:	but I'm glad you're concerned for me!
context: I can't believe you.\How many girls are you leading on?\I'm not really...\You were supposed to be on a date at the school fair with Nanami-chin,\but now you're flirting with other girls instead.\I feel bad for Nanami-chin!\It wasn't a date. It was more like I forced him,\but I'm glad you're concerned for me! response:	Serikyan!
context: How many girls are you leading on?\I'm not really...\You were supposed to be on a date at the school fair with Nanami-chin,\but now you're flirting with other girls instead.\I feel bad for Nanami-chin!\It wasn't a date. It was more like I forced him,\but I'm glad you're concerned for me!\Serikyan! response:	Nanami-chin!
context: I'm not really...\You were supposed to be on a date at the school fair with Nanami-chin,\but now you're flirting with other girls instead.\I feel bad for Nanami-chin!\It wasn't a date. It was more like I forced him,\but I'm glad you're concerned for me!\Serikyan!\Nanami-chin! response:	Uh...
context: You were supposed to be on a date at the school fair with Nanami-chin,\but now you're flirting with other girls instead.\I feel bad for Nanami-chin!\It wasn't a date. It was more like I forced him,\but I'm glad you're concerned for me!\Serikyan!\Nanami-chin!\Uh... response:	Hm?
context: but now you're flirting with other girls instead.\I feel bad for Nanami-chin!\It wasn't a date. It was more like I forced him,\but I'm glad you're concerned for me!\Serikyan!\Nanami-chin!\Uh...\Hm? response:	You wanted to see the stage you'll be performing on during the last day, right?
context: I feel bad for Nanami-chin!\It wasn't a date. It was more like I forced him,\but I'm glad you're concerned for me!\Serikyan!\Nanami-chin!\Uh...\Hm?\You wanted to see the stage you'll be performing on during the last day, right? response:	I think that's it.
context: It wasn't a date. It was more like I forced him,\but I'm glad you're concerned for me!\Serikyan!\Nanami-chin!\Uh...\Hm?\You wanted to see the stage you'll be performing on during the last day, right?\I think that's it. response:	You're a national idol,
context: but I'm glad you're concerned for me!\Serikyan!\Nanami-chin!\Uh...\Hm?\You wanted to see the stage you'll be performing on during the last day, right?\I think that's it.\You're a national idol, response:	so this might not be much,
context: Serikyan!\Nanami-chin!\Uh...\Hm?\You wanted to see the stage you'll be performing on during the last day, right?\I think that's it.\You're a national idol,\so this might not be much, response:	but we're all looking forward to your performance.
context: Nanami-chin!\Uh...\Hm?\You wanted to see the stage you'll be performing on during the last day, right?\I think that's it.\You're a national idol,\so this might not be much,\but we're all looking forward to your performance. response:	No, I like these local concerts.
context: Uh...\Hm?\You wanted to see the stage you'll be performing on during the last day, right?\I think that's it.\You're a national idol,\so this might not be much,\but we're all looking forward to your performance.\No, I like these local concerts. response:	The first concert I performed was at a school fair.
context: Hm?\You wanted to see the stage you'll be performing on during the last day, right?\I think that's it.\You're a national idol,\so this might not be much,\but we're all looking forward to your performance.\No, I like these local concerts.\The first concert I performed was at a school fair. response:	A school fair at my middle school...
context: You wanted to see the stage you'll be performing on during the last day, right?\I think that's it.\You're a national idol,\so this might not be much,\but we're all looking forward to your performance.\No, I like these local concerts.\The first concert I performed was at a school fair.\A school fair at my middle school... response:	We didn't have a stage,
context: I think that's it.\You're a national idol,\so this might not be much,\but we're all looking forward to your performance.\No, I like these local concerts.\The first concert I performed was at a school fair.\A school fair at my middle school...\We didn't have a stage, response:	so we just decorated the gym.
context: You're a national idol,\so this might not be much,\but we're all looking forward to your performance.\No, I like these local concerts.\The first concert I performed was at a school fair.\A school fair at my middle school...\We didn't have a stage,\so we just decorated the gym. response:	Ginyuuin Serika Idol Debut
context: so this might not be much,\but we're all looking forward to your performance.\No, I like these local concerts.\The first concert I performed was at a school fair.\A school fair at my middle school...\We didn't have a stage,\so we just decorated the gym.\Ginyuuin Serika Idol Debut response:	I had just debuted,
context: but we're all looking forward to your performance.\No, I like these local concerts.\The first concert I performed was at a school fair.\A school fair at my middle school...\We didn't have a stage,\so we just decorated the gym.\Ginyuuin Serika Idol Debut\I had just debuted, response:	and couldn't sing because I was so nervous.
context: No, I like these local concerts.\The first concert I performed was at a school fair.\A school fair at my middle school...\We didn't have a stage,\so we just decorated the gym.\Ginyuuin Serika Idol Debut\I had just debuted,\and couldn't sing because I was so nervous. response:	But my classmates
context: The first concert I performed was at a school fair.\A school fair at my middle school...\We didn't have a stage,\so we just decorated the gym.\Ginyuuin Serika Idol Debut\I had just debuted,\and couldn't sing because I was so nervous.\But my classmates response:	and my teachers cheered me on.
