context: Komachi's Present List response:	Book card Gift cards Large appliances.
context: Komachi's Present List\Book card Gift cards Large appliances. response:	Komachi's Present List!
context: Komachi's Present List\Book card Gift cards Large appliances.\Komachi's Present List! response:	A book card.
context: Komachi's Present List\Book card Gift cards Large appliances.\Komachi's Present List!\A book card. response:	Gift cards.
context: Komachi's Present List\Book card Gift cards Large appliances.\Komachi's Present List!\A book card.\Gift cards. response:	Large appliances.
context: Komachi's Present List\Book card Gift cards Large appliances.\Komachi's Present List!\A book card.\Gift cards.\Large appliances. response:	But what I want most of all is your happiness! Wow! I'd give myself tons and tons of points for that one!
context: Komachi's Present List\Book card Gift cards Large appliances.\Komachi's Present List!\A book card.\Gift cards.\Large appliances.\But what I want most of all is your happiness! Wow! I'd give myself tons and tons of points for that one! response:	But what I want most of all is your happiness!
context: Komachi's Present List\Book card Gift cards Large appliances.\Komachi's Present List!\A book card.\Gift cards.\Large appliances.\But what I want most of all is your happiness! Wow! I'd give myself tons and tons of points for that one!\But what I want most of all is your happiness! response:	Wow! I'd give myself tons and tons of points for that one!
context: Book card Gift cards Large appliances.\Komachi's Present List!\A book card.\Gift cards.\Large appliances.\But what I want most of all is your happiness! Wow! I'd give myself tons and tons of points for that one!\But what I want most of all is your happiness!\Wow! I'd give myself tons and tons of points for that one! response:	Also, we're out of detergent. Buy some on your way home.
context: Komachi's Present List!\A book card.\Gift cards.\Large appliances.\But what I want most of all is your happiness! Wow! I'd give myself tons and tons of points for that one!\But what I want most of all is your happiness!\Wow! I'd give myself tons and tons of points for that one!\Also, we're out of detergent. Buy some on your way home. response:	Also...
context: A book card.\Gift cards.\Large appliances.\But what I want most of all is your happiness! Wow! I'd give myself tons and tons of points for that one!\But what I want most of all is your happiness!\Wow! I'd give myself tons and tons of points for that one!\Also, we're out of detergent. Buy some on your way home.\Also... response:	We're out of detergent. Buy some on your way home.
context: Gift cards.\Large appliances.\But what I want most of all is your happiness! Wow! I'd give myself tons and tons of points for that one!\But what I want most of all is your happiness!\Wow! I'd give myself tons and tons of points for that one!\Also, we're out of detergent. Buy some on your way home.\Also...\We're out of detergent. Buy some on your way home. response:	Idiot...
context: Large appliances.\But what I want most of all is your happiness! Wow! I'd give myself tons and tons of points for that one!\But what I want most of all is your happiness!\Wow! I'd give myself tons and tons of points for that one!\Also, we're out of detergent. Buy some on your way home.\Also...\We're out of detergent. Buy some on your way home.\Idiot... response:	My Teen Romantic Comedy SNAFU TOO!
context: But what I want most of all is your happiness! Wow! I'd give myself tons and tons of points for that one!\But what I want most of all is your happiness!\Wow! I'd give myself tons and tons of points for that one!\Also, we're out of detergent. Buy some on your way home.\Also...\We're out of detergent. Buy some on your way home.\Idiot...\My Teen Romantic Comedy SNAFU TOO! response:	Komachi, don't study under the kotatsu.
context: But what I want most of all is your happiness!\Wow! I'd give myself tons and tons of points for that one!\Also, we're out of detergent. Buy some on your way home.\Also...\We're out of detergent. Buy some on your way home.\Idiot...\My Teen Romantic Comedy SNAFU TOO!\Komachi, don't study under the kotatsu. response:	It'll make you sleepy, and if you sleep under a kotatsu, you'll catch a cold.
context: Wow! I'd give myself tons and tons of points for that one!\Also, we're out of detergent. Buy some on your way home.\Also...\We're out of detergent. Buy some on your way home.\Idiot...\My Teen Romantic Comedy SNAFU TOO!\Komachi, don't study under the kotatsu.\It'll make you sleepy, and if you sleep under a kotatsu, you'll catch a cold. response:	These things ruin people.
context: Also, we're out of detergent. Buy some on your way home.\Also...\We're out of detergent. Buy some on your way home.\Idiot...\My Teen Romantic Comedy SNAFU TOO!\Komachi, don't study under the kotatsu.\It'll make you sleepy, and if you sleep under a kotatsu, you'll catch a cold.\These things ruin people. response:	You know, it doesn't help when you
context: Also...\We're out of detergent. Buy some on your way home.\Idiot...\My Teen Romantic Comedy SNAFU TOO!\Komachi, don't study under the kotatsu.\It'll make you sleepy, and if you sleep under a kotatsu, you'll catch a cold.\These things ruin people.\You know, it doesn't help when you response:	say that as you crawl under the kotatsu.
context: We're out of detergent. Buy some on your way home.\Idiot...\My Teen Romantic Comedy SNAFU TOO!\Komachi, don't study under the kotatsu.\It'll make you sleepy, and if you sleep under a kotatsu, you'll catch a cold.\These things ruin people.\You know, it doesn't help when you\say that as you crawl under the kotatsu. response:	By the way, Komachi-chan.
context: Idiot...\My Teen Romantic Comedy SNAFU TOO!\Komachi, don't study under the kotatsu.\It'll make you sleepy, and if you sleep under a kotatsu, you'll catch a cold.\These things ruin people.\You know, it doesn't help when you\say that as you crawl under the kotatsu.\By the way, Komachi-chan. response:	What might this be?
context: My Teen Romantic Comedy SNAFU TOO!\Komachi, don't study under the kotatsu.\It'll make you sleepy, and if you sleep under a kotatsu, you'll catch a cold.\These things ruin people.\You know, it doesn't help when you\say that as you crawl under the kotatsu.\By the way, Komachi-chan.\What might this be? response:	Huh? Just what it looks like.
context: Komachi, don't study under the kotatsu.\It'll make you sleepy, and if you sleep under a kotatsu, you'll catch a cold.\These things ruin people.\You know, it doesn't help when you\say that as you crawl under the kotatsu.\By the way, Komachi-chan.\What might this be?\Huh? Just what it looks like. response:	I see...
context: It'll make you sleepy, and if you sleep under a kotatsu, you'll catch a cold.\These things ruin people.\You know, it doesn't help when you\say that as you crawl under the kotatsu.\By the way, Komachi-chan.\What might this be?\Huh? Just what it looks like.\I see... response:	Does she seriously want large appliances?
context: These things ruin people.\You know, it doesn't help when you\say that as you crawl under the kotatsu.\By the way, Komachi-chan.\What might this be?\Huh? Just what it looks like.\I see...\Does she seriously want large appliances? response:	I know she's my own sister, but what the hell?
context: You know, it doesn't help when you\say that as you crawl under the kotatsu.\By the way, Komachi-chan.\What might this be?\Huh? Just what it looks like.\I see...\Does she seriously want large appliances?\I know she's my own sister, but what the hell? response:	Thanks.
context: say that as you crawl under the kotatsu.\By the way, Komachi-chan.\What might this be?\Huh? Just what it looks like.\I see...\Does she seriously want large appliances?\I know she's my own sister, but what the hell?\Thanks. response:	Oh, yeah. Mom said to order chicken.
context: By the way, Komachi-chan.\What might this be?\Huh? Just what it looks like.\I see...\Does she seriously want large appliances?\I know she's my own sister, but what the hell?\Thanks.\Oh, yeah. Mom said to order chicken. response:	Chicken?
context: What might this be?\Huh? Just what it looks like.\I see...\Does she seriously want large appliances?\I know she's my own sister, but what the hell?\Thanks.\Oh, yeah. Mom said to order chicken.\Chicken? response:	And cake.
context: Huh? Just what it looks like.\I see...\Does she seriously want large appliances?\I know she's my own sister, but what the hell?\Thanks.\Oh, yeah. Mom said to order chicken.\Chicken?\And cake. response:	Oh, that, huh?
context: I see...\Does she seriously want large appliances?\I know she's my own sister, but what the hell?\Thanks.\Oh, yeah. Mom said to order chicken.\Chicken?\And cake.\Oh, that, huh? response:	I told her I'd do that, but...
context: Does she seriously want large appliances?\I know she's my own sister, but what the hell?\Thanks.\Oh, yeah. Mom said to order chicken.\Chicken?\And cake.\Oh, that, huh?\I told her I'd do that, but... response:	Same thing every year.
context: I know she's my own sister, but what the hell?\Thanks.\Oh, yeah. Mom said to order chicken.\Chicken?\And cake.\Oh, that, huh?\I told her I'd do that, but...\Same thing every year. response:	It's that parental instinct thing.
context: Thanks.\Oh, yeah. Mom said to order chicken.\Chicken?\And cake.\Oh, that, huh?\I told her I'd do that, but...\Same thing every year.\It's that parental instinct thing. response:	Don't worry about it. Just work hard to get ready for entrance exams.
context: Oh, yeah. Mom said to order chicken.\Chicken?\And cake.\Oh, that, huh?\I told her I'd do that, but...\Same thing every year.\It's that parental instinct thing.\Don't worry about it. Just work hard to get ready for entrance exams. response:	Eh, when you put it that way...
