context: Wait! Wait! response:	Hey, now! You're going to fall if you keep running like that!
context: Wait! Wait!\Hey, now! You're going to fall if you keep running like that! response:	Are you okay, Onii-chan?
context: Wait! Wait!\Hey, now! You're going to fall if you keep running like that!\Are you okay, Onii-chan? response:	See? I told you.
context: Wait! Wait!\Hey, now! You're going to fall if you keep running like that!\Are you okay, Onii-chan?\See? I told you. response:	Come on, let me see.
context: Wait! Wait!\Hey, now! You're going to fall if you keep running like that!\Are you okay, Onii-chan?\See? I told you.\Come on, let me see. response:	Shige! Stop that!
context: Wait! Wait!\Hey, now! You're going to fall if you keep running like that!\Are you okay, Onii-chan?\See? I told you.\Come on, let me see.\Shige! Stop that! response:	What the heck?
context: Wait! Wait!\Hey, now! You're going to fall if you keep running like that!\Are you okay, Onii-chan?\See? I told you.\Come on, let me see.\Shige! Stop that!\What the heck? response:	(Get ready, wake your psyche up, MOB!)
context: Wait! Wait!\Hey, now! You're going to fall if you keep running like that!\Are you okay, Onii-chan?\See? I told you.\Come on, let me see.\Shige! Stop that!\What the heck?\(Get ready, wake your psyche up, MOB!) response:	(Get ready, dig your anger up, MOB!)
context: Hey, now! You're going to fall if you keep running like that!\Are you okay, Onii-chan?\See? I told you.\Come on, let me see.\Shige! Stop that!\What the heck?\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!) response:	(Get ready, wake your psyche up, MOB!)
context: Are you okay, Onii-chan?\See? I told you.\Come on, let me see.\Shige! Stop that!\What the heck?\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!) response:	(Get ready!)
context: See? I told you.\Come on, let me see.\Shige! Stop that!\What the heck?\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!) response:	Coming down, could you fill your satisfaction?
context: Come on, let me see.\Shige! Stop that!\What the heck?\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction? response:	You're a MOB. Can't you feel your own frustration?
context: Shige! Stop that!\What the heck?\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration? response:	Coming down, could you fill your satisfaction?
context: What the heck?\(Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction? response:	You're a MOB. What do you want to be?
context: (Get ready, wake your psyche up, MOB!)\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be? response:	Wear your overflowing emotions on your sleeve and break it down
context: (Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down response:	What do you see once you go beyond your limits?
context: (Get ready, wake your psyche up, MOB!)\(Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down\What do you see once you go beyond your limits? response:	(99.9! 99.9!)
context: (Get ready!)\Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down\What do you see once you go beyond your limits?\(99.9! 99.9!) response:	The mysterious percentage.
context: Coming down, could you fill your satisfaction?\You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage. response:	Cryin' my life, cryin' my psyche,
context: You're a MOB. Can't you feel your own frustration?\Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche, response:	cryin' my heart in such commonplaces!
