context: So we need your songs to response:	heal the Star Whale's sickness!
context: So we need your songs to\heal the Star Whale's sickness! response:	All right.
context: So we need your songs to\heal the Star Whale's sickness!\All right. response:	If that's the situation, I'll head there now.
context: So we need your songs to\heal the Star Whale's sickness!\All right.\If that's the situation, I'll head there now. response:	Will you be okay, too, Cou-sama?
context: So we need your songs to\heal the Star Whale's sickness!\All right.\If that's the situation, I'll head there now.\Will you be okay, too, Cou-sama? response:	Of course!
context: So we need your songs to\heal the Star Whale's sickness!\All right.\If that's the situation, I'll head there now.\Will you be okay, too, Cou-sama?\Of course! response:	We'll head up into the sky right away!
context: So we need your songs to\heal the Star Whale's sickness!\All right.\If that's the situation, I'll head there now.\Will you be okay, too, Cou-sama?\Of course!\We'll head up into the sky right away! response:	Okay, thanks!
context: So we need your songs to\heal the Star Whale's sickness!\All right.\If that's the situation, I'll head there now.\Will you be okay, too, Cou-sama?\Of course!\We'll head up into the sky right away!\Okay, thanks! response:	We'll come get you now.
context: heal the Star Whale's sickness!\All right.\If that's the situation, I'll head there now.\Will you be okay, too, Cou-sama?\Of course!\We'll head up into the sky right away!\Okay, thanks!\We'll come get you now. response:	There's no time, so let's meet in the sky.
context: All right.\If that's the situation, I'll head there now.\Will you be okay, too, Cou-sama?\Of course!\We'll head up into the sky right away!\Okay, thanks!\We'll come get you now.\There's no time, so let's meet in the sky. response:	Right!
context: If that's the situation, I'll head there now.\Will you be okay, too, Cou-sama?\Of course!\We'll head up into the sky right away!\Okay, thanks!\We'll come get you now.\There's no time, so let's meet in the sky.\Right! response:	Roger!
context: Will you be okay, too, Cou-sama?\Of course!\We'll head up into the sky right away!\Okay, thanks!\We'll come get you now.\There's no time, so let's meet in the sky.\Right!\Roger! response:	Let's meet up with the princesses and head back to the sky.
context: Of course!\We'll head up into the sky right away!\Okay, thanks!\We'll come get you now.\There's no time, so let's meet in the sky.\Right!\Roger!\Let's meet up with the princesses and head back to the sky. response:	I've got a bad feeling somehow.
context: We'll head up into the sky right away!\Okay, thanks!\We'll come get you now.\There's no time, so let's meet in the sky.\Right!\Roger!\Let's meet up with the princesses and head back to the sky.\I've got a bad feeling somehow. response:	Song of the Stars
context: Okay, thanks!\We'll come get you now.\There's no time, so let's meet in the sky.\Right!\Roger!\Let's meet up with the princesses and head back to the sky.\I've got a bad feeling somehow.\Song of the Stars response:	Aria...
context: We'll come get you now.\There's no time, so let's meet in the sky.\Right!\Roger!\Let's meet up with the princesses and head back to the sky.\I've got a bad feeling somehow.\Song of the Stars\Aria... response:	I'm sorry... oww.
context: There's no time, so let's meet in the sky.\Right!\Roger!\Let's meet up with the princesses and head back to the sky.\I've got a bad feeling somehow.\Song of the Stars\Aria...\I'm sorry... oww. response:	Sorry.
context: Right!\Roger!\Let's meet up with the princesses and head back to the sky.\I've got a bad feeling somehow.\Song of the Stars\Aria...\I'm sorry... oww.\Sorry. response:	This will hurt a bit.
context: Roger!\Let's meet up with the princesses and head back to the sky.\I've got a bad feeling somehow.\Song of the Stars\Aria...\I'm sorry... oww.\Sorry.\This will hurt a bit. response:	I was caught off guard.
context: Let's meet up with the princesses and head back to the sky.\I've got a bad feeling somehow.\Song of the Stars\Aria...\I'm sorry... oww.\Sorry.\This will hurt a bit.\I was caught off guard. response:	I'm sorry I couldn't do more.
context: I've got a bad feeling somehow.\Song of the Stars\Aria...\I'm sorry... oww.\Sorry.\This will hurt a bit.\I was caught off guard.\I'm sorry I couldn't do more. response:	Me, too... I couldn't do anything.
context: Song of the Stars\Aria...\I'm sorry... oww.\Sorry.\This will hurt a bit.\I was caught off guard.\I'm sorry I couldn't do more.\Me, too... I couldn't do anything. response:	They must be pretty good to do
context: Aria...\I'm sorry... oww.\Sorry.\This will hurt a bit.\I was caught off guard.\I'm sorry I couldn't do more.\Me, too... I couldn't do anything.\They must be pretty good to do response:	this much to Sharl and the chief.
context: I'm sorry... oww.\Sorry.\This will hurt a bit.\I was caught off guard.\I'm sorry I couldn't do more.\Me, too... I couldn't do anything.\They must be pretty good to do\this much to Sharl and the chief. response:	It looked like a kid.
context: Sorry.\This will hurt a bit.\I was caught off guard.\I'm sorry I couldn't do more.\Me, too... I couldn't do anything.\They must be pretty good to do\this much to Sharl and the chief.\It looked like a kid. response:	It had human form, but that wasn't human.
context: This will hurt a bit.\I was caught off guard.\I'm sorry I couldn't do more.\Me, too... I couldn't do anything.\They must be pretty good to do\this much to Sharl and the chief.\It looked like a kid.\It had human form, but that wasn't human. response:	It was a type of demon.
context: I was caught off guard.\I'm sorry I couldn't do more.\Me, too... I couldn't do anything.\They must be pretty good to do\this much to Sharl and the chief.\It looked like a kid.\It had human form, but that wasn't human.\It was a type of demon. response:	A humanoid demon.
context: I'm sorry I couldn't do more.\Me, too... I couldn't do anything.\They must be pretty good to do\this much to Sharl and the chief.\It looked like a kid.\It had human form, but that wasn't human.\It was a type of demon.\A humanoid demon. response:	Is there such a thing?
context: Me, too... I couldn't do anything.\They must be pretty good to do\this much to Sharl and the chief.\It looked like a kid.\It had human form, but that wasn't human.\It was a type of demon.\A humanoid demon.\Is there such a thing? response:	A disciple, yes?
context: They must be pretty good to do\this much to Sharl and the chief.\It looked like a kid.\It had human form, but that wasn't human.\It was a type of demon.\A humanoid demon.\Is there such a thing?\A disciple, yes? response:	Yes.
context: this much to Sharl and the chief.\It looked like a kid.\It had human form, but that wasn't human.\It was a type of demon.\A humanoid demon.\Is there such a thing?\A disciple, yes?\Yes. response:	Demons who took the form of
context: It looked like a kid.\It had human form, but that wasn't human.\It was a type of demon.\A humanoid demon.\Is there such a thing?\A disciple, yes?\Yes.\Demons who took the form of response:	humans existed in the distant past.
context: It had human form, but that wasn't human.\It was a type of demon.\A humanoid demon.\Is there such a thing?\A disciple, yes?\Yes.\Demons who took the form of\humans existed in the distant past. response:	They were highly intelligent, wielding power that
context: It was a type of demon.\A humanoid demon.\Is there such a thing?\A disciple, yes?\Yes.\Demons who took the form of\humans existed in the distant past.\They were highly intelligent, wielding power that response:	was a manifestation of greed and disaster.
context: A humanoid demon.\Is there such a thing?\A disciple, yes?\Yes.\Demons who took the form of\humans existed in the distant past.\They were highly intelligent, wielding power that\was a manifestation of greed and disaster. response:	That must be the Disciple of Illness.
