context: 'This is a weird feeling. response:	As if looking through a binocular,
context: 'This is a weird feeling.\As if looking through a binocular, response:	everything is small,' said Alice.
context: 'This is a weird feeling.\As if looking through a binocular,\everything is small,' said Alice. response:	That's right.
context: 'This is a weird feeling.\As if looking through a binocular,\everything is small,' said Alice.\That's right. response:	Alice who had become about 10 inches tall,
context: 'This is a weird feeling.\As if looking through a binocular,\everything is small,' said Alice.\That's right.\Alice who had become about 10 inches tall, response:	her face lit up
context: 'This is a weird feeling.\As if looking through a binocular,\everything is small,' said Alice.\That's right.\Alice who had become about 10 inches tall,\her face lit up response:	when she discovered than she can now walk through the small door
context: 'This is a weird feeling.\As if looking through a binocular,\everything is small,' said Alice.\That's right.\Alice who had become about 10 inches tall,\her face lit up\when she discovered than she can now walk through the small door response:	which leads her to a beautiful garden on the other side.
context: 'This is a weird feeling.\As if looking through a binocular,\everything is small,' said Alice.\That's right.\Alice who had become about 10 inches tall,\her face lit up\when she discovered than she can now walk through the small door\which leads her to a beautiful garden on the other side. response:	Shortly, from a distance
context: As if looking through a binocular,\everything is small,' said Alice.\That's right.\Alice who had become about 10 inches tall,\her face lit up\when she discovered than she can now walk through the small door\which leads her to a beautiful garden on the other side.\Shortly, from a distance response:	there were footsteps
context: everything is small,' said Alice.\That's right.\Alice who had become about 10 inches tall,\her face lit up\when she discovered than she can now walk through the small door\which leads her to a beautiful garden on the other side.\Shortly, from a distance\there were footsteps response:	which grabbed Alice's attention.
context: That's right.\Alice who had become about 10 inches tall,\her face lit up\when she discovered than she can now walk through the small door\which leads her to a beautiful garden on the other side.\Shortly, from a distance\there were footsteps\which grabbed Alice's attention. response:	There she found a white rabbit who was dressed up
context: Alice who had become about 10 inches tall,\her face lit up\when she discovered than she can now walk through the small door\which leads her to a beautiful garden on the other side.\Shortly, from a distance\there were footsteps\which grabbed Alice's attention.\There she found a white rabbit who was dressed up response:	with one hand in a white glove
context: her face lit up\when she discovered than she can now walk through the small door\which leads her to a beautiful garden on the other side.\Shortly, from a distance\there were footsteps\which grabbed Alice's attention.\There she found a white rabbit who was dressed up\with one hand in a white glove response:	and the other holding a large pocket watch,
