context: Felt-sama, thank you for gracing us with your presence. response:	Reinhard...
context: Felt-sama, thank you for gracing us with your presence.\Reinhard... response:	You bastard!
context: Felt-sama, thank you for gracing us with your presence.\Reinhard...\You bastard! response:	You dragged me here with no explanation, and what do you call all this?!
context: Felt-sama, thank you for gracing us with your presence.\Reinhard...\You bastard!\You dragged me here with no explanation, and what do you call all this?! response:	You surprised me...
context: Felt-sama, thank you for gracing us with your presence.\Reinhard...\You bastard!\You dragged me here with no explanation, and what do you call all this?!\You surprised me... response:	What's brought on such behavior?
context: Felt-sama, thank you for gracing us with your presence.\Reinhard...\You bastard!\You dragged me here with no explanation, and what do you call all this?!\You surprised me...\What's brought on such behavior? response:	Don't block my kick and ask me that, like nothing happened!
context: Felt-sama, thank you for gracing us with your presence.\Reinhard...\You bastard!\You dragged me here with no explanation, and what do you call all this?!\You surprised me...\What's brought on such behavior?\Don't block my kick and ask me that, like nothing happened! response:	I've had just about all I can take!
context: Felt-sama, thank you for gracing us with your presence.\Reinhard...\You bastard!\You dragged me here with no explanation, and what do you call all this?!\You surprised me...\What's brought on such behavior?\Don't block my kick and ask me that, like nothing happened!\I've had just about all I can take! response:	Does the dress not suit your taste?
context: Reinhard...\You bastard!\You dragged me here with no explanation, and what do you call all this?!\You surprised me...\What's brought on such behavior?\Don't block my kick and ask me that, like nothing happened!\I've had just about all I can take!\Does the dress not suit your taste? response:	It looks lovely on you.
context: You bastard!\You dragged me here with no explanation, and what do you call all this?!\You surprised me...\What's brought on such behavior?\Don't block my kick and ask me that, like nothing happened!\I've had just about all I can take!\Does the dress not suit your taste?\It looks lovely on you. response:	I'm not talking about the dress, and I'm not embarrassed!
context: You dragged me here with no explanation, and what do you call all this?!\You surprised me...\What's brought on such behavior?\Don't block my kick and ask me that, like nothing happened!\I've had just about all I can take!\Does the dress not suit your taste?\It looks lovely on you.\I'm not talking about the dress, and I'm not embarrassed! response:	That's the girl from...
context: You surprised me...\What's brought on such behavior?\Don't block my kick and ask me that, like nothing happened!\I've had just about all I can take!\Does the dress not suit your taste?\It looks lovely on you.\I'm not talking about the dress, and I'm not embarrassed!\That's the girl from... response:	I guess it isn't that easy to change someone at their core...
