context: - You may be dismissed. - Yes. response:	Fourth Brother?
context: - You may be dismissed. - Yes.\Fourth Brother? response:	You're here to grab a drink with Senior?
context: - You may be dismissed. - Yes.\Fourth Brother?\You're here to grab a drink with Senior? response:	I do often drink with your senior but this time, I'm here to visit my sister.
context: - You may be dismissed. - Yes.\Fourth Brother?\You're here to grab a drink with Senior?\I do often drink with your senior but this time, I'm here to visit my sister. response:	Thank you for your concern.
context: - You may be dismissed. - Yes.\Fourth Brother?\You're here to grab a drink with Senior?\I do often drink with your senior but this time, I'm here to visit my sister.\Thank you for your concern. response:	I just wanted to take a look at you.
context: - You may be dismissed. - Yes.\Fourth Brother?\You're here to grab a drink with Senior?\I do often drink with your senior but this time, I'm here to visit my sister.\Thank you for your concern.\I just wanted to take a look at you. response:	But now that I do see you...
context: - You may be dismissed. - Yes.\Fourth Brother?\You're here to grab a drink with Senior?\I do often drink with your senior but this time, I'm here to visit my sister.\Thank you for your concern.\I just wanted to take a look at you.\But now that I do see you... response:	Although your injuries are healed, why do you seem so strange?
context: - You may be dismissed. - Yes.\Fourth Brother?\You're here to grab a drink with Senior?\I do often drink with your senior but this time, I'm here to visit my sister.\Thank you for your concern.\I just wanted to take a look at you.\But now that I do see you...\Although your injuries are healed, why do you seem so strange? response:	You seem so drained and pale.
context: Fourth Brother?\You're here to grab a drink with Senior?\I do often drink with your senior but this time, I'm here to visit my sister.\Thank you for your concern.\I just wanted to take a look at you.\But now that I do see you...\Although your injuries are healed, why do you seem so strange?\You seem so drained and pale. response:	Could it be that you're not pleased about Mo Yuan's return?
context: You're here to grab a drink with Senior?\I do often drink with your senior but this time, I'm here to visit my sister.\Thank you for your concern.\I just wanted to take a look at you.\But now that I do see you...\Although your injuries are healed, why do you seem so strange?\You seem so drained and pale.\Could it be that you're not pleased about Mo Yuan's return? response:	I'm happy about it.
context: I do often drink with your senior but this time, I'm here to visit my sister.\Thank you for your concern.\I just wanted to take a look at you.\But now that I do see you...\Although your injuries are healed, why do you seem so strange?\You seem so drained and pale.\Could it be that you're not pleased about Mo Yuan's return?\I'm happy about it. response:	How could I not be happy?
context: Thank you for your concern.\I just wanted to take a look at you.\But now that I do see you...\Although your injuries are healed, why do you seem so strange?\You seem so drained and pale.\Could it be that you're not pleased about Mo Yuan's return?\I'm happy about it.\How could I not be happy? response:	Why do you look so distracted then?
context: I just wanted to take a look at you.\But now that I do see you...\Although your injuries are healed, why do you seem so strange?\You seem so drained and pale.\Could it be that you're not pleased about Mo Yuan's return?\I'm happy about it.\How could I not be happy?\Why do you look so distracted then? response:	Perhaps it is because I've used up
context: But now that I do see you...\Although your injuries are healed, why do you seem so strange?\You seem so drained and pale.\Could it be that you're not pleased about Mo Yuan's return?\I'm happy about it.\How could I not be happy?\Why do you look so distracted then?\Perhaps it is because I've used up response:	some of my magical powers and have yet to recover.
context: Although your injuries are healed, why do you seem so strange?\You seem so drained and pale.\Could it be that you're not pleased about Mo Yuan's return?\I'm happy about it.\How could I not be happy?\Why do you look so distracted then?\Perhaps it is because I've used up\some of my magical powers and have yet to recover. response:	All right, I'll tell you.
context: You seem so drained and pale.\Could it be that you're not pleased about Mo Yuan's return?\I'm happy about it.\How could I not be happy?\Why do you look so distracted then?\Perhaps it is because I've used up\some of my magical powers and have yet to recover.\All right, I'll tell you. response:	I'm mad at Ye Hua over a trivial matter involving Riceball.
context: Could it be that you're not pleased about Mo Yuan's return?\I'm happy about it.\How could I not be happy?\Why do you look so distracted then?\Perhaps it is because I've used up\some of my magical powers and have yet to recover.\All right, I'll tell you.\I'm mad at Ye Hua over a trivial matter involving Riceball. response:	Riceball only had two sips of fruit wine with me.
context: I'm happy about it.\How could I not be happy?\Why do you look so distracted then?\Perhaps it is because I've used up\some of my magical powers and have yet to recover.\All right, I'll tell you.\I'm mad at Ye Hua over a trivial matter involving Riceball.\Riceball only had two sips of fruit wine with me. response:	Who knew that he would be so bad at drinking?
context: How could I not be happy?\Why do you look so distracted then?\Perhaps it is because I've used up\some of my magical powers and have yet to recover.\All right, I'll tell you.\I'm mad at Ye Hua over a trivial matter involving Riceball.\Riceball only had two sips of fruit wine with me.\Who knew that he would be so bad at drinking? response:	He got drunk and slept for 14 or 15 hours.
context: Why do you look so distracted then?\Perhaps it is because I've used up\some of my magical powers and have yet to recover.\All right, I'll tell you.\I'm mad at Ye Hua over a trivial matter involving Riceball.\Riceball only had two sips of fruit wine with me.\Who knew that he would be so bad at drinking?\He got drunk and slept for 14 or 15 hours. response:	I didn't think that it was a serious matter
context: Perhaps it is because I've used up\some of my magical powers and have yet to recover.\All right, I'll tell you.\I'm mad at Ye Hua over a trivial matter involving Riceball.\Riceball only had two sips of fruit wine with me.\Who knew that he would be so bad at drinking?\He got drunk and slept for 14 or 15 hours.\I didn't think that it was a serious matter response:	but Ye Hua got angry.
context: some of my magical powers and have yet to recover.\All right, I'll tell you.\I'm mad at Ye Hua over a trivial matter involving Riceball.\Riceball only had two sips of fruit wine with me.\Who knew that he would be so bad at drinking?\He got drunk and slept for 14 or 15 hours.\I didn't think that it was a serious matter\but Ye Hua got angry. response:	He said that I didn't care for Riceball as I would for my own son.
context: All right, I'll tell you.\I'm mad at Ye Hua over a trivial matter involving Riceball.\Riceball only had two sips of fruit wine with me.\Who knew that he would be so bad at drinking?\He got drunk and slept for 14 or 15 hours.\I didn't think that it was a serious matter\but Ye Hua got angry.\He said that I didn't care for Riceball as I would for my own son. response:	I was too angry, so I said some mean words in a fit of rage.
context: I'm mad at Ye Hua over a trivial matter involving Riceball.\Riceball only had two sips of fruit wine with me.\Who knew that he would be so bad at drinking?\He got drunk and slept for 14 or 15 hours.\I didn't think that it was a serious matter\but Ye Hua got angry.\He said that I didn't care for Riceball as I would for my own son.\I was too angry, so I said some mean words in a fit of rage. response:	I told him to have his side consort look after his son
context: Riceball only had two sips of fruit wine with me.\Who knew that he would be so bad at drinking?\He got drunk and slept for 14 or 15 hours.\I didn't think that it was a serious matter\but Ye Hua got angry.\He said that I didn't care for Riceball as I would for my own son.\I was too angry, so I said some mean words in a fit of rage.\I told him to have his side consort look after his son response:	and stop coming to see me.
context: Who knew that he would be so bad at drinking?\He got drunk and slept for 14 or 15 hours.\I didn't think that it was a serious matter\but Ye Hua got angry.\He said that I didn't care for Riceball as I would for my own son.\I was too angry, so I said some mean words in a fit of rage.\I told him to have his side consort look after his son\and stop coming to see me. response:	A-Li is just a child.
context: He got drunk and slept for 14 or 15 hours.\I didn't think that it was a serious matter\but Ye Hua got angry.\He said that I didn't care for Riceball as I would for my own son.\I was too angry, so I said some mean words in a fit of rage.\I told him to have his side consort look after his son\and stop coming to see me.\A-Li is just a child. response:	You fed him so much wine
context: I didn't think that it was a serious matter\but Ye Hua got angry.\He said that I didn't care for Riceball as I would for my own son.\I was too angry, so I said some mean words in a fit of rage.\I told him to have his side consort look after his son\and stop coming to see me.\A-Li is just a child.\You fed him so much wine response:	that he got drunk and slept for 14 or 15 hours?
context: but Ye Hua got angry.\He said that I didn't care for Riceball as I would for my own son.\I was too angry, so I said some mean words in a fit of rage.\I told him to have his side consort look after his son\and stop coming to see me.\A-Li is just a child.\You fed him so much wine\that he got drunk and slept for 14 or 15 hours? response:	You didn't even send anyone to inform Ye Hua.
context: He said that I didn't care for Riceball as I would for my own son.\I was too angry, so I said some mean words in a fit of rage.\I told him to have his side consort look after his son\and stop coming to see me.\A-Li is just a child.\You fed him so much wine\that he got drunk and slept for 14 or 15 hours?\You didn't even send anyone to inform Ye Hua. response:	Then as the stepmother, you didn't say a word about where you were going.
context: I was too angry, so I said some mean words in a fit of rage.\I told him to have his side consort look after his son\and stop coming to see me.\A-Li is just a child.\You fed him so much wine\that he got drunk and slept for 14 or 15 hours?\You didn't even send anyone to inform Ye Hua.\Then as the stepmother, you didn't say a word about where you were going. response:	If he isn't angry at all, he must be quite something.
context: I told him to have his side consort look after his son\and stop coming to see me.\A-Li is just a child.\You fed him so much wine\that he got drunk and slept for 14 or 15 hours?\You didn't even send anyone to inform Ye Hua.\Then as the stepmother, you didn't say a word about where you were going.\If he isn't angry at all, he must be quite something. response:	Judging by your character, you usually brush it off as a joke.
context: and stop coming to see me.\A-Li is just a child.\You fed him so much wine\that he got drunk and slept for 14 or 15 hours?\You didn't even send anyone to inform Ye Hua.\Then as the stepmother, you didn't say a word about where you were going.\If he isn't angry at all, he must be quite something.\Judging by your character, you usually brush it off as a joke. response:	But this time, you've lost your poise
context: A-Li is just a child.\You fed him so much wine\that he got drunk and slept for 14 or 15 hours?\You didn't even send anyone to inform Ye Hua.\Then as the stepmother, you didn't say a word about where you were going.\If he isn't angry at all, he must be quite something.\Judging by your character, you usually brush it off as a joke.\But this time, you've lost your poise response:	and provoked him with that side consort of his.
context: You fed him so much wine\that he got drunk and slept for 14 or 15 hours?\You didn't even send anyone to inform Ye Hua.\Then as the stepmother, you didn't say a word about where you were going.\If he isn't angry at all, he must be quite something.\Judging by your character, you usually brush it off as a joke.\But this time, you've lost your poise\and provoked him with that side consort of his. response:	You're not acting like yourself.
context: that he got drunk and slept for 14 or 15 hours?\You didn't even send anyone to inform Ye Hua.\Then as the stepmother, you didn't say a word about where you were going.\If he isn't angry at all, he must be quite something.\Judging by your character, you usually brush it off as a joke.\But this time, you've lost your poise\and provoked him with that side consort of his.\You're not acting like yourself. response:	Are you jealous?
context: You didn't even send anyone to inform Ye Hua.\Then as the stepmother, you didn't say a word about where you were going.\If he isn't angry at all, he must be quite something.\Judging by your character, you usually brush it off as a joke.\But this time, you've lost your poise\and provoked him with that side consort of his.\You're not acting like yourself.\Are you jealous? response:	That's impossible.
context: Then as the stepmother, you didn't say a word about where you were going.\If he isn't angry at all, he must be quite something.\Judging by your character, you usually brush it off as a joke.\But this time, you've lost your poise\and provoked him with that side consort of his.\You're not acting like yourself.\Are you jealous?\That's impossible. response:	But...
