context: Just what are you...? response:	Where's Yin?
context: Just what are you...?\Where's Yin? response:	You're not Yin.
context: Just what are you...?\Where's Yin?\You're not Yin. response:	Where is she?
context: Just what are you...?\Where's Yin?\You're not Yin.\Where is she? response:	I'm...
context: Just what are you...?\Where's Yin?\You're not Yin.\Where is she?\I'm... response:	No! You're just an observation spirit!
context: Just what are you...?\Where's Yin?\You're not Yin.\Where is she?\I'm...\No! You're just an observation spirit! response:	Why do you say that?
context: Just what are you...?\Where's Yin?\You're not Yin.\Where is she?\I'm...\No! You're just an observation spirit!\Why do you say that? response:	You're the one who changed me.
context: Just what are you...?\Where's Yin?\You're not Yin.\Where is she?\I'm...\No! You're just an observation spirit!\Why do you say that?\You're the one who changed me. response:	The spirit?
context: Where's Yin?\You're not Yin.\Where is she?\I'm...\No! You're just an observation spirit!\Why do you say that?\You're the one who changed me.\The spirit? response:	It doesn't matter, does it?
context: You're not Yin.\Where is she?\I'm...\No! You're just an observation spirit!\Why do you say that?\You're the one who changed me.\The spirit?\It doesn't matter, does it? response:	Even if I'm like this?
context: Where is she?\I'm...\No! You're just an observation spirit!\Why do you say that?\You're the one who changed me.\The spirit?\It doesn't matter, does it?\Even if I'm like this? response:	Hei.
context: I'm...\No! You're just an observation spirit!\Why do you say that?\You're the one who changed me.\The spirit?\It doesn't matter, does it?\Even if I'm like this?\Hei. response:	Yin...
context: No! You're just an observation spirit!\Why do you say that?\You're the one who changed me.\The spirit?\It doesn't matter, does it?\Even if I'm like this?\Hei.\Yin... response:	I'm glad.
context: Why do you say that?\You're the one who changed me.\The spirit?\It doesn't matter, does it?\Even if I'm like this?\Hei.\Yin...\I'm glad. response:	Where is this?
context: You're the one who changed me.\The spirit?\It doesn't matter, does it?\Even if I'm like this?\Hei.\Yin...\I'm glad.\Where is this? response:	So you've come to.
context: The spirit?\It doesn't matter, does it?\Even if I'm like this?\Hei.\Yin...\I'm glad.\Where is this?\So you've come to. response:	You're...!
context: It doesn't matter, does it?\Even if I'm like this?\Hei.\Yin...\I'm glad.\Where is this?\So you've come to.\You're...! response:	He saved us.
context: Even if I'm like this?\Hei.\Yin...\I'm glad.\Where is this?\So you've come to.\You're...!\He saved us. response:	This way.
context: Hei.\Yin...\I'm glad.\Where is this?\So you've come to.\You're...!\He saved us.\This way. response:	Stop!
context: Yin...\I'm glad.\Where is this?\So you've come to.\You're...!\He saved us.\This way.\Stop! response:	Don't worry.
context: I'm glad.\Where is this?\So you've come to.\You're...!\He saved us.\This way.\Stop!\Don't worry. response:	If we wanted to kill you, we would've already done so.
context: Where is this?\So you've come to.\You're...!\He saved us.\This way.\Stop!\Don't worry.\If we wanted to kill you, we would've already done so. response:	We just want to talk to you two.
context: So you've come to.\You're...!\He saved us.\This way.\Stop!\Don't worry.\If we wanted to kill you, we would've already done so.\We just want to talk to you two. response:	Stay here.
context: You're...!\He saved us.\This way.\Stop!\Don't worry.\If we wanted to kill you, we would've already done so.\We just want to talk to you two.\Stay here. response:	Okay.
context: He saved us.\This way.\Stop!\Don't worry.\If we wanted to kill you, we would've already done so.\We just want to talk to you two.\Stay here.\Okay. response:	Come in.
context: This way.\Stop!\Don't worry.\If we wanted to kill you, we would've already done so.\We just want to talk to you two.\Stay here.\Okay.\Come in. response:	What do you want?
context: Stop!\Don't worry.\If we wanted to kill you, we would've already done so.\We just want to talk to you two.\Stay here.\Okay.\Come in.\What do you want? response:	Why did you save me?
context: Don't worry.\If we wanted to kill you, we would've already done so.\We just want to talk to you two.\Stay here.\Okay.\Come in.\What do you want?\Why did you save me? response:	We didn't exactly come to save you.
context: If we wanted to kill you, we would've already done so.\We just want to talk to you two.\Stay here.\Okay.\Come in.\What do you want?\Why did you save me?\We didn't exactly come to save you. response:	We just didn't want them, formerly of the Syndicate, to have that doll.
context: We just want to talk to you two.\Stay here.\Okay.\Come in.\What do you want?\Why did you save me?\We didn't exactly come to save you.\We just didn't want them, formerly of the Syndicate, to have that doll. response:	Formerly?
context: Stay here.\Okay.\Come in.\What do you want?\Why did you save me?\We didn't exactly come to save you.\We just didn't want them, formerly of the Syndicate, to have that doll.\Formerly? response:	The Syndicate no longer exists.
context: Okay.\Come in.\What do you want?\Why did you save me?\We didn't exactly come to save you.\We just didn't want them, formerly of the Syndicate, to have that doll.\Formerly?\The Syndicate no longer exists. response:	They are nothing but a mob trying to take claim to all the scattered powers.
context: Come in.\What do you want?\Why did you save me?\We didn't exactly come to save you.\We just didn't want them, formerly of the Syndicate, to have that doll.\Formerly?\The Syndicate no longer exists.\They are nothing but a mob trying to take claim to all the scattered powers. response:	The threat to contractors is now gone,
context: What do you want?\Why did you save me?\We didn't exactly come to save you.\We just didn't want them, formerly of the Syndicate, to have that doll.\Formerly?\The Syndicate no longer exists.\They are nothing but a mob trying to take claim to all the scattered powers.\The threat to contractors is now gone, response:	thanks to Amber giving her life so that you could choose the third option.
context: Why did you save me?\We didn't exactly come to save you.\We just didn't want them, formerly of the Syndicate, to have that doll.\Formerly?\The Syndicate no longer exists.\They are nothing but a mob trying to take claim to all the scattered powers.\The threat to contractors is now gone,\thanks to Amber giving her life so that you could choose the third option. response:	It may be hard to believe, but there are many here like you and me on the run from the Syndicate.
context: We didn't exactly come to save you.\We just didn't want them, formerly of the Syndicate, to have that doll.\Formerly?\The Syndicate no longer exists.\They are nothing but a mob trying to take claim to all the scattered powers.\The threat to contractors is now gone,\thanks to Amber giving her life so that you could choose the third option.\It may be hard to believe, but there are many here like you and me on the run from the Syndicate. response:	This is the truth.
context: We just didn't want them, formerly of the Syndicate, to have that doll.\Formerly?\The Syndicate no longer exists.\They are nothing but a mob trying to take claim to all the scattered powers.\The threat to contractors is now gone,\thanks to Amber giving her life so that you could choose the third option.\It may be hard to believe, but there are many here like you and me on the run from the Syndicate.\This is the truth. response:	Why are they after Yin?
context: Formerly?\The Syndicate no longer exists.\They are nothing but a mob trying to take claim to all the scattered powers.\The threat to contractors is now gone,\thanks to Amber giving her life so that you could choose the third option.\It may be hard to believe, but there are many here like you and me on the run from the Syndicate.\This is the truth.\Why are they after Yin? response:	She's a doll evolving at an unusually fast pace.
context: The Syndicate no longer exists.\They are nothing but a mob trying to take claim to all the scattered powers.\The threat to contractors is now gone,\thanks to Amber giving her life so that you could choose the third option.\It may be hard to believe, but there are many here like you and me on the run from the Syndicate.\This is the truth.\Why are they after Yin?\She's a doll evolving at an unusually fast pace. response:	There are those who wish to know the reason why, and it's not just them.
context: They are nothing but a mob trying to take claim to all the scattered powers.\The threat to contractors is now gone,\thanks to Amber giving her life so that you could choose the third option.\It may be hard to believe, but there are many here like you and me on the run from the Syndicate.\This is the truth.\Why are they after Yin?\She's a doll evolving at an unusually fast pace.\There are those who wish to know the reason why, and it's not just them. response:	And that includes me.
context: The threat to contractors is now gone,\thanks to Amber giving her life so that you could choose the third option.\It may be hard to believe, but there are many here like you and me on the run from the Syndicate.\This is the truth.\Why are they after Yin?\She's a doll evolving at an unusually fast pace.\There are those who wish to know the reason why, and it's not just them.\And that includes me. response:	And all the more reason to since it was predicted more than 50 years ago in books.
context: thanks to Amber giving her life so that you could choose the third option.\It may be hard to believe, but there are many here like you and me on the run from the Syndicate.\This is the truth.\Why are they after Yin?\She's a doll evolving at an unusually fast pace.\There are those who wish to know the reason why, and it's not just them.\And that includes me.\And all the more reason to since it was predicted more than 50 years ago in books. response:	What do you mean?
context: It may be hard to believe, but there are many here like you and me on the run from the Syndicate.\This is the truth.\Why are they after Yin?\She's a doll evolving at an unusually fast pace.\There are those who wish to know the reason why, and it's not just them.\And that includes me.\And all the more reason to since it was predicted more than 50 years ago in books.\What do you mean? response:	According to the books, a woman will awaken and obtain the power to change the world.
context: This is the truth.\Why are they after Yin?\She's a doll evolving at an unusually fast pace.\There are those who wish to know the reason why, and it's not just them.\And that includes me.\And all the more reason to since it was predicted more than 50 years ago in books.\What do you mean?\According to the books, a woman will awaken and obtain the power to change the world. response:	And what they want is that power.
