context: Hey. response:	Good morning, Haru.
context: Hey.\Good morning, Haru. response:	Shizuku, this house is haunted.
context: Hey.\Good morning, Haru.\Shizuku, this house is haunted. response:	Huh?
context: Hey.\Good morning, Haru.\Shizuku, this house is haunted.\Huh? response:	Something woke me up in the middle of the night.
context: Hey.\Good morning, Haru.\Shizuku, this house is haunted.\Huh?\Something woke me up in the middle of the night. response:	There was a kid standing by my bed,
context: Hey.\Good morning, Haru.\Shizuku, this house is haunted.\Huh?\Something woke me up in the middle of the night.\There was a kid standing by my bed, response:	just staring down at me.
context: Hey.\Good morning, Haru.\Shizuku, this house is haunted.\Huh?\Something woke me up in the middle of the night.\There was a kid standing by my bed,\just staring down at me. response:	Oh, that...
context: Hey.\Good morning, Haru.\Shizuku, this house is haunted.\Huh?\Something woke me up in the middle of the night.\There was a kid standing by my bed,\just staring down at me.\Oh, that... response:	That's my brother.
context: Good morning, Haru.\Shizuku, this house is haunted.\Huh?\Something woke me up in the middle of the night.\There was a kid standing by my bed,\just staring down at me.\Oh, that...\That's my brother. response:	Oh, I like my yolks broken.
context: Shizuku, this house is haunted.\Huh?\Something woke me up in the middle of the night.\There was a kid standing by my bed,\just staring down at me.\Oh, that...\That's my brother.\Oh, I like my yolks broken. response:	You don't look anything like Shizuku, Pops.
context: Huh?\Something woke me up in the middle of the night.\There was a kid standing by my bed,\just staring down at me.\Oh, that...\That's my brother.\Oh, I like my yolks broken.\You don't look anything like Shizuku, Pops. response:	Uh... How can you be so casual about this?
context: Something woke me up in the middle of the night.\There was a kid standing by my bed,\just staring down at me.\Oh, that...\That's my brother.\Oh, I like my yolks broken.\You don't look anything like Shizuku, Pops.\Uh... How can you be so casual about this? response:	Summer Break
context: There was a kid standing by my bed,\just staring down at me.\Oh, that...\That's my brother.\Oh, I like my yolks broken.\You don't look anything like Shizuku, Pops.\Uh... How can you be so casual about this?\Summer Break response:	Seriously?
context: just staring down at me.\Oh, that...\That's my brother.\Oh, I like my yolks broken.\You don't look anything like Shizuku, Pops.\Uh... How can you be so casual about this?\Summer Break\Seriously? response:	You have to take make-ups again?!
context: Oh, that...\That's my brother.\Oh, I like my yolks broken.\You don't look anything like Shizuku, Pops.\Uh... How can you be so casual about this?\Summer Break\Seriously?\You have to take make-ups again?! response:	Final Exam Scores Freshmen 1st Yoshida Haru 2nd Mizutani Shizuku 3rd Sawada Riku
