context: Let's go over safety before we hit the pool. response:	If you have a fever, haven't slept,
context: Let's go over safety before we hit the pool.\If you have a fever, haven't slept, response:	I feel like my eyes meet with my classmate's, Sugawara-kun's,
context: Let's go over safety before we hit the pool.\If you have a fever, haven't slept,\I feel like my eyes meet with my classmate's, Sugawara-kun's, response:	or if haven't had breakfast, let me know.
context: Let's go over safety before we hit the pool.\If you have a fever, haven't slept,\I feel like my eyes meet with my classmate's, Sugawara-kun's,\or if haven't had breakfast, let me know. response:	a lot during swimming class.
context: Let's go over safety before we hit the pool.\If you have a fever, haven't slept,\I feel like my eyes meet with my classmate's, Sugawara-kun's,\or if haven't had breakfast, let me know.\a lot during swimming class. response:	Is it just a coincidence?
context: Let's go over safety before we hit the pool.\If you have a fever, haven't slept,\I feel like my eyes meet with my classmate's, Sugawara-kun's,\or if haven't had breakfast, let me know.\a lot during swimming class.\Is it just a coincidence? response:	Gaze
context: Let's go over safety before we hit the pool.\If you have a fever, haven't slept,\I feel like my eyes meet with my classmate's, Sugawara-kun's,\or if haven't had breakfast, let me know.\a lot during swimming class.\Is it just a coincidence?\Gaze response:	Was he looking at me?
context: Let's go over safety before we hit the pool.\If you have a fever, haven't slept,\I feel like my eyes meet with my classmate's, Sugawara-kun's,\or if haven't had breakfast, let me know.\a lot during swimming class.\Is it just a coincidence?\Gaze\Was he looking at me? response:	Nah, there's no way he would be looking at me.
context: If you have a fever, haven't slept,\I feel like my eyes meet with my classmate's, Sugawara-kun's,\or if haven't had breakfast, let me know.\a lot during swimming class.\Is it just a coincidence?\Gaze\Was he looking at me?\Nah, there's no way he would be looking at me. response:	I can't help but glance at Takano
context: I feel like my eyes meet with my classmate's, Sugawara-kun's,\or if haven't had breakfast, let me know.\a lot during swimming class.\Is it just a coincidence?\Gaze\Was he looking at me?\Nah, there's no way he would be looking at me.\I can't help but glance at Takano response:	in her swimsuit during swimming class.
context: or if haven't had breakfast, let me know.\a lot during swimming class.\Is it just a coincidence?\Gaze\Was he looking at me?\Nah, there's no way he would be looking at me.\I can't help but glance at Takano\in her swimsuit during swimming class. response:	Our eyes even met just now.
context: a lot during swimming class.\Is it just a coincidence?\Gaze\Was he looking at me?\Nah, there's no way he would be looking at me.\I can't help but glance at Takano\in her swimsuit during swimming class.\Our eyes even met just now. response:	I need to stop, or she'll get creeped
context: Is it just a coincidence?\Gaze\Was he looking at me?\Nah, there's no way he would be looking at me.\I can't help but glance at Takano\in her swimsuit during swimming class.\Our eyes even met just now.\I need to stop, or she'll get creeped response:	Let's do warm-up exercises.
context: Gaze\Was he looking at me?\Nah, there's no way he would be looking at me.\I can't help but glance at Takano\in her swimsuit during swimming class.\Our eyes even met just now.\I need to stop, or she'll get creeped\Let's do warm-up exercises. response:	All right.
context: Was he looking at me?\Nah, there's no way he would be looking at me.\I can't help but glance at Takano\in her swimsuit during swimming class.\Our eyes even met just now.\I need to stop, or she'll get creeped\Let's do warm-up exercises.\All right. response:	One, two, three, four,
context: Nah, there's no way he would be looking at me.\I can't help but glance at Takano\in her swimsuit during swimming class.\Our eyes even met just now.\I need to stop, or she'll get creeped\Let's do warm-up exercises.\All right.\One, two, three, four, response:	five, six, seven, eight...
context: I can't help but glance at Takano\in her swimsuit during swimming class.\Our eyes even met just now.\I need to stop, or she'll get creeped\Let's do warm-up exercises.\All right.\One, two, three, four,\five, six, seven, eight... response:	But why do Sugawara-kun's and my eyes meet?
context: in her swimsuit during swimming class.\Our eyes even met just now.\I need to stop, or she'll get creeped\Let's do warm-up exercises.\All right.\One, two, three, four,\five, six, seven, eight...\But why do Sugawara-kun's and my eyes meet? response:	I wonder if he was looking at someone else.
context: Our eyes even met just now.\I need to stop, or she'll get creeped\Let's do warm-up exercises.\All right.\One, two, three, four,\five, six, seven, eight...\But why do Sugawara-kun's and my eyes meet?\I wonder if he was looking at someone else. response:	Crap, our eyes keep meeting.
context: I need to stop, or she'll get creeped\Let's do warm-up exercises.\All right.\One, two, three, four,\five, six, seven, eight...\But why do Sugawara-kun's and my eyes meet?\I wonder if he was looking at someone else.\Crap, our eyes keep meeting. response:	She knows I'm looking.
context: Let's do warm-up exercises.\All right.\One, two, three, four,\five, six, seven, eight...\But why do Sugawara-kun's and my eyes meet?\I wonder if he was looking at someone else.\Crap, our eyes keep meeting.\She knows I'm looking. response:	I guess I should say hi rather than pretend nothing happened.
context: All right.\One, two, three, four,\five, six, seven, eight...\But why do Sugawara-kun's and my eyes meet?\I wonder if he was looking at someone else.\Crap, our eyes keep meeting.\She knows I'm looking.\I guess I should say hi rather than pretend nothing happened. response:	I wonder who he just waved to.
context: One, two, three, four,\five, six, seven, eight...\But why do Sugawara-kun's and my eyes meet?\I wonder if he was looking at someone else.\Crap, our eyes keep meeting.\She knows I'm looking.\I guess I should say hi rather than pretend nothing happened.\I wonder who he just waved to. response:	It doesn't look like anyone reacted.
context: five, six, seven, eight...\But why do Sugawara-kun's and my eyes meet?\I wonder if he was looking at someone else.\Crap, our eyes keep meeting.\She knows I'm looking.\I guess I should say hi rather than pretend nothing happened.\I wonder who he just waved to.\It doesn't look like anyone reacted. response:	Could it be me?
context: But why do Sugawara-kun's and my eyes meet?\I wonder if he was looking at someone else.\Crap, our eyes keep meeting.\She knows I'm looking.\I guess I should say hi rather than pretend nothing happened.\I wonder who he just waved to.\It doesn't look like anyone reacted.\Could it be me? response:	That was embarrassing.
context: I wonder if he was looking at someone else.\Crap, our eyes keep meeting.\She knows I'm looking.\I guess I should say hi rather than pretend nothing happened.\I wonder who he just waved to.\It doesn't look like anyone reacted.\Could it be me?\That was embarrassing. response:	What do I do?
context: Crap, our eyes keep meeting.\She knows I'm looking.\I guess I should say hi rather than pretend nothing happened.\I wonder who he just waved to.\It doesn't look like anyone reacted.\Could it be me?\That was embarrassing.\What do I do? response:	Should I apologize?
context: She knows I'm looking.\I guess I should say hi rather than pretend nothing happened.\I wonder who he just waved to.\It doesn't look like anyone reacted.\Could it be me?\That was embarrassing.\What do I do?\Should I apologize? response:	But then I should do it during break
context: I guess I should say hi rather than pretend nothing happened.\I wonder who he just waved to.\It doesn't look like anyone reacted.\Could it be me?\That was embarrassing.\What do I do?\Should I apologize?\But then I should do it during break response:	It's not like he's looking at me.
context: I wonder who he just waved to.\It doesn't look like anyone reacted.\Could it be me?\That was embarrassing.\What do I do?\Should I apologize?\But then I should do it during break\It's not like he's looking at me. response:	I feel bad for reacting as if he was.
context: It doesn't look like anyone reacted.\Could it be me?\That was embarrassing.\What do I do?\Should I apologize?\But then I should do it during break\It's not like he's looking at me.\I feel bad for reacting as if he was. response:	It's going to get more awkward as time passes.
context: Could it be me?\That was embarrassing.\What do I do?\Should I apologize?\But then I should do it during break\It's not like he's looking at me.\I feel bad for reacting as if he was.\It's going to get more awkward as time passes. response:	I should be casual about it.
context: That was embarrassing.\What do I do?\Should I apologize?\But then I should do it during break\It's not like he's looking at me.\I feel bad for reacting as if he was.\It's going to get more awkward as time passes.\I should be casual about it. response:	I think I'll ask him who he's looking at.
context: What do I do?\Should I apologize?\But then I should do it during break\It's not like he's looking at me.\I feel bad for reacting as if he was.\It's going to get more awkward as time passes.\I should be casual about it.\I think I'll ask him who he's looking at. response:	All right, jump in in order, on my mark.
context: Should I apologize?\But then I should do it during break\It's not like he's looking at me.\I feel bad for reacting as if he was.\It's going to get more awkward as time passes.\I should be casual about it.\I think I'll ask him who he's looking at.\All right, jump in in order, on my mark. response:	Hey, sorry about what's been happening.
context: But then I should do it during break\It's not like he's looking at me.\I feel bad for reacting as if he was.\It's going to get more awkward as time passes.\I should be casual about it.\I think I'll ask him who he's looking at.\All right, jump in in order, on my mark.\Hey, sorry about what's been happening. response:	Huh? W-Why?
context: It's not like he's looking at me.\I feel bad for reacting as if he was.\It's going to get more awkward as time passes.\I should be casual about it.\I think I'll ask him who he's looking at.\All right, jump in in order, on my mark.\Hey, sorry about what's been happening.\Huh? W-Why? response:	I mean, it's not on purpose, but I kept glancing at you.
context: I feel bad for reacting as if he was.\It's going to get more awkward as time passes.\I should be casual about it.\I think I'll ask him who he's looking at.\All right, jump in in order, on my mark.\Hey, sorry about what's been happening.\Huh? W-Why?\I mean, it's not on purpose, but I kept glancing at you. response:	Nah.
context: It's going to get more awkward as time passes.\I should be casual about it.\I think I'll ask him who he's looking at.\All right, jump in in order, on my mark.\Hey, sorry about what's been happening.\Huh? W-Why?\I mean, it's not on purpose, but I kept glancing at you.\Nah. response:	I'm sorry for interrupting, too.
context: I should be casual about it.\I think I'll ask him who he's looking at.\All right, jump in in order, on my mark.\Hey, sorry about what's been happening.\Huh? W-Why?\I mean, it's not on purpose, but I kept glancing at you.\Nah.\I'm sorry for interrupting, too. response:	Interrupting what?
context: I think I'll ask him who he's looking at.\All right, jump in in order, on my mark.\Hey, sorry about what's been happening.\Huh? W-Why?\I mean, it's not on purpose, but I kept glancing at you.\Nah.\I'm sorry for interrupting, too.\Interrupting what? response:	You were looking at someone else, weren't you?
context: All right, jump in in order, on my mark.\Hey, sorry about what's been happening.\Huh? W-Why?\I mean, it's not on purpose, but I kept glancing at you.\Nah.\I'm sorry for interrupting, too.\Interrupting what?\You were looking at someone else, weren't you? response:	Huh?
context: Hey, sorry about what's been happening.\Huh? W-Why?\I mean, it's not on purpose, but I kept glancing at you.\Nah.\I'm sorry for interrupting, too.\Interrupting what?\You were looking at someone else, weren't you?\Huh? response:	Who was it?
context: Huh? W-Why?\I mean, it's not on purpose, but I kept glancing at you.\Nah.\I'm sorry for interrupting, too.\Interrupting what?\You were looking at someone else, weren't you?\Huh?\Who was it? response:	The girl beside me?
context: I mean, it's not on purpose, but I kept glancing at you.\Nah.\I'm sorry for interrupting, too.\Interrupting what?\You were looking at someone else, weren't you?\Huh?\Who was it?\The girl beside me? response:	You, Takano.
context: Nah.\I'm sorry for interrupting, too.\Interrupting what?\You were looking at someone else, weren't you?\Huh?\Who was it?\The girl beside me?\You, Takano. response:	Huh?
context: I'm sorry for interrupting, too.\Interrupting what?\You were looking at someone else, weren't you?\Huh?\Who was it?\The girl beside me?\You, Takano.\Huh? response:	What did Sugawara-kun...
context: Interrupting what?\You were looking at someone else, weren't you?\Huh?\Who was it?\The girl beside me?\You, Takano.\Huh?\What did Sugawara-kun... response:	What's wrong, Takano?
context: You were looking at someone else, weren't you?\Huh?\Who was it?\The girl beside me?\You, Takano.\Huh?\What did Sugawara-kun...\What's wrong, Takano? response:	Hurry up.
context: Huh?\Who was it?\The girl beside me?\You, Takano.\Huh?\What did Sugawara-kun...\What's wrong, Takano?\Hurry up. response:	O-Okay.
context: Who was it?\The girl beside me?\You, Takano.\Huh?\What did Sugawara-kun...\What's wrong, Takano?\Hurry up.\O-Okay. response:	Sugawara-kun was watching me this whole time?
context: The girl beside me?\You, Takano.\Huh?\What did Sugawara-kun...\What's wrong, Takano?\Hurry up.\O-Okay.\Sugawara-kun was watching me this whole time? response:	Why?
context: You, Takano.\Huh?\What did Sugawara-kun...\What's wrong, Takano?\Hurry up.\O-Okay.\Sugawara-kun was watching me this whole time?\Why? response:	I don't have that nice of a body.
context: Huh?\What did Sugawara-kun...\What's wrong, Takano?\Hurry up.\O-Okay.\Sugawara-kun was watching me this whole time?\Why?\I don't have that nice of a body. response:	There's nothing to look at.
context: What did Sugawara-kun...\What's wrong, Takano?\Hurry up.\O-Okay.\Sugawara-kun was watching me this whole time?\Why?\I don't have that nice of a body.\There's nothing to look at. response:	Why?
context: What's wrong, Takano?\Hurry up.\O-Okay.\Sugawara-kun was watching me this whole time?\Why?\I don't have that nice of a body.\There's nothing to look at.\Why? response:	Why is my heart racing?
context: Hurry up.\O-Okay.\Sugawara-kun was watching me this whole time?\Why?\I don't have that nice of a body.\There's nothing to look at.\Why?\Why is my heart racing? response:	S-Sugawara-kun.
context: O-Okay.\Sugawara-kun was watching me this whole time?\Why?\I don't have that nice of a body.\There's nothing to look at.\Why?\Why is my heart racing?\S-Sugawara-kun. response:	I think I was looking at you, too.
context: Sugawara-kun was watching me this whole time?\Why?\I don't have that nice of a body.\There's nothing to look at.\Why?\Why is my heart racing?\S-Sugawara-kun.\I think I was looking at you, too. response:	I'm Goda, though.
context: Why?\I don't have that nice of a body.\There's nothing to look at.\Why?\Why is my heart racing?\S-Sugawara-kun.\I think I was looking at you, too.\I'm Goda, though. response:	I told her.
context: I don't have that nice of a body.\There's nothing to look at.\Why?\Why is my heart racing?\S-Sugawara-kun.\I think I was looking at you, too.\I'm Goda, though.\I told her. response:	Should I pass that on to Sugawara?
context: There's nothing to look at.\Why?\Why is my heart racing?\S-Sugawara-kun.\I think I was looking at you, too.\I'm Goda, though.\I told her.\Should I pass that on to Sugawara? response:	No.
context: Why?\Why is my heart racing?\S-Sugawara-kun.\I think I was looking at you, too.\I'm Goda, though.\I told her.\Should I pass that on to Sugawara?\No. response:	Forget what I said.
context: Why is my heart racing?\S-Sugawara-kun.\I think I was looking at you, too.\I'm Goda, though.\I told her.\Should I pass that on to Sugawara?\No.\Forget what I said. response:	The End
context: S-Sugawara-kun.\I think I was looking at you, too.\I'm Goda, though.\I told her.\Should I pass that on to Sugawara?\No.\Forget what I said.\The End response:	Things have been awkward ever since I confessed to the guy I like.
context: I think I was looking at you, too.\I'm Goda, though.\I told her.\Should I pass that on to Sugawara?\No.\Forget what I said.\The End\Things have been awkward ever since I confessed to the guy I like. response:	I can give up dating him, but I want to at least go back to being friends.
context: I'm Goda, though.\I told her.\Should I pass that on to Sugawara?\No.\Forget what I said.\The End\Things have been awkward ever since I confessed to the guy I like.\I can give up dating him, but I want to at least go back to being friends. response:	Square One
context: I told her.\Should I pass that on to Sugawara?\No.\Forget what I said.\The End\Things have been awkward ever since I confessed to the guy I like.\I can give up dating him, but I want to at least go back to being friends.\Square One response:	No, I want to date him if I can, but...
context: Should I pass that on to Sugawara?\No.\Forget what I said.\The End\Things have been awkward ever since I confessed to the guy I like.\I can give up dating him, but I want to at least go back to being friends.\Square One\No, I want to date him if I can, but... response:	It's been a month since Kanda confessed to me. I haven't been able to reply.
context: No.\Forget what I said.\The End\Things have been awkward ever since I confessed to the guy I like.\I can give up dating him, but I want to at least go back to being friends.\Square One\No, I want to date him if I can, but...\It's been a month since Kanda confessed to me. I haven't been able to reply. response:	She avoids me when I try to talk to her.
context: Forget what I said.\The End\Things have been awkward ever since I confessed to the guy I like.\I can give up dating him, but I want to at least go back to being friends.\Square One\No, I want to date him if I can, but...\It's been a month since Kanda confessed to me. I haven't been able to reply.\She avoids me when I try to talk to her. response:	It hasn't bothered me. Don't worry about it.
context: The End\Things have been awkward ever since I confessed to the guy I like.\I can give up dating him, but I want to at least go back to being friends.\Square One\No, I want to date him if I can, but...\It's been a month since Kanda confessed to me. I haven't been able to reply.\She avoids me when I try to talk to her.\It hasn't bothered me. Don't worry about it. response:	This is her only reply to my message.
context: Things have been awkward ever since I confessed to the guy I like.\I can give up dating him, but I want to at least go back to being friends.\Square One\No, I want to date him if I can, but...\It's been a month since Kanda confessed to me. I haven't been able to reply.\She avoids me when I try to talk to her.\It hasn't bothered me. Don't worry about it.\This is her only reply to my message. response:	Would I just be annoying if I kept trying to talk when she doesn't want me to?
context: I can give up dating him, but I want to at least go back to being friends.\Square One\No, I want to date him if I can, but...\It's been a month since Kanda confessed to me. I haven't been able to reply.\She avoids me when I try to talk to her.\It hasn't bothered me. Don't worry about it.\This is her only reply to my message.\Would I just be annoying if I kept trying to talk when she doesn't want me to? response:	Is it too late for me to confess again?
context: Square One\No, I want to date him if I can, but...\It's been a month since Kanda confessed to me. I haven't been able to reply.\She avoids me when I try to talk to her.\It hasn't bothered me. Don't worry about it.\This is her only reply to my message.\Would I just be annoying if I kept trying to talk when she doesn't want me to?\Is it too late for me to confess again? response:	I'll apologize to Takase.
context: No, I want to date him if I can, but...\It's been a month since Kanda confessed to me. I haven't been able to reply.\She avoids me when I try to talk to her.\It hasn't bothered me. Don't worry about it.\This is her only reply to my message.\Would I just be annoying if I kept trying to talk when she doesn't want me to?\Is it too late for me to confess again?\I'll apologize to Takase. response:	I'll apologize and make things normal again.
context: It's been a month since Kanda confessed to me. I haven't been able to reply.\She avoids me when I try to talk to her.\It hasn't bothered me. Don't worry about it.\This is her only reply to my message.\Would I just be annoying if I kept trying to talk when she doesn't want me to?\Is it too late for me to confess again?\I'll apologize to Takase.\I'll apologize and make things normal again. response:	Okay.
context: She avoids me when I try to talk to her.\It hasn't bothered me. Don't worry about it.\This is her only reply to my message.\Would I just be annoying if I kept trying to talk when she doesn't want me to?\Is it too late for me to confess again?\I'll apologize to Takase.\I'll apologize and make things normal again.\Okay. response:	Ah, that's mine.
context: It hasn't bothered me. Don't worry about it.\This is her only reply to my message.\Would I just be annoying if I kept trying to talk when she doesn't want me to?\Is it too late for me to confess again?\I'll apologize to Takase.\I'll apologize and make things normal again.\Okay.\Ah, that's mine. response:	Oh, here.
context: This is her only reply to my message.\Would I just be annoying if I kept trying to talk when she doesn't want me to?\Is it too late for me to confess again?\I'll apologize to Takase.\I'll apologize and make things normal again.\Okay.\Ah, that's mine.\Oh, here. response:	Th-Thanks.
context: Would I just be annoying if I kept trying to talk when she doesn't want me to?\Is it too late for me to confess again?\I'll apologize to Takase.\I'll apologize and make things normal again.\Okay.\Ah, that's mine.\Oh, here.\Th-Thanks. response:	H-Hi.
context: Is it too late for me to confess again?\I'll apologize to Takase.\I'll apologize and make things normal again.\Okay.\Ah, that's mine.\Oh, here.\Th-Thanks.\H-Hi. response:	H-Hi.
context: I'll apologize to Takase.\I'll apologize and make things normal again.\Okay.\Ah, that's mine.\Oh, here.\Th-Thanks.\H-Hi.\H-Hi. response:	This is weird.
context: I'll apologize and make things normal again.\Okay.\Ah, that's mine.\Oh, here.\Th-Thanks.\H-Hi.\H-Hi.\This is weird. response:	How did I talk to Takase before?
context: Okay.\Ah, that's mine.\Oh, here.\Th-Thanks.\H-Hi.\H-Hi.\This is weird.\How did I talk to Takase before? response:	Huh?
context: Ah, that's mine.\Oh, here.\Th-Thanks.\H-Hi.\H-Hi.\This is weird.\How did I talk to Takase before?\Huh? response:	Something's different again today.
context: Oh, here.\Th-Thanks.\H-Hi.\H-Hi.\This is weird.\How did I talk to Takase before?\Huh?\Something's different again today. response:	Maybe it's nothing.
context: Th-Thanks.\H-Hi.\H-Hi.\This is weird.\How did I talk to Takase before?\Huh?\Something's different again today.\Maybe it's nothing. response:	Cras
