context: Whenever I counted on someone, I ended up getting hurt. response:	You can count on me, Ohana!
context: Whenever I counted on someone, I ended up getting hurt.\You can count on me, Ohana! response:	Okay, who has the answer?
context: Whenever I counted on someone, I ended up getting hurt.\You can count on me, Ohana!\Okay, who has the answer? response:	I'll go to your next Parents' Day, I promise!
context: Whenever I counted on someone, I ended up getting hurt.\You can count on me, Ohana!\Okay, who has the answer?\I'll go to your next Parents' Day, I promise! response:	Me!
context: Whenever I counted on someone, I ended up getting hurt.\You can count on me, Ohana!\Okay, who has the answer?\I'll go to your next Parents' Day, I promise!\Me! response:	All right, Koyanagi?
context: Whenever I counted on someone, I ended up getting hurt.\You can count on me, Ohana!\Okay, who has the answer?\I'll go to your next Parents' Day, I promise!\Me!\All right, Koyanagi? response:	Okay!
context: Whenever I counted on someone, I ended up getting hurt.\You can count on me, Ohana!\Okay, who has the answer?\I'll go to your next Parents' Day, I promise!\Me!\All right, Koyanagi?\Okay! response:	The answer is 45 degrees!
context: Whenever I counted on someone, I ended up getting hurt.\You can count on me, Ohana!\Okay, who has the answer?\I'll go to your next Parents' Day, I promise!\Me!\All right, Koyanagi?\Okay!\The answer is 45 degrees! response:	Correct. Well done.
context: You can count on me, Ohana!\Okay, who has the answer?\I'll go to your next Parents' Day, I promise!\Me!\All right, Koyanagi?\Okay!\The answer is 45 degrees!\Correct. Well done. response:	Thank you. Please have a seat.
context: Okay, who has the answer?\I'll go to your next Parents' Day, I promise!\Me!\All right, Koyanagi?\Okay!\The answer is 45 degrees!\Correct. Well done.\Thank you. Please have a seat. response:	So, it's best not to rely on anyone, ever.
context: I'll go to your next Parents' Day, I promise!\Me!\All right, Koyanagi?\Okay!\The answer is 45 degrees!\Correct. Well done.\Thank you. Please have a seat.\So, it's best not to rely on anyone, ever. response:	It's true that I don't know a thing about working,
context: Me!\All right, Koyanagi?\Okay!\The answer is 45 degrees!\Correct. Well done.\Thank you. Please have a seat.\So, it's best not to rely on anyone, ever.\It's true that I don't know a thing about working, response:	but...
context: All right, Koyanagi?\Okay!\The answer is 45 degrees!\Correct. Well done.\Thank you. Please have a seat.\So, it's best not to rely on anyone, ever.\It's true that I don't know a thing about working,\but... response:	This is a basic principle.
context: Okay!\The answer is 45 degrees!\Correct. Well done.\Thank you. Please have a seat.\So, it's best not to rely on anyone, ever.\It's true that I don't know a thing about working,\but...\This is a basic principle. response:	If you can't accept that, you shouldn't be here.
context: The answer is 45 degrees!\Correct. Well done.\Thank you. Please have a seat.\So, it's best not to rely on anyone, ever.\It's true that I don't know a thing about working,\but...\This is a basic principle.\If you can't accept that, you shouldn't be here. response:	Do you understand the concept of work?
context: Correct. Well done.\Thank you. Please have a seat.\So, it's best not to rely on anyone, ever.\It's true that I don't know a thing about working,\but...\This is a basic principle.\If you can't accept that, you shouldn't be here.\Do you understand the concept of work? response:	I'll show them.
context: Thank you. Please have a seat.\So, it's best not to rely on anyone, ever.\It's true that I don't know a thing about working,\but...\This is a basic principle.\If you can't accept that, you shouldn't be here.\Do you understand the concept of work?\I'll show them. response:	Something my mother, that useless woman, taught me is...
context: So, it's best not to rely on anyone, ever.\It's true that I don't know a thing about working,\but...\This is a basic principle.\If you can't accept that, you shouldn't be here.\Do you understand the concept of work?\I'll show them.\Something my mother, that useless woman, taught me is... response:	You promised! Why didn't you come?
context: It's true that I don't know a thing about working,\but...\This is a basic principle.\If you can't accept that, you shouldn't be here.\Do you understand the concept of work?\I'll show them.\Something my mother, that useless woman, taught me is...\You promised! Why didn't you come? response:	Ohana!
context: but...\This is a basic principle.\If you can't accept that, you shouldn't be here.\Do you understand the concept of work?\I'll show them.\Something my mother, that useless woman, taught me is...\You promised! Why didn't you come?\Ohana! response:	Mark my words: people can't be trusted.
context: This is a basic principle.\If you can't accept that, you shouldn't be here.\Do you understand the concept of work?\I'll show them.\Something my mother, that useless woman, taught me is...\You promised! Why didn't you come?\Ohana!\Mark my words: people can't be trusted. response:	Not even family.
context: If you can't accept that, you shouldn't be here.\Do you understand the concept of work?\I'll show them.\Something my mother, that useless woman, taught me is...\You promised! Why didn't you come?\Ohana!\Mark my words: people can't be trusted.\Not even family. response:	Never rely on someone else.
context: Do you understand the concept of work?\I'll show them.\Something my mother, that useless woman, taught me is...\You promised! Why didn't you come?\Ohana!\Mark my words: people can't be trusted.\Not even family.\Never rely on someone else. response:	Believe only in yourself.
context: I'll show them.\Something my mother, that useless woman, taught me is...\You promised! Why didn't you come?\Ohana!\Mark my words: people can't be trusted.\Not even family.\Never rely on someone else.\Believe only in yourself. response:	That's not even what
context: Something my mother, that useless woman, taught me is...\You promised! Why didn't you come?\Ohana!\Mark my words: people can't be trusted.\Not even family.\Never rely on someone else.\Believe only in yourself.\That's not even what response:	What you need to do,
context: You promised! Why didn't you come?\Ohana!\Mark my words: people can't be trusted.\Not even family.\Never rely on someone else.\Believe only in yourself.\That's not even what\What you need to do, response:	is get them before they get you.
context: Ohana!\Mark my words: people can't be trusted.\Not even family.\Never rely on someone else.\Believe only in yourself.\That's not even what\What you need to do,\is get them before they get you. response:	Gouge them. Cut them down.
context: Mark my words: people can't be trusted.\Not even family.\Never rely on someone else.\Believe only in yourself.\That's not even what\What you need to do,\is get them before they get you.\Gouge them. Cut them down. response:	Cut them down?
context: Not even family.\Never rely on someone else.\Believe only in yourself.\That's not even what\What you need to do,\is get them before they get you.\Gouge them. Cut them down.\Cut them down? response:	Yes. Cut.
context: Never rely on someone else.\Believe only in yourself.\That's not even what\What you need to do,\is get them before they get you.\Gouge them. Cut them down.\Cut them down?\Yes. Cut. response:	Cut them down!
context: Believe only in yourself.\That's not even what\What you need to do,\is get them before they get you.\Gouge them. Cut them down.\Cut them down?\Yes. Cut.\Cut them down! response:	Cut them down!
context: That's not even what\What you need to do,\is get them before they get you.\Gouge them. Cut them down.\Cut them down?\Yes. Cut.\Cut them down!\Cut them down! response:	Yikes, almost got some wild rocamboles.
context: What you need to do,\is get them before they get you.\Gouge them. Cut them down.\Cut them down?\Yes. Cut.\Cut them down!\Cut them down!\Yikes, almost got some wild rocamboles. response:	Huh? Good morning!
context: is get them before they get you.\Gouge them. Cut them down.\Cut them down?\Yes. Cut.\Cut them down!\Cut them down!\Yikes, almost got some wild rocamboles.\Huh? Good morning! response:	Hard at work at five in the morning?
context: Gouge them. Cut them down.\Cut them down?\Yes. Cut.\Cut them down!\Cut them down!\Yikes, almost got some wild rocamboles.\Huh? Good morning!\Hard at work at five in the morning? response:	Yep!
