context: Piercing through the Macro sky, response:	a thunderbolt strikes the Earth
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth response:	To awaken us, the young mankind,
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind, response:	the Light struck
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck response:	Macross! Macross!
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross! response:	The brave youths who arise
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise response:	and fight to protect their loved ones
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones response:	will set out on their journey, as the war rages on
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\will set out on their journey, as the war rages on response:	Will you love me tomorrow?
context: a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\will set out on their journey, as the war rages on\Will you love me tomorrow? response:	Slicing through the darkness, they fly toward
context: To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\will set out on their journey, as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward response:	that blue planet that shines in the distance
context: the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\will set out on their journey, as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance response:	Macross! Macross!
context: Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\will set out on their journey, as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross! response:	Macross!
context: The brave youths who arise\and fight to protect their loved ones\will set out on their journey, as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross! response:	It is the year 2009.
context: and fight to protect their loved ones\will set out on their journey, as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\It is the year 2009. response:	The alien spacecraft that fell to Earth 10 years before
context: will set out on their journey, as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\It is the year 2009.\The alien spacecraft that fell to Earth 10 years before response:	has been reborn as the gigantic battleship Macross.
context: Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\It is the year 2009.\The alien spacecraft that fell to Earth 10 years before\has been reborn as the gigantic battleship Macross. response:	However, on the day that the Macross was scheduled to be launched,
context: Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\It is the year 2009.\The alien spacecraft that fell to Earth 10 years before\has been reborn as the gigantic battleship Macross.\However, on the day that the Macross was scheduled to be launched, response:	its automatic defense system of alien origin suddenly activated itself,
context: that blue planet that shines in the distance\Macross! Macross!\Macross!\It is the year 2009.\The alien spacecraft that fell to Earth 10 years before\has been reborn as the gigantic battleship Macross.\However, on the day that the Macross was scheduled to be launched,\its automatic defense system of alien origin suddenly activated itself, response:	firing the main cannon and destroying an unidentified warship.
context: Macross! Macross!\Macross!\It is the year 2009.\The alien spacecraft that fell to Earth 10 years before\has been reborn as the gigantic battleship Macross.\However, on the day that the Macross was scheduled to be launched,\its automatic defense system of alien origin suddenly activated itself,\firing the main cannon and destroying an unidentified warship. response:	Humanity was plunged into unavoidable conflict.
context: Macross!\It is the year 2009.\The alien spacecraft that fell to Earth 10 years before\has been reborn as the gigantic battleship Macross.\However, on the day that the Macross was scheduled to be launched,\its automatic defense system of alien origin suddenly activated itself,\firing the main cannon and destroying an unidentified warship.\Humanity was plunged into unavoidable conflict. response:	Meanwhile, air-racer Hikaru Ichijo,
context: It is the year 2009.\The alien spacecraft that fell to Earth 10 years before\has been reborn as the gigantic battleship Macross.\However, on the day that the Macross was scheduled to be launched,\its automatic defense system of alien origin suddenly activated itself,\firing the main cannon and destroying an unidentified warship.\Humanity was plunged into unavoidable conflict.\Meanwhile, air-racer Hikaru Ichijo, response:	a pilot invited to the launch ceremony by Major Roy Focker,
context: The alien spacecraft that fell to Earth 10 years before\has been reborn as the gigantic battleship Macross.\However, on the day that the Macross was scheduled to be launched,\its automatic defense system of alien origin suddenly activated itself,\firing the main cannon and destroying an unidentified warship.\Humanity was plunged into unavoidable conflict.\Meanwhile, air-racer Hikaru Ichijo,\a pilot invited to the launch ceremony by Major Roy Focker, response:	was accidentally ordered to fly a Valkyrie fighter
context: has been reborn as the gigantic battleship Macross.\However, on the day that the Macross was scheduled to be launched,\its automatic defense system of alien origin suddenly activated itself,\firing the main cannon and destroying an unidentified warship.\Humanity was plunged into unavoidable conflict.\Meanwhile, air-racer Hikaru Ichijo,\a pilot invited to the launch ceremony by Major Roy Focker,\was accidentally ordered to fly a Valkyrie fighter response:	by 1st Lt. Misa Hayase, a Macross defense systems operator.
context: However, on the day that the Macross was scheduled to be launched,\its automatic defense system of alien origin suddenly activated itself,\firing the main cannon and destroying an unidentified warship.\Humanity was plunged into unavoidable conflict.\Meanwhile, air-racer Hikaru Ichijo,\a pilot invited to the launch ceremony by Major Roy Focker,\was accidentally ordered to fly a Valkyrie fighter\by 1st Lt. Misa Hayase, a Macross defense systems operator. response:	However, overwhelmed by his first taste of combat,
context: its automatic defense system of alien origin suddenly activated itself,\firing the main cannon and destroying an unidentified warship.\Humanity was plunged into unavoidable conflict.\Meanwhile, air-racer Hikaru Ichijo,\a pilot invited to the launch ceremony by Major Roy Focker,\was accidentally ordered to fly a Valkyrie fighter\by 1st Lt. Misa Hayase, a Macross defense systems operator.\However, overwhelmed by his first taste of combat, response:	Hikaru was shot down by beams fired from an enemy pod.
context: firing the main cannon and destroying an unidentified warship.\Humanity was plunged into unavoidable conflict.\Meanwhile, air-racer Hikaru Ichijo,\a pilot invited to the launch ceremony by Major Roy Focker,\was accidentally ordered to fly a Valkyrie fighter\by 1st Lt. Misa Hayase, a Macross defense systems operator.\However, overwhelmed by his first taste of combat,\Hikaru was shot down by beams fired from an enemy pod. response:	As the alien forces begin their ground descent, the fighting enters a brief lull.
context: Humanity was plunged into unavoidable conflict.\Meanwhile, air-racer Hikaru Ichijo,\a pilot invited to the launch ceremony by Major Roy Focker,\was accidentally ordered to fly a Valkyrie fighter\by 1st Lt. Misa Hayase, a Macross defense systems operator.\However, overwhelmed by his first taste of combat,\Hikaru was shot down by beams fired from an enemy pod.\As the alien forces begin their ground descent, the fighting enters a brief lull. response:	Twenty-four unidentified objects are currently on a descent course.
context: Meanwhile, air-racer Hikaru Ichijo,\a pilot invited to the launch ceremony by Major Roy Focker,\was accidentally ordered to fly a Valkyrie fighter\by 1st Lt. Misa Hayase, a Macross defense systems operator.\However, overwhelmed by his first taste of combat,\Hikaru was shot down by beams fired from an enemy pod.\As the alien forces begin their ground descent, the fighting enters a brief lull.\Twenty-four unidentified objects are currently on a descent course. response:	You weren't able to detect them until now?
context: a pilot invited to the launch ceremony by Major Roy Focker,\was accidentally ordered to fly a Valkyrie fighter\by 1st Lt. Misa Hayase, a Macross defense systems operator.\However, overwhelmed by his first taste of combat,\Hikaru was shot down by beams fired from an enemy pod.\As the alien forces begin their ground descent, the fighting enters a brief lull.\Twenty-four unidentified objects are currently on a descent course.\You weren't able to detect them until now? response:	No, sir.
context: was accidentally ordered to fly a Valkyrie fighter\by 1st Lt. Misa Hayase, a Macross defense systems operator.\However, overwhelmed by his first taste of combat,\Hikaru was shot down by beams fired from an enemy pod.\As the alien forces begin their ground descent, the fighting enters a brief lull.\Twenty-four unidentified objects are currently on a descent course.\You weren't able to detect them until now?\No, sir. response:	Radar is useless due to the use of reaction weaponry during the first attack wave.
context: by 1st Lt. Misa Hayase, a Macross defense systems operator.\However, overwhelmed by his first taste of combat,\Hikaru was shot down by beams fired from an enemy pod.\As the alien forces begin their ground descent, the fighting enters a brief lull.\Twenty-four unidentified objects are currently on a descent course.\You weren't able to detect them until now?\No, sir.\Radar is useless due to the use of reaction weaponry during the first attack wave. response:	So the first wave was a decoy. Whoever they are, they're good.
context: However, overwhelmed by his first taste of combat,\Hikaru was shot down by beams fired from an enemy pod.\As the alien forces begin their ground descent, the fighting enters a brief lull.\Twenty-four unidentified objects are currently on a descent course.\You weren't able to detect them until now?\No, sir.\Radar is useless due to the use of reaction weaponry during the first attack wave.\So the first wave was a decoy. Whoever they are, they're good. response:	Hayase, can't you recall Major Focker?
context: Hikaru was shot down by beams fired from an enemy pod.\As the alien forces begin their ground descent, the fighting enters a brief lull.\Twenty-four unidentified objects are currently on a descent course.\You weren't able to detect them until now?\No, sir.\Radar is useless due to the use of reaction weaponry during the first attack wave.\So the first wave was a decoy. Whoever they are, they're good.\Hayase, can't you recall Major Focker? response:	No, sir. He's still fighting off the first wave and can't break away.
context: As the alien forces begin their ground descent, the fighting enters a brief lull.\Twenty-four unidentified objects are currently on a descent course.\You weren't able to detect them until now?\No, sir.\Radar is useless due to the use of reaction weaponry during the first attack wave.\So the first wave was a decoy. Whoever they are, they're good.\Hayase, can't you recall Major Focker?\No, sir. He's still fighting off the first wave and can't break away. response:	I see...
context: Twenty-four unidentified objects are currently on a descent course.\You weren't able to detect them until now?\No, sir.\Radar is useless due to the use of reaction weaponry during the first attack wave.\So the first wave was a decoy. Whoever they are, they're good.\Hayase, can't you recall Major Focker?\No, sir. He's still fighting off the first wave and can't break away.\I see... response:	The 24 targets appear to have splashed down in the sea 30 km ahead of us.
context: You weren't able to detect them until now?\No, sir.\Radar is useless due to the use of reaction weaponry during the first attack wave.\So the first wave was a decoy. Whoever they are, they're good.\Hayase, can't you recall Major Focker?\No, sir. He's still fighting off the first wave and can't break away.\I see...\The 24 targets appear to have splashed down in the sea 30 km ahead of us. response:	Ask the Prometheus to send out some patrol helicopters.
context: No, sir.\Radar is useless due to the use of reaction weaponry during the first attack wave.\So the first wave was a decoy. Whoever they are, they're good.\Hayase, can't you recall Major Focker?\No, sir. He's still fighting off the first wave and can't break away.\I see...\The 24 targets appear to have splashed down in the sea 30 km ahead of us.\Ask the Prometheus to send out some patrol helicopters. response:	They should be arriving in five minutes, sir.
context: Radar is useless due to the use of reaction weaponry during the first attack wave.\So the first wave was a decoy. Whoever they are, they're good.\Hayase, can't you recall Major Focker?\No, sir. He's still fighting off the first wave and can't break away.\I see...\The 24 targets appear to have splashed down in the sea 30 km ahead of us.\Ask the Prometheus to send out some patrol helicopters.\They should be arriving in five minutes, sir. response:	That was quick thinking.
context: So the first wave was a decoy. Whoever they are, they're good.\Hayase, can't you recall Major Focker?\No, sir. He's still fighting off the first wave and can't break away.\I see...\The 24 targets appear to have splashed down in the sea 30 km ahead of us.\Ask the Prometheus to send out some patrol helicopters.\They should be arriving in five minutes, sir.\That was quick thinking. response:	Thank you.
context: Hayase, can't you recall Major Focker?\No, sir. He's still fighting off the first wave and can't break away.\I see...\The 24 targets appear to have splashed down in the sea 30 km ahead of us.\Ask the Prometheus to send out some patrol helicopters.\They should be arriving in five minutes, sir.\That was quick thinking.\Thank you. response:	COUNT DOWN
context: No, sir. He's still fighting off the first wave and can't break away.\I see...\The 24 targets appear to have splashed down in the sea 30 km ahead of us.\Ask the Prometheus to send out some patrol helicopters.\They should be arriving in five minutes, sir.\That was quick thinking.\Thank you.\COUNT DOWN response:	What is that thing?
context: I see...\The 24 targets appear to have splashed down in the sea 30 km ahead of us.\Ask the Prometheus to send out some patrol helicopters.\They should be arriving in five minutes, sir.\That was quick thinking.\Thank you.\COUNT DOWN\What is that thing? response:	An alien robot?
context: The 24 targets appear to have splashed down in the sea 30 km ahead of us.\Ask the Prometheus to send out some patrol helicopters.\They should be arriving in five minutes, sir.\That was quick thinking.\Thank you.\COUNT DOWN\What is that thing?\An alien robot? response:	You've gotta be kidding!
context: Ask the Prometheus to send out some patrol helicopters.\They should be arriving in five minutes, sir.\That was quick thinking.\Thank you.\COUNT DOWN\What is that thing?\An alien robot?\You've gotta be kidding! response:	It looks like it's stopped.
context: They should be arriving in five minutes, sir.\That was quick thinking.\Thank you.\COUNT DOWN\What is that thing?\An alien robot?\You've gotta be kidding!\It looks like it's stopped. response:	Yeah...
context: That was quick thinking.\Thank you.\COUNT DOWN\What is that thing?\An alien robot?\You've gotta be kidding!\It looks like it's stopped.\Yeah... response:	Hey, Minmay!
context: Thank you.\COUNT DOWN\What is that thing?\An alien robot?\You've gotta be kidding!\It looks like it's stopped.\Yeah...\Hey, Minmay! response:	Be careful, Yot-chan!
context: COUNT DOWN\What is that thing?\An alien robot?\You've gotta be kidding!\It looks like it's stopped.\Yeah...\Hey, Minmay!\Be careful, Yot-chan! response:	What if that thing had stepped on you?! Goodness...
context: What is that thing?\An alien robot?\You've gotta be kidding!\It looks like it's stopped.\Yeah...\Hey, Minmay!\Be careful, Yot-chan!\What if that thing had stepped on you?! Goodness... response:	Hey! Let's go take a look at the robot!
context: An alien robot?\You've gotta be kidding!\It looks like it's stopped.\Yeah...\Hey, Minmay!\Be careful, Yot-chan!\What if that thing had stepped on you?! Goodness...\Hey! Let's go take a look at the robot! response:	Go? Go where?
context: You've gotta be kidding!\It looks like it's stopped.\Yeah...\Hey, Minmay!\Be careful, Yot-chan!\What if that thing had stepped on you?! Goodness...\Hey! Let's go take a look at the robot!\Go? Go where? response:	The third floor! Your room!
context: It looks like it's stopped.\Yeah...\Hey, Minmay!\Be careful, Yot-chan!\What if that thing had stepped on you?! Goodness...\Hey! Let's go take a look at the robot!\Go? Go where?\The third floor! Your room! response:	Wait! I'm coming, too!
