context: Maccachin stole some buns, and they got stuck in his throat. response:	Victor!
context: Maccachin stole some buns, and they got stuck in his throat.\Victor! response:	Go back to Japan right now.
context: Maccachin stole some buns, and they got stuck in his throat.\Victor!\Go back to Japan right now. response:	Can you be Yuri's coach tomorrow, for just one day?
context: Maccachin stole some buns, and they got stuck in his throat.\Victor!\Go back to Japan right now.\Can you be Yuri's coach tomorrow, for just one day? response:	Huh?
context: Maccachin stole some buns, and they got stuck in his throat.\Victor!\Go back to Japan right now.\Can you be Yuri's coach tomorrow, for just one day?\Huh? response:	Huh?
context: Maccachin stole some buns, and they got stuck in his throat.\Victor!\Go back to Japan right now.\Can you be Yuri's coach tomorrow, for just one day?\Huh?\Huh? response:	Huh?
context: Maccachin stole some buns, and they got stuck in his throat.\Victor!\Go back to Japan right now.\Can you be Yuri's coach tomorrow, for just one day?\Huh?\Huh?\Huh? response:	Anyway, this is a crisis!
context: Maccachin stole some buns, and they got stuck in his throat.\Victor!\Go back to Japan right now.\Can you be Yuri's coach tomorrow, for just one day?\Huh?\Huh?\Huh?\Anyway, this is a crisis! response:	Ask Yakov anything you don't understand.
context: Victor!\Go back to Japan right now.\Can you be Yuri's coach tomorrow, for just one day?\Huh?\Huh?\Huh?\Anyway, this is a crisis!\Ask Yakov anything you don't understand. response:	If you're in trouble, just hug him, and he'll help you.
context: Go back to Japan right now.\Can you be Yuri's coach tomorrow, for just one day?\Huh?\Huh?\Huh?\Anyway, this is a crisis!\Ask Yakov anything you don't understand.\If you're in trouble, just hug him, and he'll help you. response:	Sorry, Yuri.
context: Can you be Yuri's coach tomorrow, for just one day?\Huh?\Huh?\Huh?\Anyway, this is a crisis!\Ask Yakov anything you don't understand.\If you're in trouble, just hug him, and he'll help you.\Sorry, Yuri. response:	Even if I'm not here, I'll always be with you in spirit.
context: Huh?\Huh?\Huh?\Anyway, this is a crisis!\Ask Yakov anything you don't understand.\If you're in trouble, just hug him, and he'll help you.\Sorry, Yuri.\Even if I'm not here, I'll always be with you in spirit. response:	And then Victor went back to Japan.
context: Huh?\Huh?\Anyway, this is a crisis!\Ask Yakov anything you don't understand.\If you're in trouble, just hug him, and he'll help you.\Sorry, Yuri.\Even if I'm not here, I'll always be with you in spirit.\And then Victor went back to Japan. response:	Ninth Skate Yuri vs. Yuri The Horror!! Rostelecom Cup, Free Skate
context: Huh?\Anyway, this is a crisis!\Ask Yakov anything you don't understand.\If you're in trouble, just hug him, and he'll help you.\Sorry, Yuri.\Even if I'm not here, I'll always be with you in spirit.\And then Victor went back to Japan.\Ninth Skate Yuri vs. Yuri The Horror!! Rostelecom Cup, Free Skate response:	Yuri vs. Yuri. The Horror!! Rostelecom Cup, Free Skate.
context: Anyway, this is a crisis!\Ask Yakov anything you don't understand.\If you're in trouble, just hug him, and he'll help you.\Sorry, Yuri.\Even if I'm not here, I'll always be with you in spirit.\And then Victor went back to Japan.\Ninth Skate Yuri vs. Yuri The Horror!! Rostelecom Cup, Free Skate\Yuri vs. Yuri. The Horror!! Rostelecom Cup, Free Skate. response:	Um, it didn't look like you exchanged any words with Coach Yakov
context: Ask Yakov anything you don't understand.\If you're in trouble, just hug him, and he'll help you.\Sorry, Yuri.\Even if I'm not here, I'll always be with you in spirit.\And then Victor went back to Japan.\Ninth Skate Yuri vs. Yuri The Horror!! Rostelecom Cup, Free Skate\Yuri vs. Yuri. The Horror!! Rostelecom Cup, Free Skate.\Um, it didn't look like you exchanged any words with Coach Yakov response:	at this morning's public practice.
context: If you're in trouble, just hug him, and he'll help you.\Sorry, Yuri.\Even if I'm not here, I'll always be with you in spirit.\And then Victor went back to Japan.\Ninth Skate Yuri vs. Yuri The Horror!! Rostelecom Cup, Free Skate\Yuri vs. Yuri. The Horror!! Rostelecom Cup, Free Skate.\Um, it didn't look like you exchanged any words with Coach Yakov\at this morning's public practice. response:	I'm fine!
context: Sorry, Yuri.\Even if I'm not here, I'll always be with you in spirit.\And then Victor went back to Japan.\Ninth Skate Yuri vs. Yuri The Horror!! Rostelecom Cup, Free Skate\Yuri vs. Yuri. The Horror!! Rostelecom Cup, Free Skate.\Um, it didn't look like you exchanged any words with Coach Yakov\at this morning's public practice.\I'm fine! response:	I'll just do what I've always done in practice with Victor!
context: Even if I'm not here, I'll always be with you in spirit.\And then Victor went back to Japan.\Ninth Skate Yuri vs. Yuri The Horror!! Rostelecom Cup, Free Skate\Yuri vs. Yuri. The Horror!! Rostelecom Cup, Free Skate.\Um, it didn't look like you exchanged any words with Coach Yakov\at this morning's public practice.\I'm fine!\I'll just do what I've always done in practice with Victor! response:	Why did Yakov take on that pork cutlet bowl?
context: And then Victor went back to Japan.\Ninth Skate Yuri vs. Yuri The Horror!! Rostelecom Cup, Free Skate\Yuri vs. Yuri. The Horror!! Rostelecom Cup, Free Skate.\Um, it didn't look like you exchanged any words with Coach Yakov\at this morning's public practice.\I'm fine!\I'll just do what I've always done in practice with Victor!\Why did Yakov take on that pork cutlet bowl? response:	Yuri, your grandfather's here.
