context: Fire! response:	Send word to the lords of every domain in Melromarc.
context: Fire!\Send word to the lords of every domain in Melromarc. response:	Ma'am.
context: Fire!\Send word to the lords of every domain in Melromarc.\Ma'am. response:	As you wish.
context: Fire!\Send word to the lords of every domain in Melromarc.\Ma'am.\As you wish. response:	That is no ordinary forest fire.
context: Fire!\Send word to the lords of every domain in Melromarc.\Ma'am.\As you wish.\That is no ordinary forest fire. response:	That woman probably started it.
context: Fire!\Send word to the lords of every domain in Melromarc.\Ma'am.\As you wish.\That is no ordinary forest fire.\That woman probably started it. response:	She's trying to smoke us out.
context: Fire!\Send word to the lords of every domain in Melromarc.\Ma'am.\As you wish.\That is no ordinary forest fire.\That woman probably started it.\She's trying to smoke us out. response:	Sister...
context: Fire!\Send word to the lords of every domain in Melromarc.\Ma'am.\As you wish.\That is no ordinary forest fire.\That woman probably started it.\She's trying to smoke us out.\Sister... response:	The fire will spread here soon.
context: Send word to the lords of every domain in Melromarc.\Ma'am.\As you wish.\That is no ordinary forest fire.\That woman probably started it.\She's trying to smoke us out.\Sister...\The fire will spread here soon. response:	We're leaving.
context: Ma'am.\As you wish.\That is no ordinary forest fire.\That woman probably started it.\She's trying to smoke us out.\Sister...\The fire will spread here soon.\We're leaving. response:	The checkpoint's been closed,
context: As you wish.\That is no ordinary forest fire.\That woman probably started it.\She's trying to smoke us out.\Sister...\The fire will spread here soon.\We're leaving.\The checkpoint's been closed, response:	and there's an emergency security deployment along the border.
context: That is no ordinary forest fire.\That woman probably started it.\She's trying to smoke us out.\Sister...\The fire will spread here soon.\We're leaving.\The checkpoint's been closed,\and there's an emergency security deployment along the border. response:	It's gonna be impossible to cross over to Siltvelt for a while.
context: That woman probably started it.\She's trying to smoke us out.\Sister...\The fire will spread here soon.\We're leaving.\The checkpoint's been closed,\and there's an emergency security deployment along the border.\It's gonna be impossible to cross over to Siltvelt for a while. response:	It seems the Devil of the Shield has abducted Princess Melty,
context: She's trying to smoke us out.\Sister...\The fire will spread here soon.\We're leaving.\The checkpoint's been closed,\and there's an emergency security deployment along the border.\It's gonna be impossible to cross over to Siltvelt for a while.\It seems the Devil of the Shield has abducted Princess Melty, response:	and is hiding in this area.
context: Sister...\The fire will spread here soon.\We're leaving.\The checkpoint's been closed,\and there's an emergency security deployment along the border.\It's gonna be impossible to cross over to Siltvelt for a while.\It seems the Devil of the Shield has abducted Princess Melty,\and is hiding in this area. response:	Will this be enough?
context: The fire will spread here soon.\We're leaving.\The checkpoint's been closed,\and there's an emergency security deployment along the border.\It's gonna be impossible to cross over to Siltvelt for a while.\It seems the Devil of the Shield has abducted Princess Melty,\and is hiding in this area.\Will this be enough? response:	Sure. Let me get your change.
