context: Mr. MacPhail's chosen the Ser Veresta? response:	Why won't you obey me?!
context: Mr. MacPhail's chosen the Ser Veresta?\Why won't you obey me?! response:	Ayato!
context: Mr. MacPhail's chosen the Ser Veresta?\Why won't you obey me?!\Ayato! response:	Just what I'd expect of you, Ayato.
context: Mr. MacPhail's chosen the Ser Veresta?\Why won't you obey me?!\Ayato!\Just what I'd expect of you, Ayato. response:	Ayato?
context: Mr. MacPhail's chosen the Ser Veresta?\Why won't you obey me?!\Ayato!\Just what I'd expect of you, Ayato.\Ayato? response:	Because I trust you, I'd like to ask a favor of you.
context: Mr. MacPhail's chosen the Ser Veresta?\Why won't you obey me?!\Ayato!\Just what I'd expect of you, Ayato.\Ayato?\Because I trust you, I'd like to ask a favor of you. response:	A Holiday for Two
context: Mr. MacPhail's chosen the Ser Veresta?\Why won't you obey me?!\Ayato!\Just what I'd expect of you, Ayato.\Ayato?\Because I trust you, I'd like to ask a favor of you.\A Holiday for Two response:	What am I doing here again?
context: Mr. MacPhail's chosen the Ser Veresta?\Why won't you obey me?!\Ayato!\Just what I'd expect of you, Ayato.\Ayato?\Because I trust you, I'd like to ask a favor of you.\A Holiday for Two\What am I doing here again? response:	Claudia? I'm coming in.
context: Why won't you obey me?!\Ayato!\Just what I'd expect of you, Ayato.\Ayato?\Because I trust you, I'd like to ask a favor of you.\A Holiday for Two\What am I doing here again?\Claudia? I'm coming in. response:	Oh, my... so you're here?
context: Ayato!\Just what I'd expect of you, Ayato.\Ayato?\Because I trust you, I'd like to ask a favor of you.\A Holiday for Two\What am I doing here again?\Claudia? I'm coming in.\Oh, my... so you're here? response:	Please make yourself at home.
context: Just what I'd expect of you, Ayato.\Ayato?\Because I trust you, I'd like to ask a favor of you.\A Holiday for Two\What am I doing here again?\Claudia? I'm coming in.\Oh, my... so you're here?\Please make yourself at home. response:	It's a spacious room.
context: Ayato?\Because I trust you, I'd like to ask a favor of you.\A Holiday for Two\What am I doing here again?\Claudia? I'm coming in.\Oh, my... so you're here?\Please make yourself at home.\It's a spacious room. response:	Is this one of the perks of being student council president?
context: Because I trust you, I'd like to ask a favor of you.\A Holiday for Two\What am I doing here again?\Claudia? I'm coming in.\Oh, my... so you're here?\Please make yourself at home.\It's a spacious room.\Is this one of the perks of being student council president? response:	No, not for being student council president.
context: A Holiday for Two\What am I doing here again?\Claudia? I'm coming in.\Oh, my... so you're here?\Please make yourself at home.\It's a spacious room.\Is this one of the perks of being student council president?\No, not for being student council president. response:	Rather, it's a fringe benefit for top-tier students.
context: What am I doing here again?\Claudia? I'm coming in.\Oh, my... so you're here?\Please make yourself at home.\It's a spacious room.\Is this one of the perks of being student council president?\No, not for being student council president.\Rather, it's a fringe benefit for top-tier students. response:	If you make your way up the rankings and become a Page One,
context: Claudia? I'm coming in.\Oh, my... so you're here?\Please make yourself at home.\It's a spacious room.\Is this one of the perks of being student council president?\No, not for being student council president.\Rather, it's a fringe benefit for top-tier students.\If you make your way up the rankings and become a Page One, response:	you'll be privy to private rooms such as this one.
context: Oh, my... so you're here?\Please make yourself at home.\It's a spacious room.\Is this one of the perks of being student council president?\No, not for being student council president.\Rather, it's a fringe benefit for top-tier students.\If you make your way up the rankings and become a Page One,\you'll be privy to private rooms such as this one. response:	Oh, so you're a Page One, too, Claudia?
context: Please make yourself at home.\It's a spacious room.\Is this one of the perks of being student council president?\No, not for being student council president.\Rather, it's a fringe benefit for top-tier students.\If you make your way up the rankings and become a Page One,\you'll be privy to private rooms such as this one.\Oh, so you're a Page One, too, Claudia? response:	My, what a sad thing to hear.
context: It's a spacious room.\Is this one of the perks of being student council president?\No, not for being student council president.\Rather, it's a fringe benefit for top-tier students.\If you make your way up the rankings and become a Page One,\you'll be privy to private rooms such as this one.\Oh, so you're a Page One, too, Claudia?\My, what a sad thing to hear. response:	Don't you think you could take a bit more interest in me, Ayato?
context: Is this one of the perks of being student council president?\No, not for being student council president.\Rather, it's a fringe benefit for top-tier students.\If you make your way up the rankings and become a Page One,\you'll be privy to private rooms such as this one.\Oh, so you're a Page One, too, Claudia?\My, what a sad thing to hear.\Don't you think you could take a bit more interest in me, Ayato? response:	M-My bad.
context: No, not for being student council president.\Rather, it's a fringe benefit for top-tier students.\If you make your way up the rankings and become a Page One,\you'll be privy to private rooms such as this one.\Oh, so you're a Page One, too, Claudia?\My, what a sad thing to hear.\Don't you think you could take a bit more interest in me, Ayato?\M-My bad. response:	Oh, well, compared to that, being student council president brings nothing but hassle,
context: Rather, it's a fringe benefit for top-tier students.\If you make your way up the rankings and become a Page One,\you'll be privy to private rooms such as this one.\Oh, so you're a Page One, too, Claudia?\My, what a sad thing to hear.\Don't you think you could take a bit more interest in me, Ayato?\M-My bad.\Oh, well, compared to that, being student council president brings nothing but hassle, response:	and it's far less fulfilling than you'd think.
context: If you make your way up the rankings and become a Page One,\you'll be privy to private rooms such as this one.\Oh, so you're a Page One, too, Claudia?\My, what a sad thing to hear.\Don't you think you could take a bit more interest in me, Ayato?\M-My bad.\Oh, well, compared to that, being student council president brings nothing but hassle,\and it's far less fulfilling than you'd think. response:	So why did you take on the job?
context: you'll be privy to private rooms such as this one.\Oh, so you're a Page One, too, Claudia?\My, what a sad thing to hear.\Don't you think you could take a bit more interest in me, Ayato?\M-My bad.\Oh, well, compared to that, being student council president brings nothing but hassle,\and it's far less fulfilling than you'd think.\So why did you take on the job? response:	Because I am fond of hassle.
context: Oh, so you're a Page One, too, Claudia?\My, what a sad thing to hear.\Don't you think you could take a bit more interest in me, Ayato?\M-My bad.\Oh, well, compared to that, being student council president brings nothing but hassle,\and it's far less fulfilling than you'd think.\So why did you take on the job?\Because I am fond of hassle. response:	So your summoning me here today...
context: My, what a sad thing to hear.\Don't you think you could take a bit more interest in me, Ayato?\M-My bad.\Oh, well, compared to that, being student council president brings nothing but hassle,\and it's far less fulfilling than you'd think.\So why did you take on the job?\Because I am fond of hassle.\So your summoning me here today... response:	does that have something to do with that hassle?
context: Don't you think you could take a bit more interest in me, Ayato?\M-My bad.\Oh, well, compared to that, being student council president brings nothing but hassle,\and it's far less fulfilling than you'd think.\So why did you take on the job?\Because I am fond of hassle.\So your summoning me here today...\does that have something to do with that hassle? response:	Thank goodness, I don't need to explain.
context: M-My bad.\Oh, well, compared to that, being student council president brings nothing but hassle,\and it's far less fulfilling than you'd think.\So why did you take on the job?\Because I am fond of hassle.\So your summoning me here today...\does that have something to do with that hassle?\Thank goodness, I don't need to explain. response:	Please take a look at this.
context: Oh, well, compared to that, being student council president brings nothing but hassle,\and it's far less fulfilling than you'd think.\So why did you take on the job?\Because I am fond of hassle.\So your summoning me here today...\does that have something to do with that hassle?\Thank goodness, I don't need to explain.\Please take a look at this. response:	These students were entered in the next Phoenix Festa,
context: and it's far less fulfilling than you'd think.\So why did you take on the job?\Because I am fond of hassle.\So your summoning me here today...\does that have something to do with that hassle?\Thank goodness, I don't need to explain.\Please take a look at this.\These students were entered in the next Phoenix Festa, response:	but they've been forced to withdraw from competition in the last few weeks due to injury.
context: So why did you take on the job?\Because I am fond of hassle.\So your summoning me here today...\does that have something to do with that hassle?\Thank goodness, I don't need to explain.\Please take a look at this.\These students were entered in the next Phoenix Festa,\but they've been forced to withdraw from competition in the last few weeks due to injury. response:	The causes are many,
context: Because I am fond of hassle.\So your summoning me here today...\does that have something to do with that hassle?\Thank goodness, I don't need to explain.\Please take a look at this.\These students were entered in the next Phoenix Festa,\but they've been forced to withdraw from competition in the last few weeks due to injury.\The causes are many, response:	but apparently...
context: So your summoning me here today...\does that have something to do with that hassle?\Thank goodness, I don't need to explain.\Please take a look at this.\These students were entered in the next Phoenix Festa,\but they've been forced to withdraw from competition in the last few weeks due to injury.\The causes are many,\but apparently... response:	They were attacked by somebody?
context: does that have something to do with that hassle?\Thank goodness, I don't need to explain.\Please take a look at this.\These students were entered in the next Phoenix Festa,\but they've been forced to withdraw from competition in the last few weeks due to injury.\The causes are many,\but apparently...\They were attacked by somebody? response:	Like in Julis's case?
context: Thank goodness, I don't need to explain.\Please take a look at this.\These students were entered in the next Phoenix Festa,\but they've been forced to withdraw from competition in the last few weeks due to injury.\The causes are many,\but apparently...\They were attacked by somebody?\Like in Julis's case? response:	It's highly likely.
