context: W- what!? What was that!? response:	I've found you!
context: W- what!? What was that!?\I've found you! response:	V- V- V-...
context: W- what!? What was that!?\I've found you!\V- V- V-... response:	How dare you make a mockery of me!
context: W- what!? What was that!?\I've found you!\V- V- V-...\How dare you make a mockery of me! response:	Where is the Dragon Ball!?
context: W- what!? What was that!?\I've found you!\V- V- V-...\How dare you make a mockery of me!\Where is the Dragon Ball!? response:	There.
context: W- what!? What was that!?\I've found you!\V- V- V-...\How dare you make a mockery of me!\Where is the Dragon Ball!?\There. response:	Where is it!?
context: W- what!? What was that!?\I've found you!\V- V- V-...\How dare you make a mockery of me!\Where is the Dragon Ball!?\There.\Where is it!? response:	I- I told you... it's right there.
context: W- what!? What was that!?\I've found you!\V- V- V-...\How dare you make a mockery of me!\Where is the Dragon Ball!?\There.\Where is it!?\I- I told you... it's right there. response:	If you won't tell me, then I'll just have to do this!
context: I've found you!\V- V- V-...\How dare you make a mockery of me!\Where is the Dragon Ball!?\There.\Where is it!?\I- I told you... it's right there.\If you won't tell me, then I'll just have to do this! response:	What are you talking about? l've been telling you, haven't l?
context: V- V- V-...\How dare you make a mockery of me!\Where is the Dragon Ball!?\There.\Where is it!?\I- I told you... it's right there.\If you won't tell me, then I'll just have to do this!\What are you talking about? l've been telling you, haven't l? response:	It's there! It's there! Why don't you get it!?
context: How dare you make a mockery of me!\Where is the Dragon Ball!?\There.\Where is it!?\I- I told you... it's right there.\If you won't tell me, then I'll just have to do this!\What are you talking about? l've been telling you, haven't l?\It's there! It's there! Why don't you get it!? response:	It's there, I tell you!
context: Where is the Dragon Ball!?\There.\Where is it!?\I- I told you... it's right there.\If you won't tell me, then I'll just have to do this!\What are you talking about? l've been telling you, haven't l?\It's there! It's there! Why don't you get it!?\It's there, I tell you! response:	It was a dream, huh?
context: There.\Where is it!?\I- I told you... it's right there.\If you won't tell me, then I'll just have to do this!\What are you talking about? l've been telling you, haven't l?\It's there! It's there! Why don't you get it!?\It's there, I tell you!\It was a dream, huh? response:	Damn it...
context: Where is it!?\I- I told you... it's right there.\If you won't tell me, then I'll just have to do this!\What are you talking about? l've been telling you, haven't l?\It's there! It's there! Why don't you get it!?\It's there, I tell you!\It was a dream, huh?\Damn it... response:	lf the device that kid was holding
context: I- I told you... it's right there.\If you won't tell me, then I'll just have to do this!\What are you talking about? l've been telling you, haven't l?\It's there! It's there! Why don't you get it!?\It's there, I tell you!\It was a dream, huh?\Damn it...\lf the device that kid was holding response:	really is something that can seek out Dragon Balls,
context: If you won't tell me, then I'll just have to do this!\What are you talking about? l've been telling you, haven't l?\It's there! It's there! Why don't you get it!?\It's there, I tell you!\It was a dream, huh?\Damn it...\lf the device that kid was holding\really is something that can seek out Dragon Balls, response:	then I can't be careless about leaving here.
context: What are you talking about? l've been telling you, haven't l?\It's there! It's there! Why don't you get it!?\It's there, I tell you!\It was a dream, huh?\Damn it...\lf the device that kid was holding\really is something that can seek out Dragon Balls,\then I can't be careless about leaving here. response:	They wanted these six, too.
context: It's there! It's there! Why don't you get it!?\It's there, I tell you!\It was a dream, huh?\Damn it...\lf the device that kid was holding\really is something that can seek out Dragon Balls,\then I can't be careless about leaving here.\They wanted these six, too. response:	All I can do is wait for them to make their move.
context: It's there, I tell you!\It was a dream, huh?\Damn it...\lf the device that kid was holding\really is something that can seek out Dragon Balls,\then I can't be careless about leaving here.\They wanted these six, too.\All I can do is wait for them to make their move. response:	Freeza is starting to get pretty impatient, huh?
context: It was a dream, huh?\Damn it...\lf the device that kid was holding\really is something that can seek out Dragon Balls,\then I can't be careless about leaving here.\They wanted these six, too.\All I can do is wait for them to make their move.\Freeza is starting to get pretty impatient, huh? response:	That means l've destroyed the spaceship's power, and he can't move.
context: Damn it...\lf the device that kid was holding\really is something that can seek out Dragon Balls,\then I can't be careless about leaving here.\They wanted these six, too.\All I can do is wait for them to make their move.\Freeza is starting to get pretty impatient, huh?\That means l've destroyed the spaceship's power, and he can't move. response:	Even assuming that he radioed to have more Scouters brought here,
context: lf the device that kid was holding\really is something that can seek out Dragon Balls,\then I can't be careless about leaving here.\They wanted these six, too.\All I can do is wait for them to make their move.\Freeza is starting to get pretty impatient, huh?\That means l've destroyed the spaceship's power, and he can't move.\Even assuming that he radioed to have more Scouters brought here, response:	it would take three or four days for them to get here, at best.
context: really is something that can seek out Dragon Balls,\then I can't be careless about leaving here.\They wanted these six, too.\All I can do is wait for them to make their move.\Freeza is starting to get pretty impatient, huh?\That means l've destroyed the spaceship's power, and he can't move.\Even assuming that he radioed to have more Scouters brought here,\it would take three or four days for them to get here, at best. response:	l'll have to settle this before that time.
context: then I can't be careless about leaving here.\They wanted these six, too.\All I can do is wait for them to make their move.\Freeza is starting to get pretty impatient, huh?\That means l've destroyed the spaceship's power, and he can't move.\Even assuming that he radioed to have more Scouters brought here,\it would take three or four days for them to get here, at best.\l'll have to settle this before that time. response:	lf I can just acquire eternal life with the Dragon Balls,
context: They wanted these six, too.\All I can do is wait for them to make their move.\Freeza is starting to get pretty impatient, huh?\That means l've destroyed the spaceship's power, and he can't move.\Even assuming that he radioed to have more Scouters brought here,\it would take three or four days for them to get here, at best.\l'll have to settle this before that time.\lf I can just acquire eternal life with the Dragon Balls, response:	then depending on my strategy, l'm sure I will be able to defeat Freeza.
context: All I can do is wait for them to make their move.\Freeza is starting to get pretty impatient, huh?\That means l've destroyed the spaceship's power, and he can't move.\Even assuming that he radioed to have more Scouters brought here,\it would take three or four days for them to get here, at best.\l'll have to settle this before that time.\lf I can just acquire eternal life with the Dragon Balls,\then depending on my strategy, l'm sure I will be able to defeat Freeza. response:	Now, when he doesn't have a Scouter, is my chance.
context: Freeza is starting to get pretty impatient, huh?\That means l've destroyed the spaceship's power, and he can't move.\Even assuming that he radioed to have more Scouters brought here,\it would take three or four days for them to get here, at best.\l'll have to settle this before that time.\lf I can just acquire eternal life with the Dragon Balls,\then depending on my strategy, l'm sure I will be able to defeat Freeza.\Now, when he doesn't have a Scouter, is my chance. response:	That miserable Vegeta!
context: That means l've destroyed the spaceship's power, and he can't move.\Even assuming that he radioed to have more Scouters brought here,\it would take three or four days for them to get here, at best.\l'll have to settle this before that time.\lf I can just acquire eternal life with the Dragon Balls,\then depending on my strategy, l'm sure I will be able to defeat Freeza.\Now, when he doesn't have a Scouter, is my chance.\That miserable Vegeta! response:	W- what is with all these earthquakes lately?
context: Even assuming that he radioed to have more Scouters brought here,\it would take three or four days for them to get here, at best.\l'll have to settle this before that time.\lf I can just acquire eternal life with the Dragon Balls,\then depending on my strategy, l'm sure I will be able to defeat Freeza.\Now, when he doesn't have a Scouter, is my chance.\That miserable Vegeta!\W- what is with all these earthquakes lately? response:	That's it! I've had all I can take of this crazy planet!
context: it would take three or four days for them to get here, at best.\l'll have to settle this before that time.\lf I can just acquire eternal life with the Dragon Balls,\then depending on my strategy, l'm sure I will be able to defeat Freeza.\Now, when he doesn't have a Scouter, is my chance.\That miserable Vegeta!\W- what is with all these earthquakes lately?\That's it! I've had all I can take of this crazy planet! response:	Damn, it's going to take quite a bit of time for us to get there at this speed.
context: l'll have to settle this before that time.\lf I can just acquire eternal life with the Dragon Balls,\then depending on my strategy, l'm sure I will be able to defeat Freeza.\Now, when he doesn't have a Scouter, is my chance.\That miserable Vegeta!\W- what is with all these earthquakes lately?\That's it! I've had all I can take of this crazy planet!\Damn, it's going to take quite a bit of time for us to get there at this speed. response:	But if we use any more Ki than this,
context: lf I can just acquire eternal life with the Dragon Balls,\then depending on my strategy, l'm sure I will be able to defeat Freeza.\Now, when he doesn't have a Scouter, is my chance.\That miserable Vegeta!\W- what is with all these earthquakes lately?\That's it! I've had all I can take of this crazy planet!\Damn, it's going to take quite a bit of time for us to get there at this speed.\But if we use any more Ki than this, response:	that Vegeta bastard will find us, no doubt about it.
context: then depending on my strategy, l'm sure I will be able to defeat Freeza.\Now, when he doesn't have a Scouter, is my chance.\That miserable Vegeta!\W- what is with all these earthquakes lately?\That's it! I've had all I can take of this crazy planet!\Damn, it's going to take quite a bit of time for us to get there at this speed.\But if we use any more Ki than this,\that Vegeta bastard will find us, no doubt about it. response:	It looked like he had gotten even stronger.
context: Now, when he doesn't have a Scouter, is my chance.\That miserable Vegeta!\W- what is with all these earthquakes lately?\That's it! I've had all I can take of this crazy planet!\Damn, it's going to take quite a bit of time for us to get there at this speed.\But if we use any more Ki than this,\that Vegeta bastard will find us, no doubt about it.\It looked like he had gotten even stronger. response:	Right now, even with the two of us
context: That miserable Vegeta!\W- what is with all these earthquakes lately?\That's it! I've had all I can take of this crazy planet!\Damn, it's going to take quite a bit of time for us to get there at this speed.\But if we use any more Ki than this,\that Vegeta bastard will find us, no doubt about it.\It looked like he had gotten even stronger.\Right now, even with the two of us response:	going at him together, there's no way we could beat him.
context: W- what is with all these earthquakes lately?\That's it! I've had all I can take of this crazy planet!\Damn, it's going to take quite a bit of time for us to get there at this speed.\But if we use any more Ki than this,\that Vegeta bastard will find us, no doubt about it.\It looked like he had gotten even stronger.\Right now, even with the two of us\going at him together, there's no way we could beat him. response:	But then, do I really have enough power to rival Vegeta?
context: That's it! I've had all I can take of this crazy planet!\Damn, it's going to take quite a bit of time for us to get there at this speed.\But if we use any more Ki than this,\that Vegeta bastard will find us, no doubt about it.\It looked like he had gotten even stronger.\Right now, even with the two of us\going at him together, there's no way we could beat him.\But then, do I really have enough power to rival Vegeta? response:	I wouldn't think so.
