context: We will now begin the second phase of the footman audition. response:	There is only one assignment in this second phase.
context: We will now begin the second phase of the footman audition.\There is only one assignment in this second phase. response:	Please arrange the table nicely for afternoon tea.
context: We will now begin the second phase of the footman audition.\There is only one assignment in this second phase.\Please arrange the table nicely for afternoon tea. response:	Crap, I don't have a clue.
context: We will now begin the second phase of the footman audition.\There is only one assignment in this second phase.\Please arrange the table nicely for afternoon tea.\Crap, I don't have a clue. response:	Aren't there supposed to be some guidelines?
context: We will now begin the second phase of the footman audition.\There is only one assignment in this second phase.\Please arrange the table nicely for afternoon tea.\Crap, I don't have a clue.\Aren't there supposed to be some guidelines? response:	Consider the occasion and mood, and arrange it accordingly.
context: We will now begin the second phase of the footman audition.\There is only one assignment in this second phase.\Please arrange the table nicely for afternoon tea.\Crap, I don't have a clue.\Aren't there supposed to be some guidelines?\Consider the occasion and mood, and arrange it accordingly. response:	It's important to understand how to set a table, but use your taste to cover places you don't know.
context: We will now begin the second phase of the footman audition.\There is only one assignment in this second phase.\Please arrange the table nicely for afternoon tea.\Crap, I don't have a clue.\Aren't there supposed to be some guidelines?\Consider the occasion and mood, and arrange it accordingly.\It's important to understand how to set a table, but use your taste to cover places you don't know. response:	How one little thing is placed could alter the appearance.
context: We will now begin the second phase of the footman audition.\There is only one assignment in this second phase.\Please arrange the table nicely for afternoon tea.\Crap, I don't have a clue.\Aren't there supposed to be some guidelines?\Consider the occasion and mood, and arrange it accordingly.\It's important to understand how to set a table, but use your taste to cover places you don't know.\How one little thing is placed could alter the appearance. response:	Being considerate and having good taste are important.
context: There is only one assignment in this second phase.\Please arrange the table nicely for afternoon tea.\Crap, I don't have a clue.\Aren't there supposed to be some guidelines?\Consider the occasion and mood, and arrange it accordingly.\It's important to understand how to set a table, but use your taste to cover places you don't know.\How one little thing is placed could alter the appearance.\Being considerate and having good taste are important. response:	You have 10 minutes.
context: Please arrange the table nicely for afternoon tea.\Crap, I don't have a clue.\Aren't there supposed to be some guidelines?\Consider the occasion and mood, and arrange it accordingly.\It's important to understand how to set a table, but use your taste to cover places you don't know.\How one little thing is placed could alter the appearance.\Being considerate and having good taste are important.\You have 10 minutes. response:	I will protect Maid Latte.
context: Crap, I don't have a clue.\Aren't there supposed to be some guidelines?\Consider the occasion and mood, and arrange it accordingly.\It's important to understand how to set a table, but use your taste to cover places you don't know.\How one little thing is placed could alter the appearance.\Being considerate and having good taste are important.\You have 10 minutes.\I will protect Maid Latte. response:	Please begin.
context: Aren't there supposed to be some guidelines?\Consider the occasion and mood, and arrange it accordingly.\It's important to understand how to set a table, but use your taste to cover places you don't know.\How one little thing is placed could alter the appearance.\Being considerate and having good taste are important.\You have 10 minutes.\I will protect Maid Latte.\Please begin. response:	Which one should I choose?
context: Consider the occasion and mood, and arrange it accordingly.\It's important to understand how to set a table, but use your taste to cover places you don't know.\How one little thing is placed could alter the appearance.\Being considerate and having good taste are important.\You have 10 minutes.\I will protect Maid Latte.\Please begin.\Which one should I choose? response:	Let's go, Usui!
context: It's important to understand how to set a table, but use your taste to cover places you don't know.\How one little thing is placed could alter the appearance.\Being considerate and having good taste are important.\You have 10 minutes.\I will protect Maid Latte.\Please begin.\Which one should I choose?\Let's go, Usui! response:	Hold on.
context: How one little thing is placed could alter the appearance.\Being considerate and having good taste are important.\You have 10 minutes.\I will protect Maid Latte.\Please begin.\Which one should I choose?\Let's go, Usui!\Hold on. response:	What was that? Are you planning on killing me?
context: Being considerate and having good taste are important.\You have 10 minutes.\I will protect Maid Latte.\Please begin.\Which one should I choose?\Let's go, Usui!\Hold on.\What was that? Are you planning on killing me? response:	Who's the one that's going to enjoy the afternoon tea?
context: You have 10 minutes.\I will protect Maid Latte.\Please begin.\Which one should I choose?\Let's go, Usui!\Hold on.\What was that? Are you planning on killing me?\Who's the one that's going to enjoy the afternoon tea? response:	Huh?
context: I will protect Maid Latte.\Please begin.\Which one should I choose?\Let's go, Usui!\Hold on.\What was that? Are you planning on killing me?\Who's the one that's going to enjoy the afternoon tea?\Huh? response:	Who are we setting the table for?
context: Please begin.\Which one should I choose?\Let's go, Usui!\Hold on.\What was that? Are you planning on killing me?\Who's the one that's going to enjoy the afternoon tea?\Huh?\Who are we setting the table for? response:	The person's going to be elegantly enjoying the tea at a British looking cafe, so...
context: Which one should I choose?\Let's go, Usui!\Hold on.\What was that? Are you planning on killing me?\Who's the one that's going to enjoy the afternoon tea?\Huh?\Who are we setting the table for?\The person's going to be elegantly enjoying the tea at a British looking cafe, so... response:	It'll be a classy madam or rich girls!
context: Let's go, Usui!\Hold on.\What was that? Are you planning on killing me?\Who's the one that's going to enjoy the afternoon tea?\Huh?\Who are we setting the table for?\The person's going to be elegantly enjoying the tea at a British looking cafe, so...\It'll be a classy madam or rich girls! response:	Usui!
context: Hold on.\What was that? Are you planning on killing me?\Who's the one that's going to enjoy the afternoon tea?\Huh?\Who are we setting the table for?\The person's going to be elegantly enjoying the tea at a British looking cafe, so...\It'll be a classy madam or rich girls!\Usui! response:	I went and got every cake out there.
context: What was that? Are you planning on killing me?\Who's the one that's going to enjoy the afternoon tea?\Huh?\Who are we setting the table for?\The person's going to be elegantly enjoying the tea at a British looking cafe, so...\It'll be a classy madam or rich girls!\Usui!\I went and got every cake out there. response:	This will be plenty, right?
context: Who's the one that's going to enjoy the afternoon tea?\Huh?\Who are we setting the table for?\The person's going to be elegantly enjoying the tea at a British looking cafe, so...\It'll be a classy madam or rich girls!\Usui!\I went and got every cake out there.\This will be plenty, right? response:	Whee, so much.
context: Huh?\Who are we setting the table for?\The person's going to be elegantly enjoying the tea at a British looking cafe, so...\It'll be a classy madam or rich girls!\Usui!\I went and got every cake out there.\This will be plenty, right?\Whee, so much. response:	It's almost like a cake buffet.
context: Who are we setting the table for?\The person's going to be elegantly enjoying the tea at a British looking cafe, so...\It'll be a classy madam or rich girls!\Usui!\I went and got every cake out there.\This will be plenty, right?\Whee, so much.\It's almost like a cake buffet. response:	Not exactly elegant, huh?
context: The person's going to be elegantly enjoying the tea at a British looking cafe, so...\It'll be a classy madam or rich girls!\Usui!\I went and got every cake out there.\This will be plenty, right?\Whee, so much.\It's almost like a cake buffet.\Not exactly elegant, huh? response:	How about using something like this?
context: It'll be a classy madam or rich girls!\Usui!\I went and got every cake out there.\This will be plenty, right?\Whee, so much.\It's almost like a cake buffet.\Not exactly elegant, huh?\How about using something like this? response:	Hey, that looks nice.
context: Usui!\I went and got every cake out there.\This will be plenty, right?\Whee, so much.\It's almost like a cake buffet.\Not exactly elegant, huh?\How about using something like this?\Hey, that looks nice. response:	3 minutes remaining.
context: I went and got every cake out there.\This will be plenty, right?\Whee, so much.\It's almost like a cake buffet.\Not exactly elegant, huh?\How about using something like this?\Hey, that looks nice.\3 minutes remaining. response:	We have to set it up fast!
context: This will be plenty, right?\Whee, so much.\It's almost like a cake buffet.\Not exactly elegant, huh?\How about using something like this?\Hey, that looks nice.\3 minutes remaining.\We have to set it up fast! response:	Mind if I choose?
context: Whee, so much.\It's almost like a cake buffet.\Not exactly elegant, huh?\How about using something like this?\Hey, that looks nice.\3 minutes remaining.\We have to set it up fast!\Mind if I choose? response:	I don't get why, but you look confident.
context: It's almost like a cake buffet.\Not exactly elegant, huh?\How about using something like this?\Hey, that looks nice.\3 minutes remaining.\We have to set it up fast!\Mind if I choose?\I don't get why, but you look confident. response:	Put scones at the bottom rack of the cake stand.
context: Not exactly elegant, huh?\How about using something like this?\Hey, that looks nice.\3 minutes remaining.\We have to set it up fast!\Mind if I choose?\I don't get why, but you look confident.\Put scones at the bottom rack of the cake stand. response:	Go find red jam and clotted cream for me.
context: How about using something like this?\Hey, that looks nice.\3 minutes remaining.\We have to set it up fast!\Mind if I choose?\I don't get why, but you look confident.\Put scones at the bottom rack of the cake stand.\Go find red jam and clotted cream for me. response:	Clotted?
context: Hey, that looks nice.\3 minutes remaining.\We have to set it up fast!\Mind if I choose?\I don't get why, but you look confident.\Put scones at the bottom rack of the cake stand.\Go find red jam and clotted cream for me.\Clotted? response:	Put packed sandwiches in the middle rack.
context: 3 minutes remaining.\We have to set it up fast!\Mind if I choose?\I don't get why, but you look confident.\Put scones at the bottom rack of the cake stand.\Go find red jam and clotted cream for me.\Clotted?\Put packed sandwiches in the middle rack. response:	Packed?
context: We have to set it up fast!\Mind if I choose?\I don't get why, but you look confident.\Put scones at the bottom rack of the cake stand.\Go find red jam and clotted cream for me.\Clotted?\Put packed sandwiches in the middle rack.\Packed? response:	And on the top rack, pick out small cakes from what you brought.
context: Mind if I choose?\I don't get why, but you look confident.\Put scones at the bottom rack of the cake stand.\Go find red jam and clotted cream for me.\Clotted?\Put packed sandwiches in the middle rack.\Packed?\And on the top rack, pick out small cakes from what you brought. response:	Which ones do you want?
