context: An employee directory dating back to ten years. response:	It should be sufficient if we're able to trace the records to that extent.
context: An employee directory dating back to ten years.\It should be sufficient if we're able to trace the records to that extent. response:	If we can find the corporate spies who stole them, the identity of the contractor who's after them will eventually turn up.
context: An employee directory dating back to ten years.\It should be sufficient if we're able to trace the records to that extent.\If we can find the corporate spies who stole them, the identity of the contractor who's after them will eventually turn up. response:	Still don't know where Mao is?
context: An employee directory dating back to ten years.\It should be sufficient if we're able to trace the records to that extent.\If we can find the corporate spies who stole them, the identity of the contractor who's after them will eventually turn up.\Still don't know where Mao is? response:	I'm searching for him now.
context: An employee directory dating back to ten years.\It should be sufficient if we're able to trace the records to that extent.\If we can find the corporate spies who stole them, the identity of the contractor who's after them will eventually turn up.\Still don't know where Mao is?\I'm searching for him now. response:	We're from the police.
context: An employee directory dating back to ten years.\It should be sufficient if we're able to trace the records to that extent.\If we can find the corporate spies who stole them, the identity of the contractor who's after them will eventually turn up.\Still don't know where Mao is?\I'm searching for him now.\We're from the police. response:	There are a few things we'd like to ask you, madam.
context: An employee directory dating back to ten years.\It should be sufficient if we're able to trace the records to that extent.\If we can find the corporate spies who stole them, the identity of the contractor who's after them will eventually turn up.\Still don't know where Mao is?\I'm searching for him now.\We're from the police.\There are a few things we'd like to ask you, madam. response:	W-Where the hell am I?
context: An employee directory dating back to ten years.\It should be sufficient if we're able to trace the records to that extent.\If we can find the corporate spies who stole them, the identity of the contractor who's after them will eventually turn up.\Still don't know where Mao is?\I'm searching for him now.\We're from the police.\There are a few things we'd like to ask you, madam.\W-Where the hell am I? response:	Dental records identified the corpse as Katsuragi Toshiko, the owner of the house.
context: It should be sufficient if we're able to trace the records to that extent.\If we can find the corporate spies who stole them, the identity of the contractor who's after them will eventually turn up.\Still don't know where Mao is?\I'm searching for him now.\We're from the police.\There are a few things we'd like to ask you, madam.\W-Where the hell am I?\Dental records identified the corpse as Katsuragi Toshiko, the owner of the house. response:	It's only natural to conclude that she fell as she leaned on the banister, which gave under her weight.
context: If we can find the corporate spies who stole them, the identity of the contractor who's after them will eventually turn up.\Still don't know where Mao is?\I'm searching for him now.\We're from the police.\There are a few things we'd like to ask you, madam.\W-Where the hell am I?\Dental records identified the corpse as Katsuragi Toshiko, the owner of the house.\It's only natural to conclude that she fell as she leaned on the banister, which gave under her weight. response:	It seemed plausible, since it was an old house.
context: Still don't know where Mao is?\I'm searching for him now.\We're from the police.\There are a few things we'd like to ask you, madam.\W-Where the hell am I?\Dental records identified the corpse as Katsuragi Toshiko, the owner of the house.\It's only natural to conclude that she fell as she leaned on the banister, which gave under her weight.\It seemed plausible, since it was an old house. response:	That's why it would have been filed as a mere accident
context: I'm searching for him now.\We're from the police.\There are a few things we'd like to ask you, madam.\W-Where the hell am I?\Dental records identified the corpse as Katsuragi Toshiko, the owner of the house.\It's only natural to conclude that she fell as she leaned on the banister, which gave under her weight.\It seemed plausible, since it was an old house.\That's why it would have been filed as a mere accident response:	until you came into the picture, Matsukichi.
context: We're from the police.\There are a few things we'd like to ask you, madam.\W-Where the hell am I?\Dental records identified the corpse as Katsuragi Toshiko, the owner of the house.\It's only natural to conclude that she fell as she leaned on the banister, which gave under her weight.\It seemed plausible, since it was an old house.\That's why it would have been filed as a mere accident\until you came into the picture, Matsukichi. response:	I threw away that name along with my past.
context: There are a few things we'd like to ask you, madam.\W-Where the hell am I?\Dental records identified the corpse as Katsuragi Toshiko, the owner of the house.\It's only natural to conclude that she fell as she leaned on the banister, which gave under her weight.\It seemed plausible, since it was an old house.\That's why it would have been filed as a mere accident\until you came into the picture, Matsukichi.\I threw away that name along with my past. response:	My name is Gai, Kurasawa Gai.
context: W-Where the hell am I?\Dental records identified the corpse as Katsuragi Toshiko, the owner of the house.\It's only natural to conclude that she fell as she leaned on the banister, which gave under her weight.\It seemed plausible, since it was an old house.\That's why it would have been filed as a mere accident\until you came into the picture, Matsukichi.\I threw away that name along with my past.\My name is Gai, Kurasawa Gai. response:	What are you showing off for, you idiot?
context: Dental records identified the corpse as Katsuragi Toshiko, the owner of the house.\It's only natural to conclude that she fell as she leaned on the banister, which gave under her weight.\It seemed plausible, since it was an old house.\That's why it would have been filed as a mere accident\until you came into the picture, Matsukichi.\I threw away that name along with my past.\My name is Gai, Kurasawa Gai.\What are you showing off for, you idiot? response:	Is there any connection between the cosmetic company suicides and this incident?
context: It's only natural to conclude that she fell as she leaned on the banister, which gave under her weight.\It seemed plausible, since it was an old house.\That's why it would have been filed as a mere accident\until you came into the picture, Matsukichi.\I threw away that name along with my past.\My name is Gai, Kurasawa Gai.\What are you showing off for, you idiot?\Is there any connection between the cosmetic company suicides and this incident? response:	I left that job because I was sick of the lack of imagination.
context: It seemed plausible, since it was an old house.\That's why it would have been filed as a mere accident\until you came into the picture, Matsukichi.\I threw away that name along with my past.\My name is Gai, Kurasawa Gai.\What are you showing off for, you idiot?\Is there any connection between the cosmetic company suicides and this incident?\I left that job because I was sick of the lack of imagination. response:	The reason you quit being a cop was because you never had any sense of imagination, period.
context: That's why it would have been filed as a mere accident\until you came into the picture, Matsukichi.\I threw away that name along with my past.\My name is Gai, Kurasawa Gai.\What are you showing off for, you idiot?\Is there any connection between the cosmetic company suicides and this incident?\I left that job because I was sick of the lack of imagination.\The reason you quit being a cop was because you never had any sense of imagination, period. response:	Detective work doesn't suit you either.
context: until you came into the picture, Matsukichi.\I threw away that name along with my past.\My name is Gai, Kurasawa Gai.\What are you showing off for, you idiot?\Is there any connection between the cosmetic company suicides and this incident?\I left that job because I was sick of the lack of imagination.\The reason you quit being a cop was because you never had any sense of imagination, period.\Detective work doesn't suit you either. response:	You should go back to your homeland
context: I threw away that name along with my past.\My name is Gai, Kurasawa Gai.\What are you showing off for, you idiot?\Is there any connection between the cosmetic company suicides and this incident?\I left that job because I was sick of the lack of imagination.\The reason you quit being a cop was because you never had any sense of imagination, period.\Detective work doesn't suit you either.\You should go back to your homeland response:	for your own sake, Matsukichi.
context: My name is Gai, Kurasawa Gai.\What are you showing off for, you idiot?\Is there any connection between the cosmetic company suicides and this incident?\I left that job because I was sick of the lack of imagination.\The reason you quit being a cop was because you never had any sense of imagination, period.\Detective work doesn't suit you either.\You should go back to your homeland\for your own sake, Matsukichi. response:	My name is Kurasawa Gai, private investigator.
context: What are you showing off for, you idiot?\Is there any connection between the cosmetic company suicides and this incident?\I left that job because I was sick of the lack of imagination.\The reason you quit being a cop was because you never had any sense of imagination, period.\Detective work doesn't suit you either.\You should go back to your homeland\for your own sake, Matsukichi.\My name is Kurasawa Gai, private investigator. response:	It definitely isn't Matsukichi.
context: Is there any connection between the cosmetic company suicides and this incident?\I left that job because I was sick of the lack of imagination.\The reason you quit being a cop was because you never had any sense of imagination, period.\Detective work doesn't suit you either.\You should go back to your homeland\for your own sake, Matsukichi.\My name is Kurasawa Gai, private investigator.\It definitely isn't Matsukichi. response:	The case that started out as a search for a cat has developed into one about an ex-wife's mysterious death.
context: I left that job because I was sick of the lack of imagination.\The reason you quit being a cop was because you never had any sense of imagination, period.\Detective work doesn't suit you either.\You should go back to your homeland\for your own sake, Matsukichi.\My name is Kurasawa Gai, private investigator.\It definitely isn't Matsukichi.\The case that started out as a search for a cat has developed into one about an ex-wife's mysterious death. response:	My intuition tells me it'll develop into an even bigger case.
context: The reason you quit being a cop was because you never had any sense of imagination, period.\Detective work doesn't suit you either.\You should go back to your homeland\for your own sake, Matsukichi.\My name is Kurasawa Gai, private investigator.\It definitely isn't Matsukichi.\The case that started out as a search for a cat has developed into one about an ex-wife's mysterious death.\My intuition tells me it'll develop into an even bigger case. response:	I found him.
context: Detective work doesn't suit you either.\You should go back to your homeland\for your own sake, Matsukichi.\My name is Kurasawa Gai, private investigator.\It definitely isn't Matsukichi.\The case that started out as a search for a cat has developed into one about an ex-wife's mysterious death.\My intuition tells me it'll develop into an even bigger case.\I found him. response:	You're not going to your part-time job at this time of night, are you?
context: You should go back to your homeland\for your own sake, Matsukichi.\My name is Kurasawa Gai, private investigator.\It definitely isn't Matsukichi.\The case that started out as a search for a cat has developed into one about an ex-wife's mysterious death.\My intuition tells me it'll develop into an even bigger case.\I found him.\You're not going to your part-time job at this time of night, are you? response:	Why are you loitering around here?
context: for your own sake, Matsukichi.\My name is Kurasawa Gai, private investigator.\It definitely isn't Matsukichi.\The case that started out as a search for a cat has developed into one about an ex-wife's mysterious death.\My intuition tells me it'll develop into an even bigger case.\I found him.\You're not going to your part-time job at this time of night, are you?\Why are you loitering around here? response:	Is there something wrong with taking a walk?
context: My name is Kurasawa Gai, private investigator.\It definitely isn't Matsukichi.\The case that started out as a search for a cat has developed into one about an ex-wife's mysterious death.\My intuition tells me it'll develop into an even bigger case.\I found him.\You're not going to your part-time job at this time of night, are you?\Why are you loitering around here?\Is there something wrong with taking a walk? response:	Around here, though?
context: It definitely isn't Matsukichi.\The case that started out as a search for a cat has developed into one about an ex-wife's mysterious death.\My intuition tells me it'll develop into an even bigger case.\I found him.\You're not going to your part-time job at this time of night, are you?\Why are you loitering around here?\Is there something wrong with taking a walk?\Around here, though? response:	The stars are pretty.
context: The case that started out as a search for a cat has developed into one about an ex-wife's mysterious death.\My intuition tells me it'll develop into an even bigger case.\I found him.\You're not going to your part-time job at this time of night, are you?\Why are you loitering around here?\Is there something wrong with taking a walk?\Around here, though?\The stars are pretty. response:	Stars?
context: My intuition tells me it'll develop into an even bigger case.\I found him.\You're not going to your part-time job at this time of night, are you?\Why are you loitering around here?\Is there something wrong with taking a walk?\Around here, though?\The stars are pretty.\Stars? response:	What are you talking about? It's overcast.
context: I found him.\You're not going to your part-time job at this time of night, are you?\Why are you loitering around here?\Is there something wrong with taking a walk?\Around here, though?\The stars are pretty.\Stars?\What are you talking about? It's overcast. response:	Are you all right?
context: You're not going to your part-time job at this time of night, are you?\Why are you loitering around here?\Is there something wrong with taking a walk?\Around here, though?\The stars are pretty.\Stars?\What are you talking about? It's overcast.\Are you all right? response:	I suppose they questioned you about every single detail.
context: Why are you loitering around here?\Is there something wrong with taking a walk?\Around here, though?\The stars are pretty.\Stars?\What are you talking about? It's overcast.\Are you all right?\I suppose they questioned you about every single detail. response:	The police are rather insensitive.
context: Is there something wrong with taking a walk?\Around here, though?\The stars are pretty.\Stars?\What are you talking about? It's overcast.\Are you all right?\I suppose they questioned you about every single detail.\The police are rather insensitive. response:	I apologize on their behalf.
context: Around here, though?\The stars are pretty.\Stars?\What are you talking about? It's overcast.\Are you all right?\I suppose they questioned you about every single detail.\The police are rather insensitive.\I apologize on their behalf. response:	No, it's not something you should be apologizing for, Mr. Detective.
context: The stars are pretty.\Stars?\What are you talking about? It's overcast.\Are you all right?\I suppose they questioned you about every single detail.\The police are rather insensitive.\I apologize on their behalf.\No, it's not something you should be apologizing for, Mr. Detective. response:	About the cat that was found...
context: Stars?\What are you talking about? It's overcast.\Are you all right?\I suppose they questioned you about every single detail.\The police are rather insensitive.\I apologize on their behalf.\No, it's not something you should be apologizing for, Mr. Detective.\About the cat that was found... response:	Cat?
context: What are you talking about? It's overcast.\Are you all right?\I suppose they questioned you about every single detail.\The police are rather insensitive.\I apologize on their behalf.\No, it's not something you should be apologizing for, Mr. Detective.\About the cat that was found...\Cat? response:	Yes, the cat.
context: Are you all right?\I suppose they questioned you about every single detail.\The police are rather insensitive.\I apologize on their behalf.\No, it's not something you should be apologizing for, Mr. Detective.\About the cat that was found...\Cat?\Yes, the cat. response:	Oh, that cat.
context: I suppose they questioned you about every single detail.\The police are rather insensitive.\I apologize on their behalf.\No, it's not something you should be apologizing for, Mr. Detective.\About the cat that was found...\Cat?\Yes, the cat.\Oh, that cat. response:	It wasn't her.
context: The police are rather insensitive.\I apologize on their behalf.\No, it's not something you should be apologizing for, Mr. Detective.\About the cat that was found...\Cat?\Yes, the cat.\Oh, that cat.\It wasn't her. response:	It was a different black cat.
context: I apologize on their behalf.\No, it's not something you should be apologizing for, Mr. Detective.\About the cat that was found...\Cat?\Yes, the cat.\Oh, that cat.\It wasn't her.\It was a different black cat. response:	It resembled her quite a bit, though.
context: No, it's not something you should be apologizing for, Mr. Detective.\About the cat that was found...\Cat?\Yes, the cat.\Oh, that cat.\It wasn't her.\It was a different black cat.\It resembled her quite a bit, though. response:	It's completely different.
context: About the cat that was found...\Cat?\Yes, the cat.\Oh, that cat.\It wasn't her.\It was a different black cat.\It resembled her quite a bit, though.\It's completely different. response:	My Mii-chan has a more sophisticated face.
context: Cat?\Yes, the cat.\Oh, that cat.\It wasn't her.\It was a different black cat.\It resembled her quite a bit, though.\It's completely different.\My Mii-chan has a more sophisticated face. response:	Damn! If I could only use the wireless...
context: Yes, the cat.\Oh, that cat.\It wasn't her.\It was a different black cat.\It resembled her quite a bit, though.\It's completely different.\My Mii-chan has a more sophisticated face.\Damn! If I could only use the wireless... response:	This is bad. Am I going to be sent to the pound?
context: Oh, that cat.\It wasn't her.\It was a different black cat.\It resembled her quite a bit, though.\It's completely different.\My Mii-chan has a more sophisticated face.\Damn! If I could only use the wireless...\This is bad. Am I going to be sent to the pound? response:	While Toshiko was still married to Yuzuki, she came to my place one day.
context: It wasn't her.\It was a different black cat.\It resembled her quite a bit, though.\It's completely different.\My Mii-chan has a more sophisticated face.\Damn! If I could only use the wireless...\This is bad. Am I going to be sent to the pound?\While Toshiko was still married to Yuzuki, she came to my place one day. response:	His former wife?
context: It was a different black cat.\It resembled her quite a bit, though.\It's completely different.\My Mii-chan has a more sophisticated face.\Damn! If I could only use the wireless...\This is bad. Am I going to be sent to the pound?\While Toshiko was still married to Yuzuki, she came to my place one day.\His former wife? response:	Yes. She told me to break off the relationship with Yuzuki.
context: It resembled her quite a bit, though.\It's completely different.\My Mii-chan has a more sophisticated face.\Damn! If I could only use the wireless...\This is bad. Am I going to be sent to the pound?\While Toshiko was still married to Yuzuki, she came to my place one day.\His former wife?\Yes. She told me to break off the relationship with Yuzuki. response:	She spoke in an elegant manner, without the slightest change in her voice,
context: It's completely different.\My Mii-chan has a more sophisticated face.\Damn! If I could only use the wireless...\This is bad. Am I going to be sent to the pound?\While Toshiko was still married to Yuzuki, she came to my place one day.\His former wife?\Yes. She told me to break off the relationship with Yuzuki.\She spoke in an elegant manner, without the slightest change in her voice, response:	but her eyes were terrifying.
context: My Mii-chan has a more sophisticated face.\Damn! If I could only use the wireless...\This is bad. Am I going to be sent to the pound?\While Toshiko was still married to Yuzuki, she came to my place one day.\His former wife?\Yes. She told me to break off the relationship with Yuzuki.\She spoke in an elegant manner, without the slightest change in her voice,\but her eyes were terrifying. response:	That must have been a frightening moment.
context: Damn! If I could only use the wireless...\This is bad. Am I going to be sent to the pound?\While Toshiko was still married to Yuzuki, she came to my place one day.\His former wife?\Yes. She told me to break off the relationship with Yuzuki.\She spoke in an elegant manner, without the slightest change in her voice,\but her eyes were terrifying.\That must have been a frightening moment. response:	It was then when I noticed she wasn't wearing any perfume.
