context: Hopes and dreams are the power that moves humanity, response:	and keep the Earth turning!
context: Hopes and dreams are the power that moves humanity,\and keep the Earth turning! response:	Tomorrow doesn't come because the sun rises in the morning!
context: Hopes and dreams are the power that moves humanity,\and keep the Earth turning!\Tomorrow doesn't come because the sun rises in the morning! response:	The sun rises in the morning because people keep their
context: Hopes and dreams are the power that moves humanity,\and keep the Earth turning!\Tomorrow doesn't come because the sun rises in the morning!\The sun rises in the morning because people keep their response:	hopes close to their hearts!
context: Hopes and dreams are the power that moves humanity,\and keep the Earth turning!\Tomorrow doesn't come because the sun rises in the morning!\The sun rises in the morning because people keep their\hopes close to their hearts! response:	We keep the Earth turning!
context: Hopes and dreams are the power that moves humanity,\and keep the Earth turning!\Tomorrow doesn't come because the sun rises in the morning!\The sun rises in the morning because people keep their\hopes close to their hearts!\We keep the Earth turning! response:	We are the passionate heroes, the Gambaraijers!
context: Hopes and dreams are the power that moves humanity,\and keep the Earth turning!\Tomorrow doesn't come because the sun rises in the morning!\The sun rises in the morning because people keep their\hopes close to their hearts!\We keep the Earth turning!\We are the passionate heroes, the Gambaraijers! response:	Thank you.
context: Hopes and dreams are the power that moves humanity,\and keep the Earth turning!\Tomorrow doesn't come because the sun rises in the morning!\The sun rises in the morning because people keep their\hopes close to their hearts!\We keep the Earth turning!\We are the passionate heroes, the Gambaraijers!\Thank you. response:	Why...
context: and keep the Earth turning!\Tomorrow doesn't come because the sun rises in the morning!\The sun rises in the morning because people keep their\hopes close to their hearts!\We keep the Earth turning!\We are the passionate heroes, the Gambaraijers!\Thank you.\Why... response:	Coffee?
context: Tomorrow doesn't come because the sun rises in the morning!\The sun rises in the morning because people keep their\hopes close to their hearts!\We keep the Earth turning!\We are the passionate heroes, the Gambaraijers!\Thank you.\Why...\Coffee? response:	Sure.
context: The sun rises in the morning because people keep their\hopes close to their hearts!\We keep the Earth turning!\We are the passionate heroes, the Gambaraijers!\Thank you.\Why...\Coffee?\Sure. response:	So bitter...
context: hopes close to their hearts!\We keep the Earth turning!\We are the passionate heroes, the Gambaraijers!\Thank you.\Why...\Coffee?\Sure.\So bitter... response:	How did Mom write songs?
context: We keep the Earth turning!\We are the passionate heroes, the Gambaraijers!\Thank you.\Why...\Coffee?\Sure.\So bitter...\How did Mom write songs? response:	Huh?
context: We are the passionate heroes, the Gambaraijers!\Thank you.\Why...\Coffee?\Sure.\So bitter...\How did Mom write songs?\Huh? response:	How?
context: Thank you.\Why...\Coffee?\Sure.\So bitter...\How did Mom write songs?\Huh?\How? response:	The normal way?
context: Why...\Coffee?\Sure.\So bitter...\How did Mom write songs?\Huh?\How?\The normal way? response:	She'd sing, and then sing...
context: Coffee?\Sure.\So bitter...\How did Mom write songs?\Huh?\How?\The normal way?\She'd sing, and then sing... response:	Was the melody already in her head?
context: Sure.\So bitter...\How did Mom write songs?\Huh?\How?\The normal way?\She'd sing, and then sing...\Was the melody already in her head? response:	Or did it come as she went along?
context: So bitter...\How did Mom write songs?\Huh?\How?\The normal way?\She'd sing, and then sing...\Was the melody already in her head?\Or did it come as she went along? response:	I mean, a cat could put a song together
