context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	We're being led far away
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\We're being led far away response:	Until we shatter the road between light and darkness
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\We're being led far away\Until we shatter the road between light and darkness response:	Yo Guess who's back
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\We're being led far away\Until we shatter the road between light and darkness\Yo Guess who's back response:	Everybody get down
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\We're being led far away\Until we shatter the road between light and darkness\Yo Guess who's back\Everybody get down response:	Guess who's back
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\We're being led far away\Until we shatter the road between light and darkness\Yo Guess who's back\Everybody get down\Guess who's back response:	Hey step up step up!
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\We're being led far away\Until we shatter the road between light and darkness\Yo Guess who's back\Everybody get down\Guess who's back\Hey step up step up! response:	Proof of Rightness
context: He was called the Wizard King, and he became a legend.\We're being led far away\Until we shatter the road between light and darkness\Yo Guess who's back\Everybody get down\Guess who's back\Hey step up step up!\Proof of Rightness response:	I'm falling down because of a twist of fate
context: We're being led far away\Until we shatter the road between light and darkness\Yo Guess who's back\Everybody get down\Guess who's back\Hey step up step up!\Proof of Rightness\I'm falling down because of a twist of fate response:	The harmony we had is in the past
context: Until we shatter the road between light and darkness\Yo Guess who's back\Everybody get down\Guess who's back\Hey step up step up!\Proof of Rightness\I'm falling down because of a twist of fate\The harmony we had is in the past response:	Still left behind
context: Yo Guess who's back\Everybody get down\Guess who's back\Hey step up step up!\Proof of Rightness\I'm falling down because of a twist of fate\The harmony we had is in the past\Still left behind response:	The scent of you is stuck in my head
context: Everybody get down\Guess who's back\Hey step up step up!\Proof of Rightness\I'm falling down because of a twist of fate\The harmony we had is in the past\Still left behind\The scent of you is stuck in my head response:	Can't shake it
context: Guess who's back\Hey step up step up!\Proof of Rightness\I'm falling down because of a twist of fate\The harmony we had is in the past\Still left behind\The scent of you is stuck in my head\Can't shake it response:	Waiting just isn't enough anymore, Yai yah!
