context: In a way, I can turn Jirou's stuff into my stuff! response:	Move it!
context: In a way, I can turn Jirou's stuff into my stuff!\Move it! response:	Hiya!
context: In a way, I can turn Jirou's stuff into my stuff!\Move it!\Hiya! response:	Ook!
context: In a way, I can turn Jirou's stuff into my stuff!\Move it!\Hiya!\Ook! response:	What?
context: In a way, I can turn Jirou's stuff into my stuff!\Move it!\Hiya!\Ook!\What? response:	Now that's what I call a barrier against evil!
context: In a way, I can turn Jirou's stuff into my stuff!\Move it!\Hiya!\Ook!\What?\Now that's what I call a barrier against evil! response:	I wonder what's happening on this world
context: In a way, I can turn Jirou's stuff into my stuff!\Move it!\Hiya!\Ook!\What?\Now that's what I call a barrier against evil!\I wonder what's happening on this world response:	I wonder what's happening on this world
context: In a way, I can turn Jirou's stuff into my stuff!\Move it!\Hiya!\Ook!\What?\Now that's what I call a barrier against evil!\I wonder what's happening on this world\I wonder what's happening on this world response:	I fly through the sky into space
context: Move it!\Hiya!\Ook!\What?\Now that's what I call a barrier against evil!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space response:	I fly through the sky into space
context: Hiya!\Ook!\What?\Now that's what I call a barrier against evil!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space response:	and circle the world
context: Ook!\What?\Now that's what I call a barrier against evil!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world response:	and circle the world
context: What?\Now that's what I call a barrier against evil!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: Now that's what I call a barrier against evil!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	With my periodic biorhythm
context: I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm response:	With my periodic biorhythm
context: I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm response:	I'm like a washing machine
context: I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine response:	I'm like a washing machine
context: and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine response:	Just kidding
context: and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding response:	Just kidding
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding response:	Yes, I'm spinning around
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around response:	Yes, I'm spinning around
context: With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around response:	Around, around the world
context: With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world response:	Around, around the world
context: I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world response:	Because there's no limit to my love
context: I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love response:	Because there's no limit to my love
context: Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love response:	Spinning around, around, around the world
context: Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world response:	Spinning around, around, around the world
context: Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world response:	I want to tell you that I love you, even if it confuses me
context: Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me response:	I want to tell you that I love you, even if it confuses me
context: Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me response:	Bam, bam, bam
