context: My, my. She's much stronger than I had anticipated. response:	Honestly, I'm glad we're in the middle of the Calm.
context: My, my. She's much stronger than I had anticipated.\Honestly, I'm glad we're in the middle of the Calm. response:	Where do you think you're going?
context: My, my. She's much stronger than I had anticipated.\Honestly, I'm glad we're in the middle of the Calm.\Where do you think you're going? response:	Even during the Calm, you're this powerful?
context: My, my. She's much stronger than I had anticipated.\Honestly, I'm glad we're in the middle of the Calm.\Where do you think you're going?\Even during the Calm, you're this powerful? response:	Impressive!
context: My, my. She's much stronger than I had anticipated.\Honestly, I'm glad we're in the middle of the Calm.\Where do you think you're going?\Even during the Calm, you're this powerful?\Impressive! response:	But how about this?
context: My, my. She's much stronger than I had anticipated.\Honestly, I'm glad we're in the middle of the Calm.\Where do you think you're going?\Even during the Calm, you're this powerful?\Impressive!\But how about this? response:	Aya-chan...
context: My, my. She's much stronger than I had anticipated.\Honestly, I'm glad we're in the middle of the Calm.\Where do you think you're going?\Even during the Calm, you're this powerful?\Impressive!\But how about this?\Aya-chan... response:	Loneliness makes my cheeks wet
context: My, my. She's much stronger than I had anticipated.\Honestly, I'm glad we're in the middle of the Calm.\Where do you think you're going?\Even during the Calm, you're this powerful?\Impressive!\But how about this?\Aya-chan...\Loneliness makes my cheeks wet response:	Loneliness makes my cheeks wet
context: Honestly, I'm glad we're in the middle of the Calm.\Where do you think you're going?\Even during the Calm, you're this powerful?\Impressive!\But how about this?\Aya-chan...\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet response:	kodoku ga hoho wo nurasu nurasu kedo
context: Where do you think you're going?\Even during the Calm, you're this powerful?\Impressive!\But how about this?\Aya-chan...\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo response:	kodoku ga hoho wo nurasu nurasu kedo
context: Even during the Calm, you're this powerful?\Impressive!\But how about this?\Aya-chan...\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo response:	But when the dawn emerges in silence
context: Impressive!\But how about this?\Aya-chan...\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence response:	But when the dawn emerges in silence
context: But how about this?\Aya-chan...\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence response:	yoake no kehai ga shizuka ni michite
context: Aya-chan...\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite response:	yoake no kehai ga shizuka ni michite
context: Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite response:	And carries me up into the skies
context: Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies response:	And carries me up into the skies
context: kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies response:	watashi wo sora e maneku yo
context: kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo response:	watashi wo sora e maneku yo
context: But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo response:	Hope awaits on the other side
context: But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side response:	Hope awaits on the other side
context: yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side response:	kibou ga kanata de matteru
context: yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru response:	kibou ga kanata de matteru
context: And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru response:	So here I go
context: And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go response:	So here I go
context: watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go response:	sou da yo iku yo
context: watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo response:	sou da yo iku yo
context: Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo response:	I've been wandering, trying to find you
context: Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you response:	I've been wandering, trying to find you
context: kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you response:	mayoi nagara mo kimi wo sagasu tabi
context: kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi response:	mayoi nagara mo kimi wo sagasu tabi
context: So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi response:	We missed each other, but our hands touched
context: So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched response:	We missed each other, but our hands touched
context: sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched response:	surechigau ishiki te ga fureta yo ne
context: sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne response:	surechigau ishiki te ga fureta yo ne
context: I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne response:	I'll hold your hand tightly
context: I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly response:	I'll hold your hand tightly
context: mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly response:	tsukaemaeru yo shikkari
context: mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari response:	tsukaemaeru yo shikkari
context: We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari response:	Our mutual longing is
context: We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is response:	Our mutual longing is
context: surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is response:	motomeau kokoro
context: surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro response:	motomeau kokoro
context: I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro response:	The first step toward our dream
context: I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream response:	The first step toward our dream
