context: Most of the anti-peace forces that had invaded Ctrigall have been suppressed. response:	However, a number of rebels have escaped.
context: Most of the anti-peace forces that had invaded Ctrigall have been suppressed.\However, a number of rebels have escaped. response:	It's believed that they're looking to converge with other units.
context: Most of the anti-peace forces that had invaded Ctrigall have been suppressed.\However, a number of rebels have escaped.\It's believed that they're looking to converge with other units. response:	And, so, I would like your unit's help,
context: Most of the anti-peace forces that had invaded Ctrigall have been suppressed.\However, a number of rebels have escaped.\It's believed that they're looking to converge with other units.\And, so, I would like your unit's help, response:	Navy Captain Diethard Bougainvillea.
context: Most of the anti-peace forces that had invaded Ctrigall have been suppressed.\However, a number of rebels have escaped.\It's believed that they're looking to converge with other units.\And, so, I would like your unit's help,\Navy Captain Diethard Bougainvillea. response:	Why come to the navy and not the army?
context: Most of the anti-peace forces that had invaded Ctrigall have been suppressed.\However, a number of rebels have escaped.\It's believed that they're looking to converge with other units.\And, so, I would like your unit's help,\Navy Captain Diethard Bougainvillea.\Why come to the navy and not the army? response:	As you may know,
context: Most of the anti-peace forces that had invaded Ctrigall have been suppressed.\However, a number of rebels have escaped.\It's believed that they're looking to converge with other units.\And, so, I would like your unit's help,\Navy Captain Diethard Bougainvillea.\Why come to the navy and not the army?\As you may know, response:	this peace signing is an important ceremony
context: Most of the anti-peace forces that had invaded Ctrigall have been suppressed.\However, a number of rebels have escaped.\It's believed that they're looking to converge with other units.\And, so, I would like your unit's help,\Navy Captain Diethard Bougainvillea.\Why come to the navy and not the army?\As you may know,\this peace signing is an important ceremony response:	that will affect the future of the entire continent.
context: However, a number of rebels have escaped.\It's believed that they're looking to converge with other units.\And, so, I would like your unit's help,\Navy Captain Diethard Bougainvillea.\Why come to the navy and not the army?\As you may know,\this peace signing is an important ceremony\that will affect the future of the entire continent. response:	I would like to be prepared for any unexpected situations.
context: It's believed that they're looking to converge with other units.\And, so, I would like your unit's help,\Navy Captain Diethard Bougainvillea.\Why come to the navy and not the army?\As you may know,\this peace signing is an important ceremony\that will affect the future of the entire continent.\I would like to be prepared for any unexpected situations. response:	And now that the army special forces have disbanded,
context: And, so, I would like your unit's help,\Navy Captain Diethard Bougainvillea.\Why come to the navy and not the army?\As you may know,\this peace signing is an important ceremony\that will affect the future of the entire continent.\I would like to be prepared for any unexpected situations.\And now that the army special forces have disbanded, response:	we will be shorthanded in an emergency.
context: Navy Captain Diethard Bougainvillea.\Why come to the navy and not the army?\As you may know,\this peace signing is an important ceremony\that will affect the future of the entire continent.\I would like to be prepared for any unexpected situations.\And now that the army special forces have disbanded,\we will be shorthanded in an emergency. response:	But fortunately, your unit is still fully operational.
context: Why come to the navy and not the army?\As you may know,\this peace signing is an important ceremony\that will affect the future of the entire continent.\I would like to be prepared for any unexpected situations.\And now that the army special forces have disbanded,\we will be shorthanded in an emergency.\But fortunately, your unit is still fully operational. response:	What's more, the navy is perfectly suited for this plan.
