context: Saito? response:	I wonder what happened.
context: Saito?\I wonder what happened. response:	Since then, no matter how many times I call,
context: Saito?\I wonder what happened.\Since then, no matter how many times I call, response:	he doesn't answer.
context: Saito?\I wonder what happened.\Since then, no matter how many times I call,\he doesn't answer. response:	I didn't think about it at the time,
context: Saito?\I wonder what happened.\Since then, no matter how many times I call,\he doesn't answer.\I didn't think about it at the time, response:	but what kind of magic could connect
context: Saito?\I wonder what happened.\Since then, no matter how many times I call,\he doesn't answer.\I didn't think about it at the time,\but what kind of magic could connect response:	this room with the queen's?
context: Saito?\I wonder what happened.\Since then, no matter how many times I call,\he doesn't answer.\I didn't think about it at the time,\but what kind of magic could connect\this room with the queen's? response:	I've never even heard of something like that.
context: Saito?\I wonder what happened.\Since then, no matter how many times I call,\he doesn't answer.\I didn't think about it at the time,\but what kind of magic could connect\this room with the queen's?\I've never even heard of something like that. response:	A spell that connects you to your desired location...
context: I wonder what happened.\Since then, no matter how many times I call,\he doesn't answer.\I didn't think about it at the time,\but what kind of magic could connect\this room with the queen's?\I've never even heard of something like that.\A spell that connects you to your desired location... response:	We have an emergency!
context: Since then, no matter how many times I call,\he doesn't answer.\I didn't think about it at the time,\but what kind of magic could connect\this room with the queen's?\I've never even heard of something like that.\A spell that connects you to your desired location...\We have an emergency! response:	What happened?
context: he doesn't answer.\I didn't think about it at the time,\but what kind of magic could connect\this room with the queen's?\I've never even heard of something like that.\A spell that connects you to your desired location...\We have an emergency!\What happened? response:	It's...
context: I didn't think about it at the time,\but what kind of magic could connect\this room with the queen's?\I've never even heard of something like that.\A spell that connects you to your desired location...\We have an emergency!\What happened?\It's... response:	What's happening?
context: but what kind of magic could connect\this room with the queen's?\I've never even heard of something like that.\A spell that connects you to your desired location...\We have an emergency!\What happened?\It's...\What's happening? response:	Why is there hot water coming out of the ground?
context: this room with the queen's?\I've never even heard of something like that.\A spell that connects you to your desired location...\We have an emergency!\What happened?\It's...\What's happening?\Why is there hot water coming out of the ground? response:	This is the wrath of the land!
context: I've never even heard of something like that.\A spell that connects you to your desired location...\We have an emergency!\What happened?\It's...\What's happening?\Why is there hot water coming out of the ground?\This is the wrath of the land! response:	We're going to die! I'm so scared!
context: A spell that connects you to your desired location...\We have an emergency!\What happened?\It's...\What's happening?\Why is there hot water coming out of the ground?\This is the wrath of the land!\We're going to die! I'm so scared! response:	You're overreacting. It's just a hot spring.
context: We have an emergency!\What happened?\It's...\What's happening?\Why is there hot water coming out of the ground?\This is the wrath of the land!\We're going to die! I'm so scared!\You're overreacting. It's just a hot spring. response:	Hot spring?
context: What happened?\It's...\What's happening?\Why is there hot water coming out of the ground?\This is the wrath of the land!\We're going to die! I'm so scared!\You're overreacting. It's just a hot spring.\Hot spring? response:	A natural phenomenon where
context: It's...\What's happening?\Why is there hot water coming out of the ground?\This is the wrath of the land!\We're going to die! I'm so scared!\You're overreacting. It's just a hot spring.\Hot spring?\A natural phenomenon where response:	hot water springs from the ground.
context: What's happening?\Why is there hot water coming out of the ground?\This is the wrath of the land!\We're going to die! I'm so scared!\You're overreacting. It's just a hot spring.\Hot spring?\A natural phenomenon where\hot water springs from the ground. response:	It is common to take baths in this water.
context: Why is there hot water coming out of the ground?\This is the wrath of the land!\We're going to die! I'm so scared!\You're overreacting. It's just a hot spring.\Hot spring?\A natural phenomenon where\hot water springs from the ground.\It is common to take baths in this water. response:	T-Take baths?!
context: This is the wrath of the land!\We're going to die! I'm so scared!\You're overreacting. It's just a hot spring.\Hot spring?\A natural phenomenon where\hot water springs from the ground.\It is common to take baths in this water.\T-Take baths?! response:	Wow! That feels great!
context: We're going to die! I'm so scared!\You're overreacting. It's just a hot spring.\Hot spring?\A natural phenomenon where\hot water springs from the ground.\It is common to take baths in this water.\T-Take baths?!\Wow! That feels great! response:	It's just the right temperature.
context: You're overreacting. It's just a hot spring.\Hot spring?\A natural phenomenon where\hot water springs from the ground.\It is common to take baths in this water.\T-Take baths?!\Wow! That feels great!\It's just the right temperature. response:	I never thought I'd be
context: Hot spring?\A natural phenomenon where\hot water springs from the ground.\It is common to take baths in this water.\T-Take baths?!\Wow! That feels great!\It's just the right temperature.\I never thought I'd be response:	able to take a hot spring bath over here.
context: A natural phenomenon where\hot water springs from the ground.\It is common to take baths in this water.\T-Take baths?!\Wow! That feels great!\It's just the right temperature.\I never thought I'd be\able to take a hot spring bath over here. response:	It's really good for your skin, right?
context: hot water springs from the ground.\It is common to take baths in this water.\T-Take baths?!\Wow! That feels great!\It's just the right temperature.\I never thought I'd be\able to take a hot spring bath over here.\It's really good for your skin, right? response:	There was one back in my village, too.
context: It is common to take baths in this water.\T-Take baths?!\Wow! That feels great!\It's just the right temperature.\I never thought I'd be\able to take a hot spring bath over here.\It's really good for your skin, right?\There was one back in my village, too. response:	Skin...
context: T-Take baths?!\Wow! That feels great!\It's just the right temperature.\I never thought I'd be\able to take a hot spring bath over here.\It's really good for your skin, right?\There was one back in my village, too.\Skin... response:	I know! Let's have a party here.
context: Wow! That feels great!\It's just the right temperature.\I never thought I'd be\able to take a hot spring bath over here.\It's really good for your skin, right?\There was one back in my village, too.\Skin...\I know! Let's have a party here. response:	A party?
context: It's just the right temperature.\I never thought I'd be\able to take a hot spring bath over here.\It's really good for your skin, right?\There was one back in my village, too.\Skin...\I know! Let's have a party here.\A party? response:	Yeah.
