context: Wonderful, simply wonderful! response:	Corner her, no matter what!
context: Wonderful, simply wonderful!\Corner her, no matter what! response:	Yes, sir!
context: Wonderful, simply wonderful!\Corner her, no matter what!\Yes, sir! response:	Karen has surpassed the boundaries of the human race.
context: Wonderful, simply wonderful!\Corner her, no matter what!\Yes, sir!\Karen has surpassed the boundaries of the human race. response:	Gee, they're so persistent.
context: Wonderful, simply wonderful!\Corner her, no matter what!\Yes, sir!\Karen has surpassed the boundaries of the human race.\Gee, they're so persistent. response:	Shit!
context: Wonderful, simply wonderful!\Corner her, no matter what!\Yes, sir!\Karen has surpassed the boundaries of the human race.\Gee, they're so persistent.\Shit! response:	Take off!
context: Wonderful, simply wonderful!\Corner her, no matter what!\Yes, sir!\Karen has surpassed the boundaries of the human race.\Gee, they're so persistent.\Shit!\Take off! response:	Come out! Great Genie!
context: Wonderful, simply wonderful!\Corner her, no matter what!\Yes, sir!\Karen has surpassed the boundaries of the human race.\Gee, they're so persistent.\Shit!\Take off!\Come out! Great Genie! response:	Karen's data... under assessment.
context: Corner her, no matter what!\Yes, sir!\Karen has surpassed the boundaries of the human race.\Gee, they're so persistent.\Shit!\Take off!\Come out! Great Genie!\Karen's data... under assessment. response:	Got to move out.
context: Yes, sir!\Karen has surpassed the boundaries of the human race.\Gee, they're so persistent.\Shit!\Take off!\Come out! Great Genie!\Karen's data... under assessment.\Got to move out. response:	Damn it...
context: Karen has surpassed the boundaries of the human race.\Gee, they're so persistent.\Shit!\Take off!\Come out! Great Genie!\Karen's data... under assessment.\Got to move out.\Damn it... response:	No, no. The Alpha engine.
context: Gee, they're so persistent.\Shit!\Take off!\Come out! Great Genie!\Karen's data... under assessment.\Got to move out.\Damn it...\No, no. The Alpha engine. response:	Dead, they are all dead.
context: Shit!\Take off!\Come out! Great Genie!\Karen's data... under assessment.\Got to move out.\Damn it...\No, no. The Alpha engine.\Dead, they are all dead. response:	Got it. I'll come tomorrow.
context: Take off!\Come out! Great Genie!\Karen's data... under assessment.\Got to move out.\Damn it...\No, no. The Alpha engine.\Dead, they are all dead.\Got it. I'll come tomorrow. response:	Dead, this one is dead.
context: Come out! Great Genie!\Karen's data... under assessment.\Got to move out.\Damn it...\No, no. The Alpha engine.\Dead, they are all dead.\Got it. I'll come tomorrow.\Dead, this one is dead. response:	This one, too.
