context: Hey, bro! response:	Yes, sir.
context: Hey, bro!\Yes, sir. response:	Over here!
context: Hey, bro!\Yes, sir.\Over here! response:	It's huge!
context: Hey, bro!\Yes, sir.\Over here!\It's huge! response:	Mahi-mahi, mahi-mahi!
context: Hey, bro!\Yes, sir.\Over here!\It's huge!\Mahi-mahi, mahi-mahi! response:	It's been three weeks since I started working.
context: Hey, bro!\Yes, sir.\Over here!\It's huge!\Mahi-mahi, mahi-mahi!\It's been three weeks since I started working. response:	Work is growing on me, but even more fun than working,
context: Hey, bro!\Yes, sir.\Over here!\It's huge!\Mahi-mahi, mahi-mahi!\It's been three weeks since I started working.\Work is growing on me, but even more fun than working, response:	is fishing after work.
context: Hey, bro!\Yes, sir.\Over here!\It's huge!\Mahi-mahi, mahi-mahi!\It's been three weeks since I started working.\Work is growing on me, but even more fun than working,\is fishing after work. response:	Enoshima bowl!
context: Yes, sir.\Over here!\It's huge!\Mahi-mahi, mahi-mahi!\It's been three weeks since I started working.\Work is growing on me, but even more fun than working,\is fishing after work.\Enoshima bowl! response:	Look at that. It's a bait ball.
context: Over here!\It's huge!\Mahi-mahi, mahi-mahi!\It's been three weeks since I started working.\Work is growing on me, but even more fun than working,\is fishing after work.\Enoshima bowl!\Look at that. It's a bait ball. response:	Bait ball?
context: It's huge!\Mahi-mahi, mahi-mahi!\It's been three weeks since I started working.\Work is growing on me, but even more fun than working,\is fishing after work.\Enoshima bowl!\Look at that. It's a bait ball.\Bait ball? response:	A school of small fish at the surface.
context: Mahi-mahi, mahi-mahi!\It's been three weeks since I started working.\Work is growing on me, but even more fun than working,\is fishing after work.\Enoshima bowl!\Look at that. It's a bait ball.\Bait ball?\A school of small fish at the surface. response:	There are bigger fish underneath trying to eat them.
context: It's been three weeks since I started working.\Work is growing on me, but even more fun than working,\is fishing after work.\Enoshima bowl!\Look at that. It's a bait ball.\Bait ball?\A school of small fish at the surface.\There are bigger fish underneath trying to eat them. response:	What's there?
context: Work is growing on me, but even more fun than working,\is fishing after work.\Enoshima bowl!\Look at that. It's a bait ball.\Bait ball?\A school of small fish at the surface.\There are bigger fish underneath trying to eat them.\What's there? response:	Probably tuna.
context: is fishing after work.\Enoshima bowl!\Look at that. It's a bait ball.\Bait ball?\A school of small fish at the surface.\There are bigger fish underneath trying to eat them.\What's there?\Probably tuna. response:	I should've brought my tuna rod.
context: Enoshima bowl!\Look at that. It's a bait ball.\Bait ball?\A school of small fish at the surface.\There are bigger fish underneath trying to eat them.\What's there?\Probably tuna.\I should've brought my tuna rod. response:	You can fish for tuna?
context: Look at that. It's a bait ball.\Bait ball?\A school of small fish at the surface.\There are bigger fish underneath trying to eat them.\What's there?\Probably tuna.\I should've brought my tuna rod.\You can fish for tuna? response:	Well, yeah.
context: Bait ball?\A school of small fish at the surface.\There are bigger fish underneath trying to eat them.\What's there?\Probably tuna.\I should've brought my tuna rod.\You can fish for tuna?\Well, yeah. response:	It's not easy, though.
context: A school of small fish at the surface.\There are bigger fish underneath trying to eat them.\What's there?\Probably tuna.\I should've brought my tuna rod.\You can fish for tuna?\Well, yeah.\It's not easy, though. response:	Tuna, huh?
context: There are bigger fish underneath trying to eat them.\What's there?\Probably tuna.\I should've brought my tuna rod.\You can fish for tuna?\Well, yeah.\It's not easy, though.\Tuna, huh? response:	Horrified Splash
context: What's there?\Probably tuna.\I should've brought my tuna rod.\You can fish for tuna?\Well, yeah.\It's not easy, though.\Tuna, huh?\Horrified Splash response:	Yuki, you're quite tan.
context: Probably tuna.\I should've brought my tuna rod.\You can fish for tuna?\Well, yeah.\It's not easy, though.\Tuna, huh?\Horrified Splash\Yuki, you're quite tan. response:	Well, I've been running around on a boat all day.
context: I should've brought my tuna rod.\You can fish for tuna?\Well, yeah.\It's not easy, though.\Tuna, huh?\Horrified Splash\Yuki, you're quite tan.\Well, I've been running around on a boat all day. response:	Haru, not so much.
context: You can fish for tuna?\Well, yeah.\It's not easy, though.\Tuna, huh?\Horrified Splash\Yuki, you're quite tan.\Well, I've been running around on a boat all day.\Haru, not so much. response:	Huh? I'm tan, too.
context: Well, yeah.\It's not easy, though.\Tuna, huh?\Horrified Splash\Yuki, you're quite tan.\Well, I've been running around on a boat all day.\Haru, not so much.\Huh? I'm tan, too. response:	It's because you're always skipping work.
